bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,island,sex,species
52.2,13.5,180.7,5687.0,2.0,1.0,1
45.6,19.0,231.5,2807.0,0.0,0.0,0
42.3,20.2,215.5,,0.0,1.0,0
39.3,16.6,231.3,,1.0,1.0,0
50.8,21.4,171.7,3012.0,1.0,0.0,0
47.6,13.3,197.2,2829.0,0.0,0.0,0
45.1,21.8,189.2,3980.0,2.0,0.0,0
54.0,13.5,203.6,5880.0,2.0,1.0,1
49.4,16.8,193.0,5665.0,2.0,0.0,0
58.2,16.6,188.1,4175.0,2.0,1.0,1
33.2,15.7,213.6,5971.0,1.0,0.0,1
53.9,15.0,220.7,5572.0,2.0,1.0,1
43.5,19.1,188.1,5183.0,0.0,0.0,0
54.6,18.6,209.0,2901.0,0.0,0.0,0
55.4,20.3,215.4,6182.0,0.0,1.0,1
57.0,18.6,216.7,4121.0,1.0,0.0,1
49.3,19.0,229.4,5044.0,1.0,1.0,1
50.8,20.8,219.6,3159.0,0.0,0.0,1
38.9,14.7,177.4,4670.0,1.0,0.0,0
53.7,14.0,198.7,5015.0,1.0,1.0,1
47.9,,180.1,5395.0,2.0,0.0,1
59.8,15.6,187.7,,2.0,1.0,1
47.6,21.5,228.6,5844.0,0.0,0.0,1
39.5,15.1,185.6,5279.0,2.0,1.0,1
48.6,17.3,234.1,2873.0,1.0,0.0,1
56.7,17.6,206.8,4971.0,2.0,1.0,1
34.6,14.4,197.3,6040.0,0.0,1.0,0
43.4,18.7,202.0,4703.0,2.0,0.0,1
32.9,14.8,227.1,6191.0,2.0,1.0,1
38.3,21.2,184.8,4781.0,1.0,1.0,0
39.7,21.9,209.1,2815.0,0.0,0.0,0
58.3,21.3,205.6,3982.0,2.0,1.0,1
57.8,18.3,,4112.0,2.0,1.0,1
45.2,17.3,233.2,5479.0,0.0,1.0,1
57.0,20.3,209.7,5913.0,2.0,1.0,1
54.3,15.9,212.2,4468.0,1.0,1.0,1
48.8,15.7,191.2,3104.0,0.0,1.0,0
40.9,17.0,222.0,3921.0,2.0,0.0,0
34.5,15.0,185.0,5633.0,1.0,1.0,0
41.7,14.6,222.1,5743.0,1.0,0.0,1
51.9,19.1,206.4,6027.0,0.0,1.0,1
,,205.7,2804.0,0.0,0.0,0
53.3,15.6,227.8,3506.0,1.0,1.0,1
47.7,13.5,231.9,5239.0,2.0,0.0,1
52.1,13.7,191.9,4805.0,2.0,1.0,1
33.8,15.7,194.5,4287.0,0.0,1.0,0
49.3,14.1,215.8,3450.0,2.0,1.0,1
36.7,20.8,,3258.0,1.0,1.0,0
56.7,16.9,227.5,4183.0,0.0,1.0,1
52.3,18.2,226.7,5833.0,0.0,1.0,1
49.0,18.1,195.6,3898.0,1.0,1.0,1
33.0,16.2,212.0,3822.0,1.0,0.0,1
44.7,18.4,195.2,4437.0,1.0,,0
39.1,13.4,173.8,4504.0,0.0,0.0,0
53.9,13.4,214.6,3139.0,0.0,0.0,1
40.1,19.4,202.6,3444.0,2.0,0.0,0
53.6,13.5,172.3,5801.0,0.0,1.0,0
35.0,14.9,181.6,5723.0,0.0,0.0,0
53.9,13.9,222.1,2866.0,0.0,0.0,0
50.8,18.2,171.2,4530.0,0.0,0.0,0
53.3,18.5,186.1,2949.0,1.0,1.0,0
36.2,21.3,231.2,4655.0,2.0,1.0,1
40.0,18.4,183.4,6286.0,1.0,1.0,0
32.0,15.1,225.8,4367.0,2.0,0.0,1
38.8,17.0,182.3,5716.0,1.0,1.0,1
35.9,18.2,229.8,5459.0,2.0,1.0,1
33.5,19.0,204.6,,0.0,0.0,0
54.5,19.3,195.6,5494.0,1.0,1.0,1
51.6,18.5,197.8,5139.0,1.0,0.0,0
60.0,16.7,185.0,3217.0,0.0,0.0,0
50.3,21.0,177.9,3286.0,0.0,1.0,0
44.9,20.3,209.4,5947.0,2.0,1.0,1
43.5,13.5,216.8,4602.0,0.0,1.0,1
39.7,14.3,224.9,3724.0,0.0,0.0,1
40.0,13.8,192.4,4818.0,1.0,0.0,0
51.7,20.6,203.8,4200.0,1.0,0.0,0
49.8,14.4,233.8,2794.0,2.0,0.0,1
56.8,14.5,177.7,3053.0,1.0,0.0,0
50.0,17.7,188.1,5133.0,1.0,0.0,1
44.5,13.6,207.7,3866.0,0.0,0.0,0
42.7,14.3,212.5,4049.0,0.0,0.0,0
50.6,16.1,212.8,3893.0,0.0,1.0,1
47.3,15.0,234.8,6096.0,2.0,0.0,1
35.8,18.1,218.3,,0.0,1.0,1
34.0,21.6,175.9,4639.0,0.0,1.0,0
45.2,21.9,175.3,6023.0,1.0,1.0,0
46.2,17.6,228.6,5430.0,0.0,0.0,1
39.5,17.7,206.3,2711.0,0.0,0.0,0
52.6,18.1,206.6,,1.0,0.0,1
44.3,19.7,174.9,3672.0,1.0,0.0,0
38.7,13.4,172.9,5579.0,0.0,0.0,0
51.2,21.2,188.2,4408.0,1.0,1.0,0
38.2,15.5,178.2,2741.0,0.0,1.0,0
48.2,17.3,206.3,5813.0,1.0,0.0,0
38.3,15.5,185.7,5100.0,1.0,1.0,1
47.7,13.9,217.7,4048.0,0.0,0.0,0
52.2,18.5,179.6,2806.0,0.0,,0
,13.2,221.5,3235.0,0.0,0.0,0
33.9,14.0,189.7,3055.0,2.0,1.0,1
36.4,13.5,182.9,5425.0,0.0,1.0,1
44.5,16.6,190.0,3386.0,0.0,0.0,0
49.0,15.5,217.0,4580.0,2.0,0.0,1
55.8,14.2,201.3,3989.0,1.0,0.0,0
49.3,14.0,211.4,4518.0,0.0,0.0,1
44.7,16.7,186.3,3411.0,2.0,1.0,0
44.1,13.8,222.6,3480.0,,1.0,1
42.2,16.4,187.0,5212.0,1.0,1.0,0
57.2,19.5,180.1,6171.0,0.0,0.0,0
34.9,17.9,194.4,3147.0,0.0,1.0,0
44.0,17.6,230.7,4594.0,1.0,0.0,1
42.6,17.1,203.1,5797.0,2.0,1.0,1
48.9,20.1,186.3,3329.0,,0.0,0
48.3,14.1,171.9,3539.0,0.0,1.0,1
34.9,18.4,224.5,5263.0,2.0,1.0,1
32.3,18.9,218.0,3098.0,0.0,0.0,0
42.6,20.9,179.5,5479.0,,1.0,0
33.7,17.2,208.2,2893.0,0.0,0.0,0
52.4,20.9,229.8,4064.0,1.0,1.0,1
42.0,13.5,212.0,3979.0,2.0,1.0,1
53.6,21.4,203.7,5528.0,1.0,0.0,1
57.3,17.2,195.6,3699.0,0.0,1.0,1
56.1,13.6,181.2,5682.0,,0.0,1
36.9,18.6,190.2,5454.0,1.0,1.0,1
49.1,19.3,207.9,5141.0,1.0,1.0,1
47.0,16.2,223.2,2771.0,1.0,0.0,0
34.4,16.5,222.8,4937.0,,0.0,1
55.8,21.8,232.7,4429.0,2.0,0.0,1
58.2,21.1,221.6,3150.0,2.0,1.0,1
42.2,13.7,178.8,4740.0,1.0,0.0,0
41.2,21.3,180.9,3129.0,2.0,0.0,0
52.0,18.8,231.7,4904.0,2.0,1.0,1
50.8,18.3,179.5,3449.0,1.0,0.0,0
34.3,21.7,216.6,3004.0,0.0,0.0,0
59.1,18.3,231.0,3673.0,0.0,0.0,1
55.2,15.4,,5270.0,0.0,0.0,1
38.2,13.5,225.7,3636.0,0.0,0.0,0
44.2,13.6,226.5,4123.0,2.0,0.0,1
55.7,14.4,175.9,5573.0,2.0,0.0,1
57.8,18.4,227.7,6293.0,1.0,1.0,1
47.3,19.4,171.2,5903.0,1.0,1.0,0
44.1,13.5,232.0,4045.0,2.0,,1
45.6,14.6,209.4,4496.0,0.0,0.0,1
44.6,14.5,188.6,3102.0,1.0,0.0,1
34.5,14.1,206.1,5916.0,0.0,0.0,1
53.4,20.7,208.2,4346.0,0.0,0.0,1
38.1,15.7,200.5,5471.0,1.0,0.0,0
56.2,15.2,199.3,3325.0,1.0,1.0,0
34.7,21.1,174.7,4334.0,2.0,1.0,0
51.7,19.4,203.6,,,1.0,0
47.6,16.6,184.7,5313.0,2.0,1.0,1
34.8,13.3,193.1,4169.0,0.0,1.0,0
40.2,14.3,204.2,5801.0,1.0,1.0,1
33.5,13.5,196.7,5372.0,1.0,1.0,0
41.6,21.1,188.9,5344.0,1.0,0.0,0
36.8,15.4,179.0,6221.0,1.0,0.0,0
51.1,15.8,211.6,5232.0,2.0,0.0,1
51.0,14.5,194.9,5197.0,2.0,0.0,1
53.9,15.6,204.8,4027.0,1.0,1.0,1
33.1,20.1,206.2,5885.0,0.0,0.0,0
48.9,14.4,193.2,3060.0,0.0,0.0,0
53.9,20.7,220.5,4446.0,0.0,1.0,1
54.9,21.5,204.5,6050.0,1.0,1.0,1
41.8,14.4,,3641.0,2.0,1.0,0
52.6,15.2,210.9,2910.0,0.0,0.0,1
48.2,18.7,208.6,5121.0,1.0,0.0,0
44.6,13.1,232.4,2800.0,2.0,1.0,1
53.0,13.2,191.4,5552.0,1.0,0.0,1
36.4,19.8,185.7,2933.0,2.0,0.0,0
41.0,13.5,200.2,4919.0,0.0,0.0,0
35.2,19.0,233.5,3270.0,1.0,,0
57.5,19.2,207.5,,2.0,1.0,1
58.1,13.2,184.1,4238.0,2.0,0.0,1
44.4,18.5,190.0,4997.0,0.0,1.0,0
32.5,15.9,212.2,5587.0,2.0,1.0,1
51.7,18.8,172.1,5138.0,0.0,1.0,1
42.9,20.5,224.7,4668.0,0.0,0.0,0
40.8,16.2,175.5,5846.0,1.0,0.0,0
42.5,19.9,177.7,3624.0,2.0,1.0,0
52.9,17.0,193.9,5229.0,1.0,0.0,1
,14.4,179.8,4842.0,0.0,0.0,0
47.1,21.2,225.9,3683.0,0.0,1.0,0
47.3,,213.0,3173.0,1.0,1.0,0
47.1,13.5,228.8,3670.0,2.0,1.0,1
55.1,20.0,186.4,3197.0,0.0,0.0,0
50.9,,191.1,6167.0,0.0,0.0,1
54.9,16.6,185.8,3593.0,0.0,0.0,0
50.9,20.7,181.6,5054.0,1.0,0.0,1
40.3,19.8,188.9,5955.0,2.0,1.0,0
43.8,18.3,215.6,,0.0,1.0,0
37.4,15.8,197.2,4193.0,2.0,0.0,0
45.9,16.6,229.2,,1.0,1.0,0
58.6,18.2,213.5,3663.0,1.0,1.0,0
46.4,21.1,228.9,5479.0,2.0,0.0,1
45.5,20.2,187.2,4305.0,1.0,0.0,0
55.6,19.6,234.7,4600.0,2.0,1.0,1
33.6,20.2,206.6,4762.0,1.0,1.0,1
38.7,21.8,186.7,,0.0,1.0,0
50.7,19.7,192.9,5707.0,0.0,0.0,0
40.1,19.3,186.3,4550.0,1.0,0.0,0
59.8,13.5,226.8,4717.0,1.0,1.0,1
35.3,13.6,180.5,4664.0,2.0,0.0,0
41.3,21.2,181.3,4725.0,0.0,1.0,0
58.4,16.7,209.5,5886.0,2.0,0.0,1
56.6,16.9,183.1,5749.0,1.0,0.0,1
47.5,13.5,201.4,,0.0,1.0,1
42.7,15.0,210.1,5318.0,1.0,1.0,1
36.3,14.2,207.4,4495.0,2.0,0.0,1
46.2,14.2,214.9,5855.0,1.0,0.0,1
37.0,18.3,194.9,3115.0,1.0,1.0,0
35.6,19.6,228.7,4664.0,0.0,1.0,0
47.7,17.1,194.2,5144.0,1.0,1.0,1
32.9,18.8,198.5,5166.0,2.0,1.0,1
39.4,15.0,210.9,4308.0,0.0,1.0,0
59.3,18.2,208.4,3692.0,0.0,1.0,1
48.6,15.9,205.8,3592.0,2.0,0.0,1
48.0,15.5,210.7,4999.0,0.0,0.0,0
42.4,17.1,227.5,3914.0,1.0,0.0,1
37.1,21.7,186.5,4305.0,0.0,0.0,0
42.8,13.1,173.7,2922.0,1.0,0.0,0
35.2,13.7,216.6,4825.0,1.0,0.0,0
40.5,14.9,222.9,4372.0,2.0,1.0,1
53.9,17.7,205.3,4577.0,1.0,1.0,1
40.1,19.7,183.0,3883.0,,0.0,0
32.6,13.2,183.7,3397.0,2.0,0.0,0
39.3,15.7,174.3,3455.0,1.0,1.0,0
56.9,17.9,172.8,3045.0,2.0,0.0,0
59.6,14.4,227.7,3303.0,1.0,0.0,1
59.3,13.5,207.4,5414.0,1.0,0.0,1
41.3,15.8,188.1,5147.0,1.0,0.0,0
48.7,17.6,193.7,3874.0,0.0,0.0,0
40.2,16.9,206.6,5828.0,0.0,1.0,1
47.6,17.0,198.6,4499.0,1.0,0.0,0
32.9,14.8,182.3,2751.0,1.0,0.0,0
32.4,20.6,201.7,4111.0,2.0,1.0,0
49.0,13.9,176.0,2846.0,1.0,1.0,0
48.7,18.7,221.6,5035.0,0.0,0.0,0
39.2,15.4,204.9,5634.0,2.0,0.0,1
55.3,21.7,231.7,4431.0,0.0,0.0,1
39.4,15.4,215.2,4606.0,2.0,1.0,1
59.7,14.9,185.0,6186.0,2.0,1.0,1
34.4,,175.8,4835.0,0.0,0.0,0
41.6,13.0,194.3,4660.0,2.0,0.0,1
58.5,19.5,181.9,3085.0,2.0,1.0,1
38.9,17.0,219.8,5064.0,1.0,0.0,1
45.0,20.1,213.4,4282.0,1.0,1.0,1
52.7,19.4,220.0,5688.0,1.0,1.0,1
44.6,,194.8,3609.0,2.0,0.0,0
35.4,15.7,193.6,5737.0,2.0,1.0,1
35.9,16.9,218.9,3068.0,1.0,1.0,1
46.8,15.4,191.2,5068.0,2.0,1.0,1
48.5,20.2,231.0,3374.0,2.0,1.0,1
45.2,20.8,184.0,3523.0,1.0,1.0,0
36.0,14.8,177.5,3864.0,2.0,0.0,0
54.9,14.7,220.2,5437.0,1.0,0.0,1
59.6,17.4,234.3,5242.0,1.0,0.0,1
57.6,19.9,,3972.0,1.0,0.0,1
45.5,13.9,206.3,3610.0,1.0,1.0,0
38.4,20.0,198.7,3421.0,0.0,0.0,0
39.9,13.5,182.4,6295.0,1.0,0.0,1
35.1,13.6,221.7,4230.0,1.0,0.0,1
37.0,16.4,207.2,3678.0,1.0,0.0,0
50.6,21.2,192.1,4069.0,2.0,0.0,1
56.2,18.9,217.4,4793.0,2.0,1.0,1
44.4,17.8,233.3,5248.0,1.0,0.0,1
41.8,17.4,231.8,4008.0,0.0,1.0,1
56.4,18.6,216.8,4130.0,2.0,1.0,1
55.1,19.2,215.0,4605.0,1.0,0.0,1
33.6,13.1,218.8,4268.0,0.0,0.0,1
43.5_err,20.4,205.7,4192.0,2.0,0.0,0
42.7,13.1,228.6,4855.0,0.0,0.0,1
42.3,14.0,214.7,5591.0,2.0,0.0,1
38.8,21.2,200.2,5901.0,2.0,0.0,0
35.0,15.6,,4069.0,0.0,0.0,0
48.6,17.8,205.0,2760.0,2.0,1.0,0
38.5,14.8,177.3,4672.0,2.0,1.0,0
56.4,18.7,181.7,3045.0,0.0,1.0,0
47.0,15.2,180.2,5445.0,1.0,0.0,0
52.6,21.1,193.9,5950.0,2.0,1.0,1
42.4,13.3,174.6,3020.0,1.0,0.0,1
57.4,19.5,207.5,3634.0,0.0,0.0,1
36.8,21.6,212.5,5140.0,0.0,1.0,0
45.5,16.4,171.9,4748.0,0.0,0.0,0
41.9,15.0,177.1,3137.0,2.0,0.0,0
35.5,14.1,203.3,5453.0,0.0,0.0,1
55.9,16.6,187.7,4581.0,2.0,1.0,1
57.2,20.5,214.4,3579.0,1.0,1.0,1
56.1,19.0,205.2,5550.0,0.0,1.0,1
33.4,17.5,,4521.0,,0.0,0
53.0,19.4,199.8,5099.0,1.0,0.0,1
36.3,19.7,175.6,5491.0,1.0,0.0,0
56.9,14.9,199.8,4948.0,1.0,0.0,1
55.7,16.3,,5514.0,1.0,1.0,1
37.7,14.7,177.1,5662.0,0.0,1.0,0
38.8,19.7,206.5,3948.0,1.0,1.0,0
55.7,16.5,228.5,5643.0,0.0,0.0,1
38.6,15.4,179.6,5588.0,0.0,0.0,0
50.6,19.2,209.2,5765.0,1.0,0.0,1
48.0,21.3,184.3,5532.0,1.0,1.0,1
52.9,13.6,187.4,3051.0,0.0,0.0,1
35.9,13.1,172.1,4149.0,1.0,0.0,0
55.9,19.7,178.8,3309.0,0.0,0.0,0
51.8,16.7,197.2,5688.0,1.0,0.0,1
45.8,19.4,207.6,4318.0,1.0,0.0,0
57.3,21.3,192.5,4391.0,0.0,0.0,0
52.5,17.6,219.1,3909.0,2.0,0.0,1
36.7,21.5,189.3,6127.0,1.0,0.0,0
44.6,13.4,179.8,4413.0,1.0,1.0,1
58.5,16.7,185.0,2862.0,0.0,0.0,0
44.5,,191.0,3603.0,0.0,0.0,1
34.9,14.8,204.4,4758.0,0.0,1.0,0
59.2,20.0,223.8,3127.0,2.0,0.0,1
33.3,16.0,213.3,5844.0,0.0,1.0,0
36.9,21.4,181.3,6159.0,0.0,1.0,0
39.1,20.0,178.1,,0.0,1.0,0
35.9,,201.5,6270.0,0.0,1.0,0
42.4,,205.0,6020.0,2.0,1.0,1
57.3,20.7,196.5,,1.0,,1
56.1,13.4,204.1,3432.0,1.0,1.0,1
32.8,14.5,189.9,3867.0,0.0,1.0,0
55.8,16.3,193.5,,0.0,0.0,0
43.1,14.1,231.0,3088.0,0.0,1.0,0
43.0,20.5,184.0,4400.0,,1.0,0
51.7,21.7,192.3,5435.0,0.0,0.0,1
36.0,13.4,178.5,5219.0,1.0,1.0,1
59.5,18.0,196.4,4996.0,2.0,0.0,1
52.4,18.3,208.0,3405.0,1.0,0.0,1
32.0,15.3,182.0,3248.0,2.0,1.0,0
57.5,21.2,195.4,5578.0,1.0,1.0,1
35.0,16.8,211.7,3028.0,0.0,1.0,0
52.2,13.6,234.0,3325.0,2.0,0.0,1
51.6,18.0,223.2,6200.0,2.0,1.0,1
57.1,14.2,223.4,3021.0,0.0,1.0,1
33.3,14.6,224.2,4973.0,2.0,1.0,1
33.8,13.6,228.5,5244.0,0.0,1.0,1
42.4,17.3,214.1,4678.0,1.0,0.0,1
52.2,18.0,191.6,2906.0,0.0,0.0,0
40.3,21.0,226.8,3737.0,2.0,0.0,1
34.7,13.6,221.7,4447.0,0.0,1.0,0
59.6,13.4,192.7,4297.0,0.0,0.0,1
41.3,16.5,228.8,3068.0,0.0,0.0,0
38.5,16.3,207.3,3220.0,2.0,0.0,1
44.5,13.2,203.6,4302.0,,1.0,1
32.6,16.3,217.8,5153.0,2.0,0.0,1
59.5,19.6,176.4,4101.0,1.0,1.0,0
47.5,17.5,214.6,5462.0,0.0,0.0,0
55.3,13.6,230.6,4585.0,0.0,0.0,1
48.3,15.8,197.0,2771.0,2.0,,0
40.6,,207.3,4087.0,2.0,1.0,1
35.1,17.4,223.1,6222.0,0.0,0.0,1
47.6,14.3,194.5,4421.0,1.0,1.0,1
45.7,14.1,214.7,3072.0,2.0,0.0,1
59.3,18.3,193.9,5750.0,2.0,1.0,1
54.2,22.0,215.3,3406.0,2.0,1.0,1
43.7,19.0,197.2,5867.0,2.0,0.0,0
40.5,20.1,182.0,3977.0,1.0,0.0,0
55.1,17.7,184.8,2941.0,0.0,0.0,0
46.9,14.0,204.7,3018.0,2.0,0.0,1
59.5,16.8,191.2,6299.0,0.0,0.0,1
48.1,15.4,176.5,5151.0,1.0,0.0,0
32.5,15.2,221.2,4781.0,0.0,0.0,0
52.2,19.9,172.0,5681.0,1.0,1.0,1
48.3,16.5,223.0,3388.0,1.0,1.0,1
32.9,20.5,213.1,4335.0,2.0,0.0,0
38.7,18.7,232.2,2985.0,1.0,0.0,0
44.6,14.7,199.9,5874.0,1.0,1.0,1
50.7,17.5,234.9,5876.0,1.0,1.0,1
36.2,17.4,177.8,5207.0,0.0,0.0,0
58.0,14.2,206.0,5788.0,2.0,0.0,1
39.1,20.3,231.0,4159.0,2.0,0.0,1
50.3,21.0,178.0,6170.0,2.0,0.0,0
,18.8,195.4,3068.0,2.0,0.0,0
40.5,18.8,175.8,5568.0,1.0,0.0,0
53.7,19.8,219.1,2833.0,2.0,0.0,1
50.8,16.5,220.3,6254.0,1.0,0.0,1
34.3,14.0,205.0,3186.0,1.0,0.0,1
40.9,18.1,214.1,,0.0,0.0,1
37.0,20.1,181.8,2936.0,1.0,0.0,0
42.3,14.4,222.6,5545.0,2.0,0.0,1
51.3,19.2,233.6,3224.0,1.0,1.0,1
53.5,15.0,186.4,5951.0,2.0,1.0,1
49.8,16.3,195.6,5325.0,2.0,1.0,0
48.9,18.3,171.2,4759.0,2.0,1.0,1
59.0,19.4,171.2,2851.0,,1.0,0
45.6_err,18.5,202.9,3887.0,1.0,0.0,1
45.9,13.2,198.4,4188.0,2.0,1.0,1
56.6,17.4,215.4,6176.0,1.0,1.0,1
55.2,15.3,179.3,4334.0,1.0,1.0,1
54.4,19.5,191.7,3032.0,2.0,0.0,0
44.2,15.3,226.4,2996.0,1.0,0.0,1
38.2,14.0,210.1,6267.0,,0.0,1
56.7,,188.1,4946.0,0.0,0.0,0
55.7,18.5,179.9,3501.0,0.0,,0
49.6,17.8,234.0,5703.0,1.0,1.0,1
51.4,21.9,228.6,3145.0,2.0,0.0,1
36.0,19.3,196.6,6276.0,1.0,1.0,0
46.6,15.4,211.0,5780.0,2.0,1.0,1
58.1,17.0,228.3,6142.0,1.0,0.0,1
33.6,13.3,210.6,4356.0,0.0,0.0,1
57.9,18.6,171.5,5715.0,1.0,0.0,0
41.9,15.0,175.8,2791.0,2.0,0.0,0
33.7,17.3,182.3,4379.0,0.0,0.0,0
33.5,13.3,229.3,4783.0,2.0,1.0,1
35.6,19.5,,4345.0,2.0,0.0,1
36.8,20.3,230.3,6218.0,0.0,,1
49.6,15.5,171.1,4863.0,2.0,1.0,1
42.3,20.7,180.0,4615.0,0.0,0.0,0
43.2,16.6,209.6,4978.0,2.0,0.0,1
54.9,15.9,206.1,6033.0,0.0,0.0,0
49.1,15.5,191.6,3573.0,0.0,0.0,0
40.8,17.5,188.3,4509.0,1.0,0.0,0
42.1,21.1,225.8,3152.0,1.0,0.0,1
45.6,15.5,218.8,4575.0,0.0,0.0,0
55.7,20.1,180.7,4029.0,1.0,1.0,0
57.5,14.2,206.7,3651.0,0.0,1.0,1
36.3,17.5,187.5,3447.0,2.0,0.0,0
54.3,16.4,205.6,5419.0,0.0,1.0,1
41.0,13.3,231.4,4635.0,,1.0,1
41.4,13.4,205.1,4254.0,0.0,0.0,0
33.4,15.4,171.2,4674.0,2.0,0.0,1
57.9,17.4,189.1,4056.0,0.0,0.0,0
33.3,17.1,213.4,5223.0,2.0,0.0,0
37.3,16.1,174.7,5673.0,0.0,1.0,1
41.4,14.2,196.4,5435.0,1.0,1.0,1
46.0,21.0,183.5,3816.0,0.0,0.0,0
40.6,13.7,192.7,4806.0,2.0,1.0,0
34.7,16.1,231.0,3948.0,2.0,1.0,1
39.9,21.8,233.8,5398.0,1.0,1.0,1
34.8,14.5,196.8,4755.0,2.0,1.0,0
48.2,17.4,214.4,5514.0,2.0,0.0,1
39.3,16.5,183.6,6040.0,2.0,0.0,1
58.1,17.9,174.0,6204.0,1.0,1.0,1
52.4,16.0,225.1,3829.0,0.0,1.0,1
34.1,14.4,173.2,5495.0,1.0,1.0,0
52.3,18.3,211.5,6106.0,1.0,0.0,1
35.4,16.3,213.2,5416.0,2.0,0.0,1
35.1,19.0,193.5,3007.0,1.0,1.0,0
35.1,13.5,191.1,3787.0,0.0,1.0,0
40.2,19.2,222.8,4184.0,1.0,0.0,0
49.5,19.9,178.4,6111.0,0.0,0.0,1
