batting_avg,strike_rate,centuries,half_centuries,fours_per_innings,sixes_per_innings,bowling_avg,economy_rate,wickets,fielding_dismissals
31.9,158.6,2.35,13.57,5.78,3.58,48.19,9.76,4.24,9.96
26.01,153.46,1.72,8.92,5.45,4.13,45.22,9.44,2.47,6.68
25.94,168.78,3.54,14.33,10.2,4.44,53.09,11.75,6.56,8.92
35.12,143.36,1.75,12.48,4.9,3.03,48.94,8.43,9.34,11.53
41.5,136.11,1.87,12.78,5.57,5.69,58.39,10.26,3.29,4.0
25.01,144.86,3.72,10.38,6.17,4.2,45.92,9.62,2.45,8.93
29.76,163.93,0.0,10.19,7.18,4.24,54.88,7.83,2.7,10.23
37.87,137.08,1.42,10.92,8.27,4.48,55.84,8.18,2.09,4.95
38.02,172.95,1.57,11.33,4.42,5.38,44.67,8.3,5.31,7.36
30.37,156.02,2.53,18.12,8.07,3.64,32.89,10.26,7.48,8.52
35.03,166.01,0.47,12.21,4.96,4.95,53.84,9.67,1.7,9.75
28.2,159.56,3.25,14.29,6.97,4.59,57.06,9.91,5.88,6.03
34.63,153.02,2.44,14.43,4.41,5.21,54.23,9.12,0.0,6.98
26.31,175.8,2.66,12.1,2.94,3.9,64.29,9.09,5.09,9.16
22.94,140.06,1.49,8.02,4.78,4.71,42.68,10.03,4.4,4.53
30.96,167.52,3.21,9.69,9.6,4.36,37.87,9.82,7.15,8.2
34.24,144.86,1.23,13.67,5.81,4.03,50.16,10.45,4.32,8.53
23.26,153.3,2.64,7.42,3.73,4.17,72.54,10.77,1.74,4.82
35.71,152.01,3.17,16.25,5.36,3.75,64.53,8.99,8.18,11.3
34.67,156.42,1.76,10.41,5.99,1.55,57.43,9.73,4.25,6.46
27.68,157.86,1.7,12.83,4.81,5.18,57.01,8.56,4.08,7.86
34.83,164.58,1.5,17.36,6.75,3.2,42.47,8.93,5.08,6.82
33.53,156.72,2.88,11.46,5.86,5.29,61.68,10.32,3.64,8.1
27.43,151.15,1.01,8.14,3.01,4.53,48.79,8.95,5.16,4.9
35.05,158.37,0.0,14.81,6.53,3.07,57.54,10.66,6.1,7.78
25.83,163.75,,13.02,5.64,3.87,50.65,8.24,5.5,
,150.93,2.45,14.38,5.19,3.85,47.95,10.17,5.65,9.81
32.5,167.02,3.42,12.43,5.73,4.94,65.74,10.01,4.9,7.9
35.57,136.98,2.3,6.03,3.12,3.39,55.76,9.56,3.75,4.82
31.94,166.85,2.82,11.77,7.93,3.39,60.46,8.55,7.79,7.53
34.71,155.39,2.23,10.59,3.67,4.77,55.81,8.11,5.25,9.95
33.16,157.37,4.44,15.3,5.22,2.77,65.42,10.05,7.13,6.54
36.98,137.14,4.13,16.91,9.1,2.84,65.05,10.2,6.69,6.05
37.9,140.23,0.0,14.74,5.04,3.69,48.61,9.25,3.29,6.55
22.37,144.67,1.9,8.3,7.86,5.4,55.88,10.87,,11.71
31.12,138.6,2.12,8.39,7.84,,71.07,8.72,5.95,6.77
31.32,154.45,1.17,13.5,6.64,3.47,52.76,7.85,8.15,8.33
31.24,145.1,1.84,14.0,4.98,,44.56,9.29,5.67,9.92
29.77,160.05,,13.83,4.17,4.77,52.82,9.15,4.17,9.46
35.02,166.9,0.34,15.44,7.28,4.6,47.56,8.78,7.49,2.91
,171.03,3.03,14.45,6.72,4.33,39.47,10.32,6.51,8.12
22.55,153.06,2.77,17.46,5.21,5.32,53.69,7.92,3.89,5.3
28.89,155.78,1.84,10.57,6.37,6.44,,9.88,4.91,7.25
39.42,166.72,3.91,11.03,5.97,4.92,53.01,8.58,4.21,10.2
34.5,137.43,1.17,11.22,6.72,2.24,60.79,10.42,4.25,8.32
22.52,157.82,1.16,9.37,7.49,4.84,33.69,9.59,10.41,5.58
28.57,156.36,3.21,9.04,4.84,4.44,56.68,8.81,7.37,8.56
26.41,178.94,4.47,11.53,6.1,3.29,47.39,8.66,7.01,8.94
27.22,155.57,2.1,13.24,5.51,5.01,56.18,9.23,2.97,5.05
27.33,158.45,1.59,12.04,4.8,4.96,64.23,9.55,5.49,6.66
24.82,150.56,0.27,11.84,5.71,3.22,48.03,9.44,8.27,10.18
30.37,171.43,1.18,5.17,7.88,4.78,55.34,7.89,3.39,8.08
35.31,143.52,1.98,15.25,8.64,1.94,52.19,11.75,2.5,8.86
38.89,172.44,1.0,11.99,6.41,,83.85,9.69,7.86,7.34
28.89,154.78,3.3,9.81,3.75,3.67,39.54,7.87,6.34,10.93
40.8,154.59,0.36,10.16,7.53,4.97,63.34,8.85,3.36,8.91
35.87,161.56,2.12,11.14,5.69,2.2,50.85,9.84,5.26,9.48
35.41,146.36,3.0,8.59,7.17,2.94,54.68,10.85,2.09,8.93
28.79,156.47,,11.89,5.24,5.69,44.38,9.16,6.66,9.0
33.53,,1.66,10.12,6.3,3.76,62.55,8.5,6.89,7.29
37.96,150.3,3.05,5.04,6.05,4.16,37.23,8.77,8.23,7.07
35.84,153.94,2.02,10.67,4.22,5.02,57.6,9.71,4.25,9.72
33.52,142.4,1.63,11.35,6.03,4.06,50.49,9.81,7.73,7.51
36.84,153.38,1.47,10.55,7.58,2.57,54.26,9.86,5.56,8.1
26.39,147.64,1.31,9.39,5.47,,46.8,10.53,2.12,5.01
21.85,157.16,1.15,11.35,6.38,3.24,60.18,9.75,7.89,8.4
21.0,164.59,2.62,18.28,4.06,4.75,61.9,10.21,5.8,5.47
42.0,,2.44,15.21,6.17,2.68,55.01,8.17,5.68,8.08
25.33,151.88,2.71,13.23,7.45,4.03,57.32,8.83,5.83,7.3
37.5,160.07,2.17,13.1,7.51,4.4,53.95,9.74,3.72,7.03
41.55,162.68,,17.59,7.89,3.02,51.79,7.54,3.95,8.72
31.41,134.44,2.2,6.93,,3.45,,9.13,3.87,7.68
23.18,153.02,1.94,,5.62,1.18,49.24,10.08,1.6,9.74
32.05,134.61,1.92,9.47,6.38,3.11,43.49,8.58,8.96,8.22
34.21,154.95,1.44,7.1,6.74,3.9,39.0,10.43,,8.18
32.23,141.54,3.26,9.92,5.61,4.1,54.74,10.1,8.33,3.86
22.41,139.9,2.59,13.11,5.08,4.06,63.11,8.93,9.11,10.34
34.4,160.25,2.89,13.79,4.85,4.43,47.88,9.51,5.38,6.67
30.41,160.07,2.85,7.3,5.49,,45.8,9.84,4.93,8.85
30.13,158.39,0.05,12.85,5.98,3.39,54.97,11.66,5.23,5.12
35.14,195.11,1.49,8.7,5.85,3.7,44.73,7.81,3.58,8.12
32.96,157.04,0.95,11.27,9.49,4.29,69.25,10.39,5.16,5.26
29.23,126.56,0.54,10.73,4.28,3.09,61.17,9.85,3.21,7.45
35.93,162.7,0.85,17.73,5.04,4.68,64.42,8.3,7.15,3.84
34.91,146.36,1.8,6.41,6.18,4.65,59.28,9.57,2.25,4.37
28.58,164.66,2.82,15.47,5.93,2.06,45.89,9.38,6.07,10.32
30.4,162.09,1.63,17.86,5.22,4.2,,10.73,4.71,8.11
24.49,148.21,2.43,13.22,6.21,4.39,51.17,10.09,4.32,8.95
27.28,148.75,1.99,12.75,7.25,5.08,47.47,9.37,2.1,8.73
29.98,134.13,0.79,13.11,4.61,,33.39,12.03,5.93,5.96
31.75,160.22,2.53,11.43,6.03,3.91,49.06,,2.97,11.18
23.43,160.78,0.31,13.55,6.92,4.0,50.56,9.6,4.1,7.02
31.88,163.66,1.22,11.99,7.83,4.76,65.01,7.72,4.55,
29.86,162.93,1.52,14.47,6.45,2.84,65.18,12.07,7.32,9.07
33.38,156.02,1.81,16.94,5.2,6.75,53.83,9.38,7.73,7.97
39.13,158.56,1.35,10.16,7.22,5.13,45.81,8.24,6.92,5.81
38.5_err,156.34,2.32,12.46,8.12,2.38,54.93,9.17,5.58,8.72
28.55,178.83,2.2,13.03,6.81,5.56,54.11,10.8,4.81,8.04
30.15,149.21,1.52,13.5,4.82,3.83,55.9,9.53,0.4,11.63
33.36,146.14,2.61,13.74,4.59,5.08,55.61,9.45,5.63,10.38
35.97,149.97,2.84,9.03,6.38,2.53,55.33,9.77,6.86,10.89
27.52,153.26,4.2,,4.55,5.38,46.98,9.11,5.95,8.87
30.65,171.91,1.2,,5.63,2.87,71.09,9.98,6.96,7.36
22.66,138.27,1.94,13.65,6.72,4.78,54.27,10.51,,5.09
26.88,161.12,1.65,12.43,8.61,4.31,53.01,10.69,4.0,6.9
25.14,153.23,2.64,13.56,7.42,2.61,58.52,10.22,7.05,9.44
30.46,170.21,2.16,6.35,6.21,2.62,54.48,8.41,2.7,9.48
29.65,163.81,1.78,15.03,5.85,3.27,39.52,8.21,7.65,7.8
34.4,146.65,2.62,12.58,6.58,,55.37,9.19,3.66,9.78
33.42,163.47,2.63,12.36,5.52,5.37,42.57,10.52,4.31,10.07
,162.67,0.48,9.54,8.88,5.15,69.92,7.73,3.3,6.79
34.74,178.67,2.46,9.02,6.32,4.82,54.31,9.79,3.22,6.92
35.72,167.63,1.48,10.57,4.81,5.81,,9.86,3.07,10.38
33.14,167.79,0.72,10.4,7.86,5.76,53.31,11.62,6.94,8.84
32.79,148.12,3.69,17.54,8.85,3.42,49.18,9.53,2.27,4.33
31.53,171.86,2.32,11.65,5.32,3.98,68.26,11.3,6.44,7.62
34.16,147.86,1.12,7.4,4.0,3.12,42.59,9.33,6.61,5.93
37.49,179.0,1.98,17.67,5.9,4.6,56.17,10.64,4.73,11.6
44.63,162.91,1.36,16.24,7.14,5.48,64.19,10.27,1.78,9.23
35.36,176.6,2.86,7.3,6.35,3.04,,8.28,3.36,7.71
31.46,167.02,1.9,10.98,9.11,2.99,44.8,9.76,3.57,8.8
29.42,147.83,0.69,13.87,4.32,3.44,61.55,8.25,5.46,9.99
37.13,172.95,2.61,15.51,5.0,4.81,33.94,8.8,4.09,9.5
31.08,158.77,0.97,15.83,4.06,2.85,62.81,8.4,7.84,7.01
32.88,163.45,3.05,11.59,8.38,3.77,51.29,10.09,5.52,7.36
29.72,164.04,2.0,7.94,7.78,3.32,65.19,9.72,1.0,6.59
33.46,152.85,3.17,10.99,7.73,3.43,55.95,9.62,3.36,9.69
21.89,177.45,0.96,9.5,4.77,3.97,48.86,10.67,,4.98
36.85,167.13,1.62,15.58,6.88,3.86,63.27,10.7,6.29,9.72
24.53,139.78,0.77,11.38,3.5,4.51,52.83,8.94,2.86,6.76
30.93,136.73,1.95,7.27,5.17,4.12,56.81,10.12,7.53,5.37
29.0,163.26,1.14,9.89,7.37,3.48,60.51,8.75,0.95,7.75
31.74,141.41,3.03,11.32,4.62,4.01,61.64,10.04,4.6,7.47
37.89,151.91,4.33,4.73,7.45,3.7,56.77,9.19,3.31,9.02
31.0,138.55,2.08,15.0,4.45,4.45,69.9,8.98,,8.55
20.95,155.33,2.2,9.18,3.12,4.14,61.23,8.55,4.07,6.17
32.79,137.41,1.78,12.09,7.48,4.7,54.03,9.05,6.09,6.94
35.36,158.87,1.55,7.95,4.07,3.38,50.19,9.81,4.59,6.15
25.95,160.92,2.57,12.66,4.12,3.71,60.57,9.2,6.33,8.45
30.81,151.26,1.99,11.38,6.25,3.82,59.45,10.76,6.11,6.24
38.34,157.42,2.37,15.19,6.21,3.2,50.9,9.14,7.41,9.38
32.57,168.77,2.46,15.27,3.72,4.82,58.99,10.34,2.84,8.34
36.77,151.11,2.53,10.61,6.53,3.79,51.32,10.42,4.23,6.16
35.1,174.45,1.7,12.82,6.42,2.61,,9.65,8.63,9.62
31.92,150.99,0.8,13.63,7.8,5.17,70.01,8.59,4.56,8.38
,162.75,2.29,12.75,6.99,4.23,53.63,9.89,5.4,6.91
31.5,168.66,0.43,10.21,7.07,4.89,53.53,10.68,6.69,8.62
36.2,155.62,2.45,7.75,3.39,,60.62,10.35,4.55,6.59
25.72,145.83,3.82,11.12,7.35,4.62,64.91,10.26,5.24,10.73
37.46,168.46,1.64,,5.45,4.26,63.12,10.45,4.52,10.53
46.14,164.27,2.78,13.58,3.73,4.79,51.26,9.72,7.57,7.07
35.91,142.82,1.74,,5.58,2.92,47.18,8.76,2.07,7.06
28.86,174.98,1.74,15.67,5.79,3.59,63.78,9.77,6.24,8.95
27.24,147.74,1.47,4.72,8.57,2.72,67.74,9.2,2.58,9.17
37.38,154.82,2.22,19.32,4.48,4.94,43.41,9.74,2.62,8.41
28.35,161.12,1.61,,6.9,4.22,57.91,10.43,2.77,10.41
24.67,154.66,2.2,8.53,4.04,4.35,53.38,10.32,2.47,4.4
27.01,156.77,2.22,13.87,6.4,1.5,47.45,9.22,4.19,6.2
29.91,142.77,3.06,15.42,4.31,5.15,67.02,10.25,7.75,8.03
32.11,159.28,1.64,18.11,5.16,3.35,63.88,11.9,5.18,5.56
34.17,165.71,0.93,12.06,8.41,4.08,56.36,10.03,1.94,8.65
36.68,150.61,1.77,14.7,3.54,4.22,56.04,8.38,3.91,9.44
30.1,159.61,2.07,11.73,6.48,4.97,62.44,11.73,2.4,5.55
36.24,136.69,2.43,10.3,4.61,4.38,44.1,8.02,1.75,6.05
34.51,144.58,0.57,14.31,6.28,3.41,42.47,9.94,6.08,8.97
32.15,147.41,0.76,14.61,10.14,4.72,65.32,9.59,6.73,6.33
23.81,153.9,0.7,11.68,4.54,2.39,52.09,8.78,5.24,2.64
32.49,164.41,0.43,9.86,6.23,2.74,61.74,8.52,6.01,11.05
36.33,147.25,0.74,15.37,5.12,3.87,32.68,11.33,7.08,6.76
32.64,151.18,1.44,12.87,,4.87,54.49,10.08,3.82,6.67
40.07,164.95,0.0,10.58,7.48,4.73,65.53,10.25,6.51,6.3
37.53,176.36,2.83,14.22,6.05,3.33,53.6,10.14,6.79,6.86
30.29,127.88,0.96,,2.79,4.67,49.02,11.35,3.14,10.15
37.28,125.02,3.72,12.8,4.52,3.94,60.79,8.02,0.96,8.29
,160.52,1.17,11.73,5.88,3.88,,10.94,3.27,8.73
32.74,149.21,3.01,11.05,6.21,3.82,62.38,9.42,5.45,8.32
33.79,170.91,1.77,9.88,5.92,4.94,65.94,10.7,7.33,4.99
32.46,149.97,1.59,9.87,6.12,2.41,53.12,8.68,4.67,9.2
24.61,164.55,3.12,12.4,4.82,6.71,66.42,9.33,4.58,7.51
35.67,157.71,1.79,13.52,7.78,3.85,43.96,12.05,6.51,9.7
36.83,163.91,1.47,14.76,6.62,2.17,58.97,7.94,8.35,6.31
31.24,150.99,0.19,13.5,4.96,2.47,57.08,9.62,6.03,6.75
24.41,160.76,2.12,16.56,9.89,4.64,59.4,10.46,5.42,5.09
38.26,151.14,,7.92,7.01,4.48,50.66,9.81,5.66,7.08
41.21,158.22,1.86,8.33,7.54,5.66,59.8,8.54,5.74,6.96
29.75,156.04,3.5,12.07,4.58,2.2,48.35,9.64,5.46,8.67
33.13,154.4,2.29,9.42,6.08,5.37,49.51,11.14,1.66,9.78
35.71,161.51,2.44,15.71,9.06,3.87,49.37,9.41,1.81,9.11
19.79,155.78,1.18,16.46,6.9,4.57,60.57,9.62,3.89,7.6
36.03,164.43,2.34,15.01,5.64,3.35,52.66,10.55,5.27,10.29
30.04,148.69,1.87,11.83,1.43,5.47,54.65,10.1,7.72,6.94
31.44,142.7,1.77,12.57,4.26,4.98,56.14,10.06,8.97,7.82
38.95,165.84,2.4,15.75,4.44,5.35,,10.13,10.11,10.01
32.95,149.88,1.63,12.1,5.89,4.93,48.73,9.89,7.62,8.6
32.98,157.97,1.13,17.71,5.83,4.18,61.64,9.45,2.09,6.56
34.55,149.78,2.55,10.95,5.17,3.94,48.84,8.54,8.83,8.46
,164.15,1.66,12.81,4.35,3.67,59.8,10.23,1.75,8.13
40.69,145.0,0.21,13.42,7.47,,37.95,9.19,7.37,7.65
33.08,151.32,1.44,14.04,5.28,2.34,60.89,8.91,4.23,6.56
37.77,169.33,0.83,18.24,6.04,4.52,61.93,8.96,4.94,8.82
40.88,150.18,2.31,12.74,5.02,3.49,72.07,9.73,,10.96
33.55,124.15,1.94,11.53,6.61,4.96,62.3,11.44,8.22,12.57
40.48,154.7,0.83,15.5,7.17,3.92,50.66,8.31,5.81,9.3
36.6,169.28,2.72,11.59,3.79,5.14,49.69,10.2,4.26,7.06
37.45,158.48,1.25,10.67,5.33,4.02,56.51,9.26,4.18,5.17
37.8,153.85,2.38,7.51,7.58,3.95,59.44,9.29,1.23,8.18
35.57,,3.14,12.67,4.31,3.44,41.59,8.72,6.1,6.24
27.81,152.26,2.65,11.0,6.3,4.06,65.51,10.75,2.45,8.37
29.28,158.28,1.8,12.25,5.83,2.91,33.81,9.71,2.0,9.38
24.89,143.48,1.3,16.18,8.43,5.71,60.74,10.11,4.84,11.06
34.32,141.66,3.21,15.22,3.13,2.39,67.52,8.05,5.72,4.27
31.76,168.91,1.98,13.69,7.9,3.69,47.44,9.18,5.23,7.04
36.65,136.54,2.3,8.9,4.01,4.16,53.39,9.42,5.31,6.73
29.49,145.95,2.47,15.8,6.55,3.29,55.04,10.38,6.48,5.81
32.39,152.32,1.78,7.99,2.87,3.7,65.44,8.94,8.32,9.72
38.72,152.68,0.69,7.75,5.04,3.94,56.89,10.64,5.81,7.6
28.45,,2.54,10.77,3.57,3.4,58.0,8.2,2.15,6.51
30.67,170.6,0.0,14.7,4.85,2.65,51.47,11.5,3.57,9.73
26.53,158.43,2.47,,3.13,4.12,57.83,9.81,6.77,9.44
30.89,147.86,2.21,10.5,5.79,4.48,51.99,10.92,3.3,7.46
26.63,163.9,1.51,12.43,5.62,5.39,57.18,9.95,4.8,6.01
26.36,136.79,0.99,12.24,6.95,3.0,58.22,10.63,3.05,8.47
28.05,135.47,2.6,14.34,7.86,4.38,48.1,9.23,4.05,7.55
34.51,147.12,2.01,17.52,5.66,2.97,50.25,10.25,7.02,7.18
41.28,168.15,1.99,10.62,4.45,5.17,46.89,8.79,1.96,6.04
33.71,168.81,3.71,8.72,7.0,2.71,47.89,,8.23,6.45
