word_freq_free,word_freq_money,word_freq_click,char_freq_exclaim,char_freq_dollar,capital_run_avg,capital_run_long,num_links,sender_reputation,is_spam
3.42,3.21,2.69,0.52,0.005,47.28,35.0,11.0,2.7,1
1.75,1.49,2.38,0.665,0.176,13.67,59.0,10.0,0.1,1
2.55,2.59,0.28,0.412,0.412,57.86,18.0,14.0,4.3,1
1.2,0.25,1.67,0.949,0.353,44.03,9.0,9.0,9.4,1
4.3,3.14,1.15,0.548,0.07,34.8,53.0,8.0,4.2,1
2.94,3.96,0.41,0.435,0.0,26.65,41.0,14.0,1.1,1
3.73,2.16,2.45,0.625,0.131,39.06,26.0,13.0,4.2,1
0.75,3.73,2.61,0.821,0.385,57.55,37.0,11.0,9.9,1
2.83,3.49,1.51,0.26,0.333,59.19,31.0,1.0,2.0,1
1.51,0.05,0.57,0.921,0.329,2.82,28.0,8.0,9.1,0
0.13,0.36,1.26,,0.349,32.34,16.0,13.0,1.2,1
3.64,,0.1,0.634,0.136,29.79,44.0,12.0,1.1,1
4.9,1.06,2.11,0.718,0.296,51.09,48.0,11.0,0.5,1
3.64,1.61,2.71,0.902,0.49,52.33,46.0,3.0,1.6,1
0.42,2.04,0.05,0.627,0.14,39.03,23.0,6.0,9.4,0
3.15,1.91,1.96,0.94,0.433,32.87,3.0,4.0,8.2,1
4.14,0.65,0.27,0.713,0.453,3.82,37.0,11.0,3.3,1
0.81,0.59,0.69,0.793,0.199,50.18,44.0,6.0,1.4,0
4.9,1.65,1.61,0.779,0.037,7.12,57.0,3.0,5.6,1
3.12,2.76,0.96,0.602,0.497,,24.0,8.0,1.2,1
4.91,2.37,0.02,0.892,0.047,24.74,5.0,7.0,6.7,0
3.15,0.34,2.95,0.336,,32.83,44.0,13.0,8.8,0
3.34,1.13,0.51,0.212,0.174,10.41,2.0,1.0,5.2,0
3.8,1.66,1.58,0.168,0.305,4.82,31.0,3.0,2.3,0
4.02,1.33,1.55,0.527,0.15,52.42,40.0,5.0,3.1,1
4.39,1.79,2.85,0.924,0.187,9.35,30.0,0.0,3.8,1
3.76,1.76,2.31,0.576,0.142,12.74,27.0,13.0,9.6,1
2.3,3.33,1.67,0.876,0.103,2.95,39.0,11.0,8.6,1
1.27,3.34,2.21,0.143,0.181,19.85,9.0,6.0,5.5,0
1.99,3.76,2.54,0.722,0.433,21.48,41.0,5.0,6.8,1
4.6,2.09,0.97,0.983,0.041,25.07,29.0,2.0,1.0,1
4.32,1.11,0.36,0.546,0.006,34.22,37.0,2.0,1.8,0
1.81,2.77,2.43,0.796,0.118,49.5,57.0,14.0,5.5,1
2.12,3.06,0.57,0.526,0.423,35.81,15.0,0.0,1.3,1
1.47,1.4,1.02,0.867,0.465,41.31,54.0,3.0,0.2,1
3.11,3.3,2.64,0.59,0.406,34.72,30.0,8.0,1.1,1
1.8,2.78,2.0,0.197,0.019,49.73,48.0,3.0,1.0,0
4.02,3.88,0.26,0.233,0.098,26.87,23.0,8.0,7.4,0
2.38,1.38,0.73,0.357,0.165,20.15,44.0,7.0,8.5,0
1.1,3.69,0.47,0.969,0.342,35.25,50.0,5.0,8.1,1
2.23,1.39,,0.626,0.164,25.15,21.0,11.0,9.9,0
3.68,3.47,0.65,0.484,0.247,28.33,54.0,2.0,,0
2.27,1.31,1.94,0.367,0.02,30.75,47.0,0.0,4.3,1
2.86,3.63,0.04,0.879,0.018,28.66,19.0,6.0,4.5,0
4.57,0.07,2.89,0.303,0.366,16.84,14.0,8.0,3.1,1
,1.62,0.7,0.472,0.053,24.46,2.0,10.0,2.2,1
4.98,0.2,0.88,0.136,0.138,57.26,58.0,9.0,7.9,0
0.38,1.63,0.1,0.38,0.002,25.46,11.0,13.0,6.4,0
3.75,1.69,0.21,0.877,0.274,12.47,32.0,8.0,1.4,1
3.66,3.63,3.0,0.073,0.272,3.38,57.0,7.0,7.0,1
0.54,3.2,1.0,0.04,0.223,32.58,48.0,2.0,1.9,0
4.83,1.07,2.04,0.433,,40.51,9.0,3.0,4.1,1
4.23,3.34,2.25,0.668,0.192,31.05,30.0,6.0,8.9,1
2.56,,1.48,0.036,0.124,39.0,34.0,0.0,0.6,0
1.1,2.77,1.39,0.474,0.167,21.86,34.0,1.0,3.7,0
0.93,1.11,1.01,0.039,0.345,5.04,34.0,13.0,0.2,1
0.64,3.87,2.11,0.666,0.474,25.77,39.0,7.0,4.5,1
0.97,3.73,1.58,0.707,0.352,31.48,2.0,9.0,6.8,1
4.62,1.21,1.28,0.9,0.496,45.81,11.0,2.0,0.0,1
3.17,0.12,0.46,0.944,0.303,55.4,15.0,7.0,6.6,0
0.62,2.59,2.0,0.789,0.474,43.68,56.0,10.0,6.5,1
4.61,0.65,1.31,,,36.17,38.0,4.0,9.1,0
0.27,0.47,0.31,0.211,0.119,9.97,53.0,5.0,4.4,0
2.05,3.63,1.03,0.688,0.33,1.77,55.0,13.0,1.6,1
3.71,2.25,0.14,0.977,0.245,17.85,57.0,0.0,6.8,0
4.11,,0.37,0.869,0.182,9.96,25.0,13.0,3.9,1
4.22,1.06,2.98,0.59,0.177,,59.0,1.0,1.7,1
4.73,1.33,2.37,0.915,0.151,52.24,36.0,7.0,6.3,1
1.34,3.75,2.96,0.372,0.405,54.45,24.0,2.0,1.1,1
1.91,1.78,2.82,0.573,0.177,57.3,15.0,11.0,1.6,1
3.17,0.94,2.87,0.495,0.038,6.11,15.0,1.0,7.3,0
4.38,1.66,1.44,0.517,0.076,7.15,30.0,12.0,6.9,0
3.0,1.4,2.03,0.974,0.247,15.78,,6.0,6.0,1
1.36,3.15,0.04,0.241,,57.58,49.0,12.0,7.9,0
4.01,1.64,1.14,0.044,0.416,12.25,48.0,7.0,1.5,1
4.51,0.31,2.03,0.008,0.457,41.84,3.0,9.0,0.8,1
0.04,2.42,0.46,0.207,0.033,14.33,2.0,12.0,9.9,0
0.03,3.55,2.69,0.567,0.436,47.4,25.0,11.0,5.2,1
4.77,3.65,0.32,0.782,0.343,40.36,7.0,3.0,9.7,1
2.78,1.93,2.51,0.246,0.163,33.84,36.0,0.0,5.9,0
0.44,0.05,1.85,0.182,0.126,35.67,51.0,7.0,7.1,0
1.78,2.4,2.58,0.395,0.203,58.89,27.0,14.0,3.0,1
2.84,1.87,0.67,0.706,0.3,16.32,7.0,1.0,8.7,0
3.13,3.77,1.91,0.218,0.12,33.04,9.0,1.0,3.9,0
0.82,3.54,0.67,0.637,0.44,34.51,58.0,11.0,8.8,1
4.2,3.6,0.78,0.48,0.014,9.46,5.0,9.0,2.8,1
2.72,3.13,0.34,0.118,0.035,12.17,48.0,4.0,5.9,0
2.63,1.0,2.56,0.429,0.239,38.59,30.0,10.0,7.8,0
2.7,2.31,2.41,0.285,0.171,25.48,55.0,2.0,7.8,0
0.31,3.38,0.84,0.559,0.156,58.85,17.0,10.0,,1
3.76,,0.54,0.687,0.228,13.6,41.0,9.0,10.0,0
0.4,3.3,2.4,0.95,0.287,27.88,28.0,14.0,9.6,0
2.32,1.91,1.39,0.66,0.074,5.62,53.0,3.0,2.0,1
2.95,1.06,0.98,0.1,0.425,8.28,10.0,9.0,3.7,0
1.06,0.25,2.04,0.597,0.172,31.98,3.0,4.0,5.2,0
2.41,1.11,1.15,0.755,0.246,30.47,43.0,4.0,7.3,0
,0.08,2.18,0.456,0.283,46.12,55.0,7.0,6.8,0
3.55,1.31,0.63,0.599,0.324,14.88,54.0,9.0,,0
2.67,3.81,1.7,0.41,0.056,4.95,11.0,4.0,2.8,1
0.46,1.07,2.62,0.145,0.422,15.24,25.0,5.0,3.4,0
3.0,3.72,2.43,0.238,0.032,41.09,8.0,,2.1,1
0.68,,2.83,0.514,0.109,41.89,28.0,9.0,8.8,1
,0.41,0.06,0.723,0.049,22.81,47.0,1.0,4.2,0
0.73,3.25,2.79,0.541,0.382,28.62,56.0,12.0,4.7,1
0.02,3.8,0.72,0.557,0.357,59.17,13.0,0.0,9.6,0
4.94,0.84,2.83,0.418,0.149,53.1,48.0,5.0,9.2,0
3.17,1.54,0.77,0.214,0.391,34.62,22.0,3.0,2.8,0
3.13,3.35,0.56,0.353,0.455,19.7,5.0,11.0,8.9,0
4.67,0.56,1.88,0.178,0.092,51.64,54.0,13.0,5.5,0
0.64,2.24,2.18,0.675,0.184,36.26,33.0,0.0,6.5,0
0.14,0.97,2.89,0.657,0.265,51.5,42.0,6.0,4.3,0
3.41,3.06,0.9,0.712,0.152,41.47,34.0,5.0,9.8,0
3.09,2.47,1.36,0.11,0.332,21.17,54.0,9.0,6.8,0
4.52,2.47,1.81,0.367,0.417,47.16,5.0,13.0,3.5,1
1.62,3.66,2.47,0.721,0.365,27.57,32.0,12.0,5.7,1
2.76,2.69,2.34,0.819,0.472,11.39,13.0,4.0,8.7,1
2.82,0.59,2.83,0.989,0.194,41.18,33.0,10.0,0.6,1
1.28,0.7,1.63,0.945,0.091,35.83,6.0,3.0,2.2,0
1.8,1.1,2.47,0.126,0.435,34.47,44.0,13.0,,1
1.74,0.15,2.41,0.786,0.494,33.46,2.0,6.0,1.6,1
4.22,1.46,0.62,0.662,0.224,26.85,52.0,2.0,5.5,1
1.88,1.53,1.03,0.023,0.095,55.85,15.0,3.0,3.7,0
3.12,2.84,0.6,0.905,0.144,59.21,41.0,8.0,4.9,1
1.87,,0.13,,0.221,49.01,38.0,7.0,4.9,1
0.42,3.43,2.55,0.772,0.07,38.19,35.0,9.0,1.9,1
4.63,1.54,2.71,0.551,0.196,46.43,41.0,14.0,8.2,1
0.39,4.0,1.26,0.328,0.348,49.64,1.0,,3.4,1
0.05,1.9,1.09,0.488,0.26,14.93,51.0,8.0,8.4,0
1.36,3.55,1.41,0.831,0.392,24.61,37.0,4.0,1.9,1
1.39,0.88,1.89,0.208,0.053,55.41,3.0,12.0,3.4,0
1.45,0.01,2.96,0.552,0.419,17.11,38.0,7.0,6.4,0
4.01,2.05,2.61,0.626,0.167,51.62,37.0,11.0,3.3,1
1.43,2.06,0.49,0.586,0.177,34.8,10.0,0.0,2.2,0
3.16,3.82,2.63,0.395,0.296,41.09,44.0,9.0,9.4,1
0.04,0.78,1.45,0.165,0.36,48.71,34.0,8.0,4.5,0
4.46,,2.42,0.262,0.077,54.42,56.0,14.0,,0
1.3,1.68,2.54,0.457,0.01,38.28,34.0,10.0,9.9,0
2.69,2.07,1.13,0.207,0.138,37.75,58.0,1.0,3.7,0
2.84,2.57,0.08,0.729,0.164,44.1,10.0,3.0,3.5,0
1.2,1.18,1.09,0.278,0.076,11.55,50.0,8.0,2.1,0
2.95,1.06,0.09,0.198,0.384,38.03,22.0,7.0,5.1,0
4.33,3.36,1.54,0.356,0.328,46.32,51.0,7.0,2.2,1
1.66,1.98,2.85,0.226,,8.95,34.0,0.0,2.5,0
4.67,3.73,2.66,0.705,0.078,12.2,34.0,14.0,7.6,1
1.17,2.73,1.15,0.799,0.243,38.52,41.0,2.0,4.4,0
0.59,0.25,2.27,0.42,0.428,21.09,,,2.2,0
1.75,0.43,2.19,0.663,0.188,37.55,25.0,3.0,3.0,1
4.46,3.48,1.73,0.197,0.315,28.43,23.0,14.0,1.9,1
0.81,0.84,2.11,0.336,0.112,27.6,41.0,5.0,2.4,0
2.08,0.67,2.71,0.154,0.453,27.35,2.0,12.0,7.5,0
3.12,3.55,0.84,0.211,0.408,21.05,34.0,1.0,8.5,1
4.08,3.82,0.53,0.473,0.416,25.65,35.0,11.0,9.5,1
4.53,2.61,0.97,0.647,0.005,3.11,58.0,2.0,9.9,0
4.96,0.41,1.83,0.143,0.245,19.67,24.0,0.0,4.1,0
4.23,0.09,1.45,0.529,0.013,19.67,16.0,2.0,0.7,0
0.05,2.4,2.02,0.461,0.424,35.04,21.0,11.0,6.0,1
1.96,0.24,1.34,0.012,0.086,,17.0,6.0,0.7,0
4.27,2.19,1.95,0.875,0.362,26.83,32.0,12.0,7.0,1
4.88,1.61,0.27,0.579,0.124,7.16,14.0,4.0,7.0,0
,0.13,1.3,0.26,0.417,52.01,28.0,1.0,1.5,0
1.7,3.82,1.94,0.597,0.157,49.0,33.0,11.0,7.6,1
3.25,0.04,0.87,0.929,0.02,34.82,7.0,2.0,2.6,0
2.04,1.42,0.97,0.02,0.024,27.91,14.0,11.0,3.8,0
0.78,3.22,0.06,0.952,0.429,50.08,6.0,11.0,0.6,1
4.5,3.9,2.36,0.656,0.447,47.16,11.0,0.0,4.3,1
1.52,0.18,1.46,0.539,0.373,36.89,,1.0,3.0,1
1.28,3.8,0.5,0.397,0.486,20.94,54.0,1.0,6.4,1
2.86,1.35,1.89,0.132,0.457,37.23,26.0,3.0,,1
4.22,0.63,0.36,0.018,0.359,4.94,53.0,13.0,,0
2.38,3.29,1.39,0.435,0.006,11.97,34.0,10.0,3.0,1
0.56,2.57,,0.551,0.094,55.94,25.0,9.0,2.4,0
2.24,0.4,2.03,0.99,0.109,55.39,36.0,7.0,7.4,1
0.5,2.47,0.57,,0.14,23.16,18.0,14.0,3.1,0
0.87,3.27,2.86,0.705,0.135,16.11,51.0,2.0,2.1,0
2.18,2.2,1.8,0.632,0.095,51.98,28.0,11.0,9.6,0
,1.37,0.07,0.879,0.243,50.02,56.0,9.0,8.6,0
3.35,0.86,1.26,0.487,0.48,58.79,10.0,2.0,4.8,1
2.72,3.0,0.48,0.176,0.023,23.99,36.0,1.0,0.7,1
1.72,1.6,1.82,0.236,0.085,46.7,51.0,0.0,5.3,0
0.8,3.33,2.3,0.359,0.182,37.75,51.0,7.0,0.4,1
2.57,3.06,0.93,0.19,,6.81,42.0,3.0,8.3,1
3.99,3.01,2.03,0.792,0.067,45.03,58.0,10.0,4.2,1
3.75,3.18,2.61,0.37,0.28,13.51,38.0,1.0,2.1,1
4.86,2.22,2.72,0.381,0.067,15.82,42.0,3.0,7.6,0
2.5,3.12,0.37,0.5,0.102,54.58,47.0,14.0,1.7,1
3.16,3.52,1.07,0.287,0.009,23.94,58.0,3.0,7.0,0
1.22,1.2,0.82,0.125,0.48,49.89,9.0,11.0,6.4,1
3.86,1.01,,0.735,0.131,23.17,39.0,5.0,1.6,1
2.5,1.84,2.45,0.591,0.306,13.21,21.0,12.0,6.6,1
2.36,2.21,1.93,0.191,0.124,12.6,26.0,12.0,7.8,0
1.49,0.11,2.95,0.062,0.463,25.84,35.0,13.0,7.8,0
1.59,0.73,0.12,0.538,0.023,23.25,58.0,11.0,6.0,0
1.04,0.09,0.6,0.666,0.247,16.83,33.0,10.0,1.0,0
4.73,2.25,2.55,0.234,0.163,22.37,25.0,6.0,1.7,1
1.19,3.08,1.18,0.391,0.183,9.38,3.0,3.0,3.0,0
0.19,3.31,2.34,0.88,0.05,1.88,19.0,4.0,9.4,0
2.11,2.23,,0.506,0.196,35.59,12.0,10.0,1.0,1
4.84,0.16,1.77,0.859,0.367,59.28,56.0,10.0,5.5,1
0.15,,2.0,0.546,0.342,16.82,30.0,7.0,8.9,0
1.29,1.6,1.15,0.611,0.459,17.16,34.0,5.0,4.4,0
1.25,3.4,2.7,0.582,0.03,58.78,48.0,3.0,8.8,0
2.66,1.63,2.01,0.136,0.452,42.83,41.0,14.0,3.2,1
3.78,2.87,1.81,0.049,0.226,57.18,52.0,14.0,4.4,1
2.07,0.78,0.08,0.718,0.21,10.88,8.0,7.0,6.0,0
1.64,3.69,1.48,0.606,0.215,5.71,42.0,14.0,,1
1.42,1.18,2.99,0.349,0.347,,47.0,2.0,3.9,0
4.59,0.02,1.35,0.588,0.224,41.91,14.0,1.0,4.6,1
4.7,0.33,2.87,0.546,0.489,55.1,11.0,0.0,6.1,1
2.9,0.92,2.94,0.736,0.34,2.4,45.0,14.0,8.5,0
4.4,0.66,1.94,0.579,0.303,32.88,40.0,0.0,3.6,0
4.94,0.76,0.9,0.659,0.079,3.27,45.0,13.0,,1
2.83,2.32,0.59,0.547,0.119,56.62,44.0,11.0,7.6,0
1.49,1.89,1.64,0.159,0.34,20.74,55.0,1.0,9.6,0
1.68,2.85,0.31,0.856,0.189,47.86,8.0,11.0,1.2,1
3.06,3.16,1.52,,0.383,12.96,44.0,12.0,0.8,1
1.91,2.07,1.97,0.207,0.214,24.7,57.0,8.0,0.4,1
2.55,2.37,1.32,0.967,0.436,41.86,,14.0,,1
1.15,3.1,0.45,0.653,0.298,42.84,21.0,9.0,5.3,1
4.97,0.36,2.42,0.921,0.422,53.09,19.0,11.0,1.7,1
0.96,1.74,1.62,0.245,0.44,45.0,33.0,0.0,2.5,1
4.57,2.11,0.81,0.649,,21.57,22.0,3.0,1.6,1
4.34,2.39,0.05,0.432,0.197,24.45,41.0,5.0,8.8,0
4.05,2.17,1.63,0.043,0.362,38.21,49.0,7.0,8.7,0
4.69,1.4,,0.474,0.061,30.35,56.0,5.0,4.6,1
4.03,1.15,1.09,0.344,0.072,14.04,58.0,2.0,3.3,0
1.76,1.76,1.98,0.088,0.411,28.73,3.0,10.0,9.2,0
0.85,0.27,2.39,0.75,0.006,31.31,38.0,6.0,6.3,0
2.52,1.88,1.41,0.549,0.019,33.46,9.0,5.0,1.6,0
0.03,3.86,0.81,0.033,0.288,8.1,41.0,10.0,8.1,0
4.74,0.22,1.24,0.243,0.481,18.15,31.0,0.0,3.1,1
4.28,0.61,2.28,0.968,0.466,57.87,50.0,2.0,8.6,1
4.11,2.52,0.66,0.72,0.221,55.66,48.0,4.0,5.4,1
1.79,2.83,0.77,0.924,0.4,12.87,27.0,1.0,6.9,1
0.57,1.9,1.08,0.558,0.348,31.14,20.0,0.0,7.1,0
3.56,3.67,1.88,0.829,0.402,14.81,50.0,9.0,0.5,1
3.24,1.93,0.72,0.509,0.121,50.18,11.0,3.0,7.4,0
4.12,0.44,1.49,0.486,0.163,34.85,37.0,11.0,2.3,1
2.55,1.92,1.91,0.199,0.388,50.55,17.0,6.0,7.6,0
0.76,2.06,1.57,0.788,0.137,24.48,50.0,0.0,3.1,0
4.09,1.72,0.02,0.511,0.379,21.95,28.0,6.0,0.9,1
3.51,3.66,1.5,0.184,0.376,27.21,46.0,,6.0,0
4.79,1.92,1.07,0.442,0.382,29.25,50.0,14.0,9.9,1
0.45,2.77,0.14,0.472,0.218,47.02,3.0,4.0,0.2,0
2.93,2.03,2.75,0.036,0.096,17.8,3.0,10.0,0.2,0
3.18,2.91,1.95,0.736,0.048,31.34,22.0,4.0,,1
,0.44,2.74,0.02,0.097,54.06,16.0,1.0,1.4,0
4.16,3.78,0.92,0.557,0.245,24.82,10.0,,7.3,0
1.56,2.45,2.77,0.645,0.131,45.41,54.0,5.0,6.0,0
2.36,1.23,1.32,0.044,0.429,8.55,2.0,2.0,0.8,0
1.79,0.93,0.97,,0.367,6.89,49.0,0.0,1.2,0
4.59,2.95,2.52,0.77,0.37,19.22,46.0,14.0,7.6,1
2.62,1.07,0.13,0.144,0.148,24.25,45.0,1.0,2.1,0
4.51,1.8,2.19,0.494,0.235,27.33,12.0,5.0,1.5,1
1.81,2.47,2.59,0.114,0.317,37.41,36.0,2.0,0.6,0
0.9,3.43,2.61,0.96,0.222,52.72,56.0,2.0,7.9,1
2.71,3.32,0.1,0.232,0.397,10.8,14.0,0.0,9.4,0
4.94,2.67,,0.44,0.295,1.99,41.0,5.0,8.4,1
3.14,1.06,2.15,0.422,0.299,49.96,54.0,10.0,0.1,1
0.28,0.65,2.54,0.599,0.029,10.05,16.0,3.0,2.5,0
0.17,2.18,2.0,0.328,0.397,1.87,11.0,2.0,8.1,0
2.15,3.53,2.25,0.48,0.062,4.55,39.0,4.0,7.7,0
0.19,1.63,1.85,0.922,0.1,44.76,41.0,3.0,1.8,0
0.52,2.95,1.41,0.058,0.059,45.86,23.0,10.0,7.7,0
3.77,3.33,2.79,0.015,0.418,13.53,29.0,1.0,3.1,1
3.79,1.05,0.33,0.997,0.442,18.9,11.0,8.0,9.9,0
0.92,,0.19,0.468,0.489,29.94,10.0,11.0,9.1,1
4.26,1.02,2.0,0.332,0.083,16.38,37.0,6.0,8.8,0
0.88,2.36,2.02,0.216,0.425,52.36,44.0,3.0,4.7,0
3.82,2.67,2.53,0.68,0.291,17.88,16.0,3.0,5.3,1
3.01,2.21,1.95,0.626,0.451,39.54,15.0,10.0,6.8,1
4.28,2.49,0.26,0.262,0.146,7.02,56.0,4.0,1.7,0
3.77,0.84,2.64,0.243,0.139,27.42,56.0,10.0,5.6,0
0.0,0.58,0.3,0.833,0.403,3.81,25.0,14.0,7.7,0
0.3,0.06,1.35,0.739,0.124,28.48,34.0,3.0,0.5,0
0.16,2.44,1.89,0.764,0.036,1.06,4.0,0.0,2.2,0
4.17,3.7,1.9,0.456,0.22,2.26,12.0,3.0,8.3,1
2.98,2.72,1.34,0.31,0.302,32.56,16.0,11.0,4.1,1
4.84,2.6,0.99,0.498,0.353,1.65,22.0,9.0,1.6,1
1.94,2.13,0.9,0.594,0.071,48.41,58.0,9.0,2.9,1
,2.47,2.92,0.723,0.257,18.37,6.0,4.0,7.2,1
1.7,2.89,1.02,0.459,0.167,7.96,33.0,5.0,6.2,0
1.35,0.6,1.74,0.695,0.224,31.03,19.0,6.0,6.0,0
4.24,2.92,1.74,0.521,0.048,47.21,48.0,1.0,4.1,0
1.33,0.62,1.71,0.161,0.37,53.53,15.0,0.0,7.3,0
0.67,1.18,1.86,0.076,0.321,46.88,47.0,4.0,7.5,0
,1.36,0.79,0.561,0.265,35.18,28.0,5.0,7.2,0
3.99,1.14,1.02,0.463,0.09,55.75,16.0,10.0,8.0,0
2.0,2.1,0.21,0.381,0.086,27.45,39.0,11.0,2.8,0
3.08,2.22,1.71,0.57,0.101,41.32,53.0,14.0,9.1,1
