age,account_balance,call_duration_sec,campaign_contacts,prev_contacts,has_loan,has_housing,credit_score,subscribed
68.0,40017.45,270.0,7.0,4.0,0.0,0.0,682.0,0
55.0,16739.59,132.0,10.0,2.0,0.0,0.0,559.0,0
50.0,41229.93,490.0,9.0,4.0,0.0,0.0,321.0,1
28.0,37455.48,259.0,5.0,2.0,0.0,0.0,429.0,0
31.0,40812.76,507.0,2.0,0.0,0.0,1.0,521.0,1
19.0,18082.28,307.0,1.0,2.0,1.0,0.0,715.0,1
55.0,22375.82,354.0,8.0,2.0,1.0,1.0,788.0,1
38.0,22542.29,442.0,6.0,2.0,0.0,1.0,388.0,1
30.0,12188.48,283.0,5.0,0.0,1.0,1.0,823.0,1
23.0,46240.41,314.0,4.0,1.0,0.0,,425.0,1
26.0,23199.06,447.0,6.0,3.0,1.0,1.0,470.0,1
59.0,35833.73,169.0,12.0,2.0,0.0,0.0,795.0,1
61.0,44629.23,309.0,9.0,4.0,0.0,0.0,319.0,0
59.0,4419.61,2.0,8.0,0.0,0.0,0.0,480.0,0
52.0,15749.29,82.0,6.0,2.0,0.0,0.0,570.0,0
59.0,28931.04,184.0,6.0,2.0,1.0,0.0,568.0,0
38.0,24006.6,159.0,13.0,3.0,1.0,1.0,363.0,0
30.0,1561.95,481.0,9.0,2.0,1.0,1.0,482.0,0
56.0,40351.43,31.0,1.0,0.0,0.0,1.0,701.0,0
46.0,1776.51,268.0,13.0,1.0,0.0,0.0,759.0,1
25.0,34874.71,142.0,9.0,2.0,0.0,0.0,754.0,1
39.0,48007.66,296.0,13.0,0.0,0.0,1.0,801.0,0
69.0,17292.6,323.0,,2.0,1.0,0.0,690.0,0
27.0,14146.83,523.0,10.0,0.0,0.0,1.0,614.0,1
46.0,13430.69,4.0,12.0,2.0,0.0,1.0,651.0,0
32.0,29262.08,265.0,1.0,3.0,0.0,0.0,807.0,1
26.0,24607.26,27.0,11.0,4.0,1.0,0.0,481.0,0
50.0,8835.0,184.0,2.0,4.0,1.0,0.0,723.0,1
67.0,22082.24,341.0,8.0,0.0,1.0,1.0,826.0,1
61.0,8477.01,285.0,4.0,3.0,0.0,1.0,577.0,1
49.0,22638.52,267.0,2.0,3.0,1.0,1.0,360.0,1
32.0,33911.3,435.0,5.0,0.0,0.0,1.0,784.0,1
54.0,37953.84,139.0,1.0,2.0,0.0,1.0,530.0,0
28.0,36610.79,342.0,14.0,0.0,1.0,1.0,553.0,0
36.0,49463.48,,13.0,2.0,1.0,1.0,531.0,1
37.0,27321.72,38.0,8.0,0.0,0.0,1.0,505.0,0
66.0,38259.21,236.0,14.0,3.0,0.0,1.0,728.0,1
45.0,23572.43,414.0,9.0,3.0,0.0,1.0,803.0,1
41.0,2620.85,369.0,10.0,3.0,1.0,1.0,830.0,1
62.0,47205.88,177.0,4.0,3.0,1.0,0.0,366.0,0
37.0,48673.05,96.0,11.0,1.0,0.0,0.0,730.0,1
55.0,47331.16,365.0,3.0,1.0,0.0,0.0,381.0,1
27.0,35004.34,223.0,11.0,,0.0,0.0,695.0,1
20.0,30660.74,265.0,12.0,4.0,0.0,0.0,714.0,1
30.0,43904.22,442.0,10.0,1.0,0.0,1.0,390.0,1
25.0,15319.33,532.0,14.0,2.0,1.0,0.0,687.0,1
34.0,29732.33,80.0,13.0,0.0,1.0,1.0,492.0,0
38.0,45769.18,87.0,4.0,0.0,1.0,0.0,746.0,0
27.0,24700.55,188.0,7.0,4.0,1.0,1.0,479.0,0
59.0,39897.52,162.0,5.0,,1.0,1.0,566.0,0
63.0,21073.09,483.0,7.0,1.0,0.0,1.0,458.0,1
27.0,4647.73,268.0,9.0,2.0,0.0,1.0,,0
26.0,33229.84,131.0,13.0,4.0,0.0,0.0,431.0,0
20.0,18585.3,193.0,2.0,0.0,,0.0,491.0,0
54.0,36390.72,241.0,5.0,0.0,0.0,0.0,321.0,0
31.0,35025.17,573.0,7.0,1.0,0.0,0.0,646.0,1
50.0,5175.45,327.0,8.0,,0.0,0.0,818.0,1
36.0,26296.54,376.0,4.0,1.0,0.0,0.0,392.0,1
65.0,33057.52,105.0,12.0,4.0,1.0,0.0,443.0,0
23.0,30853.39,448.0,9.0,3.0,0.0,0.0,716.0,1
22.0,47061.32,154.0,6.0,4.0,0.0,1.0,448.0,0
65.0,31836.1,327.0,8.0,3.0,1.0,0.0,731.0,1
40.0,,493.0,12.0,1.0,0.0,0.0,335.0,1
38.0,38358.34,81.0,12.0,1.0,0.0,0.0,718.0,0
33.0,28099.77,106.0,,0.0,0.0,1.0,455.0,0
36.0,5085.73,185.0,14.0,1.0,0.0,1.0,376.0,0
43.0,40683.22,457.0,2.0,4.0,0.0,0.0,847.0,1
32.0,8992.0,591.0,13.0,3.0,0.0,0.0,327.0,1
52.0,18579.05,145.0,7.0,1.0,0.0,0.0,550.0,1
56.0,41646.78,123.0,13.0,0.0,0.0,0.0,341.0,0
21.0,25887.23,103.0,4.0,1.0,0.0,0.0,845.0,0
51.0,12047.28,150.0,9.0,0.0,0.0,0.0,402.0,1
47.0,28370.76,,13.0,0.0,0.0,,475.0,0
39.0,32644.25,353.0,7.0,0.0,1.0,1.0,431.0,1
43.0,48301.67,69.0,11.0,1.0,1.0,1.0,459.0,0
51.0,42746.08,500.0,,3.0,0.0,1.0,527.0,1
19.0,308.51,136.0,4.0,2.0,0.0,1.0,558.0,0
59.0,49212.99,482.0,3.0,3.0,0.0,0.0,383.0,1
69.0,16211.83,44.0,12.0,1.0,0.0,0.0,336.0,0
35.0,48526.02,295.0,14.0,3.0,1.0,1.0,479.0,1
52.0,5444.99,303.0,12.0,2.0,0.0,1.0,558.0,0
33.0,13484.31,599.0,5.0,2.0,0.0,0.0,779.0,1
53.0,5698.27,345.0,5.0,2.0,0.0,,824.0,1
35.0,46707.22,65.0,3.0,4.0,0.0,0.0,830.0,1
56.0,20652.04,208.0,,3.0,0.0,1.0,404.0,0
56.0,19517.89,470.0,10.0,0.0,1.0,0.0,703.0,0
19.0,32783.04,353.0,3.0,4.0,,1.0,726.0,1
27.0,9172.18,105.0,3.0,4.0,0.0,0.0,364.0,0
20.0,24580.7,474.0,6.0,3.0,0.0,1.0,554.0,1
61.0,21385.2,268.0,1.0,1.0,0.0,1.0,841.0,1
55.0,41059.21,252.0,14.0,3.0,0.0,0.0,393.0,0
69.0,38714.33,27.0,10.0,4.0,1.0,0.0,495.0,1
24.0,18429.72,348.0,2.0,3.0,0.0,0.0,793.0,1
43.0,42246.54,531.0,2.0,4.0,0.0,1.0,547.0,1
28.0,43561.27,327.0,7.0,3.0,0.0,0.0,633.0,1
36.0,1051.76,257.0,1.0,3.0,0.0,1.0,325.0,0
57.0,35788.95,280.0,9.0,2.0,0.0,0.0,736.0,1
36.0,3668.94,0.0,2.0,0.0,0.0,1.0,363.0,0
23.0,39477.18,66.0,9.0,2.0,0.0,1.0,702.0,0
19.0,29024.08,177.0,5.0,1.0,0.0,1.0,501.0,0
29.0,31519.49,190.0,4.0,3.0,0.0,1.0,739.0,0
47.0,48866.59,569.0,12.0,1.0,0.0,0.0,638.0,1
58.0,11180.07,587.0,14.0,4.0,1.0,1.0,471.0,1
32.0,47448.19,564.0,4.0,4.0,1.0,0.0,769.0,1
20.0,8084.71,562.0,5.0,4.0,1.0,0.0,438.0,1
49.0,17370.08,330.0,12.0,4.0,0.0,1.0,818.0,0
39.0,7146.7,136.0,8.0,1.0,0.0,0.0,390.0,0
27.0,44967.36,374.0,5.0,3.0,1.0,1.0,697.0,1
53.0,48955.57,126.0,8.0,3.0,1.0,0.0,836.0,1
49.0,32521.63,463.0,8.0,2.0,0.0,1.0,309.0,1
18.0,,349.0,12.0,1.0,0.0,0.0,461.0,1
54.0,27243.94,84.0,14.0,1.0,0.0,1.0,738.0,0
42.0,44689.47,230.0,11.0,2.0,0.0,0.0,825.0,0
,35955.71,387.0,8.0,0.0,1.0,1.0,502.0,0
32.0,10368.41,287.0,7.0,1.0,0.0,1.0,373.0,0
69.0,,133.0,14.0,1.0,0.0,1.0,774.0,0
29.0,49866.16,505.0,4.0,1.0,1.0,0.0,522.0,1
69.0,8765.88,333.0,4.0,1.0,,1.0,301.0,0
30.0,11275.55,432.0,8.0,4.0,0.0,0.0,591.0,1
43.0,2206.74,354.0,9.0,1.0,1.0,0.0,658.0,0
48.0,10413.85,97.0,1.0,4.0,0.0,1.0,501.0,1
49.0,33916.42,509.0,14.0,,0.0,0.0,743.0,1
39.0,42266.73,366.0,4.0,4.0,0.0,1.0,524.0,1
64.0,44985.57,407.0,2.0,4.0,0.0,0.0,758.0,1
58.0,23813.51,434.0,11.0,2.0,0.0,0.0,398.0,1
23.0,39996.44,216.0,,2.0,0.0,1.0,566.0,0
64.0,18163.8,273.0,12.0,4.0,0.0,1.0,504.0,0
55.0,18081.77,520.0,4.0,2.0,0.0,1.0,716.0,1
26.0,49751.06,406.0,11.0,1.0,0.0,1.0,696.0,1
67.0,29415.33,459.0,11.0,2.0,0.0,0.0,601.0,1
34.0,39173.41,585.0,1.0,1.0,0.0,1.0,482.0,1
60.0,16130.11,383.0,6.0,4.0,0.0,1.0,555.0,1
,22761.03,129.0,7.0,2.0,0.0,0.0,748.0,0
69.0,11115.26,133.0,6.0,3.0,0.0,1.0,817.0,0
44.0,8256.7,488.0,7.0,4.0,0.0,0.0,476.0,1
23.0,7664.67,353.0,9.0,0.0,0.0,1.0,715.0,1
36.0,23586.77,79.0,6.0,2.0,0.0,0.0,646.0,0
60.0,36889.69,425.0,6.0,,0.0,1.0,508.0,1
20.0,29160.81,164.0,1.0,1.0,0.0,0.0,499.0,0
21.0,36582.2,249.0,13.0,0.0,0.0,0.0,407.0,0
66.0,38206.43,183.0,8.0,3.0,0.0,,778.0,1
66.0,41734.79,549.0,9.0,4.0,0.0,0.0,495.0,1
62.0,35235.39,261.0,12.0,0.0,0.0,0.0,541.0,1
53.0,48180.54,16.0,2.0,4.0,0.0,1.0,517.0,0
69.0,15209.81,562.0,3.0,2.0,0.0,1.0,325.0,1
29.0,30576.41,146.0,14.0,3.0,1.0,1.0,304.0,0
22.0,2974.94,241.0,,1.0,0.0,1.0,666.0,0
31.0,49969.53,440.0,3.0,0.0,0.0,1.0,634.0,1
65.0,5922.18,132.0,11.0,2.0,0.0,0.0,536.0,0
33.0,34246.51,87.0,,2.0,1.0,0.0,502.0,0
42.0,3302.26,593.0,12.0,4.0,0.0,0.0,800.0,1
68.0,38883.94,554.0,5.0,4.0,0.0,0.0,647.0,1
58.0,40853.41,160.0,13.0,1.0,1.0,1.0,462.0,0
41.0,29562.49,418.0,8.0,3.0,0.0,0.0,637.0,1
49.0,47172.46,335.0,4.0,0.0,1.0,1.0,487.0,1
29.0,39327.16,344.0,8.0,0.0,1.0,0.0,668.0,0
45.0,11315.75,288.0,5.0,3.0,1.0,0.0,377.0,1
46.0,40665.69,397.0,6.0,4.0,0.0,0.0,785.0,1
63.0,1524.17,186.0,5.0,0.0,,1.0,760.0,0
31.0,4698.24,343.0,2.0,4.0,0.0,1.0,599.0,1
45.0,13926.61,196.0,3.0,1.0,0.0,0.0,784.0,1
46.0,26039.27,105.0,2.0,2.0,0.0,1.0,835.0,1
32.0,989.37,443.0,8.0,3.0,1.0,0.0,643.0,1
40.0,22446.01,32.0,2.0,3.0,0.0,1.0,498.0,1
54.0,39607.99,444.0,14.0,2.0,0.0,0.0,478.0,1
34.0,16423.13,588.0,1.0,2.0,0.0,1.0,312.0,1
53.0,17495.22,437.0,2.0,,1.0,1.0,708.0,1
30.0,18478.27,506.0,9.0,3.0,1.0,0.0,440.0,0
32.0,17957.05,111.0,3.0,4.0,0.0,0.0,771.0,0
62.0,11086.27,587.0,1.0,2.0,0.0,1.0,586.0,1
38.0,38313.98,18.0,1.0,1.0,0.0,0.0,370.0,0
57.0,38957.18,57.0,9.0,4.0,0.0,0.0,321.0,0
62.0,15455.26,158.0,7.0,0.0,0.0,0.0,663.0,0
51.0,3111.75,92.0,4.0,3.0,0.0,1.0,717.0,0
38.0,26095.49,196.0,8.0,3.0,,1.0,778.0,0
63.0,33437.97,543.0,2.0,2.0,0.0,1.0,600.0,1
61.0,32503.75,371.0,12.0,4.0,1.0,1.0,401.0,0
68.0,2374.37,73.0,11.0,3.0,0.0,0.0,661.0,0
52.0,21042.42,267.0,8.0,3.0,1.0,0.0,686.0,0
59.0,31744.18,386.0,3.0,2.0,0.0,1.0,392.0,1
37.0,28800.34,461.0,8.0,0.0,1.0,0.0,706.0,1
33.0,42976.51,499.0,,1.0,0.0,0.0,395.0,1
59.0,32495.58,236.0,8.0,4.0,0.0,1.0,781.0,1
18.0,47213.05,501.0,4.0,4.0,0.0,0.0,565.0,1
59.0,20819.88,575.0,2.0,3.0,0.0,1.0,460.0,1
31.0,18161.96,587.0,7.0,3.0,0.0,0.0,840.0,1
55.0,13791.18,592.0,7.0,1.0,1.0,0.0,665.0,1
68.0,36572.59,186.0,10.0,2.0,0.0,0.0,828.0,1
25.0,43253.12,63.0,14.0,0.0,0.0,0.0,766.0,0
49.0,28793.15,494.0,10.0,0.0,0.0,0.0,383.0,1
60.0,20319.29,447.0,8.0,3.0,1.0,0.0,804.0,1
27.0,49677.17,336.0,1.0,2.0,1.0,0.0,794.0,1
20.0,42501.38,168.0,10.0,3.0,0.0,1.0,740.0,1
36.0,16959.95,295.0,12.0,0.0,1.0,1.0,689.0,0
44.0,5081.39,284.0,11.0,1.0,0.0,1.0,829.0,0
60.0,21267.05,426.0,6.0,4.0,1.0,1.0,606.0,1
49.0,26961.72,48.0,7.0,2.0,1.0,0.0,488.0,0
31.0,47059.84,538.0,6.0,2.0,0.0,0.0,308.0,1
32.0,1301.69,323.0,2.0,4.0,0.0,1.0,592.0,1
46.0,393.49,587.0,14.0,3.0,0.0,1.0,753.0,0
33.0,17258.43,44.0,1.0,2.0,1.0,0.0,412.0,0
33.0,16432.89,206.0,7.0,4.0,0.0,1.0,690.0,1
41.0,34755.99,169.0,6.0,2.0,0.0,0.0,422.0,0
30.0,,288.0,12.0,0.0,1.0,0.0,506.0,0
44.0,8695.21,303.0,9.0,1.0,0.0,0.0,333.0,0
58.0,36838.56,405.0,6.0,0.0,1.0,1.0,670.0,1
41.0,14010.64,536.0,14.0,1.0,0.0,0.0,568.0,0
34.0,42705.24,95.0,6.0,0.0,0.0,1.0,487.0,0
58.0,17564.14,495.0,3.0,4.0,0.0,1.0,307.0,1
65.0,2458.64,302.0,2.0,3.0,1.0,1.0,656.0,0
24.0,20305.62,233.0,13.0,3.0,1.0,0.0,817.0,0
29.0,23903.1,480.0,14.0,0.0,1.0,1.0,543.0,0
18.0,32066.74,534.0,3.0,2.0,0.0,1.0,610.0,1
24.0,20277.35,52.0,13.0,3.0,0.0,0.0,650.0,0
52.0,37646.3,503.0,6.0,0.0,0.0,0.0,485.0,1
51.0,27368.5,486.0,13.0,4.0,0.0,1.0,709.0,1
31.0,31314.56,158.0,9.0,3.0,0.0,0.0,593.0,0
30.0,14639.48,200.0,2.0,2.0,0.0,1.0,416.0,0
22.0,48933.23,443.0,,4.0,0.0,1.0,610.0,1
62.0,4007.15,188.0,9.0,0.0,0.0,1.0,712.0,0
34.0,27447.29,154.0,10.0,2.0,0.0,0.0,394.0,1
66.0,28294.59,71.0,10.0,0.0,1.0,0.0,753.0,0
54.0,324.57,593.0,3.0,1.0,0.0,1.0,725.0,1
19.0,22827.63,215.0,14.0,1.0,0.0,0.0,551.0,0
,31273.37,359.0,2.0,4.0,1.0,0.0,670.0,1
68.0,2262.17,199.0,2.0,0.0,1.0,1.0,,0
32.0,42214.77,527.0,12.0,1.0,0.0,0.0,459.0,0
25.0,6464.6,454.0,1.0,0.0,0.0,0.0,384.0,1
58.0,34807.02,25.0,12.0,2.0,1.0,1.0,327.0,0
52.0,6854.75,51.0,13.0,3.0,1.0,1.0,811.0,0
32.0,33061.77,323.0,8.0,4.0,0.0,1.0,772.0,1
47.0,8541.58,347.0,2.0,1.0,0.0,1.0,847.0,1
66.0,6893.28,523.0,5.0,4.0,1.0,0.0,565.0,1
59.0,5723.91,568.0,3.0,2.0,0.0,1.0,647.0,1
,13067.96,55.0,7.0,4.0,1.0,1.0,542.0,0
32.0,37202.67,267.0,5.0,1.0,0.0,1.0,557.0,1
31.0,15467.18,76.0,5.0,1.0,1.0,1.0,327.0,0
33.0,36912.53,308.0,5.0,2.0,0.0,1.0,523.0,1
60.0,37741.83,269.0,3.0,2.0,0.0,0.0,743.0,0
59.0,31868.52,172.0,11.0,3.0,0.0,0.0,701.0,1
50.0,16267.37,352.0,11.0,1.0,0.0,1.0,569.0,0
32.0,35052.17,303.0,1.0,4.0,0.0,0.0,667.0,1
57.0,6728.16,17.0,13.0,0.0,0.0,1.0,722.0,0
32.0,20980.22,422.0,4.0,4.0,1.0,1.0,752.0,1
56.0,22710.47,495.0,3.0,2.0,1.0,1.0,819.0,1
20.0,24749.38,121.0,4.0,0.0,0.0,1.0,679.0,0
41.0,28561.52,58.0,14.0,4.0,1.0,1.0,717.0,0
32.0,36146.73,80.0,8.0,1.0,0.0,0.0,405.0,0
62.0,46404.69,420.0,14.0,2.0,0.0,1.0,428.0,0
23.0,32372.81,89.0,8.0,4.0,0.0,0.0,790.0,0
32.0,16647.03,119.0,12.0,2.0,0.0,0.0,560.0,0
63.0,14666.94,535.0,6.0,3.0,0.0,1.0,598.0,1
31.0,7543.46,162.0,6.0,2.0,1.0,1.0,669.0,1
23.0,28809.6,487.0,4.0,0.0,1.0,0.0,690.0,1
25.0,26298.77,106.0,1.0,0.0,0.0,0.0,558.0,0
41.0,34609.71,376.0,4.0,1.0,0.0,1.0,514.0,1
57.0,34160.38,13.0,2.0,1.0,0.0,1.0,736.0,1
,29210.91,20.0,6.0,3.0,0.0,0.0,364.0,0
61.0,31540.47,510.0,14.0,4.0,0.0,1.0,680.0,1
28.0,9864.37,513.0,10.0,3.0,0.0,0.0,835.0,1
20.0,46036.29,142.0,2.0,1.0,0.0,0.0,549.0,1
54.0,27488.79,405.0,5.0,4.0,0.0,0.0,563.0,1
66.0,22938.83,11.0,6.0,2.0,0.0,1.0,514.0,0
44.0,4933.43,152.0,14.0,1.0,0.0,0.0,583.0,0
21.0,16485.13,523.0,6.0,0.0,0.0,1.0,452.0,0
47.0,41805.67,395.0,10.0,3.0,0.0,0.0,416.0,1
45.0,29437.71,572.0,7.0,3.0,0.0,0.0,626.0,1
33.0,7838.72,451.0,1.0,2.0,0.0,0.0,396.0,0
36.0,3158.4,73.0,3.0,3.0,0.0,0.0,344.0,0
,18000.03,447.0,6.0,4.0,0.0,1.0,381.0,1
18.0,18421.35,292.0,6.0,1.0,1.0,1.0,389.0,0
41.0,14683.99,365.0,10.0,2.0,1.0,1.0,534.0,0
34.0,49915.9,138.0,3.0,1.0,0.0,0.0,,1
30.0,48306.6,55.0,9.0,4.0,0.0,1.0,443.0,0
51.0,7856.3,572.0,2.0,3.0,1.0,0.0,349.0,1
55.0,31434.11,563.0,14.0,1.0,0.0,0.0,468.0,1
53.0,40673.65,235.0,4.0,4.0,0.0,1.0,387.0,1
40.0,33280.78,355.0,1.0,0.0,0.0,0.0,598.0,1
19.0,23285.25,83.0,1.0,0.0,1.0,0.0,429.0,1
49.0,17367.34,277.0,11.0,2.0,0.0,0.0,643.0,0
50.0,8918.18,260.0,5.0,2.0,0.0,0.0,477.0,0
63.0,26729.1,98.0,9.0,1.0,0.0,0.0,,0
25.0,8739.97,106.0,2.0,3.0,1.0,1.0,545.0,0
23.0,553.15,,6.0,1.0,0.0,0.0,728.0,0
21.0,23954.76,439.0,14.0,1.0,0.0,1.0,845.0,1
49.0,3750.92,352.0,7.0,2.0,0.0,1.0,555.0,1
45.0,28702.65,4.0,13.0,1.0,1.0,1.0,489.0,0
18.0,39255.37,477.0,3.0,0.0,1.0,0.0,517.0,1
21.0,31298.81,485.0,,4.0,1.0,0.0,476.0,1
18.0,43740.98,12.0,4.0,4.0,0.0,0.0,672.0,0
63.0,,393.0,11.0,3.0,0.0,1.0,813.0,1
32.0,31789.02,580.0,11.0,2.0,0.0,1.0,573.0,1
19.0,10013.42,142.0,3.0,4.0,0.0,1.0,561.0,0
66.0,33478.28,200.0,4.0,0.0,0.0,0.0,315.0,1
20.0,20000.8,271.0,4.0,3.0,1.0,0.0,364.0,0
26.0,18862.6,18.0,9.0,4.0,1.0,0.0,424.0,0
58.0,18851.13,239.0,4.0,2.0,0.0,1.0,826.0,0
59.0,18440.57,512.0,12.0,2.0,0.0,1.0,589.0,1
41.0,36285.61,566.0,11.0,,0.0,0.0,546.0,1
31.0,10825.2,100.0,9.0,1.0,0.0,1.0,657.0,0
46.0,39239.55,138.0,14.0,2.0,0.0,1.0,336.0,0
36.0,43368.95,199.0,,0.0,0.0,0.0,503.0,0
40.0,40186.76,325.0,5.0,4.0,1.0,1.0,636.0,1
44.0,25407.59,526.0,10.0,4.0,0.0,0.0,410.0,1
56.0,16674.82,268.0,4.0,4.0,1.0,1.0,693.0,1
36.0,49043.59,94.0,13.0,4.0,1.0,0.0,733.0,0
66.0,39023.26,271.0,4.0,0.0,1.0,1.0,693.0,1
40.0,40867.88,515.0,11.0,2.0,0.0,1.0,629.0,1
24.0,2318.67,571.0,4.0,1.0,0.0,1.0,724.0,1
52.0,34023.82,485.0,11.0,1.0,1.0,0.0,516.0,0
56.0,22970.72,268.0,3.0,4.0,1.0,0.0,503.0,1
48.0,37399.37,295.0,3.0,1.0,0.0,1.0,358.0,1
,38392.82,439.0,4.0,4.0,1.0,1.0,573.0,0
50.0,27144.28,495.0,2.0,1.0,0.0,0.0,494.0,1
68.0,7838.61,333.0,9.0,0.0,1.0,0.0,694.0,1
50.0,6957.96,247.0,4.0,4.0,0.0,0.0,654.0,0
59.0,42305.86,342.0,12.0,2.0,0.0,1.0,574.0,1
34.0,13431.68,420.0,12.0,2.0,0.0,1.0,474.0,1
19.0,16498.1,374.0,,4.0,0.0,0.0,320.0,1
38.0,8101.69,556.0,12.0,3.0,0.0,0.0,687.0,1
30.0,46162.72,491.0,4.0,3.0,1.0,0.0,606.0,1
30.0,30248.58,510.0,9.0,2.0,0.0,1.0,632.0,1
67.0,24919.61,409.0,2.0,1.0,0.0,0.0,665.0,1
60.0,26558.97,362.0,4.0,2.0,0.0,1.0,589.0,1
40.0,21701.43,199.0,10.0,2.0,0.0,0.0,308.0,0
30.0,41988.43,290.0,,0.0,0.0,1.0,834.0,1
30.0,3534.24,111.0,9.0,0.0,0.0,1.0,675.0,1
38.0,15918.92,414.0,3.0,4.0,0.0,,481.0,1
45.0,13760.15,543.0,2.0,2.0,1.0,1.0,688.0,1
52.0,32648.21,175.0,4.0,4.0,1.0,1.0,388.0,0
34.0,48110.24,214.0,4.0,4.0,0.0,1.0,828.0,1
20.0,10201.77,398.0,1.0,2.0,0.0,0.0,543.0,1
23.0,31526.69,171.0,6.0,3.0,0.0,1.0,346.0,0
47.0,42602.07,457.0,7.0,2.0,1.0,0.0,825.0,1
56.0,11178.87,79.0,9.0,1.0,0.0,1.0,469.0,0
68.0,41687.0,536.0,12.0,0.0,0.0,1.0,560.0,1
32.0,25749.28,269.0,13.0,4.0,0.0,0.0,758.0,0
47.0,22200.1,194.0,14.0,2.0,0.0,1.0,808.0,0
28.0,9863.12,456.0,13.0,1.0,0.0,1.0,765.0,0
25.0,48069.1,513.0,3.0,4.0,0.0,1.0,772.0,1
58.0,35499.78,111.0,5.0,1.0,1.0,1.0,540.0,0
45.0,44904.15,368.0,7.0,1.0,1.0,0.0,458.0,1
48.0,1457.18,527.0,6.0,0.0,0.0,0.0,665.0,1
