claim_amount,policy_age_years,prev_claims,injury_severity,days_to_report,num_witnesses,vehicle_age_years,repair_cost,agent_flagged,is_fraud
363908.84,2.7,7.0,3.0,78.0,1.0,6.0,9494.62,0.0,1
390000.96,10.5,6.0,4.0,41.0,3.0,17.0,30262.29,0.0,1
176013.0,17.6,6.0,2.0,69.0,1.0,9.0,11247.71,0.0,0
,2.3,2.0,2.0,4.0,2.0,18.0,28875.49,0.0,0
179920.73,8.0,1.0,4.0,50.0,1.0,7.0,45533.93,1.0,1
152309.5,3.5,9.0,3.0,17.0,1.0,19.0,3209.17,0.0,1
459611.93,17.2,8.0,4.0,35.0,,11.0,23939.95,0.0,1
127445.07,9.8,3.0,4.0,65.0,1.0,10.0,12770.71,0.0,0
121336.23,13.9,2.0,2.0,0.0,4.0,16.0,38374.76,0.0,0
455051.65,19.3,8.0,2.0,75.0,0.0,0.0,15001.3,1.0,1
388630.86,3.1,9.0,4.0,31.0,0.0,2.0,34343.48,0.0,0
215453.17,2.7,7.0,3.0,47.0,0.0,18.0,37114.97,0.0,1
460973.39,18.1,5.0,2.0,8.0,0.0,0.0,27871.37,0.0,1
354142.14,2.9,2.0,2.0,77.0,4.0,15.0,44140.73,1.0,1
36812.94,16.3,4.0,2.0,15.0,3.0,,9479.9,0.0,0
161718.47,7.9,6.0,1.0,50.0,2.0,14.0,48246.61,1.0,1
422714.66,8.4,6.0,4.0,40.0,1.0,15.0,11203.31,0.0,0
318210.78,7.5,9.0,4.0,54.0,0.0,19.0,44974.93,0.0,0
308076.68,1.8,7.0,4.0,25.0,4.0,4.0,25564.48,0.0,0
404348.89,1.3,9.0,3.0,18.0,2.0,19.0,13528.82,0.0,1
318582.61,14.2,6.0,1.0,4.0,0.0,16.0,32407.64,0.0,0
134442.61,11.6,3.0,2.0,75.0,0.0,12.0,43338.01,0.0,0
193391.75,7.6,7.0,2.0,65.0,0.0,2.0,47098.08,0.0,1
173133.92,0.1,5.0,2.0,68.0,2.0,1.0,45448.29,0.0,0
100964.54,2.5,2.0,2.0,53.0,3.0,19.0,7301.7,1.0,1
130855.71,6.5,2.0,2.0,84.0,0.0,17.0,49397.92,1.0,1
336678.81,4.1,8.0,1.0,32.0,1.0,1.0,22920.73,0.0,0
424334.53,6.0,3.0,4.0,12.0,2.0,11.0,48558.59,0.0,1
102184.76,10.2,5.0,1.0,76.0,2.0,6.0,24648.12,0.0,1
385795.65,17.7,8.0,3.0,75.0,1.0,5.0,33164.36,0.0,0
415718.54,11.9,9.0,1.0,7.0,1.0,3.0,34756.6,0.0,1
270089.28,5.3,9.0,3.0,82.0,4.0,6.0,33697.29,0.0,1
186859.12,0.5,3.0,1.0,75.0,0.0,6.0,24526.23,0.0,0
102387.71,11.1,8.0,4.0,15.0,0.0,3.0,9298.63,1.0,1
94774.9,15.8,8.0,3.0,3.0,1.0,13.0,28946.85,,1
162529.03,17.9,4.0,3.0,45.0,2.0,4.0,16567.26,0.0,0
37092.36,15.5,9.0,2.0,82.0,4.0,2.0,13090.97,0.0,0
97417.07,6.0,0.0,3.0,9.0,1.0,11.0,4599.56,0.0,0
459471.87,4.4,9.0,4.0,65.0,4.0,17.0,15691.9,0.0,1
307185.24,13.5,1.0,2.0,33.0,1.0,11.0,8279.04,1.0,1
19597.23,14.0,6.0,3.0,70.0,1.0,5.0,26618.48,,0
137800.09,9.2,6.0,4.0,42.0,2.0,6.0,8160.35,0.0,0
361926.93,11.0,6.0,3.0,75.0,4.0,16.0,33207.27,1.0,1
467097.43,4.0,3.0,4.0,67.0,2.0,6.0,684.04,1.0,1
199713.32,8.2,1.0,4.0,31.0,4.0,14.0,33064.61,0.0,0
358804.17,10.2,6.0,1.0,86.0,4.0,3.0,32632.56,0.0,0
407917.09,7.3,7.0,2.0,2.0,3.0,4.0,13614.09,1.0,1
16189.08,15.8,1.0,4.0,89.0,3.0,11.0,19077.91,0.0,0
413511.68,2.9,6.0,3.0,86.0,0.0,16.0,28497.43,0.0,1
239534.82,13.2,8.0,2.0,54.0,0.0,17.0,36379.2,0.0,0
141083.44,10.0,3.0,2.0,21.0,4.0,5.0,49833.45,0.0,0
297477.99,18.2,5.0,1.0,7.0,2.0,15.0,2747.78,0.0,0
32525.38,19.4,1.0,3.0,25.0,3.0,5.0,13481.8,1.0,0
84381.71,2.1,,1.0,22.0,4.0,0.0,25705.21,0.0,0
267408.94,10.7,6.0,2.0,48.0,1.0,10.0,44000.16,0.0,1
291996.52,16.2,5.0,,51.0,2.0,16.0,23776.53,0.0,0
113421.23,4.9,9.0,3.0,20.0,1.0,15.0,31551.53,0.0,0
373324.79,13.1,3.0,1.0,67.0,4.0,8.0,41219.76,0.0,0
382957.14,15.8,7.0,2.0,42.0,4.0,9.0,22003.83,0.0,0
177520.89,8.2,0.0,1.0,53.0,2.0,3.0,11437.29,0.0,0
297834.84,9.6,,2.0,75.0,3.0,7.0,31418.62,1.0,1
489590.28,8.1,2.0,3.0,35.0,0.0,0.0,44792.12,1.0,1
145743.88,12.8,0.0,2.0,24.0,2.0,13.0,37383.38,,0
312944.73,19.8,5.0,2.0,10.0,2.0,0.0,17113.22,0.0,0
160128.25,1.6,0.0,3.0,,4.0,15.0,46223.18,0.0,1
461842.63,12.3,5.0,4.0,66.0,3.0,7.0,29519.16,0.0,0
232960.84,17.7,5.0,4.0,5.0,0.0,3.0,21882.07,0.0,0
430332.72,15.1,6.0,1.0,63.0,,17.0,10864.44,1.0,1
91886.0,0.1,1.0,2.0,89.0,0.0,3.0,41182.33,,0
142673.56,7.4,2.0,3.0,57.0,0.0,19.0,2309.28,0.0,0
141670.25,10.3,2.0,1.0,2.0,2.0,4.0,36259.48,0.0,0
288651.3,10.9,4.0,3.0,41.0,0.0,0.0,32637.73,0.0,0
246008.53,3.7,3.0,1.0,21.0,0.0,17.0,25245.27,1.0,1
377752.91,17.9,9.0,1.0,7.0,2.0,19.0,16303.91,0.0,1
35023.47,8.0,8.0,3.0,26.0,2.0,10.0,1777.83,1.0,1
463785.65,14.6,9.0,2.0,11.0,4.0,3.0,22668.86,0.0,0
144203.13,7.2,7.0,4.0,68.0,0.0,4.0,11271.66,,0
274837.3,10.9,1.0,2.0,89.0,0.0,10.0,6211.67,0.0,0
264242.9,1.5,0.0,3.0,40.0,,14.0,13883.93,0.0,0
246661.5,5.3,4.0,1.0,23.0,0.0,4.0,26171.23,0.0,1
476069.99,9.5,9.0,4.0,77.0,3.0,17.0,10572.83,0.0,1
305221.88,16.6,0.0,4.0,24.0,4.0,13.0,35323.63,0.0,0
208916.34,13.3,1.0,3.0,64.0,2.0,19.0,17563.2,0.0,0
219381.05,7.3,3.0,2.0,21.0,2.0,,40081.28,0.0,0
118706.03,9.2,3.0,1.0,3.0,1.0,10.0,40018.82,0.0,0
490310.7,13.4,6.0,2.0,87.0,1.0,15.0,15773.79,0.0,1
376967.39,,4.0,3.0,11.0,0.0,9.0,1225.47,1.0,0
146368.5,19.8,6.0,2.0,38.0,2.0,7.0,13943.76,0.0,0
146525.28,,8.0,1.0,12.0,1.0,19.0,43780.92,0.0,1
362483.83,14.3,7.0,4.0,15.0,2.0,11.0,33401.42,0.0,1
252696.91,17.5,3.0,3.0,59.0,1.0,13.0,12116.88,0.0,0
21077.31,6.8,0.0,2.0,28.0,2.0,19.0,13450.03,1.0,1
255592.97,11.6,0.0,2.0,85.0,3.0,3.0,44531.24,0.0,0
188580.74,2.5,1.0,3.0,47.0,3.0,,44614.49,0.0,1
375947.52,16.3,0.0,2.0,16.0,1.0,1.0,19503.77,0.0,0
360369.38,19.5,4.0,3.0,21.0,4.0,12.0,43645.04,0.0,0
39156.29,4.9,9.0,1.0,43.0,2.0,4.0,37908.91,0.0,1
430323.16,9.1,1.0,2.0,51.0,2.0,14.0,29087.08,0.0,0
31059.93,14.4,1.0,4.0,19.0,3.0,14.0,3940.7,1.0,0
329889.47,14.2,8.0,4.0,62.0,2.0,11.0,40329.53,0.0,1
34947.26,9.8,4.0,3.0,43.0,4.0,7.0,42510.1,0.0,0
350059.15,10.0,4.0,1.0,89.0,0.0,2.0,37970.64,1.0,1
187589.46,12.3,,1.0,22.0,1.0,18.0,1451.94,0.0,0
103032.51,11.6,7.0,4.0,82.0,1.0,19.0,4705.5,1.0,1
394933.6,9.1,8.0,2.0,18.0,3.0,1.0,25922.53,1.0,1
490843.94,0.4,9.0,4.0,80.0,2.0,3.0,22690.93,0.0,1
305412.49,10.2,6.0,3.0,52.0,3.0,17.0,13671.93,0.0,0
241281.79,13.2,5.0,4.0,28.0,0.0,16.0,44043.95,0.0,0
251921.27,9.7,6.0,3.0,87.0,1.0,15.0,26977.33,1.0,1
29065.35,4.0,4.0,1.0,41.0,1.0,5.0,37624.86,0.0,0
28763.9,10.7,8.0,3.0,69.0,0.0,19.0,7596.87,0.0,1
122597.08,,5.0,3.0,27.0,0.0,13.0,46882.92,0.0,0
57667.55,15.2,5.0,2.0,64.0,3.0,0.0,4984.98,0.0,0
199824.52,4.5,5.0,2.0,85.0,4.0,1.0,26383.44,0.0,1
105001.85,16.9,7.0,4.0,59.0,2.0,13.0,17589.99,0.0,1
287127.16,17.7,3.0,1.0,88.0,0.0,1.0,41297.24,0.0,0
273418.47,2.7,3.0,,78.0,0.0,10.0,47929.76,1.0,1
24501.34,16.4,3.0,1.0,84.0,3.0,7.0,7009.36,0.0,0
373373.24,19.9,6.0,1.0,59.0,2.0,19.0,20545.49,1.0,1
2345.63,9.8,6.0,,20.0,1.0,7.0,36603.81,,0
425443.33,16.8,9.0,1.0,33.0,1.0,10.0,25880.94,1.0,1
303696.51,0.1,6.0,3.0,59.0,0.0,19.0,4890.54,1.0,1
451601.13,9.4,3.0,2.0,62.0,2.0,15.0,16101.34,0.0,1
96225.85,16.5,6.0,1.0,17.0,1.0,0.0,45044.41,0.0,0
98329.09,8.0,0.0,2.0,87.0,1.0,3.0,45126.76,0.0,0
49179.21,1.5,1.0,2.0,53.0,4.0,3.0,22271.71,1.0,0
170932.41,18.3,2.0,4.0,72.0,3.0,19.0,22197.05,0.0,0
289992.07,6.6,6.0,3.0,54.0,4.0,1.0,23581.87,0.0,0
36720.06,3.6,8.0,2.0,84.0,4.0,19.0,45291.91,1.0,1
113954.67,3.4,9.0,2.0,10.0,1.0,3.0,38507.64,0.0,1
231953.88,17.4,7.0,3.0,27.0,2.0,10.0,33828.87,0.0,0
347537.16,17.0,2.0,4.0,8.0,4.0,3.0,10310.52,0.0,0
250626.62,14.6,7.0,3.0,78.0,1.0,8.0,28398.49,0.0,1
250835.87,16.8,8.0,1.0,50.0,3.0,18.0,37083.65,1.0,0
199301.61,7.5,1.0,2.0,23.0,1.0,5.0,28682.62,0.0,0
42348.7,10.6,2.0,2.0,50.0,0.0,7.0,1910.64,0.0,0
320447.59,14.2,1.0,3.0,8.0,0.0,7.0,3712.3,0.0,0
264544.25,18.8,5.0,4.0,32.0,4.0,1.0,18475.83,0.0,0
117773.31,8.1,7.0,3.0,8.0,1.0,19.0,30214.2,1.0,1
417038.44,2.3,5.0,1.0,31.0,0.0,10.0,35644.92,0.0,1
111955.57,0.5,8.0,4.0,88.0,3.0,0.0,26099.55,1.0,1
455401.4,8.8,9.0,3.0,27.0,1.0,0.0,28381.29,0.0,1
471512.9,14.9,2.0,4.0,64.0,4.0,11.0,1724.33,0.0,0
243908.01,13.7,0.0,2.0,55.0,3.0,7.0,27951.29,1.0,1
341190.86,20.0,3.0,3.0,26.0,4.0,19.0,40089.75,0.0,0
403369.93,17.6,4.0,4.0,85.0,4.0,2.0,24911.0,0.0,0
162582.07,16.9,0.0,2.0,35.0,0.0,5.0,47348.34,0.0,0
130869.29,14.3,8.0,2.0,51.0,2.0,5.0,7821.72,0.0,1
11504.93,1.3,5.0,4.0,45.0,0.0,12.0,6358.2,0.0,0
109263.1,14.9,,4.0,89.0,1.0,6.0,12780.05,1.0,1
356423.5,12.8,8.0,4.0,7.0,0.0,5.0,25281.71,0.0,0
487489.39,19.1,1.0,2.0,55.0,2.0,14.0,44037.31,0.0,0
344330.06,15.8,6.0,4.0,39.0,1.0,9.0,13536.5,0.0,0
21572.57,18.3,5.0,2.0,84.0,2.0,16.0,33768.36,0.0,0
400069.74,19.8,1.0,3.0,41.0,3.0,18.0,17927.78,1.0,0
126719.13,6.7,9.0,2.0,22.0,2.0,3.0,45742.71,0.0,0
105066.92,16.2,0.0,4.0,17.0,4.0,5.0,20570.94,0.0,0
104809.13,3.7,5.0,3.0,27.0,2.0,15.0,30283.83,0.0,1
288577.67,15.5,1.0,4.0,86.0,2.0,16.0,37483.89,1.0,1
50997.38,9.3,9.0,2.0,62.0,0.0,9.0,10722.65,0.0,1
14290.04,11.7,6.0,2.0,83.0,4.0,4.0,27863.94,0.0,1
164123.15,6.9,9.0,2.0,73.0,3.0,16.0,33685.45,0.0,1
346402.23,6.0,4.0,4.0,69.0,0.0,1.0,32238.92,0.0,1
88831.48,9.2,8.0,3.0,35.0,4.0,4.0,48344.52,0.0,1
475064.33,13.6,1.0,2.0,34.0,2.0,14.0,23664.5,0.0,0
311551.72,3.6,0.0,4.0,18.0,0.0,2.0,45573.29,0.0,0
29744.39,8.3,8.0,1.0,29.0,0.0,13.0,5892.43,0.0,1
162660.31,10.5,5.0,4.0,25.0,4.0,15.0,17778.25,0.0,0
339240.58,18.9,7.0,1.0,84.0,4.0,0.0,39613.97,1.0,0
65546.28,6.0,8.0,4.0,82.0,1.0,17.0,3215.4,0.0,1
338004.41,17.5,2.0,3.0,26.0,0.0,8.0,23999.15,0.0,0
309542.52,14.7,5.0,4.0,32.0,3.0,18.0,12027.86,0.0,0
491127.86,9.6,8.0,4.0,40.0,3.0,8.0,42568.47,0.0,1
353724.86,8.7,1.0,4.0,86.0,0.0,4.0,29148.0,0.0,0
81703.97,5.4,2.0,4.0,82.0,1.0,8.0,43118.42,0.0,0
250360.22,9.4,5.0,4.0,56.0,1.0,16.0,18212.2,0.0,1
348042.56,6.5,8.0,1.0,57.0,3.0,19.0,7692.66,0.0,1
115988.52,13.6,3.0,3.0,62.0,2.0,14.0,48875.34,0.0,1
496105.63,8.4,2.0,3.0,61.0,3.0,10.0,2992.82,0.0,0
129737.08,18.1,7.0,1.0,76.0,0.0,17.0,4431.61,0.0,1
66365.1,,2.0,3.0,59.0,4.0,17.0,26919.99,0.0,1
285238.05,1.7,5.0,3.0,79.0,1.0,12.0,37757.34,0.0,1
308094.24,19.8,6.0,4.0,30.0,0.0,14.0,36373.49,0.0,1
268108.14,6.2,7.0,1.0,64.0,1.0,4.0,25269.86,1.0,1
285340.65,10.7,9.0,3.0,2.0,4.0,5.0,35474.97,0.0,1
126395.53,3.1,7.0,2.0,86.0,2.0,16.0,20241.65,,0
45214.62,0.4,9.0,2.0,6.0,1.0,10.0,26730.9,0.0,1
126710.3,4.6,6.0,3.0,88.0,3.0,10.0,45351.56,0.0,1
233538.14,10.3,5.0,1.0,41.0,,2.0,14123.79,0.0,1
245422.39,7.5,6.0,4.0,9.0,0.0,12.0,31849.21,0.0,0
239323.37,0.8,5.0,4.0,46.0,1.0,0.0,19977.34,0.0,0
121577.95,9.5,0.0,3.0,45.0,2.0,7.0,,0.0,0
460336.69,1.6,4.0,4.0,29.0,2.0,10.0,20544.51,1.0,1
74920.64,2.9,1.0,2.0,29.0,,8.0,9563.28,0.0,0
179520.85,6.5,0.0,1.0,40.0,2.0,5.0,12437.38,0.0,0
181292.55,12.6,6.0,3.0,77.0,4.0,16.0,35887.63,1.0,1
234369.64,11.7,7.0,1.0,24.0,0.0,4.0,3633.37,0.0,1
287174.55,6.3,5.0,3.0,30.0,4.0,3.0,2320.59,0.0,0
214952.26,10.5,3.0,4.0,1.0,4.0,,18197.41,0.0,0
313812.97,9.7,6.0,1.0,72.0,3.0,1.0,30735.03,0.0,0
337965.6,0.3,9.0,2.0,39.0,4.0,12.0,39825.61,0.0,1
11822.22,13.2,8.0,,65.0,1.0,5.0,31127.34,,1
244705.94,1.9,6.0,2.0,3.0,4.0,11.0,27140.2,0.0,1
35997.77,18.2,1.0,2.0,35.0,0.0,16.0,24744.83,0.0,0
323545.43,13.2,2.0,2.0,75.0,2.0,4.0,2933.9,0.0,0
393998.57,3.6,3.0,3.0,39.0,4.0,16.0,21358.8,1.0,1
463078.0,14.9,,2.0,71.0,0.0,3.0,48929.42,1.0,1
189719.42,12.3,2.0,1.0,55.0,0.0,10.0,16746.83,0.0,0
267381.67,19.2,0.0,2.0,13.0,0.0,1.0,26888.98,1.0,0
363767.6,1.4,0.0,3.0,34.0,1.0,0.0,45560.13,0.0,0
133054.64,11.4,8.0,2.0,86.0,2.0,6.0,44087.83,0.0,0
285461.11,2.9,2.0,1.0,3.0,3.0,5.0,20076.13,0.0,1
359649.21,12.1,3.0,3.0,23.0,2.0,17.0,14463.22,0.0,0
89379.86,16.7,0.0,3.0,33.0,2.0,6.0,35816.07,0.0,0
213931.09,17.6,8.0,3.0,82.0,0.0,3.0,19854.79,1.0,1
284784.73,17.2,5.0,1.0,89.0,1.0,14.0,48039.65,0.0,1
457214.15,5.7,8.0,2.0,,3.0,14.0,43434.8,0.0,1
329737.57,11.3,1.0,1.0,6.0,3.0,9.0,26801.61,0.0,0
166888.59,4.4,0.0,4.0,75.0,4.0,12.0,30176.48,1.0,1
313678.86,9.3,4.0,2.0,1.0,1.0,7.0,35745.55,1.0,1
337476.9,8.4,3.0,2.0,34.0,3.0,14.0,45180.19,0.0,0
88861.87,19.7,3.0,2.0,70.0,2.0,11.0,9780.64,1.0,0
242050.41,1.7,7.0,1.0,59.0,0.0,2.0,30146.47,1.0,1
78990.44,15.3,9.0,2.0,57.0,0.0,7.0,10127.74,1.0,1
484404.42,4.3,6.0,,60.0,0.0,18.0,20175.02,0.0,1
218794.86,10.2,5.0,1.0,30.0,4.0,15.0,45109.14,0.0,0
432045.21,,7.0,3.0,58.0,2.0,4.0,41659.85,0.0,1
124205.21,19.7,1.0,3.0,15.0,2.0,12.0,16803.35,0.0,0
364152.25,11.8,9.0,4.0,42.0,3.0,0.0,10831.11,0.0,1
477943.99,12.5,2.0,4.0,66.0,2.0,19.0,44447.03,0.0,1
441978.55,6.3,7.0,2.0,22.0,4.0,11.0,14141.4,0.0,1
266074.64,16.2,9.0,2.0,40.0,3.0,13.0,12743.43,0.0,1
36561.43,16.7,0.0,,60.0,1.0,6.0,6984.84,0.0,0
257689.38,1.5,1.0,2.0,24.0,4.0,13.0,,0.0,0
338775.42,8.3,,1.0,40.0,0.0,14.0,44824.57,0.0,1
475166.4,5.4,2.0,3.0,36.0,4.0,12.0,41524.1,0.0,0
386612.55,16.3,8.0,2.0,2.0,2.0,0.0,20747.21,0.0,0
237598.6,5.5,6.0,3.0,28.0,4.0,6.0,35271.01,0.0,1
10395.41,18.8,9.0,2.0,85.0,4.0,5.0,31085.46,0.0,0
261880.0,15.0,6.0,4.0,10.0,0.0,15.0,21650.75,0.0,1
183378.28,8.8,7.0,2.0,61.0,0.0,9.0,16467.48,0.0,1
224109.06,19.7,4.0,3.0,43.0,2.0,11.0,47221.61,0.0,0
116163.74,5.8,5.0,4.0,1.0,2.0,9.0,29625.31,,0
52184.48,4.2,5.0,2.0,3.0,0.0,13.0,1037.3,1.0,1
,13.4,1.0,2.0,47.0,3.0,7.0,48804.64,0.0,0
467353.13,16.7,0.0,2.0,75.0,1.0,10.0,15467.42,0.0,0
30493.92,8.6,6.0,4.0,16.0,1.0,2.0,7765.05,1.0,1
61441.86,13.7,2.0,2.0,56.0,2.0,2.0,1570.12,0.0,0
430654.02,11.9,4.0,3.0,56.0,1.0,19.0,29678.11,0.0,0
455925.39,8.1,3.0,4.0,25.0,1.0,17.0,8731.56,1.0,0
295024.96,16.1,0.0,3.0,66.0,3.0,14.0,6165.92,0.0,1
77426.91,15.2,8.0,4.0,1.0,1.0,,7353.01,0.0,0
42611.02,10.9,2.0,2.0,36.0,0.0,13.0,,0.0,0
130592.23,9.3,0.0,2.0,7.0,0.0,0.0,22104.65,1.0,0
302656.19,17.3,6.0,2.0,2.0,0.0,12.0,8057.74,1.0,1
393203.2,7.6,7.0,3.0,76.0,0.0,17.0,2464.39,0.0,1
101534.4,4.0,0.0,4.0,0.0,1.0,0.0,35096.3,0.0,1
400609.74,8.3,4.0,4.0,22.0,1.0,11.0,9739.95,0.0,0
410144.97,0.5,1.0,4.0,29.0,3.0,19.0,7966.49,0.0,1
457651.89,8.5,6.0,1.0,0.0,4.0,5.0,22521.02,,0
200271.23,18.4,9.0,4.0,39.0,0.0,19.0,4416.66,0.0,1
89623.74,8.9,5.0,2.0,57.0,3.0,2.0,20257.82,0.0,0
220439.99,1.4,1.0,1.0,9.0,3.0,18.0,28801.68,0.0,0
12931.26,19.5,6.0,4.0,86.0,0.0,5.0,24712.34,1.0,0
377313.17,15.0,5.0,2.0,89.0,2.0,6.0,19428.89,0.0,0
384462.49,17.0,5.0,4.0,11.0,,5.0,14084.32,1.0,0
421668.91,18.5,9.0,3.0,14.0,2.0,15.0,6113.47,0.0,0
,1.7,3.0,2.0,9.0,2.0,2.0,22611.15,0.0,0
355082.27,2.2,2.0,2.0,28.0,3.0,3.0,24925.03,0.0,1
167908.36,11.1,2.0,1.0,62.0,4.0,14.0,4670.17,1.0,1
489249.01,10.2,9.0,3.0,80.0,4.0,7.0,2284.58,1.0,1
270827.24,5.3,4.0,1.0,20.0,4.0,15.0,27017.49,0.0,0
241870.64,2.8,0.0,1.0,85.0,0.0,7.0,37905.84,0.0,0
460848.66,1.6,6.0,4.0,51.0,1.0,14.0,6259.44,0.0,1
,9.7,2.0,3.0,56.0,3.0,17.0,4719.98,0.0,1
15944.34,17.7,1.0,2.0,,1.0,3.0,45273.19,0.0,0
203327.91,14.0,9.0,2.0,54.0,1.0,15.0,49530.78,0.0,1
163802.94,7.2,3.0,2.0,59.0,3.0,11.0,13375.08,0.0,0
83244.94,0.5,4.0,3.0,50.0,0.0,11.0,24784.74,0.0,0
355856.69,12.1,6.0,4.0,84.0,2.0,18.0,1500.92,0.0,0
246683.89,5.8,6.0,3.0,51.0,3.0,1.0,23025.27,0.0,1
154438.51,8.0,3.0,1.0,59.0,2.0,8.0,45170.89,0.0,0
259537.91,19.3,1.0,2.0,31.0,3.0,12.0,42152.06,1.0,0
127622.37,10.8,5.0,3.0,9.0,0.0,12.0,47820.63,0.0,0
406703.97,13.7,9.0,1.0,10.0,2.0,14.0,20374.65,0.0,0
170937.11,0.6,4.0,4.0,53.0,2.0,10.0,12856.15,0.0,1
155790.99,,2.0,2.0,6.0,1.0,10.0,20426.04,0.0,0
162877.41,3.8,6.0,4.0,83.0,3.0,2.0,35261.6,0.0,1
140764.85,18.2,8.0,2.0,51.0,,,11478.71,0.0,1
483511.06,8.3,6.0,2.0,39.0,2.0,5.0,29919.33,0.0,1
152212.85,19.3,1.0,3.0,51.0,4.0,9.0,12766.7,1.0,0
332454.68,17.5,1.0,2.0,27.0,1.0,7.0,1550.68,0.0,0
373007.02,1.9,9.0,3.0,28.0,3.0,0.0,21928.95,0.0,0
411147.39,12.7,4.0,2.0,72.0,2.0,13.0,33362.26,1.0,1
49831.68,11.9,1.0,3.0,70.0,4.0,12.0,35537.44,1.0,1
29311.88,18.7,6.0,2.0,3.0,4.0,,8077.43,0.0,0
246574.2,15.3,0.0,4.0,57.0,3.0,0.0,41667.37,1.0,0
263146.03,13.1,4.0,4.0,17.0,3.0,10.0,30504.93,0.0,0
135365.84,4.2,4.0,1.0,66.0,0.0,6.0,13150.6,0.0,0
287203.71,16.1,2.0,3.0,42.0,3.0,15.0,42255.78,0.0,0
124405.53,1.3,1.0,2.0,83.0,4.0,8.0,18129.27,0.0,0
298471.05,5.9,3.0,4.0,86.0,2.0,19.0,14479.45,0.0,1
363104.9,0.6,6.0,1.0,77.0,3.0,,43544.61,1.0,1
5960.33,4.9,4.0,4.0,20.0,2.0,5.0,49852.92,0.0,1
377274.63,2.3,7.0,1.0,52.0,1.0,14.0,1568.97,0.0,1
31230.42,7.1,6.0,2.0,19.0,2.0,0.0,48084.67,0.0,0
495191.67,10.5,2.0,3.0,9.0,3.0,10.0,29422.69,0.0,1
297799.08,1.7,3.0,3.0,13.0,2.0,12.0,23632.46,0.0,1
216258.93,12.6,0.0,4.0,40.0,1.0,8.0,40154.49,0.0,1
445467.01,3.4,2.0,4.0,17.0,1.0,4.0,32923.14,0.0,1
333240.89,1.2,5.0,3.0,75.0,0.0,12.0,40556.11,0.0,1
482898.06,7.3,3.0,1.0,27.0,3.0,19.0,14938.19,0.0,1
40001.45,11.8,3.0,2.0,60.0,0.0,7.0,29987.59,0.0,0
267068.35,14.3,7.0,4.0,34.0,4.0,3.0,35324.45,0.0,0
130606.35,15.4,7.0,1.0,74.0,2.0,5.0,5645.3,0.0,1
437973.91,8.1,5.0,3.0,11.0,3.0,6.0,45686.08,0.0,0
71349.79,16.1,0.0,3.0,3.0,3.0,0.0,5105.36,0.0,0
310461.02,0.9,2.0,1.0,82.0,4.0,4.0,35258.92,0.0,0
484152.92,11.9,4.0,4.0,77.0,3.0,10.0,29507.71,1.0,1
208968.57,15.4,6.0,4.0,84.0,4.0,16.0,21954.33,,1
364055.9,8.7,4.0,3.0,81.0,0.0,13.0,39104.38,0.0,0
