age,years_at_company,performance_score,training_hours,awards_won,avg_review_score,num_reports,dept_kpi_score,prev_promoted,promoted
58.0,13.0,53.0,96.0,0.0,47.9,3.0,2.6,1.0,0
39.0,9.0,80.0,55.0,1.0,53.2,0.0,1.7,1.0,0
33.0,12.0,50.2,72.0,,95.3,3.0,1.9,0.0,0
59.0,24.0,91.7,31.0,2.0,82.6,8.0,3.2,0.0,0
46.0,17.0,75.9,27.0,4.0,83.2,2.0,4.3,0.0,0
46.0,7.0,95.8,1.0,1.0,42.4,7.0,8.7,0.0,0
25.0,16.0,89.4,0.0,3.0,77.9,3.0,8.2,0.0,1
38.0,4.0,64.6,26.0,2.0,58.8,4.0,5.2,0.0,0
57.0,12.0,83.7,97.0,3.0,94.7,0.0,2.2,0.0,0
46.0,18.0,82.4,28.0,1.0,58.1,2.0,7.5,0.0,0
,21.0,54.3,86.0,3.0,68.6,6.0,8.4,0.0,0
55.0,19.0,68.1,,3.0,49.6,8.0,8.7,0.0,0
45.0,13.0,60.8,29.0,4.0,89.2,4.0,2.9,1.0,1
25.0,21.0,88.5,15.0,2.0,88.6,8.0,7.1,0.0,0
23.0,20.0,94.1,28.0,1.0,65.0,4.0,3.1,0.0,0
29.0,21.0,74.8,82.0,3.0,50.5,2.0,1.4,0.0,1
26.0,9.0,62.5,72.0,0.0,97.2,6.0,8.1,1.0,1
53.0,13.0,56.4,63.0,1.0,65.2,2.0,7.3,0.0,0
36.0,13.0,74.8,75.0,,94.8,2.0,2.6,1.0,0
31.0,16.0,63.0,92.0,0.0,51.3,2.0,5.9,0.0,1
,10.0,65.8,81.0,3.0,57.6,0.0,5.0,0.0,0
34.0,8.0,87.6,91.0,3.0,97.2,5.0,4.8,1.0,1
27.0,9.0,89.3,30.0,2.0,77.8,6.0,7.0,0.0,0
48.0,5.0,98.8,13.0,0.0,65.4,1.0,6.1,1.0,0
36.0,1.0,93.2,3.0,3.0,72.6,7.0,3.8,1.0,1
25.0,19.0,85.3,55.0,2.0,95.5,2.0,8.6,0.0,1
48.0,18.0,50.3,69.0,2.0,52.9,9.0,9.9,1.0,1
28.0,4.0,68.9,0.0,1.0,70.8,6.0,5.6,1.0,0
40.0,6.0,60.8,27.0,4.0,95.1,3.0,3.9,1.0,1
45.0,21.0,56.7,76.0,0.0,82.4,9.0,4.3,0.0,0
44.0,21.0,69.1,82.0,0.0,54.0,6.0,4.0,0.0,1
28.0,11.0,83.4,35.0,4.0,56.9,1.0,4.8,1.0,1
40.0,18.0,78.2,99.0,3.0,62.8,,9.9,1.0,1
40.0,12.0,70.1,56.0,0.0,41.7,2.0,6.7,0.0,0
52.0,23.0,94.6,51.0,4.0,58.2,3.0,,0.0,1
45.0,16.0,59.9,66.0,1.0,72.7,2.0,4.1,0.0,0
57.0,1.0,100.0,58.0,4.0,47.9,1.0,6.4,0.0,0
28.0,24.0,71.8,51.0,3.0,92.8,4.0,6.9,1.0,1
40.0,22.0,75.5,33.0,1.0,62.5,5.0,1.2,0.0,0
37.0,22.0,96.7,44.0,0.0,92.2,4.0,5.5,0.0,1
42.0,21.0,91.4,73.0,3.0,41.3,9.0,3.5,1.0,1
39.0,7.0,78.8,82.0,3.0,82.1,3.0,5.4,0.0,1
23.0,23.0,53.7,56.0,,82.3,0.0,2.8,0.0,1
29.0,10.0,84.7,81.0,4.0,,7.0,6.0,1.0,1
56.0,23.0,59.1,75.0,0.0,63.2,3.0,2.6,0.0,0
37.0,9.0,59.5,23.0,0.0,57.2,1.0,6.5,1.0,0
43.0,10.0,60.6,73.0,1.0,,6.0,3.3,0.0,0
27.0,6.0,80.4,64.0,4.0,68.5,8.0,2.2,1.0,1
54.0,4.0,66.7,43.0,4.0,81.2,3.0,3.0,0.0,0
26.0,9.0,73.9,59.0,3.0,74.0,5.0,5.1,0.0,0
59.0,22.0,62.9,52.0,1.0,80.4,6.0,6.6,0.0,1
49.0,,55.3,29.0,1.0,50.5,8.0,4.8,0.0,0
46.0,9.0,96.1,8.0,3.0,73.1,4.0,1.4,0.0,0
23.0,5.0,97.3,16.0,2.0,54.9,5.0,8.9,1.0,0
22.0,13.0,87.3,14.0,1.0,48.0,8.0,6.6,1.0,0
30.0,23.0,97.0,36.0,1.0,48.1,2.0,3.0,1.0,1
27.0,18.0,87.9,27.0,4.0,96.9,1.0,4.8,1.0,1
35.0,7.0,75.8,5.0,4.0,84.7,7.0,5.1,1.0,1
50.0,14.0,95.7,11.0,4.0,58.7,5.0,7.8,0.0,1
39.0,9.0,89.7,78.0,0.0,40.4,1.0,2.4,0.0,1
52.0,10.0,52.7_err,66.0,1.0,51.1,3.0,9.6,0.0,0
44.0,8.0,72.5,42.0,0.0,74.6,6.0,4.5,0.0,0
53.0,8.0,60.5,89.0,2.0,81.2,6.0,7.2,,1
42.0,16.0,65.3,76.0,0.0,44.7,7.0,2.9,0.0,0
22.0,14.0,85.8,92.0,1.0,,2.0,6.5,0.0,1
52.0,14.0,62.6,4.0,1.0,89.3,9.0,8.7,0.0,0
50.0,23.0,51.6,99.0,3.0,54.6,3.0,3.9,1.0,1
33.0,5.0,70.7,60.0,3.0,66.9,1.0,3.8,,1
48.0,20.0,85.4,44.0,1.0,61.9,1.0,9.2,1.0,1
58.0,22.0,57.9,26.0,2.0,68.0,9.0,1.6,1.0,0
38.0,7.0,68.3,29.0,1.0,51.0,6.0,4.1,0.0,0
28.0,23.0,65.5,49.0,2.0,56.8,8.0,2.9,0.0,1
51.0,3.0,58.7,39.0,3.0,81.3,9.0,6.0,0.0,0
22.0,10.0,90.4,96.0,1.0,61.1,0.0,5.5,1.0,1
53.0,2.0,,72.0,0.0,61.2,7.0,5.9,0.0,0
,8.0,96.9,31.0,2.0,68.9,0.0,8.4,1.0,1
35.0,,74.1,78.0,3.0,50.2,1.0,1.8,0.0,1
29.0,12.0,50.6,82.0,0.0,44.1,5.0,3.7,1.0,0
25.0,10.0,94.8,50.0,1.0,59.0,9.0,5.9,1.0,0
32.0,10.0,72.3,50.0,,65.7,5.0,9.0,0.0,0
43.0,3.0,65.8,26.0,2.0,62.1,7.0,4.7,1.0,0
55.0,,93.5,82.0,3.0,44.8,6.0,6.7,0.0,0
31.0,18.0,51.2,39.0,3.0,48.5,2.0,5.8,0.0,0
40.0,19.0,68.0,88.0,3.0,77.5,8.0,6.3,0.0,1
31.0,18.0,77.3,80.0,1.0,73.9,3.0,5.8,1.0,1
35.0,4.0,79.7,42.0,3.0,96.0,7.0,2.9,0.0,1
29.0,5.0,60.8,44.0,0.0,52.6,3.0,9.7,0.0,0
24.0,6.0,84.2,26.0,1.0,53.0,7.0,1.3,0.0,0
31.0,3.0,73.8,59.0,1.0,77.9,7.0,3.0,1.0,0
54.0,8.0,,59.0,1.0,88.9,6.0,9.6,0.0,0
49.0,8.0,73.5,62.0,3.0,67.0,0.0,5.1,0.0,0
,4.0,95.4,68.0,1.0,82.7,3.0,4.3,1.0,0
38.0,21.0,83.3,27.0,0.0,73.7,3.0,7.9,0.0,1
24.0,4.0,66.0,7.0,1.0,42.5,9.0,5.6,0.0,0
59.0,11.0,69.6,1.0,1.0,,3.0,9.8,0.0,0
38.0,6.0,66.5,26.0,2.0,73.3,4.0,2.8,1.0,0
55.0,14.0,50.1,55.0,2.0,43.9,1.0,4.6,0.0,0
53.0,20.0,99.2,51.0,2.0,80.1,3.0,4.2,1.0,1
31.0,19.0,67.4,32.0,0.0,92.2,2.0,5.4,0.0,0
24.0,19.0,51.5,52.0,2.0,83.8,9.0,3.1,0.0,0
34.0,11.0,95.4,13.0,0.0,48.6,8.0,7.2,0.0,0
25.0,17.0,91.4,67.0,4.0,63.8,5.0,7.7,0.0,1
43.0,17.0,85.2,91.0,1.0,53.2,3.0,6.1,1.0,1
49.0,22.0,71.6,68.0,2.0,94.3,9.0,6.3,1.0,1
36.0,22.0,74.6,61.0,2.0,82.7,0.0,9.2,0.0,1
41.0,19.0,90.2,43.0,1.0,72.2,6.0,7.4,1.0,1
43.0,10.0,93.4,92.0,4.0,85.2,0.0,6.6,1.0,1
44.0,20.0,90.5,78.0,4.0,62.6,0.0,1.5,0.0,1
,9.0,79.5,92.0,2.0,90.8,0.0,9.6,1.0,1
26.0,23.0,81.9,57.0,3.0,87.6,1.0,4.8,0.0,1
37.0,7.0,57.5,31.0,1.0,56.9,4.0,2.7,0.0,0
57.0,22.0,61.3,,0.0,99.7,9.0,2.9,0.0,0
48.0,18.0,55.2,82.0,0.0,82.9,1.0,8.5,0.0,1
,11.0,71.5,55.0,3.0,41.8,6.0,8.8,0.0,0
29.0,19.0,76.9,53.0,3.0,73.8,9.0,4.2,0.0,1
47.0,7.0,91.4,1.0,0.0,52.0,,2.7,0.0,0
59.0,5.0,59.6,40.0,1.0,74.8,3.0,2.3,0.0,0
24.0,18.0,64.6,88.0,4.0,78.2,7.0,6.6,1.0,1
43.0,14.0,64.0,16.0,0.0,54.6,4.0,1.7,0.0,0
23.0,5.0,57.9,73.0,2.0,67.2,0.0,1.1,1.0,0
53.0,23.0,56.8,72.0,0.0,95.6,1.0,6.2,0.0,0
42.0,16.0,99.7,23.0,2.0,96.5,3.0,9.1,0.0,1
23.0,10.0,97.0,36.0,4.0,66.1,1.0,,0.0,1
53.0,20.0,60.5,49.0,,80.4,8.0,7.2,0.0,0
28.0,13.0,54.1,72.0,0.0,56.0,0.0,9.9,1.0,0
43.0,5.0,59.2,34.0,0.0,92.9,4.0,3.0,0.0,0
52.0,24.0,71.0,93.0,3.0,91.7,9.0,5.3,0.0,1
51.0,21.0,54.9,20.0,0.0,56.0,8.0,3.5,0.0,0
57.0,20.0,55.7,39.0,4.0,48.6,0.0,3.7,0.0,0
43.0,1.0,86.5,44.0,0.0,59.3,9.0,6.8,0.0,0
54.0,13.0,98.9,76.0,3.0,74.0,1.0,7.4,0.0,1
33.0,6.0,69.2,,1.0,69.3,3.0,4.7,,0
51.0,13.0,91.2,33.0,0.0,75.7,4.0,3.1,0.0,0
26.0,13.0,85.3,59.0,3.0,95.3,8.0,7.2,0.0,1
24.0,20.0,74.4,65.0,0.0,55.9,4.0,6.4,0.0,0
32.0,4.0,53.2,51.0,4.0,78.7,5.0,6.8,0.0,0
40.0,18.0,58.2,68.0,2.0,87.0,1.0,7.7,1.0,1
31.0,12.0,76.8,63.0,0.0,42.4,7.0,9.0,0.0,0
34.0,14.0,96.6,28.0,0.0,89.0,4.0,1.5,0.0,1
24.0,8.0,52.9,27.0,1.0,58.9,6.0,4.4,0.0,0
49.0,8.0,89.1,43.0,4.0,76.8,2.0,4.6,0.0,1
29.0,15.0,75.7,28.0,2.0,89.6,3.0,8.0,1.0,0
30.0,18.0,97.4,11.0,1.0,48.1,2.0,3.8,0.0,0
22.0,4.0,90.3,2.0,2.0,78.5,7.0,9.6,0.0,1
49.0,19.0,50.3,24.0,3.0,82.4,4.0,6.4,0.0,0
24.0,1.0,65.8,,2.0,93.1,6.0,6.6,0.0,0
,16.0,97.1,59.0,2.0,68.4,4.0,3.2,0.0,1
25.0,9.0,91.9,10.0,3.0,48.0,9.0,7.2,0.0,1
59.0,7.0,61.2,16.0,1.0,62.3,6.0,5.6,0.0,0
49.0,13.0,88.4,87.0,3.0,46.4,0.0,7.2,0.0,0
48.0,,70.7,70.0,0.0,82.8,1.0,8.1,0.0,1
23.0,10.0,84.2,50.0,3.0,90.0,2.0,6.8,0.0,1
,1.0,76.0,6.0,0.0,54.6,8.0,5.5,0.0,0
23.0,5.0,83.2,78.0,4.0,85.7,5.0,7.8,0.0,0
47.0,9.0,94.9,23.0,1.0,50.5,8.0,7.1,0.0,0
25.0,7.0,90.1,38.0,2.0,78.1,2.0,7.3,1.0,1
24.0,12.0,77.4,0.0,2.0,73.0,4.0,9.6,0.0,0
50.0,18.0,57.4,76.0,4.0,43.6,5.0,8.2,,1
49.0,1.0,97.3,60.0,2.0,56.6,4.0,4.4,0.0,0
45.0,17.0,86.1,78.0,0.0,97.3,7.0,4.3,0.0,0
35.0,,69.3,99.0,0.0,88.1,3.0,2.9,0.0,0
43.0,1.0,63.6,4.0,1.0,60.0,5.0,5.4,0.0,0
23.0,5.0,82.3,23.0,4.0,58.1,7.0,6.6,1.0,0
55.0,16.0,96.2,61.0,,74.4,3.0,4.6,1.0,1
22.0,16.0,61.6,83.0,3.0,46.8,7.0,4.1,1.0,1
,16.0,61.6,99.0,1.0,64.8,2.0,5.8,0.0,1
34.0,10.0,88.6,53.0,4.0,66.2,7.0,7.9,0.0,1
48.0,16.0,87.1,25.0,4.0,47.1,9.0,3.8,1.0,1
,6.0,53.8,84.0,3.0,73.1,6.0,4.0,1.0,0
37.0,14.0,88.1,27.0,2.0,90.5,0.0,1.9,0.0,1
33.0,14.0,95.8,61.0,0.0,70.9,7.0,8.4,0.0,0
24.0,10.0,82.1,45.0,4.0,67.4,2.0,9.5,0.0,0
43.0,7.0,59.0,82.0,4.0,87.8,0.0,8.4,1.0,1
27.0,7.0,90.7,13.0,0.0,78.6,1.0,3.5,0.0,1
56.0,19.0,94.8,81.0,3.0,65.9,7.0,8.6,1.0,1
30.0,20.0,67.9,14.0,4.0,94.6,5.0,1.3,0.0,1
55.0,14.0,77.4,10.0,3.0,69.8,5.0,7.4,1.0,1
51.0,8.0,62.8,13.0,0.0,47.8,6.0,2.2,0.0,0
32.0,20.0,98.5,6.0,0.0,67.5,6.0,1.8,1.0,0
49.0,17.0,73.1,81.0,0.0,70.6,4.0,4.0,0.0,0
54.0,4.0,92.7,88.0,3.0,83.1,3.0,4.0,1.0,0
27.0,15.0,80.3,23.0,0.0,41.2,0.0,1.3,0.0,0
51.0,13.0,53.8,0.0,2.0,54.2,9.0,7.4,1.0,1
54.0,7.0,63.6,51.0,1.0,97.4,1.0,2.9,1.0,0
40.0,18.0,88.7,44.0,2.0,92.0,2.0,7.4,0.0,0
52.0,4.0,68.5,16.0,1.0,63.2,8.0,1.1,1.0,0
49.0,21.0,72.7,66.0,4.0,83.5,1.0,2.3,0.0,1
22.0,13.0,68.2,50.0,1.0,90.7,5.0,4.7,1.0,1
59.0,2.0,78.4,60.0,4.0,65.1,9.0,1.8,1.0,1
29.0,16.0,97.8,58.0,3.0,99.3,5.0,8.3,1.0,1
28.0,4.0,94.4,4.0,4.0,56.9,0.0,,0.0,1
39.0,19.0,59.1,20.0,3.0,50.4,8.0,2.8,1.0,1
25.0,21.0,69.0,99.0,0.0,46.2,0.0,4.0,1.0,1
52.0,7.0,67.0,93.0,0.0,81.3,5.0,6.1,1.0,1
37.0,7.0,97.1,86.0,3.0,92.9,1.0,3.7,,1
34.0,8.0,97.9,16.0,3.0,73.5,3.0,2.3,0.0,0
41.0,20.0,79.8,44.0,4.0,62.6,2.0,7.2,0.0,1
52.0,24.0,98.9,93.0,3.0,60.7,5.0,3.5,0.0,1
45.0,18.0,56.5,11.0,3.0,82.6,6.0,9.2,0.0,1
31.0,17.0,66.0,61.0,3.0,41.1,3.0,7.3,0.0,1
40.0,14.0,87.5,62.0,2.0,83.3,2.0,7.3,0.0,1
23.0,18.0,69.0,92.0,0.0,96.2,8.0,2.9,0.0,0
27.0,6.0,68.4,7.0,4.0,87.2,4.0,4.2,0.0,1
40.0,12.0,61.0,71.0,2.0,72.8,8.0,2.4,0.0,1
41.0,19.0,91.3,1.0,3.0,61.9,9.0,9.1,0.0,0
27.0,10.0,56.5,55.0,3.0,61.6,2.0,8.9,0.0,0
33.0,22.0,88.4,66.0,0.0,50.3,9.0,7.1,0.0,1
57.0,2.0,98.8,45.0,2.0,71.2,2.0,8.8,0.0,0
48.0,23.0,96.2,4.0,2.0,64.8,9.0,1.6,0.0,1
35.0,7.0,57.7,84.0,3.0,47.0,3.0,4.0,1.0,0
53.0,13.0,75.6,61.0,0.0,49.2,8.0,3.1,1.0,1
34.0,11.0,59.2,60.0,0.0,70.6,8.0,9.3,0.0,0
42.0,9.0,97.8,61.0,0.0,53.7,6.0,1.6,,0
45.0,23.0,54.0,91.0,2.0,68.2,8.0,8.0,0.0,1
24.0,15.0,54.2,20.0,0.0,82.6,3.0,4.2,1.0,0
22.0,12.0,91.8,52.0,3.0,88.2,7.0,9.6,1.0,1
59.0,11.0,84.5,65.0,1.0,75.4,1.0,4.5,0.0,0
48.0,4.0,57.6,56.0,0.0,49.4,6.0,1.3,,0
30.0,2.0,85.9,10.0,2.0,62.9,7.0,4.5,0.0,0
58.0,18.0,91.7,77.0,0.0,51.7,3.0,6.5,0.0,0
32.0,15.0,85.2,22.0,1.0,93.1,1.0,6.7,0.0,1
55.0,23.0,79.8,2.0,1.0,81.2,3.0,8.8,1.0,1
31.0,19.0,69.5,1.0,1.0,45.6,2.0,9.5,0.0,0
45.0,22.0,85.1,1.0,1.0,89.0,9.0,2.5,0.0,0
48.0,15.0,65.5,75.0,4.0,40.2,3.0,2.9,1.0,0
40.0,1.0,51.7,35.0,0.0,53.3,1.0,4.9,0.0,0
51.0,24.0,83.1,19.0,0.0,95.1,4.0,4.0,1.0,0
35.0,24.0,83.0,95.0,3.0,46.6,8.0,2.8,0.0,0
40.0,24.0,56.1,11.0,2.0,48.3,4.0,2.8,0.0,0
58.0,10.0,80.4,77.0,0.0,65.1,0.0,3.5,1.0,1
34.0,8.0,54.4,5.0,3.0,40.2,2.0,,0.0,0
38.0,5.0,,75.0,3.0,98.2,4.0,4.0,0.0,1
44.0,19.0,95.2,41.0,4.0,99.6,5.0,9.9,,1
59.0,24.0,91.5,,2.0,46.0,2.0,6.8,0.0,1
40.0,12.0,89.4,30.0,1.0,73.6,9.0,6.6,0.0,0
55.0,6.0,96.7,36.0,0.0,82.9,6.0,2.5,1.0,1
42.0,9.0,73.8,81.0,1.0,55.9,2.0,1.1,0.0,0
42.0,15.0,93.9,75.0,2.0,77.5,1.0,3.0,0.0,1
32.0,7.0,63.4,71.0,4.0,68.6,3.0,8.2,0.0,0
47.0,8.0,53.7,25.0,0.0,52.3,,8.5,0.0,0
37.0,1.0,50.4,14.0,1.0,73.0,9.0,5.9,0.0,0
30.0,20.0,54.1,30.0,2.0,51.8,3.0,1.5,0.0,0
53.0,5.0,55.9,24.0,4.0,43.4,6.0,9.2,0.0,1
51.0,7.0,52.0,,2.0,92.3,2.0,5.3,0.0,0
41.0,4.0,80.4,90.0,3.0,52.9,,2.1,0.0,0
41.0,1.0,59.6,18.0,1.0,63.9,7.0,7.9,,0
31.0,2.0,62.6,77.0,1.0,43.2,8.0,5.8,0.0,0
50.0,20.0,63.8,60.0,3.0,81.6,0.0,6.9,0.0,1
25.0,13.0,56.1,87.0,3.0,54.0,4.0,6.9,1.0,1
44.0,21.0,98.5,62.0,0.0,52.7,3.0,7.8,1.0,1
44.0,5.0,85.0,46.0,0.0,92.4,9.0,8.8,0.0,0
50.0,18.0,62.4,24.0,1.0,72.3,5.0,6.1,0.0,0
32.0,7.0,68.5,44.0,2.0,98.5,9.0,3.3,1.0,1
32.0,18.0,71.7,5.0,3.0,79.5,9.0,7.4,0.0,0
43.0,24.0,94.2,,3.0,61.3,9.0,9.8,0.0,1
32.0,15.0,57.2,41.0,4.0,64.8,5.0,1.3,1.0,1
52.0,19.0,60.7,76.0,3.0,72.3,1.0,4.6,1.0,0
34.0,10.0,86.3,33.0,0.0,,2.0,6.1,0.0,1
41.0,6.0,86.3,11.0,0.0,90.0,1.0,6.8,0.0,0
32.0,17.0,90.7,93.0,3.0,77.5,8.0,8.2,1.0,1
58.0,11.0,60.1,77.0,1.0,40.5,3.0,5.6,1.0,0
24.0,9.0,59.3,52.0,1.0,91.0,5.0,2.6,0.0,0
32.0,8.0,65.1,59.0,1.0,45.8,5.0,8.9,0.0,1
41.0,5.0,59.9,95.0,1.0,41.3,0.0,9.6,0.0,0
44.0,4.0,90.3,7.0,3.0,,5.0,8.4,0.0,0
,12.0,50.2,26.0,1.0,44.7,5.0,7.8,1.0,0
33.0,14.0,62.2,24.0,2.0,67.5,2.0,8.2,1.0,0
30.0,4.0,52.2,57.0,3.0,52.4,7.0,2.1,0.0,0
25.0,3.0,70.4,26.0,0.0,83.1,4.0,8.2,0.0,0
46.0,,92.8,81.0,4.0,91.5,6.0,6.1,0.0,0
46.0,3.0,99.4,6.0,1.0,67.3,9.0,2.6,,1
28.0,13.0,79.5,5.0,1.0,84.2,7.0,9.3,0.0,0
22.0,9.0,,54.0,4.0,66.9,2.0,6.7,1.0,0
55.0,21.0,60.4,39.0,1.0,89.4,7.0,8.3,0.0,0
27.0,9.0,67.7,86.0,,81.9,7.0,3.9,0.0,0
22.0,6.0,62.2,68.0,0.0,77.2,2.0,6.9,1.0,0
40.0,5.0,,67.0,2.0,90.8,9.0,7.3,0.0,0
52.0,13.0,61.0,74.0,1.0,,2.0,9.3,0.0,0
57.0,7.0,58.5,67.0,1.0,42.5,0.0,3.9,0.0,0
26.0,5.0,54.7,39.0,1.0,46.0,1.0,6.8,0.0,0
42.0,4.0,87.7,43.0,3.0,93.6,8.0,2.5,1.0,1
59.0,6.0,67.7,72.0,0.0,83.6,2.0,5.8,0.0,0
25.0,10.0,75.2,35.0,1.0,82.3,2.0,3.4,0.0,0
30.0,24.0,72.8,18.0,4.0,,4.0,7.3,0.0,1
27.0,16.0,71.0,58.0,2.0,49.1,0.0,5.2,1.0,0
48.0,18.0,60.2,73.0,0.0,80.8,2.0,1.8,1.0,0
33.0,4.0,70.3,31.0,4.0,52.8,6.0,2.9,0.0,1
35.0,3.0,65.8,93.0,1.0,94.9,3.0,6.8,0.0,1
47.0,13.0,57.1,82.0,3.0,41.6,0.0,4.5,0.0,0
54.0,4.0,60.6,56.0,0.0,89.7,0.0,4.0,,0
48.0,13.0,99.1,92.0,2.0,77.4,3.0,3.6,1.0,1
