performance_score,projects_completed,weekly_hours,training_hours_yr,salary_lakh,promotions,attendance_pct,satisfaction_score,years_experience,team_rating
92.33,16.81,49.97,82.69,24.43,2.67,96.84,4.4,5.29,4.43
95.78,16.12,53.27,69.12,30.88,3.66,98.51,4.2,6.63,4.74
93.21,18.76,47.29,89.97,20.33,3.1,97.07,4.13,6.55,5.0
93.88,16.53,44.01,78.35,27.89,2.07,95.19,4.46,5.11,4.11
92.83,19.3,45.29,77.7,30.13,2.27,95.26,4.51,7.28,5.0
96.77,19.8,50.56,82.23,21.35,1.44,94.15,4.72,6.27,4.31
85.07,20.46,48.14,82.81,40.09,2.76,96.1,4.76,6.96,4.6
95.42,18.21,48.87,69.83,31.71,2.57,94.05,4.3,,4.25
97.76,17.16,45.36,91.0,24.13,1.99,96.16,4.73,5.71,4.82
82.56,17.23,50.64,75.99,26.3,3.08,100.0,3.81,9.21,4.66
94.62,18.89,49.17,95.2,31.08,2.5,97.85,3.92,9.6,4.8
92.89,16.14,48.84,78.25,29.75,3.68,93.62,4.23,8.77,4.88
96.67,15.48,46.7,91.06,31.28,3.28,93.52,3.98,6.93,4.62
84.39,18.39,45.3,78.09,27.0,3.9,100.0,4.0,11.17,4.37
88.09,18.95,53.59,,25.5,2.69,98.97,4.13,8.13,4.15
93.18,18.18,43.7,79.89,30.25,2.74,97.84,4.69,8.73,5.0
95.44,19.81,43.48,53.93,29.93,2.82,97.27,3.73,8.56,4.81
82.01,14.87,49.45,65.64,32.1,1.53,94.82,4.04,6.24,4.16
95.92,16.56,49.57,81.06,23.23,3.24,96.25,4.09,9.35,4.77
92.46,15.29,46.28,75.54,39.05,4.45,96.05,4.12,9.48,4.64
90.14,13.57,53.73,71.22,34.14,2.28,94.8,4.26,7.16,4.21
92.97,18.56,43.61,73.92,,1.32,97.63,4.76,5.27,4.43
96.77,16.03,52.5,72.78,27.46,2.84,94.64,4.18,4.55,3.74
95.62,16.29,45.8,66.65,39.06,2.29,94.67,4.51,7.63,4.34
92.53,16.75,50.01,74.88,24.63,2.86,99.31,4.21,6.88,4.64
96.21,18.82,51.41,,28.01,3.09,98.14,4.17,7.2,4.7
,14.87,50.1,73.95,30.02,4.37,92.89,3.85,3.75,4.65
90.13,17.77,55.68,95.82,29.79,2.55,93.86,4.19,9.65,4.94
92.88,18.86,50.64,79.87,32.96,2.69,92.66,4.51,9.51,4.29
95.54,15.29,46.16,79.89,34.16,3.16,95.91,4.12,7.18,4.71
83.61,20.25,45.4,85.82,26.56,3.59,93.99,4.3,8.39,4.71
97.31,18.21,48.44,79.74,19.65,2.99,96.53,3.99,8.67,5.0
89.97,17.6,49.5,85.63,26.91,2.72,96.9,4.09,7.55,4.38
94.59,20.29,44.18,69.88,,3.35,94.6,4.7,6.71,4.31
92.93,17.47,44.5,76.19,27.09,3.66,96.44,4.47,10.05,5.0
93.1,17.65,50.64,72.94,21.08,2.49,98.12,3.89,7.11,
94.38,18.1,50.57,82.33,34.3,3.65,98.74,4.47,7.31,4.42
92.59,16.92,48.84,65.8,25.61,2.18,96.03,4.33,6.48,4.14
87.2,16.35,55.48,88.21,28.92,3.17,99.53,3.99,4.37,4.87
84.81,16.85,44.68,59.67,23.13,1.97,95.13,4.34,6.65,4.58
86.16,15.79,48.57,65.68,33.6,2.03,98.36,3.97,8.85,4.37
93.64,16.71,49.83,78.05,29.0,2.29,97.23,3.99,7.53,4.95
89.32,15.49,50.18,81.24,27.63,3.26,96.0,4.06,8.42,4.48
87.44,18.82,46.77,64.38,38.27,3.4,95.35,3.5,5.76,4.64
98.39,19.85,42.16,72.23,28.92,1.59,99.5,4.19,9.85,5.0
93.31,16.34,48.68,76.55,24.76,2.56,92.3,3.83,7.77,5.0
88.65,16.92,52.84,88.32,19.02,2.39,96.28,4.2,10.46,3.94
89.5,19.22,44.51,80.87,27.41,3.11,99.47,,7.29,4.44
88.4,14.39,46.26,75.97,32.91,2.5,97.1,4.23,10.18,4.6
87.03,19.22,42.42,101.41,29.45,3.26,97.07,4.37,9.0,4.53
88.53,16.43,47.12,72.15,29.51,2.32,98.38,4.51,4.37,4.49
91.18,18.35,50.42,69.96,33.96,3.01,98.69,4.47,10.25,4.35
89.47,17.76,50.3,57.87,28.5,,92.3,4.23,10.26,4.51
89.91,16.02,41.07,93.0,30.87,3.02,99.85,4.08,10.52,3.99
98.61,14.9,48.69,76.8,24.43,2.67,98.63,4.76,9.19,4.65
94.02,20.31,42.17,74.16,26.27,2.84,98.74,4.03,7.16,4.46
94.4,16.45,47.46,76.66,27.52,3.96,98.43,4.47,7.07,4.29
92.44,14.54,47.07,89.45,26.29,2.6,100.0,4.26,10.66,4.5
96.84,19.82,41.37,100.43,22.83,3.99,97.45,4.2,7.05,4.83
88.73,15.52,48.83,93.81,29.68,3.29,95.41,3.89,6.8,4.21
92.32,14.19,43.25,77.72,40.83,4.28,95.1,4.08,4.89,4.41
90.72,18.77,55.31,89.27,24.97,1.9,93.35,3.77,10.61,4.98
92.31,15.68,49.95,90.28,24.25,3.14,97.63,3.62,8.69,4.91
95.69,20.27,56.77,89.43,35.34,2.33,94.82,4.33,3.67,4.44
98.1,17.07,55.31,88.85,24.42,1.34,94.73,4.19,6.95,4.82
96.3,14.06,43.75,82.61,25.73,3.7,96.75,4.41,8.4,4.75
93.47,15.38,46.13,74.34,27.64,3.05,97.2,4.66,7.1,4.45
92.19,17.27,45.06,76.51,31.09,3.09,96.1,4.26,4.81,4.44
94.29,18.72,45.59,75.0,29.72,4.24,97.41,4.05,7.5,4.38
86.93,17.54,51.05,65.71,24.86,1.78,95.33,4.29,7.68,4.67
94.83,20.7,47.94,83.8,24.5,1.37,96.81,3.48,8.57,3.9
82.84,18.43,52.08,87.78,29.51,3.14,100.0,4.0,7.39,4.73
92.08,18.91,54.79,83.33,27.35,2.85,97.22,4.51,5.02,4.78
94.42,15.73,46.87,67.21,29.78,2.34,97.32,3.7,4.99,4.44
90.16,18.9,51.94,81.49,28.47,4.15,98.13,4.05,5.91,4.72
88.53,20.29,49.25,81.81,32.33,2.33,95.66,3.67,5.31,4.42
91.66,16.98,50.89,77.42,28.99,3.01,97.06,3.66,7.9,4.5
94.78,18.54,46.65,75.14,32.03,4.9,94.48,4.26,4.63,4.89
94.09,17.67,45.89,104.85,39.42,2.33,96.47,4.43,11.59,4.6
96.07,16.47,47.52,68.22,32.84,3.23,95.94,3.87,4.52,4.71
93.78,18.0,47.82,82.31,27.29,2.62,97.7,4.17,5.42,4.57
89.89,17.73,48.64,111.09,34.52,2.31,97.4,4.21,10.48,4.38
93.25,21.92,48.18,80.07,26.75,1.27,94.93,4.82,9.31,5.0
92.44,16.83,50.45,93.3,33.72,3.43,98.87,4.42,10.67,4.05
89.03,20.06,46.27,78.43,26.24,3.88,100.0,4.11,7.02,4.43
97.85,17.18,48.94,83.65,30.8,3.24,98.4,3.41,6.46,4.52
86.65,18.99,47.45,69.25,28.07,1.58,98.53,3.97,9.2,4.66
93.41,18.81,47.74,96.22,26.3,2.97,97.46,4.1,7.24,4.71
91.46,16.48,47.1,88.8,30.27,1.0,93.28,3.68,9.68,5.0
87.21,,48.52,81.16,20.99,2.66,95.73,3.86,5.88,4.15
87.37,18.37,43.52,77.73,27.61,2.72,98.56,4.2,4.74,3.88
92.85,18.47,49.54,77.81,19.51,3.18,99.4,4.29,8.51,4.38
91.59,16.43,51.76,75.4,26.8,3.87,95.41,4.09,9.39,5.0
95.23,21.47,45.98,81.19,29.75,3.61,97.94,4.19,7.65,4.66
94.4,21.89,44.88,83.09,26.38,3.41,92.71,4.15,9.04,4.31
94.65,22.46,42.52,75.44,29.28,1.95,93.96,4.55,11.65,4.59
84.57,20.21,59.18,78.01,26.86,3.68,97.19,4.22,6.73,4.47
93.06,20.78,49.25,89.8,20.91,2.9,97.22,4.18,8.36,4.67
90.71,18.91,42.99,75.12,25.67,2.5,98.46,4.21,8.33,4.36
98.15,14.57,48.3,81.13,33.01,2.14,99.84,3.79,6.97,4.46
91.19,22.39,45.92,86.16,26.77,4.25,97.71,4.34,9.27,3.87
,19.02,47.75,86.3,17.8,2.51,95.17,4.77,10.71,4.33
92.06,19.94,45.28,69.95,29.6,2.83,,4.54,7.14,4.56
98.9,18.78,40.1,83.67,27.31,3.67,93.48,3.78,6.7,4.52
94.56,17.0,48.15,79.71,25.9,3.24,96.74,4.28,7.53,4.27
99.82,17.54,54.12,59.98,27.31,3.43,96.55,4.53,6.6,4.74
93.47,17.48,49.41,82.48,30.87,3.21,97.71,,6.19,4.41
87.89,19.78,48.27,86.79,31.23,4.5,95.17,4.26,8.69,4.38
92.72,18.7,50.32,95.55,28.05,3.86,94.04,4.74,7.45,4.12
97.86,16.53,47.03,76.93,22.19,2.69,94.54,4.1,5.26,4.07
90.21,18.46,49.35,78.09,24.36,1.41,100.0,4.32,7.33,4.07
96.88,18.6,49.83,82.41,28.71,3.5,96.46,4.35,11.45,4.45
88.86,17.44,42.5,77.42,27.98,3.95,93.5,4.35,10.04,5.0
98.8,20.21,44.84,93.46,24.68,2.9,94.33,3.81,9.65,4.03
,17.99,47.16,67.61,29.94,2.61,95.95,4.14,8.24,4.3
80.25,16.17,50.52,63.02,29.55,2.59,94.45,4.23,11.28,4.64
86.95,18.41,42.63,95.43,29.88,2.24,96.32,4.41,13.24,4.7
95.18,16.03,51.69,73.87,27.11,2.62,98.3,3.88,9.99,4.45
90.74,19.31,49.13,45.43,34.71,3.02,100.0,3.98,6.67,4.1
93.13,17.51,45.99,71.26,22.81,3.01,95.23,4.01,9.27,4.13
96.39,18.76,46.29,66.45,30.58,2.37,95.19,4.03,13.47,4.94
98.0,21.05,43.63,74.92,30.83,3.57,96.26,4.04,11.22,4.36
95.32,15.64,51.15,80.19,36.09,3.64,96.44,4.42,8.22,3.74
81.47,20.13,47.83,76.43,33.55,3.61,95.52,4.53,10.33,4.56
95.73,16.14,50.02,54.48,30.95,2.67,97.41,4.21,7.63,
96.57,17.92,47.67,66.58,23.74,4.8,96.48,4.33,11.16,4.1
89.23,19.75,49.5,85.12,21.22,1.39,99.66,4.38,10.05,
91.48,15.87,50.54,88.65,24.35,2.91,97.75,4.14,6.74,4.74
85.69,14.67,49.23,78.92,24.87,2.35,97.76,4.26,10.41,4.4
93.7,22.3,53.62,77.25,26.36,2.1,97.9,4.01,9.41,4.86
91.24,21.3,47.92,87.47,36.44,3.68,96.56,4.03,6.21,4.57
87.97,15.13,53.29,83.2,28.31,3.15,94.57,4.48,8.96,4.61
91.7,21.55,44.04,54.23,32.53,2.61,,4.06,8.25,4.8
94.74,20.37,52.62,70.96,26.91,2.59,98.13,4.06,8.48,4.85
92.6,17.08,46.53,71.5,28.03,2.32,97.89,4.52,7.24,4.0
87.39,19.56,55.73,87.84,26.49,3.18,96.22,4.8,7.18,4.57
89.12,15.31,49.93,96.82,31.87,2.9,97.99,4.22,8.88,4.43
,15.86,42.42,76.86,,4.19,96.93,3.95,,4.54
94.82,19.84,43.49,76.91,27.73,4.6,96.61,4.59,7.51,4.17
92.41,15.45,45.9,80.43,30.68,3.03,98.67,,9.69,4.35
96.01,18.23,38.79,73.52,26.42,3.83,95.03,3.9,9.16,4.36
90.53,20.86,46.42,79.81,22.87,3.84,99.27,4.2,5.17,4.08
99.46,18.6,45.52,72.15,21.99,2.49,100.0,4.36,8.26,4.58
90.85,16.48,40.06,77.03,32.61,3.59,100.0,4.57,9.76,4.71
96.81,19.93,46.9,86.95,31.51,3.75,95.22,3.97,7.52,4.59
95.1,21.52,51.95,74.67,26.57,,96.51,3.78,11.1,4.38
94.12,17.86,43.14,64.92,27.82,2.77,97.77,3.85,4.14,4.43
90.69,19.74,46.59,79.39,29.29,2.88,96.53,3.57,8.34,4.39
86.97,20.54,46.19,88.53,22.05,3.0,94.64,4.44,6.85,4.89
94.09,17.65,53.01,89.14,36.72,4.36,98.97,4.32,,4.71
90.15,19.18,50.96,75.27,33.13,2.59,94.96,4.43,9.56,4.52
84.19,18.88,58.38,89.04,32.15,2.19,98.76,3.93,7.88,4.04
90.02,17.3,49.99,103.87,28.2,3.78,98.76,3.99,9.15,3.75
97.07,16.15,46.0,98.33,30.08,1.45,94.52,4.41,7.17,4.44
95.79,17.51,49.82,,30.78,3.45,95.06,4.03,12.83,4.89
86.83,22.64,47.5,80.25,20.45,3.16,99.27,4.52,5.83,3.98
92.68,18.79,44.36,82.61,22.68,2.59,97.03,3.98,4.87,3.91
93.66,17.38,51.6,88.93,29.14,3.05,98.24,4.57,8.57,4.17
97.05,16.71,44.83,74.67,36.69,2.43,97.97,4.88,7.74,4.24
,21.18,50.96,94.54,26.97,2.28,99.42,4.35,7.98,5.0
87.01,16.27,48.28,85.34,27.39,3.3,95.0,4.27,8.5,4.72
99.61,18.32,44.78,81.84,27.42,2.7,99.67,4.11,9.28,4.69
90.05,18.49,48.39,83.41,23.18,2.58,100.0,4.67,7.87,4.59
90.07,20.04,,64.46,22.96,3.35,99.02,4.69,12.4,3.93
91.58,20.26,52.11,60.15,28.05,3.54,96.41,4.34,9.05,4.59
94.96,13.84,45.12,70.08,24.94,3.24,96.66,3.39,,4.62
96.3,21.41,44.58,70.31,,5.32,93.91,3.82,8.25,4.75
93.65,17.98,51.35,84.04,22.66,3.26,98.06,4.11,5.73,4.67
86.71,20.76,45.85,72.35,29.78,4.89,96.4,4.63,10.08,
89.5,16.42,52.21,88.82,29.97,2.88,94.84,3.79,8.29,4.67
94.22,20.0,43.68,78.84,21.14,2.71,95.16,4.37,7.78,4.59
90.99,15.86,50.0,90.55,24.67,3.87,97.43,4.31,7.69,4.14
94.88,18.37,49.97,77.12,31.01,2.5,93.98,4.19,8.09,4.38
91.87,17.54,49.73,73.58,30.87,1.84,97.98,4.4,9.72,4.52
91.71,19.64,49.34,80.16,19.96,1.42,94.85,3.79,9.2,4.3
93.67,20.07,47.67,84.89,29.18,3.41,99.48,4.17,10.5,4.91
100.0,17.42,53.85,101.5,27.61,1.82,,4.11,9.97,4.28
100.0,19.09,48.69,87.21,,3.27,94.21,3.88,,4.59
94.48,17.34,51.21,68.22,19.28,2.8,96.83,3.77,6.23,4.49
95.58,18.56,47.67,80.11,30.74,4.09,97.62,3.99,9.16,
93.48,18.71,42.81,85.42,30.86,2.86,95.14,4.14,7.13,5.0
96.47,18.6,43.27,103.91,30.04,3.99,96.63,3.98,9.93,4.05
94.49,22.35,45.42,69.95,33.73,2.83,99.25,4.49,6.78,4.65
96.4,16.16,44.92,86.35,29.91,3.69,99.39,4.49,13.26,4.72
86.29,15.92,50.9,86.25,26.1,3.35,98.08,4.6,6.97,4.7
87.52,19.25,40.5,87.06,27.09,3.5,94.62,4.39,4.78,4.15
90.49,16.71,47.7,88.41,22.7,2.53,95.81,4.2,9.22,4.57
90.39,19.21,40.97,68.01,25.99,2.98,98.16,4.43,5.83,4.09
88.71,17.41,43.77,72.05,24.16,4.71,98.08,4.02,5.53,4.39
86.56,15.0,50.17,,27.05,3.33,95.77,4.57,8.55,4.04
91.28,16.06,43.15,77.24,25.35,2.85,97.51,3.94,8.43,4.98
92.63,19.33,47.99,96.49,31.61,3.84,94.75,3.62,5.47,4.69
98.07,22.44,44.05,93.75,27.92,3.35,96.01,4.32,6.14,4.5
91.1,17.83,51.48,90.45,33.52,,97.96,4.26,3.94,4.07
94.56,19.93,53.05,70.99,30.23,2.69,98.89,3.94,7.4,4.61
90.81,19.77,44.57,91.35,23.48,3.53,93.68,3.87,6.06,4.92
91.66,19.35,47.39,99.11,30.38,2.81,97.88,4.21,8.92,3.88
90.89,15.27,52.8,80.83,30.96,3.35,97.64,4.09,6.52,4.76
86.87,16.74,48.39,62.34,21.49,,100.0,4.23,8.16,3.98
95.26,18.93,49.39,87.83,28.24,3.29,97.27,4.48,7.27,4.54
94.33,19.27,48.06,75.36,28.18,4.29,98.09,4.14,7.7,4.5
97.1,14.51,45.02,67.67,21.38,2.17,99.11,4.0,7.84,4.92
89.67,,53.46,67.5,26.83,3.86,97.05,4.27,6.41,4.86
94.41,19.6,39.55,83.12,34.06,3.17,97.29,4.04,9.03,5.0
90.56,20.21,45.16,76.19,35.73,2.86,98.61,3.97,6.01,4.89
89.0,17.24,52.19,61.86,25.46,2.18,97.33,4.07,7.94,4.5
91.18,18.8,51.9,84.18,32.07,3.59,97.31,4.86,7.56,4.7
92.67,17.92,46.69,71.2,28.12,2.36,95.01,4.24,10.65,4.65
88.95,19.1,48.74,71.31,22.89,3.97,97.14,5.0,8.13,4.6
85.21,17.97,51.24,79.29,25.1,1.5,97.82,4.22,,4.49
89.44,19.56,44.78,84.65,27.71,2.62,99.65,4.43,9.06,4.33
96.45,18.37,45.8,90.02,,4.12,94.16,4.15,11.53,4.2
99.04,15.47,48.18,83.37,20.42,2.29,94.61,4.18,4.39,4.57
88.3,19.15,50.74,73.14,22.31,3.8,97.6,4.11,7.98,5.0
91.0,18.7,46.12,91.96,31.68,3.36,96.1,4.51,6.03,5.0
93.69,16.12,51.34,96.78,33.74,3.13,97.48,4.61,5.56,4.5
95.25,20.83,43.02,72.0,30.42,2.99,98.52,4.37,9.84,4.15
89.41,18.6,52.01,76.62,36.14,3.89,98.89,4.02,8.67,5.0
90.31,17.26,45.67,86.86,28.82,4.18,97.14,4.2,9.06,4.21
96.12,18.01,48.94,83.48,24.99,3.05,94.17,4.09,6.25,
96.35,19.04,52.24,104.89,30.34,3.78,96.5,4.46,9.03,4.58
94.54,15.83,45.42,68.61,32.77,3.02,99.07,4.09,8.7,4.13
98.17,18.24,52.51,92.43,33.74,3.79,96.36,4.57,12.15,4.56
93.03,16.48,46.81,81.5,,2.79,97.74,4.38,8.01,3.77
91.5,17.72,45.41,62.03,28.46,3.49,99.31,4.58,8.81,4.83
86.48,17.61,51.96,93.18,20.84,3.34,96.62,4.77,11.07,4.09
98.22,20.83,47.96,52.56,26.62,2.39,95.88,4.0,6.71,4.34
87.73,16.59,47.49,88.9,33.22,3.18,96.3,4.05,7.64,3.96
88.33,15.28,48.7,82.48,24.22,4.09,95.73,4.05,5.7,4.73
92.21,15.68,45.15,93.29,28.15,2.57,96.85,4.15,7.64,4.53
,18.42,50.25,89.74,29.83,2.43,94.95,4.57,10.44,4.8
89.93,22.37,43.52,94.01,24.82,,95.78,4.43,7.29,4.72
88.06,20.38,48.44,68.05,27.99,1.95,97.09,4.88,6.56,3.9
93.84,15.42,54.75,88.57,17.99,0.32,98.52,4.52,10.55,4.28
90.19,19.64,53.47,64.52,28.12,4.67,100.0,4.62,7.45,4.54
88.98,19.16,54.74,86.04,31.88,2.26,93.85,3.9,6.77,4.47
92.42,20.2,47.83,79.41,27.23,2.87,95.67,4.41,8.37,4.38
93.07,17.36,49.5,78.06,25.46,2.03,97.14,4.46,5.26,4.68
87.52,18.72,50.71,85.67,25.14,3.7,99.03,4.06,9.62,4.3
95.16,17.53,44.19,85.21,22.82,4.0,,4.17,7.38,4.12
100.0,12.96,46.68,86.71,34.41,2.39,94.36,4.1,8.53,4.01
95.94,17.84,46.25,74.82,24.32,2.97,100.0,4.37,6.17,4.45
93.37,19.03,48.37,97.39,26.76,3.23,99.05,4.83,9.48,4.68
92.61,21.76,46.38,84.91,26.17,1.98,99.47,4.6,9.91,4.81
85.26,14.49,47.59,81.64,35.56,3.24,96.51,3.97,5.69,4.39
91.21,17.16,42.15,84.63,28.62,,96.28,4.0,6.83,4.86
94.11,20.96,,72.45,29.06,3.46,100.0,4.55,8.48,4.49
95.01,19.07,45.82,78.11,26.25,2.33,95.49,4.36,5.86,
96.06,19.12,43.85,74.74,28.08,2.84,98.8,4.09,10.04,4.84
87.75,18.43,44.87,76.08,24.64,3.58,94.79,4.47,7.38,4.16
86.16,15.62,49.68,62.11,34.52,2.96,97.02,3.94,,4.23
90.4,16.62,46.15,94.46,29.39,2.47,97.79,4.08,6.88,4.81
93.47,14.64,54.38,65.58,37.37,2.71,95.38,4.39,9.47,4.15
88.2,,45.81,93.72,34.27,2.83,98.33,,8.15,4.82
89.0,19.63,46.55,82.57,30.53,1.96,95.45,4.13,7.84,4.77
90.43,16.21,47.27,85.42,26.71,1.37,94.34,4.17,8.07,4.43
97.06,18.27,46.61,74.16,30.24,3.41,94.67,4.16,5.9,4.69
93.42,17.82,50.92,74.12,26.45,2.17,96.61,4.31,9.29,4.51
98.88,18.8,45.47,76.32,32.08,2.69,93.35,3.8,6.34,4.32
89.08,16.7,48.26,79.95,27.16,3.59,97.26,4.16,7.09,4.33
94.83,22.53,54.07,74.4,25.36,3.94,98.47,,4.98,4.5
91.55,21.43,47.48,63.13,28.22,2.93,96.71,4.19,2.24,4.23
89.59,18.94,53.74,92.49,,2.51,99.42,3.62,7.61,4.72
92.05,16.89,55.17,102.63,24.77,3.07,98.59,3.72,9.21,4.47
96.05,20.11,55.58,89.58,30.7,3.71,97.79,3.62,8.97,3.71
94.62,16.81,48.44,85.6,28.03,3.8,95.9,,12.0,4.61
92.74,20.75,44.48,80.12,26.13,2.88,97.07,4.18,11.79,4.66
100.0,15.69,46.47,84.84,25.99,1.5,94.9,3.86,9.22,4.61
87.72,20.27,48.83,91.19,30.69,2.62,94.22,3.72,8.4,4.52
95.29,16.13,50.3,80.69,28.04,3.05,95.83,4.45,5.84,4.0
88.04,18.1,53.22,72.98,18.94,3.22,98.43,4.34,4.95,4.69
95.21,16.47,44.1,106.34,32.65,1.32,96.27,4.45,9.56,4.6
92.41,18.45,51.73,82.21,25.94,3.95,98.16,4.33,8.0,4.34
100.0,17.14,45.31,75.68,24.2,2.17,99.61,3.9,6.28,4.16
91.65,17.47,41.83,83.01,32.62,2.5,97.75,4.82,6.4,4.86
92.88,17.02,54.32,85.29,31.47,4.7,94.94,4.11,7.91,4.52
