fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,alcohol,high_quality
13.0,,0.98,8.7,0.049,62.9,263.7,1.0012,3.67,8.7,1
5.7,0.18,0.73,2.7,0.193,64.2,11.8,0.9988,3.8,11.7,1
11.4,1.5,0.57,6.1,0.022,65.8,90.1,,2.9,14.3,1
12.9,0.22,0.95,7.4,0.138,39.3,144.4,1.0027,2.97,9.3,1
6.0,0.59,0.26,11.3,0.195,53.0,271.2,0.9993,3.91,11.6,0
11.3,0.76,0.31,3.8,0.044,24.0,210.9,0.9908,3.03,14.1,1
15.3,1.28,0.99,14.5,0.178,4.5,222.6,0.9976,3.59,12.5,0
10.0,1.08,0.41,1.6,0.079,64.6,69.1,1.0039,4.0,9.6,0
10.9,0.41,0.67,2.2,0.163,18.7,6.7,0.9997,3.34,10.8,0
8.7,0.65,0.8,9.2,0.109,28.6,232.9,0.9924,3.7,11.4,0
11.1,1.12,0.58,2.8,0.047,26.4,187.9,0.9992,3.79,13.1,1
7.1,1.11,0.92,3.1,0.098,33.4,232.4,0.9969,3.08,13.1,0
5.0,1.16,0.34,10.2,0.063,65.6,209.1,0.9933,3.17,10.5,0
8.4,1.31,0.87,14.8,0.125,7.1,20.3,0.9957,3.76,13.1,1
13.9,0.77,0.54,7.2,0.14,36.7,201.7,0.9909,3.35,13.7,1
10.7,1.38,0.76,8.0,0.081,59.4,211.8,0.9957,3.52,12.1,1
5.4,1.28,0.43,9.3,0.177,32.1,179.7,1.0031,3.54,12.8,0
15.1,1.12,0.14,1.6,0.054,65.9,222.7,0.9949,3.41,9.9,0
12.4,0.36,0.49,8.0,0.156,14.2,248.5,0.9975,3.35,9.2,0
4.8,0.12,0.01,14.9,0.134,40.3,186.8,0.9909,3.49,12.3,1
6.0,0.95,0.11,3.8,0.12,34.6,286.7,0.9927,3.7,14.3,1
15.2,0.21,0.64,5.6,0.199,21.5,169.7,0.9974,3.87,9.2,0
6.3,1.07,0.47,14.3,0.023,5.1,77.7,0.993,3.2,9.7,0
5.6,0.21,0.12,12.5,0.076,46.3,272.8,0.9996,3.05,9.0,0
8.9,0.8,0.46,7.7,0.17,3.4,14.2,0.9963,3.77,14.9,1
10.4,1.16,0.74,9.3,0.023,21.8,242.7,0.9975,3.82,14.3,1
12.6,0.55,0.52,1.2,0.053,6.2,48.6,1.0013,3.23,9.2,1
7.2,1.32,0.55,1.0,0.087,60.4,199.1,0.9981,3.12,10.9,0
9.1,0.63,0.14,11.8,0.027,43.4,82.6,0.993,3.04,10.7,0
7.8,1.4,,,0.075,21.1,37.4,0.9919,3.65,14.5,1
,0.65,0.25,1.8,0.125,1.9,117.9,1.0038,3.37,11.7,0
14.2,0.67,0.62,1.7,0.083,65.1,239.2,1.0034,3.16,12.9,1
9.3,0.4,0.99,7.9,0.061,8.6,162.5,0.9988,3.85,11.0,1
15.6,0.71,0.61,7.5,0.188,49.4,72.4,1.0008,3.34,11.1,1
11.2,1.42,0.43,14.2,0.129,14.5,131.3,0.9984,3.62,8.1,0
12.0,0.49,0.93,5.7,0.023,20.1,102.0,1.002,2.9,10.8,1
11.1,0.51,0.19,12.1,0.1,25.7,211.5,1.0016,3.2,8.4,0
6.1,1.16,0.14,4.4,,10.0,22.9,0.9922,3.37,11.9,1
,1.4,0.6,10.6,0.195,53.9,275.6,1.0,3.33,13.4,0
15.0,1.46,0.79,7.3,0.096,,176.5,0.992,3.27,13.7,1
9.4,1.15,0.64,7.0,0.079,26.6,93.2,0.9933,3.4,9.9,0
10.0,1.17,0.02,11.1,0.013,30.7,268.0,0.9994,3.83,11.5,1
14.7,0.86,0.41,11.0,0.105,53.5,88.8,0.9956,2.91,10.4,0
14.8,0.97,0.23,5.4,0.193,46.3,266.4,0.9978,3.83,13.0,0
4.8,1.43,0.86,,0.07,24.9,153.9,1.0007,3.84,14.2,0
6.2,0.7,0.36,1.6,0.08,70.1,116.0,0.9948,3.03,12.5,1
12.6,0.68,0.01,10.1,0.155,71.7,221.4,0.9911,3.9,13.5,1
5.1,0.64,0.16,5.1,0.018,55.5,216.1,0.9939,3.63,13.1,1
15.0,1.23,0.81,6.9,0.15,54.0,29.8,0.9962,2.99,10.2,1
13.5,1.54,0.93,6.7,0.132,62.1,54.9,0.9919,2.95,8.9,0
7.5,0.57,0.03,9.4,0.2,53.9,39.1,0.9963,3.79,14.5,1
7.9,0.34,0.75,14.1,0.195,65.4,120.1,0.9952,3.69,13.0,1
6.4_err,0.86,0.19,7.6,0.089,11.7,121.6,1.002,3.56,12.2,0
14.6,0.44,0.4,10.8,0.185,71.3,144.7,0.9944,4.0,13.3,1
10.3,1.29,0.7,4.1,0.053,62.3,17.0,1.0013,3.81,13.6,1
6.1,0.71,0.84,10.3,0.102,42.2,269.5,1.0033,3.41,10.4,0
7.4,1.47,0.02,1.5,0.169,65.1,243.6,0.9943,3.88,11.2,0
6.6,1.32,0.93,14.1,0.139,7.5,140.2,1.0023,3.89,12.5,0
13.4,1.15,0.91,7.1,0.108,48.1,156.9,0.9995,3.07,13.1,1
11.0,0.27,0.31,3.3,0.089,18.4,257.2,0.9999,,10.8,1
6.8,1.38,0.7,7.3,0.059,59.1,261.3,1.0018,3.16,8.4,0
11.5,1.33,0.19,14.5,0.08,50.1,74.5,0.9984,3.53,,1
11.0,0.66,0.73,14.7,0.046,41.6,85.4,,3.23,12.7,1
14.0,1.25,0.13,2.3,0.101,41.7,181.5,0.9931,2.9,14.1,1
6.3,1.53,0.7,12.9,0.061,14.6,96.6,0.9902,2.95,13.3,1
12.9,0.98,0.34,1.1,0.072,2.4,256.6,0.9904,3.56,13.3,1
6.7,1.33,0.74,2.1,0.02,,204.2,0.9959,3.31,9.0,1
6.6,1.13,0.86,5.6,0.182,65.6,100.9,1.0,3.67,14.1,1
12.1,0.64,0.1,10.1,0.191,6.8,170.3,1.0028,3.93,12.9,1
7.6,0.46,0.07,2.0,0.084,48.4,86.8,1.0033,3.2,14.6,1
13.4,1.27,,3.5,0.084,71.4,224.2,0.9914,3.4,,0
7.3,0.54,0.45,11.9,0.128,14.0,169.4,0.9982,3.61,11.6,0
10.8,1.42,0.86,13.5,0.099,15.3,67.2,0.9908,3.62,10.6,0
6.1,0.45,0.55,5.7,0.065,54.3,221.7,0.9949,2.98,11.5,1
13.3,0.26,0.13,11.9,0.157,56.4,,1.0023,3.38,8.6,1
5.5,0.74,0.04,10.3,0.185,28.3,232.7,0.9997,3.08,11.1,1
9.9,0.81,0.16,13.4,0.172,35.0,177.6,0.9967,3.73,13.7,1
15.2,0.23,0.29,10.7,0.151,54.3,209.3,1.0,3.97,10.9,1
8.6,0.86,0.66,13.9,0.096,71.2,153.9,1.0037,3.71,13.1,0
10.6,0.54,0.86,2.0,0.063,29.2,78.7,0.9972,3.83,14.4,1
13.8,1.24,0.68,4.6,0.17,10.7,139.5,0.9992,3.85,10.6,0
12.7,1.08,0.0,10.6,0.124,67.3,261.7,0.9942,3.38,9.6,0
8.8,0.92,0.76,5.0,0.183,37.6,264.7,0.9931,2.91,8.5,0
7.1_err,1.23,0.74,5.8,0.169,37.9,118.5,1.0034,2.97,11.0,1
6.7,1.58,0.02,8.9,0.044,55.3,86.8,0.993,3.95,13.5,0
12.1,0.26,0.57,6.2,0.059,68.0,146.1,1.0016,3.1,8.8,0
5.9,1.0,0.99,2.2,0.088,55.5,31.6,0.993,3.04,13.1,1
5.0,1.32,0.9,8.3,0.157,2.2,278.9,0.9995,3.91,10.7,0
4.7,0.69,0.26,7.7,0.131,16.5,158.9,0.9914,3.61,11.9,0
6.3,0.48,0.35,4.4,0.111,5.0,226.2,0.9971,2.99,14.2,1
12.7,0.4,0.33,7.4,,42.4,16.1,0.9953,3.44,10.3,0
7.6,,0.73,4.9,0.028,4.9,189.6,0.9915,3.23,12.8,0
5.8,1.17,0.13,1.9,,66.4,133.1,0.9902,3.93,12.4,0
16.0,0.53,0.08,7.6,0.036,41.0,216.5,0.9957,3.48,14.0,1
5.5,1.22,0.38,3.2,0.081,57.9,93.7,0.9955,3.07,8.4,0
6.5,1.16,0.08,1.6,0.155,49.0,261.7,0.9947,3.92,,0
13.9,0.21,0.96,1.8,0.091,70.8,86.5,1.0029,2.98,10.4,1
10.4,1.14,0.23,7.9,0.063,27.6,35.9,0.9976,3.2,9.1,0
15.8,1.6,0.05,3.5,0.116,33.8,108.2,1.0,3.62,14.6,0
7.4,1.06,0.24,,0.105,42.3,161.5,1.0029,3.64,12.8,1
5.9,1.23,0.62,4.9,0.053,14.1,32.1,0.9973,2.99,10.3,0
11.6,0.24,0.84,12.1,0.137,25.7,272.7,0.9916,3.42,8.3,0
6.1,0.77,0.16,1.1,0.021,57.9,85.8,0.9986,3.82,14.3,1
13.8,1.1,0.47,4.9,0.155,25.9,265.0,0.9945,3.82,12.8,1
15.4,0.9,0.18,7.5,0.187,6.9,255.4,1.0008,2.92,12.2,0
5.5,1.09,0.81,7.3,0.149,70.3,163.0,1.0009,3.68,10.7,0
6.5,0.82,0.3,14.5,0.09,18.8,267.6,1.0007,3.03,9.0,0
12.8,1.4,0.51,5.0,0.03,48.3,222.0,1.0013,3.69,11.8,1
14.1,0.87,0.5,12.0,0.079,6.2,13.0,0.9948,3.81,14.4,1
11.7,0.17,0.1,7.6,0.12,11.4,,0.9957,3.79,15.0,1
14.6,0.91,0.06,14.1,0.067,47.9,266.6,1.0012,3.63,8.9,0
8.2,0.24,0.57,1.8,0.106,62.7,249.9,0.9932,3.83,10.6,0
,0.13,0.74,13.5,0.064,69.5,28.7,0.9994,3.89,11.0,0
7.0,0.78,0.56,4.3,0.175,46.4,,1.0001,2.99,12.3,0
13.7,0.44,0.06,6.2,0.022,58.2,224.5,1.0007,3.91,13.7,0
15.4,0.59,0.06,14.4,0.115,57.2,65.5,0.9936,3.67,8.6,0
11.8,1.11,0.83,3.7,0.011,6.9,157.8,1.0014,2.95,8.6,1
10.5,1.43,0.9,3.9,0.081,66.1,85.2,1.004,3.15,12.0,1
10.4,0.31,0.65,10.0,0.117,29.1,144.3,1.0014,2.98,8.3,0
4.7,1.29,0.14,,0.042,29.8,92.6,0.9985,3.0,12.5,0
13.6,0.38,0.25,12.9,0.144,42.8,23.3,0.9967,3.29,12.5,1
8.3,1.36,0.83,,0.045,46.1,139.4,0.9987,3.56,11.6,0
14.7,1.38,0.27,13.3,0.132,55.1,23.4,0.9907,3.5,14.4,1
13.7,1.5,0.68,2.8,0.174,58.7,205.3,0.9959,3.29,,1
12.9,1.22,0.56,4.4,0.143,45.8,123.5,0.9968,3.84,13.6,1
11.8,0.77,0.49,8.0,0.026,60.3,264.6,1.0002,3.45,11.7,0
11.5,0.52,0.08,7.2,0.196,37.0,182.4,1.0027,2.98,8.6,0
4.7,1.24,0.42,2.5,0.128,12.0,41.6,1.0023,3.36,9.9,0
6.5,1.18,0.66,5.7,0.171,30.1,148.1,0.9981,3.74,9.1,0
8.9,0.15,0.51,13.8,0.019,31.8,84.5,0.9967,3.55,12.8,1
6.7,1.04,0.18,9.0,0.178,29.1,76.0,1.0027,3.14,13.4,1
7.0,0.62,0.26,14.7,0.181,31.1,,0.9995,3.75,10.9,1
6.9,0.96,0.56,8.7,0.046,14.3,210.1,1.0011,3.88,12.7,0
7.6,1.3,0.86,1.9,0.178,52.4,208.0,0.9943,3.63,11.3,0
6.0,0.91,0.45,4.8,0.059,8.2,136.2,0.9916,3.81,14.8,1
15.7,1.12,0.63,2.1,0.183,29.0,64.6,0.997,3.5,12.9,1
8.2,0.1,0.35,11.7,0.043,35.0,115.9,0.9988,3.94,9.5,0
14.6,0.95,0.33,9.4,0.132,57.8,208.8,0.9998,3.04,12.7,1
4.7,0.9,0.75,14.5,0.169,67.3,288.4,0.995,3.8,10.8,0
11.8,1.17,0.57,3.9,0.016,2.2,271.7,0.9964,3.13,13.8,1
13.4,0.12,0.87,10.4,0.162,34.2,12.9,0.9951,3.16,11.8,1
11.5,1.44,0.09,12.0,0.111,11.7,59.1,1.0002,3.69,14.1,1
10.3,0.66,0.78,10.7,0.074,11.5,22.0,1.0003,3.49,8.8,0
15.0,1.33,0.09,5.2,0.086,39.7,65.4,0.9962,2.98,9.7,0
5.6,0.46,0.26,2.3,0.081,31.9,131.4,1.0005,3.42,10.1,1
14.5,1.48,0.8,10.3,0.187,30.1,,0.9949,2.99,9.4,0
14.5,0.1,0.34,,0.092,66.7,166.0,0.9912,2.97,10.6,0
15.4,1.58,0.45,7.2,0.123,54.1,95.7,0.9911,3.17,10.3,0
13.2,1.36,0.66,3.6,0.156,63.1,108.1,0.9909,3.44,12.2,0
4.7,0.54,0.79,2.7,0.01,53.1,258.7,0.9993,3.41,12.8,1
6.7,1.42,0.79,7.9,0.096,29.0,198.2,1.0002,3.67,14.4,0
11.3,0.53,0.46,13.3,0.019,35.7,190.5,0.9939,3.98,11.7,0
13.2,0.14,0.64,3.8,0.091,25.0,78.2,0.9909,,14.9,1
13.9,0.61,0.49,8.8,0.019,,66.1,0.9926,3.02,12.2,1
5.7,0.34,0.27,2.0,0.137,48.7,163.3,0.9957,3.17,10.4,0
14.7,1.31,0.71,8.0,0.023,52.3,45.4,0.9975,3.79,10.1,0
6.3,1.17,0.93,12.7,0.058,65.5,185.3,1.0016,3.28,10.7,0
14.0,1.3,0.74,13.4,0.128,60.0,133.5,1.0038,3.8,14.8,1
10.9,0.84,0.39,13.8,0.079,12.9,178.8,0.9971,3.9,13.8,0
8.2,,0.67,13.3,0.147,63.3,13.6,0.9974,3.27,8.8,1
13.9,0.79,0.79,13.1,0.098,22.2,57.4,0.9976,3.44,9.1,0
6.9,1.37,0.99,12.1,0.039,37.6,267.4,1.0013,3.86,14.0,0
5.4,0.13,0.26,10.9,0.119,24.0,212.3,0.9964,,13.8,1
7.8,1.42,0.71,11.3,0.075,37.0,122.4,0.9924,3.81,12.1,0
15.5,0.11,0.45,7.6,0.09,37.3,26.8,0.9907,3.04,8.7,1
4.7,0.31,0.83,10.7,0.14,5.3,106.3,0.993,3.0,13.4,1
7.6,1.42,0.62,,0.109,2.5,198.7,0.9948,3.11,12.7,0
9.3,1.15,0.17,10.0,0.099,51.6,164.2,1.0037,3.45,12.1,1
8.1,0.75,0.91,13.3,0.133,3.4,132.4,0.9947,3.58,14.8,1
5.1,0.48,0.53,2.4,0.075,67.3,247.3,1.0009,3.2,14.8,1
5.1,1.22,0.91,7.4,0.127,43.0,247.2,0.9912,3.34,9.4,0
7.7,0.49,0.97,7.4,0.1,69.6,248.6,1.0038,3.79,10.1,0
12.7,1.16,0.42,1.4,0.092,33.9,281.8,0.992,3.91,8.5,0
12.1,0.23,0.22,7.6,0.174,57.2,193.1,0.994,3.57,13.0,0
12.1,1.36,0.69,9.3,0.189,50.7,224.7,0.9909,3.43,10.0,1
7.7,0.69,0.23,7.4,0.086,58.2,222.0,1.001,3.32,13.3,1
11.7,1.43,0.57,8.6,0.108,55.2,278.2,1.0005,3.35,11.8,1
6.2,1.51,0.88,9.6,0.178,8.3,276.7,1.0037,3.64,9.9,0
11.2,0.77,0.14,10.6,0.153,60.2,225.7,0.9905,,10.5,0
6.0,1.46,0.52,9.7,0.146,36.0,286.6,0.9925,3.84,13.3,1
12.3,0.57,0.26,10.9,0.191,13.5,,1.0028,3.14,10.7,1
9.5,1.04,0.51,9.6,0.122,6.7,89.2,0.9995,,14.1,1
10.3,0.86,0.06,,,46.4,75.0,0.9949,3.21,13.9,1
9.7,0.97,0.05,4.7,0.173,26.1,234.1,1.0019,3.52,10.6,0
11.9,0.58,0.44,6.0,0.058,63.9,271.6,0.994,3.71,10.5,1
6.1,1.12,0.65,7.0,0.078,1.1,140.7,0.994,3.43,11.4,1
4.6,0.15,0.92,4.3,0.106,64.7,60.6,0.9976,3.76,9.0,0
13.0,0.12,0.78,9.5,,25.2,29.2,1.0026,3.44,13.0,0
11.8,0.14,0.08,13.7,0.053,41.9,77.7,0.9988,2.9,14.5,1
11.3,1.26,0.25,8.1,0.172,64.5,231.4,1.0011,3.39,10.9,0
9.0,0.58,0.8,6.5,0.132,34.7,174.9,1.0016,3.4,8.4,0
12.1,1.0,0.46,11.0,0.02,60.6,231.9,1.0031,3.75,12.8,1
7.6,0.28,0.54,5.4,0.08,2.4,203.8,0.9943,3.81,10.5,0
4.8,0.44,0.73,12.7,0.023,40.4,153.8,1.0022,3.37,9.5,0
14.7,1.48,0.91,2.7,0.083,8.4,68.8,1.0,3.77,13.3,1
15.0,1.07,0.21,2.0,0.15,5.6,11.5,1.0021,3.52,10.0,0
8.8,0.88,0.93,11.4,0.101,18.9,199.6,1.0031,3.74,13.6,1
12.3,0.39,0.18,6.1,0.095,50.5,206.8,0.9918,3.72,13.7,1
6.9,0.59,0.29,13.6,0.062,59.6,203.1,0.9941,3.9,12.2,0
14.1,,0.27,13.8,0.033,22.3,55.6,0.9979,3.76,11.7,1
13.0,1.29,,9.5,0.134,22.1,42.2,0.9946,3.72,12.0,1
14.0,0.35,0.53,8.0,0.016,53.0,120.4,0.9999,3.04,10.5,0
12.7,1.36,0.07,9.0,0.184,53.0,244.6,0.9949,3.09,10.6,0
5.4,1.25,0.01,1.7,0.048,48.9,127.6,0.9929,3.39,14.0,1
11.0,0.76,0.53,13.8,0.144,51.9,139.4,1.0025,3.73,12.6,1
7.6,1.4,0.12,3.8,0.189,47.3,7.6,0.9982,3.24,13.5,1
7.3,1.26,0.6,11.8,0.062,10.2,184.5,1.0,3.03,10.8,1
11.8,0.22,0.17,13.8,0.041,35.7,269.7,0.9949,3.73,14.2,1
12.4,0.65,0.11,4.9,0.119,3.5,204.5,1.0028,3.74,9.8,1
6.6,1.13,0.87,2.8,0.19,1.8,48.5,0.9981,3.51,12.9,1
10.0,0.9,0.82,6.4,0.079,64.5,104.9,0.9906,3.17,14.5,1
5.2,1.47,0.08,1.5,0.197,56.0,68.2,0.9956,3.71,11.3,0
11.1,0.95,0.37,9.0,0.065,8.2,68.5,0.9938,3.43,13.7,1
14.0,1.3,0.12,2.4,0.063,55.0,234.5,0.9962,3.96,11.1,1
13.5,0.81,0.56,13.7,0.025,1.3,238.3,1.0037,3.16,14.5,1
7.4,0.32,0.04,6.7,0.049,40.6,200.4,0.9926,3.36,11.6,0
15.0,0.49,0.68,10.7,0.175,66.6,53.5,0.9991,3.8,14.2,1
11.7,1.31,0.55,6.9,0.091,52.9,270.9,0.9946,3.73,9.0,0
11.9,1.14,0.9,12.9,0.104,37.2,185.6,0.9903,3.96,14.0,1
13.7,1.49,0.07,10.6,0.131,32.9,24.7,0.9913,3.62,9.5,1
6.3,0.49,0.88,10.8,0.046,60.8,10.9,1.001,3.65,10.8,0
6.5,1.02,0.01,9.1,0.151,35.7,144.8,0.9935,3.8,10.5,0
5.8,0.41,0.45,8.1,0.169,42.3,130.8,1.0005,3.49,13.5,1
9.1,1.23,0.81,2.3,0.064,58.9,113.9,1.0008,3.4,9.7,0
12.8,1.54,0.2,5.2,0.11,30.8,289.4,0.996,3.82,10.4,0
12.5,1.38,0.66,1.4,0.077,18.8,242.2,0.9969,3.87,9.2,0
9.6,0.45,0.56,1.6,0.024,65.0,64.2,0.9977,3.76,12.9,1
13.0,0.52,0.69,-2.0,0.026,,288.6,0.9977,3.9,14.1,1
14.7,0.98,0.37,13.4,0.021,2.8,283.8,0.999,3.14,14.6,1
14.3,1.24,,11.7,0.013,42.8,275.8,0.9901,3.84,9.3,0
7.2,0.68,0.64,3.3,0.133,65.2,36.2,1.0009,3.82,10.6,0
10.7,1.25,0.3,6.9,0.152,2.0,247.2,1.0,3.49,14.3,1
12.8,1.07,0.31,5.8,0.196,29.2,195.7,0.995,3.11,12.1,1
15.7,1.08,0.17,8.6,0.17,45.8,220.8,0.9968,3.48,10.9,1
15.2,1.23,0.04,13.3,0.044,52.7,7.8,,3.09,9.9,0
5.5,1.31,0.32,13.7,0.06,7.8,172.6,0.9949,3.16,8.5,0
13.3,0.58,0.76,10.8,0.147,55.8,96.1,0.9963,3.76,14.9,1
12.6,1.04,0.79,5.4,0.095,54.0,43.0,0.9956,3.42,12.0,1
14.9,1.26,0.72,7.8,0.175,29.0,85.1,0.9926,3.21,11.8,1
5.3,1.09,0.08,15.0,0.072,14.5,149.5,0.9945,3.85,9.5,0
13.3,1.25,0.2,5.6,0.164,25.9,32.8,0.9948,3.2,14.2,1
6.5,1.35,0.08,3.3,0.183,57.5,10.4,0.9911,3.36,11.4,0
14.9,1.1,0.59,5.8,,48.9,53.8,0.9952,3.3,8.6,0
14.6,0.14,0.37,12.7,0.115,39.1,69.9,0.9951,,10.8,0
6.7,0.17,0.5,4.9,0.116,43.5,70.2,1.0022,3.4,10.5,1
13.4,0.92,0.23,11.0,0.168,16.1,87.1,0.9996,3.71,10.8,1
10.2,1.05,0.54,8.9,0.137,64.9,237.8,0.9927,3.22,10.7,1
7.1,1.27,0.87,10.7,0.072,31.1,177.4,1.0001,3.34,9.7,0
12.3,1.32,0.86,9.6,0.136,9.7,223.3,1.0023,3.06,12.5,0
9.5,0.56,0.09,10.0,0.183,11.6,156.8,,3.25,8.6,0
10.5,1.26,0.48,3.6,0.196,40.7,280.5,0.9984,3.09,13.6,1
13.0,1.32,0.62,14.9,0.178,56.3,101.4,0.9941,3.91,10.3,0
12.7,1.47,0.5,7.3,0.061,17.1,195.7,0.9916,3.02,9.8,0
7.1,0.54,0.88,12.1,0.2,24.2,230.4,0.9981,3.16,11.3,0
11.9,0.53,0.67,9.5,0.116,3.8,88.5,1.0039,3.81,8.4,0
15.9,0.76,0.2,2.0,0.191,69.4,239.7,1.0009,,11.2,1
12.4,0.55,0.12,,0.164,28.9,47.1,,3.65,14.8,1
11.7,1.22,0.72,12.1,0.02,14.3,287.3,0.9915,3.54,12.3,1
15.8,0.98,0.35,13.7,0.137,24.7,106.7,0.999,3.19,11.2,1
5.6,0.88,0.29,7.9,0.083,65.2,163.4,0.9957,3.86,8.9,0
6.7,0.76,0.98,8.8,0.13,11.4,69.8,1.0025,3.27,13.6,1
11.9,0.49,0.42,1.6,0.074,31.3,103.6,0.9927,3.58,10.0,0
10.2,0.68,0.95,10.2,0.16,39.8,62.7,0.9992,2.95,11.1,0
9.4,0.25,0.15,6.6,0.043,38.7,11.9,0.9933,3.85,12.6,1
15.8,0.89,0.53,1.4,0.043,33.3,97.7,0.992,3.41,8.4,0
15.9,0.13,0.38,8.2,0.085,22.3,138.4,1.0026,3.49,13.4,1
15.9,0.92,0.63,10.5,0.153,32.7,,0.9951,3.28,14.7,1
16.0,0.51,0.94,6.4,0.139,18.5,288.3,0.9982,3.3,10.5,1
6.2,0.42,0.05,2.2,0.127,14.6,151.6,0.9912,3.06,10.3,1
12.8,0.78,0.95,11.3,0.145,11.3,59.0,0.9922,3.9,13.0,1
6.2,1.04,0.01,5.6,0.043,49.8,102.1,1.0037,3.2,,1
15.5,1.0,0.16,9.0,0.191,40.6,285.5,0.9965,2.93,11.7,1
8.7,0.98,0.95,4.1,0.083,71.0,190.4,0.9941,3.68,10.8,0
10.7,1.42,0.42,14.5,0.12,12.8,13.1,0.992,3.52,11.9,0
5.5,1.43,0.66,4.8,0.139,29.4,181.8,1.0004,3.07,11.8,1
5.2,1.42,0.39,3.8,0.037,64.5,200.4,0.995,3.96,14.3,1
13.8,0.92,0.54,14.8,0.174,66.6,220.8,1.0021,3.47,13.8,1
11.7,0.53,0.53,13.7,0.043,63.8,223.9,0.9995,3.67,8.1,0
10.5,0.24,0.27,3.0,0.031,71.3,181.8,0.9964,3.74,10.5,0
5.8,0.95,0.79,10.6,0.018,42.6,247.4,1.0025,3.77,14.7,1
13.6,0.37,0.66,6.1,0.121,29.4,249.2,0.9982,3.95,13.1,1
9.3,0.6,0.54,14.9,0.123,48.3,53.2,0.9945,2.93,11.4,1
6.9,1.46,0.78,9.7,0.05,10.9,12.3,0.9965,,13.1,0
12.9,0.46,0.73,5.5,0.092,61.1,10.0,0.9954,3.3,13.7,1
11.5,0.9,0.87,11.4,0.051,22.2,123.0,0.9993,3.1,8.3,0
7.1,1.29,0.43,10.3,0.012,41.8,19.2,0.9929,3.48,8.8,0
10.7,0.24,0.54,8.8,0.112,30.9,110.2,1.0024,3.75,11.8,1
14.7,0.78,0.08,14.0,0.15,47.7,157.6,0.9951,3.19,10.3,0
10.9,1.04,0.86,5.0,0.062,46.5,143.5,1.001,3.51,9.4,0
7.3,0.92,0.38,6.7,0.125,47.3,125.4,0.9997,3.94,14.8,1
9.9,0.8,0.16,10.4,0.149,41.7,151.6,1.0008,3.35,11.7,0
8.1,1.57,0.42,7.9,0.047,51.9,104.7,1.0028,3.01,9.1,0
6.3,1.23,0.02,14.2,0.168,8.7,205.2,0.991,3.64,14.8,1
4.9,0.4,0.67,5.1,0.023,33.0,182.2,0.9978,3.04,11.1,0
15.1,0.29,0.7,1.7,0.091,50.0,278.8,0.9976,3.21,11.5,1
13.8,0.34,0.92,7.3,0.039,42.1,197.4,0.9952,3.83,10.3,1
14.7,1.09,0.84,5.4,0.046,64.7,286.1,1.0027,3.31,10.9,1
11.7,1.29,0.06,13.3,0.044,58.1,273.0,0.9907,3.29,9.6,0
13.0,0.47,0.71,12.8,0.047,67.4,186.2,1.0011,3.15,10.6,1
12.1,1.55,0.09,8.4,0.174,27.1,257.2,0.9984,3.71,8.1,0
8.6,1.16,0.09,7.4,0.177,1.5,248.6,0.9953,3.26,13.9,1
14.7,0.88,0.01,1.3,0.016,35.4,36.3,0.9918,3.73,14.6,1
8.2,0.77,0.13,13.6,0.045,43.5,66.2,1.0026,3.54,9.6,0
,1.03,0.07,5.5,0.184,51.7,60.3,,3.21,10.0,0
15.5,1.38,0.77,9.1,0.028,16.1,45.1,0.9965,3.33,14.4,1
