tenure_months,monthly_charges,total_charges,num_services,support_calls,contract_type,payment_delays,data_usage_gb,num_complaints,churned
11.0,56.29,657.07,3.0,9.0,0.0,3.0,1.29,4.0,1
4.0,35.08,131.01,3.0,13.0,0.0,7.0,23.95,1.0,1
34.0,118.26,4023.04,4.0,0.0,0.0,6.0,25.51,2.0,1
7.0,108.39,784.96,7.0,1.0,1.0,6.0,29.77,2.0,1
68.0,89.42,6466.55,7.0,2.0,1.0,7.0,36.38,3.0,0
8.0,116.69,948.12,6.0,12.0,2.0,6.0,37.06,1.0,1
57.0,21.53,1348.04,6.0,10.0,2.0,1.0,3.41,3.0,0
34.0,24.93,865.04,1.0,8.0,2.0,2.0,31.83,3.0,1
52.0,102.24,5368.81,3.0,8.0,2.0,1.0,1.35,2.0,0
42.0,78.28,3459.29,7.0,9.0,2.0,6.0,34.08,1.0,0
13.0,29.97,400.36,2.0,6.0,2.0,1.0,20.89,4.0,1
71.0,48.66,3717.3,7.0,9.0,2.0,4.0,34.18,4.0,0
51.0,24.43,1261.74,3.0,0.0,1.0,3.0,8.69,0.0,0
16.0,,340.02,4.0,10.0,2.0,0.0,17.96,3.0,1
60.0,64.23,3993.84,6.0,10.0,2.0,4.0,27.13,4.0,1
29.0,23.68,665.31,6.0,11.0,2.0,1.0,36.33,3.0,0
12.0,88.65,1055.2,7.0,14.0,2.0,1.0,27.96,3.0,1
14.0,74.03,937.54,2.0,6.0,1.0,4.0,49.97,3.0,1
59.0,44.41,2383.18,3.0,4.0,2.0,0.0,26.27,0.0,0
57.0,62.66,3715.97,2.0,9.0,0.0,6.0,23.63,3.0,1
54.0,108.12,6206.27,5.0,1.0,2.0,7.0,37.04,0.0,0
47.0,63.1,2836.34,7.0,12.0,2.0,3.0,27.0,0.0,0
66.0,44.4,3080.14,3.0,13.0,2.0,3.0,0.82,2.0,1
10.0,58.94,577.44,3.0,5.0,1.0,3.0,4.39,0.0,0
12.0,21.07,236.49,5.0,9.0,2.0,6.0,25.44,1.0,0
60.0,93.75,5627.0,1.0,12.0,0.0,3.0,13.4,1.0,0
20.0,36.52,723.99,7.0,4.0,0.0,6.0,,1.0,0
43.0,41.09,1872.43,5.0,,1.0,5.0,24.56,0.0,0
66.0,27.06,1849.35,6.0,10.0,1.0,0.0,29.97,0.0,0
37.0,85.64,3149.49,5.0,1.0,1.0,5.0,0.77,2.0,1
66.0,113.71,7016.55,7.0,9.0,1.0,2.0,,3.0,0
23.0,91.94,1978.72,2.0,8.0,0.0,5.0,43.03,4.0,1
25.0,87.06,2071.31,7.0,11.0,0.0,1.0,14.41,3.0,1
45.0,33.08,1579.96,3.0,13.0,1.0,5.0,10.61,4.0,1
48.0,43.49,1959.18,,14.0,2.0,7.0,34.61,2.0,1
28.0,86.53,2501.47,7.0,13.0,2.0,6.0,6.64,2.0,1
50.0,110.73,5531.12,4.0,9.0,2.0,5.0,36.03,2.0,0
70.0,63.23,4533.77,4.0,6.0,2.0,6.0,41.21,1.0,0
42.0,57.39,2619.58,4.0,14.0,0.0,4.0,39.26,4.0,1
56.0,40.8,2347.2,2.0,5.0,2.0,7.0,29.5,1.0,0
61.0,118.36,,6.0,8.0,1.0,7.0,48.46,0.0,0
10.0,105.59,1082.88,3.0,7.0,1.0,5.0,13.83,2.0,1
8.0,73.88,612.41,5.0,10.0,1.0,3.0,,2.0,1
36.0,61.29,2072.9,6.0,3.0,0.0,1.0,1.05,0.0,0
42.0,57.56,2517.52,7.0,1.0,0.0,1.0,14.95,2.0,0
43.0,20.64,846.03,4.0,13.0,0.0,5.0,17.66,1.0,1
3.0,118.59,360.45,3.0,8.0,1.0,1.0,42.83,4.0,1
19.0,58.66,1125.79,6.0,13.0,1.0,1.0,45.39,4.0,1
26.0,61.78,1592.11,6.0,1.0,2.0,3.0,8.32,4.0,0
1.0,32.45,33.31,,11.0,0.0,5.0,26.51,4.0,1
1.0,105.65,98.78,1.0,2.0,0.0,0.0,26.76,0.0,0
39.0,44.44,1680.42,7.0,5.0,2.0,7.0,21.45,3.0,0
21.0,55.81,1283.97,6.0,9.0,1.0,7.0,39.84,2.0,1
71.0,52.46,3994.85,4.0,9.0,0.0,1.0,47.92,3.0,0
20.0,20.46,396.32,6.0,,1.0,7.0,14.58,2.0,1
65.0,47.09,2861.13,4.0,10.0,0.0,0.0,18.66,2.0,0
71.0,84.96,6602.66,3.0,12.0,2.0,2.0,41.48,2.0,1
10.0,63.44,684.46,3.0,11.0,1.0,3.0,47.53,0.0,1
61.0,51.78,3254.54,5.0,2.0,0.0,0.0,1.38,1.0,0
26.0,65.48,1604.85,2.0,12.0,2.0,6.0,7.8,0.0,1
35.0,116.66,3768.98,4.0,1.0,0.0,7.0,12.73,3.0,1
43.0,29.63,1169.81,6.0,13.0,0.0,7.0,2.51,4.0,1
4.0,36.74,135.47,5.0,0.0,2.0,4.0,3.65,0.0,0
8.0,78.92,663.37,2.0,0.0,2.0,7.0,21.73,3.0,1
20.0,76.33,1482.36,3.0,3.0,0.0,,20.92,2.0,1
24.0,58.12,1433.55,3.0,5.0,1.0,3.0,20.9,2.0,0
52.0,82.89,4154.22,3.0,2.0,2.0,4.0,43.87,0.0,0
15.0,63.6,918.27,2.0,14.0,2.0,5.0,1.59,0.0,1
65.0,119.17,7076.73,3.0,10.0,0.0,2.0,44.42,3.0,1
9.0,79.73,726.85,6.0,,2.0,7.0,42.06,4.0,1
42.0,66.24,2877.76,3.0,5.0,1.0,6.0,9.88,3.0,1
10.0,42.33,450.2,1.0,13.0,2.0,4.0,23.09,3.0,1
48.0,21.9,1155.9,4.0,14.0,1.0,0.0,5.48,1.0,0
21.0,71.96,1547.24,1.0,4.0,2.0,2.0,40.91,0.0,0
40.0,107.19,4498.16,1.0,6.0,1.0,6.0,5.88,0.0,1
34.0,33.72,1143.99,3.0,14.0,0.0,3.0,42.31,1.0,1
57.0,21.62,1178.36,6.0,12.0,2.0,7.0,17.12,3.0,0
14.0,57.8,860.17,4.0,11.0,1.0,6.0,33.44,2.0,1
70.0,28.86,1946.15,6.0,5.0,1.0,6.0,21.47,3.0,0
62.0,71.64,4169.9,7.0,13.0,1.0,6.0,10.72,1.0,1
26.0,92.64,2509.13,1.0,1.0,0.0,4.0,39.75,1.0,1
39.0,52.73,1932.39,4.0,6.0,2.0,6.0,42.4,2.0,0
33.0,60.07,1804.13,7.0,10.0,2.0,2.0,49.02,0.0,0
46.0,90.57,3847.24,5.0,12.0,2.0,7.0,44.08,3.0,1
52.0,56.76,2756.43,7.0,6.0,2.0,2.0,,1.0,0
3.0,21.15,65.2,3.0,10.0,0.0,7.0,27.67,0.0,1
62.0,50.33,2953.02,,10.0,0.0,5.0,14.74,3.0,1
11.0,31.73,374.98,3.0,13.0,,5.0,9.56,2.0,1
19.0,63.34,1308.63,1.0,12.0,0.0,3.0,22.23,4.0,1
47.0,41.92,2038.74,1.0,3.0,1.0,2.0,32.52,2.0,0
23.0,91.07,1956.08,7.0,1.0,2.0,6.0,6.81,0.0,0
67.0,87.4,5323.36,4.0,4.0,0.0,2.0,16.99,2.0,0
64.0,72.91,4649.71,3.0,8.0,0.0,4.0,22.24,3.0,1
8.0,75.38,600.45,5.0,1.0,2.0,0.0,25.74,0.0,0
49.0,35.62,1652.37,7.0,0.0,2.0,7.0,43.88,3.0,0
6.0,108.06,650.05,2.0,2.0,1.0,1.0,6.23,2.0,1
47.0,33.59,1501.95,2.0,8.0,0.0,3.0,24.43,3.0,1
32.0,77.06,2360.8,1.0,8.0,0.0,3.0,42.78,4.0,1
57.0,87.11,5280.15,2.0,13.0,0.0,4.0,6.78,4.0,1
18.0,31.41,586.64,6.0,13.0,2.0,6.0,16.37,4.0,1
18.0,54.3,904.94,7.0,14.0,1.0,5.0,15.07,1.0,1
,37.36,2222.17,7.0,11.0,0.0,5.0,41.04,1.0,0
34.0,83.8,2644.57,7.0,0.0,0.0,3.0,48.98,3.0,1
33.0,55.63,,4.0,4.0,2.0,3.0,14.13,4.0,1
62.0,39.4,2297.32,2.0,11.0,2.0,2.0,14.25,3.0,0
2.0,35.88,65.49,2.0,8.0,2.0,1.0,35.14,4.0,1
33.0,101.46,3520.44,4.0,3.0,2.0,7.0,35.57,4.0,1
38.0,48.2,1930.2,5.0,9.0,1.0,4.0,48.17,0.0,0
7.0,44.31,288.72,1.0,13.0,0.0,3.0,28.76,2.0,1
43.0,97.95,4351.55,4.0,9.0,2.0,3.0,9.66,4.0,1
14.0,49.4,736.63,1.0,4.0,1.0,0.0,36.94,2.0,0
45.0,79.96,3384.48,3.0,10.0,1.0,4.0,8.67,2.0,1
23.0,115.02,2885.11,2.0,1.0,1.0,3.0,16.53,3.0,1
69.0,105.98,7611.5,2.0,6.0,2.0,5.0,,1.0,0
34.0,88.5,3029.56,4.0,0.0,2.0,1.0,31.48,4.0,0
24.0,49.36,1121.66,4.0,9.0,2.0,5.0,27.84,3.0,0
52.0,57.62,2981.54,3.0,2.0,0.0,3.0,11.55,4.0,0
69.0,99.49,6362.47,4.0,0.0,1.0,5.0,38.69,1.0,0
46.0,32.56,1546.74,3.0,6.0,2.0,0.0,0.63,4.0,0
7.0,71.14,484.49,6.0,6.0,2.0,6.0,4.71,3.0,1
33.0,68.12,2396.38,3.0,8.0,0.0,4.0,7.68,4.0,1
25.0,108.89,2629.7,3.0,3.0,1.0,6.0,3.57,3.0,1
32.0,90.98,2973.36,4.0,11.0,1.0,2.0,12.43,2.0,1
52.0,67.63,3696.81,4.0,11.0,2.0,1.0,28.82,3.0,0
47.0,113.86,5389.8,7.0,8.0,2.0,4.0,2.04,4.0,1
45.0,22.44,1067.56,6.0,12.0,0.0,0.0,4.59,0.0,0
28.0,88.08,2446.83,4.0,8.0,1.0,0.0,41.86,2.0,0
32.0,112.49,3924.06,7.0,6.0,1.0,1.0,24.79,0.0,0
64.0,42.29,2749.78,6.0,10.0,2.0,2.0,32.21,4.0,1
56.0,30.83,1701.55,,8.0,1.0,,38.89,4.0,0
54.0,116.94,6278.53,3.0,2.0,0.0,4.0,7.75,2.0,0
44.0,73.84,3413.24,6.0,4.0,2.0,3.0,8.72,4.0,0
18.0,32.49,620.56,6.0,4.0,1.0,7.0,39.87,1.0,0
33.0,23.78,823.27,3.0,7.0,1.0,2.0,18.39,4.0,0
16.0,25.0,423.53,3.0,12.0,2.0,5.0,0.52,4.0,1
66.0,112.73,7456.36,3.0,13.0,2.0,2.0,2.66,,1
20.0,35.72,738.91,6.0,9.0,0.0,2.0,48.86,0.0,0
57.0,97.39,5943.58,7.0,3.0,,2.0,29.79,0.0,0
4.0,29.42,109.85,5.0,5.0,2.0,1.0,27.3,2.0,0
16.0,34.18,598.19,1.0,13.0,1.0,0.0,19.95,3.0,1
70.0,35.1,2250.92,3.0,1.0,0.0,1.0,42.14,3.0,0
1.0,30.1,30.34,6.0,6.0,0.0,4.0,3.28,2.0,0
28.0,70.61,2012.73,3.0,1.0,1.0,6.0,36.37,4.0,0
6.0,87.51,523.78,3.0,12.0,0.0,1.0,22.24,4.0,1
38.0,108.35,3844.68,7.0,11.0,0.0,7.0,,4.0,1
46.0,53.8,2371.14,1.0,9.0,2.0,4.0,28.95,0.0,0
32.0,99.93,3386.65,7.0,13.0,1.0,0.0,37.62,0.0,1
70.0,69.17,5128.07,6.0,5.0,0.0,2.0,19.84,3.0,0
55.0,21.42,1157.8,,14.0,0.0,0.0,40.23,3.0,1
39.0,82.1,2944.68,7.0,12.0,2.0,6.0,47.69,0.0,0
44.0,106.49,4686.49,4.0,14.0,1.0,7.0,18.32,0.0,1
25.0,71.78,1749.54,3.0,8.0,1.0,4.0,29.43,4.0,1
3.0,88.33,279.72,7.0,14.0,1.0,2.0,22.86,2.0,1
69.0,117.54,8395.78,5.0,7.0,0.0,7.0,21.45,,1
21.0,112.93,2462.97,5.0,7.0,0.0,5.0,11.75,3.0,1
21.0,112.5,2230.14,5.0,9.0,1.0,3.0,28.39,2.0,1
55.0,39.39,2079.95,1.0,4.0,0.0,2.0,38.69,1.0,0
37.0,76.79,2661.87,2.0,8.0,2.0,,7.52,,0
40.0,74.45,2762.44,6.0,9.0,2.0,0.0,32.08,4.0,1
25.0,23.75,602.32,2.0,0.0,1.0,0.0,3.91,0.0,0
33.0,99.03,3235.22,4.0,0.0,2.0,2.0,25.28,1.0,0
58.0,88.22,5300.34,3.0,14.0,2.0,3.0,47.11,4.0,1
53.0,78.17,,3.0,12.0,0.0,3.0,21.65,2.0,1
2.0,62.95,129.46,1.0,9.0,0.0,0.0,42.05,3.0,1
59.0,108.39,5985.25,7.0,1.0,2.0,4.0,8.86,3.0,0
30.0,114.98,3493.79,7.0,3.0,1.0,6.0,8.99,0.0,0
10.0,44.0,470.6,2.0,8.0,1.0,0.0,1.28,3.0,1
24.0,24.08,577.68,1.0,6.0,0.0,7.0,28.47,2.0,1
62.0,56.67,3743.94,3.0,3.0,0.0,4.0,24.39,4.0,1
51.0,30.25,1625.37,2.0,,0.0,5.0,11.14,3.0,1
71.0,48.27,3765.52,3.0,6.0,2.0,1.0,22.41,2.0,0
42.0,24.06,924.09,5.0,6.0,2.0,6.0,10.68,3.0,0
18.0,84.57,1575.95,5.0,0.0,0.0,3.0,28.22,3.0,1
47.0,67.68,2950.26,7.0,3.0,1.0,3.0,2.59,1.0,0
12.0,37.48,442.25,7.0,13.0,1.0,4.0,4.3,1.0,1
44.0,24.15,1061.67,7.0,0.0,1.0,4.0,7.88,4.0,0
61.0,48.02,3096.04,4.0,8.0,0.0,,24.64,3.0,0
1.0,60.89,60.4,4.0,11.0,1.0,1.0,12.46,2.0,1
49.0,70.12,3398.28,7.0,6.0,2.0,0.0,37.11,4.0,0
18.0,84.96,1580.03,6.0,8.0,0.0,1.0,26.87,0.0,0
27.0,23.29,593.1,3.0,11.0,1.0,5.0,7.12,3.0,1
29.0,115.92,3151.95,2.0,2.0,1.0,4.0,46.29,,1
,93.83,4836.65,1.0,14.0,0.0,0.0,40.53,0.0,0
27.0,35.82,1013.49,6.0,10.0,0.0,,42.59,1.0,0
39.0,87.04,3196.66,7.0,0.0,2.0,6.0,49.38,0.0,0
68.0,106.16,6622.09,5.0,0.0,0.0,1.0,16.67,4.0,0
38.0,38.27,1336.9,7.0,13.0,0.0,4.0,43.96,3.0,1
15.0,103.9,1614.72,5.0,2.0,0.0,,33.0,3.0,1
34.0,74.04,2730.77,,0.0,1.0,4.0,17.68,1.0,0
,46.91,3282.02,2.0,1.0,2.0,2.0,36.17,2.0,0
27.0,48.51,1363.34,5.0,12.0,1.0,6.0,23.31,2.0,1
66.0,49.86,3293.24,6.0,4.0,2.0,4.0,25.92,3.0,0
24.0,40.51,924.35,3.0,,1.0,0.0,47.1,0.0,0
24.0,83.71,2182.9,6.0,10.0,2.0,0.0,23.44,4.0,1
13.0,91.02,1286.44,1.0,10.0,2.0,2.0,2.85,1.0,1
58.0,67.17,3961.03,7.0,0.0,0.0,0.0,11.24,3.0,0
60.0,24.9,1617.42,3.0,0.0,2.0,0.0,49.86,0.0,0
67.0,112.95,7550.86,6.0,10.0,0.0,0.0,28.96,0.0,0
41.0,112.2,4241.69,5.0,9.0,1.0,2.0,13.51,4.0,1
45.0,65.04,2796.02,3.0,11.0,2.0,4.0,16.42,3.0,1
71.0,30.73,2346.99,6.0,8.0,1.0,7.0,32.94,0.0,1
9.0,43.07,388.73,3.0,8.0,2.0,4.0,6.28,0.0,0
53.0,25.08,1364.92,,1.0,2.0,7.0,0.33,2.0,0
13.0,87.72,1097.32,4.0,2.0,1.0,5.0,12.67,4.0,1
27.0,29.75,816.64,3.0,11.0,0.0,4.0,6.26,4.0,1
64.0,92.35,5487.4,2.0,0.0,0.0,1.0,12.28,0.0,0
55.0,117.12,6585.16,3.0,8.0,2.0,2.0,41.72,1.0,0
7.0,70.29,492.39,7.0,10.0,1.0,7.0,40.9,3.0,1
33.0,109.04,3741.01,4.0,11.0,0.0,7.0,24.43,0.0,1
35.0,37.63,1273.12,2.0,5.0,0.0,0.0,26.1,3.0,0
27.0,42.95_err,1139.8,7.0,12.0,0.0,5.0,46.28,1.0,1
34.0,28.48,978.29,2.0,13.0,,5.0,21.41,3.0,1
63.0,30.2,2027.57,7.0,12.0,1.0,2.0,8.2,4.0,0
12.0,77.11,991.74,1.0,2.0,1.0,5.0,26.43,3.0,1
35.0,77.52,2677.59,1.0,10.0,0.0,2.0,42.27,2.0,0
68.0,103.1,7440.53,6.0,5.0,2.0,5.0,34.81,3.0,0
25.0,102.27,2756.74,3.0,13.0,1.0,3.0,47.63,1.0,1
50.0,53.84,2781.53,7.0,6.0,2.0,1.0,9.39,1.0,0
52.0,53.42,2695.41,2.0,14.0,0.0,4.0,21.65,3.0,1
55.0,112.0,6429.16,7.0,5.0,1.0,3.0,24.51,4.0,1
21.0,59.97,1363.14,5.0,11.0,2.0,3.0,37.91,1.0,1
43.0,43.49,1926.67,1.0,2.0,0.0,2.0,43.33,1.0,0
9.0,87.55,829.55,7.0,0.0,1.0,1.0,29.45,1.0,0
54.0,114.26,6522.27,2.0,0.0,2.0,5.0,0.06,2.0,0
63.0,47.7,3009.54,3.0,4.0,2.0,5.0,42.24,4.0,0
68.0,59.85,3760.08,4.0,2.0,1.0,3.0,30.11,2.0,0
64.0,53.01,3431.84,6.0,,0.0,7.0,32.47,0.0,0
63.0,75.84,4312.6,5.0,0.0,2.0,5.0,27.69,0.0,0
25.0,101.31,2591.9,2.0,7.0,1.0,2.0,4.59,4.0,1
50.0,93.8,4945.06,4.0,5.0,2.0,1.0,19.72,0.0,0
69.0,51.0,3579.66,5.0,7.0,2.0,6.0,43.62,1.0,0
38.0,52.13,1994.32,7.0,7.0,1.0,4.0,14.68,0.0,0
51.0,58.97,2793.37,3.0,6.0,0.0,6.0,23.54,,1
54.0,31.49,1586.76,2.0,8.0,1.0,2.0,13.17,0.0,0
51.0,70.87,3384.04,4.0,0.0,1.0,7.0,1.65,3.0,1
16.0,47.72,704.81,1.0,10.0,1.0,3.0,40.79,2.0,0
52.0,74.66,3574.65,3.0,0.0,2.0,1.0,22.31,,0
23.0,78.01,1622.35,4.0,11.0,0.0,5.0,3.19,4.0,1
25.0,72.29,1880.91,2.0,14.0,1.0,5.0,8.85,3.0,1
64.0,50.51,2940.28,4.0,9.0,2.0,5.0,36.34,0.0,0
35.0,116.94,4457.2,7.0,2.0,1.0,2.0,13.1,4.0,0
10.0,40.84,399.37,2.0,11.0,0.0,0.0,29.8,1.0,1
54.0,67.59,3824.91,3.0,12.0,2.0,0.0,37.65,1.0,0
24.0,55.52,1290.26,3.0,14.0,2.0,,21.12,2.0,1
17.0,28.94,467.69,1.0,7.0,0.0,3.0,46.71,0.0,0
43.0,42.69,1871.54,7.0,8.0,2.0,0.0,35.34,4.0,0
26.0,90.41,2269.79,1.0,11.0,1.0,1.0,23.29,3.0,1
35.0,111.43,4088.19,6.0,8.0,1.0,7.0,5.2,1.0,1
49.0,117.24,5319.46,4.0,10.0,2.0,,29.01,4.0,1
29.0,87.87,2710.26,3.0,12.0,1.0,1.0,,0.0,0
17.0,59.68,1055.74,5.0,3.0,0.0,1.0,22.11,0.0,0
52.0,116.63,6201.99,1.0,9.0,2.0,2.0,44.04,3.0,1
51.0,70.82,3334.88,5.0,12.0,1.0,2.0,34.76,4.0,1
32.0,25.52,889.26,1.0,0.0,0.0,1.0,14.75,1.0,0
1.0,20.83,20.61,7.0,10.0,2.0,7.0,22.26,3.0,1
26.0,112.63,3097.22,5.0,5.0,2.0,6.0,28.34,1.0,0
34.0,102.89,3823.02,7.0,13.0,1.0,0.0,23.53,0.0,0
10.0,84.72,837.13,4.0,5.0,1.0,2.0,8.97,4.0,1
63.0,82.37,5677.85,5.0,8.0,1.0,2.0,15.71,4.0,0
3.0,30.41,90.9,3.0,8.0,1.0,0.0,46.59,4.0,0
30.0,49.48,1340.24,3.0,9.0,2.0,6.0,29.4,1.0,1
2.0,76.17,164.68,6.0,3.0,1.0,0.0,28.76,0.0,0
52.0,36.68,1970.79,5.0,9.0,0.0,1.0,19.14,2.0,1
15.0,111.87,1560.15,5.0,1.0,0.0,0.0,28.12,4.0,1
45.0,45.84,1942.12,6.0,14.0,2.0,2.0,37.95,0.0,1
17.0,22.7,382.96,5.0,12.0,1.0,5.0,28.71,0.0,0
27.0,53.88,1399.65,6.0,0.0,0.0,4.0,45.5,4.0,1
46.0,47.76,2008.67,6.0,1.0,,7.0,16.08,2.0,1
47.0,28.73,1237.07,6.0,11.0,2.0,4.0,31.96,1.0,0
62.0,58.14,3424.12,7.0,2.0,2.0,3.0,0.29,4.0,0
15.0,102.95,1674.22,7.0,7.0,2.0,2.0,29.46,4.0,1
5.0,84.05,430.61,5.0,2.0,0.0,5.0,37.64,0.0,1
56.0,53.58,3169.69,5.0,7.0,,1.0,24.51,1.0,0
46.0,74.89,3250.67,6.0,14.0,1.0,5.0,21.61,2.0,1
17.0,103.83,1926.28,,13.0,1.0,0.0,42.83,4.0,1
11.0,71.14,800.8,7.0,14.0,1.0,1.0,7.37,4.0,1
22.0,107.49,2463.69,4.0,12.0,,7.0,36.82,3.0,1
3.0,113.29,362.93,,6.0,0.0,3.0,,0.0,1
14.0,99.63,1509.38,6.0,9.0,0.0,3.0,30.98,2.0,1
4.0,46.25,179.67,4.0,11.0,2.0,3.0,29.75,2.0,1
50.0,39.16,1851.39,4.0,5.0,0.0,1.0,39.69,3.0,0
47.0,21.95,1064.59,5.0,11.0,1.0,0.0,4.7,,0
17.0,83.69,1466.32,4.0,5.0,1.0,2.0,,4.0,1
39.0,82.06,3115.04,7.0,0.0,0.0,1.0,45.48,2.0,0
61.0,94.51,5228.25,2.0,0.0,1.0,6.0,,1.0,0
61.0,79.53,4746.74,2.0,8.0,1.0,3.0,25.48,0.0,0
44.0,64.18,2578.97,2.0,9.0,2.0,6.0,36.98,0.0,0
31.0,83.51,2458.39,4.0,1.0,0.0,4.0,7.45,3.0,1
26.0,105.32,2669.14,6.0,0.0,0.0,0.0,47.28,0.0,0
28.0,46.04,1413.14,1.0,6.0,0.0,6.0,10.76,3.0,1
67.0,117.46,8341.63,6.0,4.0,1.0,5.0,20.62,2.0,0
40.0,108.73,4540.27,3.0,8.0,2.0,5.0,17.4,3.0,1
65.0,79.5,5555.31,7.0,8.0,1.0,6.0,16.95,,0
19.0,57.01,1078.86,1.0,9.0,2.0,2.0,34.56,2.0,1
45.0,38.65,1800.72,5.0,9.0,0.0,3.0,23.85,1.0,1
28.0,90.37,2554.18,2.0,3.0,1.0,2.0,23.08,2.0,0
62.0,37.98,2455.08,1.0,10.0,2.0,6.0,6.36,0.0,0
11.0,115.07,1148.35,,7.0,1.0,0.0,30.77,4.0,1
60.0,69.88,3962.1,5.0,6.0,2.0,6.0,29.97,4.0,0
33.0,99.65,3207.63,7.0,1.0,2.0,6.0,8.79,1.0,0
44.0,53.61,2290.51,4.0,13.0,2.0,2.0,15.46,0.0,0
44.0,42.94,1807.76,7.0,0.0,1.0,4.0,20.39,3.0,0
44.0,75.6,3295.87,4.0,5.0,0.0,5.0,3.69,3.0,1
12.0,69.52,848.81,6.0,0.0,0.0,7.0,7.73,1.0,1
19.0,105.12,2139.82,7.0,0.0,0.0,7.0,28.47,4.0,1
31.0,41.53,1330.17,6.0,6.0,1.0,1.0,27.61,0.0,0
43.0,,3408.7,7.0,8.0,,0.0,36.33,1.0,0
1.0,69.26,74.92,7.0,1.0,1.0,3.0,49.96,3.0,0
36.0,71.28,2342.86,5.0,9.0,0.0,4.0,14.24,0.0,0
19.0,66.4,1343.73,2.0,6.0,1.0,6.0,31.91,0.0,1
,98.16,3992.14,1.0,12.0,0.0,3.0,27.38,0.0,1
29.0,61.18,1772.75,4.0,1.0,2.0,5.0,49.71,3.0,0
4.0,116.68,424.82,2.0,7.0,0.0,5.0,3.99,4.0,1
26.0,75.73,1913.39,1.0,12.0,1.0,4.0,0.22,2.0,1
54.0,60.03,3236.04,2.0,10.0,2.0,7.0,34.75,2.0,0
68.0,81.32,5932.72,6.0,5.0,2.0,0.0,26.28,1.0,0
62.0,58.53,3823.67,5.0,0.0,1.0,4.0,49.69,0.0,0
