sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,leaf_area_cm2,stem_height_cm,species
7.27,2.93,4.46,1.05,14.23,59.37,1
4.15,4.07,6.37,0.51,3.51,37.82,1
6.67,4.06,2.89,1.98,8.98,15.74,1
4.06,2.34,6.97,1.61,16.64,32.74,1
7.71,2.47,4.7,1.74,19.75,57.55,1
4.46,2.64,3.12,1.79,19.29,34.47,1
4.61,2.26,5.82,1.36,19.1,44.41,1
6.43,3.11,4.29,1.73,11.71,67.37,1
7.39,3.43,3.46,1.51,5.28,42.44,0
5.75,2.36,6.69,1.04,15.56,17.55,1
5.86,4.15,1.7,1.49,10.29,27.1,0
7.35,3.66,6.12,0.77,4.28,63.34,1
6.04,3.79,3.35,0.61,17.03,48.53,0
5.84,3.75,6.22,2.44,8.56,70.36,1
5.17,2.8,,0.46,11.34,53.13,0
5.45,2.48,2.25,2.1,10.14,44.49,1
5.31,3.25,2.43,0.96,16.06,48.0,0
6.28,4.02,1.87,1.99,4.57,69.63,0
7.13,2.62,6.45,0.13,3.48,64.93,0
6.89,3.81,3.98,1.84,13.98,,1
6.71,2.01,3.71,2.49,9.51,63.07,0
7.71,3.15,1.07,0.91,11.3,41.34,0
7.47,4.28,3.46,2.23,11.95,54.34,1
,2.34,4.08,0.31,10.4,31.43,0
4.17,4.11,3.48,1.2,10.39,55.21,1
5.58,3.12,2.77,1.58,5.2,61.97,0
6.33,4.01,3.78,2.14,2.86,30.12,1
5.85,4.43,1.49,0.67,12.13,52.02,0
,3.71,2.99,1.73,5.32,73.31,0
7.95,2.61,1.53,1.72,5.08,10.06,0
4.61,2.03,6.74,0.76,3.62,53.14,1
5.33,2.16,2.02,0.81,14.54,34.28,0
7.81,3.16,6.67,0.64,10.07,16.8,1
5.71,2.25,1.75,2.06,2.05,50.95,0
5.67,4.27,6.27,1.13,17.45,77.44,1
7.48,3.52,3.62,0.68,15.95,53.13,0
4.17,3.35,1.9,0.3,7.57,,0
4.48,4.21,1.07,1.74,8.85,63.49,0
4.51,2.41,1.6,2.34,7.66,38.69,0
7.96,2.28,4.12,0.65,12.7,12.46,0
4.36,4.06,6.58,2.07,3.03,74.82,1
5.61,3.55,4.61,2.28,8.16,54.95,1
7.56,3.14,6.48,1.69,7.71,42.89,1
5.54,3.07,3.32,1.49,13.78,26.7,1
4.1,3.72,3.35,2.21,13.9,16.64,1
5.68,3.01,3.39,2.02,10.26,68.04,1
4.34,2.42,6.08,1.28,19.23,48.18,1
6.36,3.17,3.62,1.17,18.06,76.95,0
5.87,3.62,5.79,2.21,14.68,74.15,1
5.43,4.43,3.66,2.18,10.87,51.01,1
7.4,4.03,2.08,1.06,9.25,76.73,0
7.64,3.85,2.07,2.22,17.34,60.2,0
5.98,2.66,1.69,1.44,9.73,18.76,0
5.79,4.39,4.88,1.62,9.72,,1
7.67,2.57,1.3,2.14,15.57,36.09,0
7.51,4.05,,1.48,2.31,31.18,0
7.39,3.7,4.86,0.73,10.51,35.21,0
6.58_err,2.83,3.78,0.82,2.28,10.58,0
6.13,3.15,6.64,2.24,3.35,53.34,1
7.86,4.37,2.08,0.69,19.43,22.21,0
5.17,2.58,6.9,1.33,8.19,40.23,1
5.22,3.68,4.03,1.16,13.54,35.77,1
4.41,4.33,4.63,0.95,19.84,79.58,1
5.61_err,3.57,4.89,1.24,7.18,71.33,1
6.07,4.29,6.14,0.84,2.51,57.15,1
4.42,2.76,1.16,0.81,3.19,63.66,0
5.34,3.98,4.79,1.72,10.93,11.91,1
5.69,2.53,3.62,2.27,3.4,70.98,1
7.96,2.09,6.64,2.33,10.2,69.69,1
7.91,2.53,6.8,2.36,5.96,60.57,1
4.46,3.31,5.68,2.02,15.62,44.35,1
5.65,3.81,6.63,0.15,2.61,19.62,1
7.14,3.21,2.91,0.24,3.53,63.31,0
6.46,3.03,3.65,1.47,,57.38,0
6.82,3.77,1.88,0.27,2.32,31.93,0
7.43,2.37,3.31,1.05,18.95,46.57,0
5.42,3.8,4.17,1.93,8.64,47.19,1
6.8,4.23,4.04,1.9,6.68,,1
,3.07,4.37,1.96,,59.83,1
4.26,2.33,2.38,0.51,19.91,31.39,0
6.66,2.06,1.83,1.76,11.57,22.95,0
4.2,3.99,6.69,2.08,17.94,37.61,1
4.92,4.02,2.82,1.85,7.79,45.71,1
4.44,4.16,2.47,1.82,5.65,40.17,0
4.93,3.17,2.41,1.36,4.14,53.9,0
7.8,3.14,4.98,1.33,3.63,10.94,1
7.44,3.21,6.97,2.13,11.99,48.99,1
5.17,3.86,4.88,2.26,5.21,25.45,1
7.81,4.08,2.31,0.23,2.76,21.48,0
4.49,4.15,6.95,0.94,2.51,63.01,1
4.72,3.44,6.31,0.15,9.61,57.29,1
5.82,4.23,4.1,0.32,3.16,59.35,0
4.22,2.84,3.49,0.5,5.39,35.38,0
5.64,2.71,3.38,0.34,15.33,43.55,0
6.28,2.32,4.54,0.67,10.96,26.44,1
7.11,3.51,1.06,0.52,3.31,21.0,0
7.06,3.31,4.45,1.93,13.91,48.56,1
8.0,3.21,1.41,1.65,18.61,73.26,0
6.12,3.24,1.74,1.87,14.98,23.34,1
7.33,2.71,2.43,0.65,17.48,73.32,0
6.89,2.44,3.72,0.93,3.55,18.87,0
7.08,2.16,4.72,1.2,13.65,10.45,0
5.17,2.1,1.13,2.11,14.87,66.58,0
6.27,3.12,2.03,0.31,15.49,33.77,0
7.23,3.82,2.86,0.38,11.86,22.37,0
6.18,4.0,5.26,0.39,18.44,21.46,1
7.42,4.1,3.31,0.92,16.49,13.16,0
6.02,2.67,2.5,2.07,15.16,48.95,0
5.01,3.1,5.77,2.21,14.85,27.17,1
4.45,2.76,4.47,2.03,11.31,20.43,1
5.03,2.52,4.04,0.36,14.35,32.66,0
6.47,2.44,3.37,0.7,2.54,34.61,0
5.84,3.95,3.64,0.83,19.09,26.65,0
6.96,2.98,6.75,2.16,10.96,55.54,1
5.51,3.65,3.51,1.98,11.77,26.12,1
7.08,3.3,4.44,2.11,4.81,29.31,1
5.28,2.83,3.57,1.79,19.5,25.49,1
7.91,2.45,3.95,0.43,3.79,71.41,0
5.2,2.77,1.77,0.99,2.26,71.37,0
7.46,2.63,3.86,1.67,18.65,16.72,1
5.72,3.75,1.45,2.35,9.43,40.83,0
4.98,3.93,6.8,0.59,19.94,30.9,1
7.83,2.83,6.01,2.48,7.97,12.07,1
5.57,3.35,6.77,0.64,13.76,56.39,1
6.88,4.17,4.16,,15.12,32.37,0
4.66_err,2.21,5.12,1.4,,57.88,1
7.86,3.71,4.3,0.7,6.6,78.01,0
4.55,4.4,3.81,2.29,19.76,69.76,1
7.5,3.24,4.28,1.35,5.5,28.34,0
4.06,3.53,4.16,0.3,14.3,29.24,0
5.27,4.03,2.75,1.76,18.97,74.9,0
5.9,2.43,4.71,1.05,19.56,58.92,1
6.87,2.9,,0.81,18.15,11.36,1
6.79,2.21,1.47,0.86,8.45,71.12,0
5.11,4.07,2.54,0.63,14.45,32.1,0
4.3,4.48,2.48,0.71,2.86,24.94,0
4.39,2.61,5.42,0.8,19.2,20.95,1
4.0,2.01,1.28,1.18,6.91,33.52,0
7.06,2.29,2.31,0.32,5.9,72.89,0
4.54,4.26,3.29,0.23,8.89,35.4,0
7.26,4.37,5.58,0.24,5.67,34.76,1
5.11_err,4.05,1.29,0.34,3.93,76.34,0
4.7,2.91,4.89,2.2,9.65,23.87,1
5.86,2.88,5.31,0.65,2.53,66.79,1
6.95,3.93,5.56,1.59,11.78,67.04,1
7.39,3.27,1.43,1.31,4.29,55.11,0
6.08,3.46,2.39,1.79,9.06,14.55,0
5.16,2.28,1.11,2.25,19.9,26.13,0
5.7,3.73,4.41,0.51,6.54,67.72,0
7.82,4.37,6.79,0.19,13.31,35.4,1
7.21,3.1,6.22,1.21,8.03,76.23,1
5.53,2.76,6.38,0.14,13.94,72.54,1
6.78,3.39,1.19,1.76,14.04,14.86,0
5.7,3.27,1.6,0.43,13.85,63.68,0
7.12,3.62,3.23,0.47,,36.77,0
5.14,2.89,4.15,0.74,18.58,34.75,1
5.66,2.19,5.66,1.44,9.5,13.18,1
6.48,4.34,,1.36,5.5,76.1,0
4.62,3.6,4.97,2.35,7.74,42.55,1
6.92,2.55,1.33,0.36,12.8,53.41,0
6.67,3.58,1.38,1.41,10.63,74.51,0
7.95,2.78,4.7,1.48,8.99,13.91,1
6.89,3.56,2.68,1.15,9.89,45.65,0
6.5,4.22,1.16,0.39,6.49,18.8,0
6.35,2.12,2.3,0.73,6.92,46.86,0
6.61,2.82,5.48,0.19,2.48,32.07,0
7.83,2.51,4.83,0.23,2.47,52.25,0
4.44,2.59,4.65,1.86,10.57,22.4,1
7.55,4.34,2.68,1.85,10.63,42.54,0
5.29,2.95,6.08,0.33,19.48,69.71,1
4.02,2.92,,1.97,18.86,37.92,1
4.94,2.79,2.0,2.47,11.01,27.77,1
6.1,2.4,6.14,0.1,7.47,58.61,0
6.21,2.36,6.98,0.53,13.64,51.36,1
6.19,4.1,2.1,0.97,6.22,25.26,0
6.36,3.68,1.58,1.6,15.79,39.23,0
4.13,4.19,5.27,,17.29,43.53,1
8.0,3.03,4.93,1.02,12.75,29.01,1
5.71,2.04,1.13,0.84,19.5,63.61,0
4.64,4.06,5.97,1.18,19.33,50.0,1
4.89,2.97,1.65,2.06,17.93,29.72,0
6.89,3.24,6.93,1.14,11.34,53.32,1
5.33,2.45,6.32,0.59,5.57,30.79,1
6.25,2.59,2.52,0.17,9.93,69.59,0
7.81,2.13,4.6,1.38,15.1,32.45,1
5.86,3.62,6.97,1.28,7.0,66.75,1
6.24,2.68,3.51,0.4,18.05,,0
5.24,3.92,5.68,1.18,9.65,41.46,1
6.91,3.09,5.38,0.67,8.13,10.38,0
6.88,3.25,2.43,1.4,5.87,44.53,0
5.57,2.62,6.68,2.23,15.64,63.75,1
5.51,3.69,5.15,0.14,6.32,57.38,0
6.7,4.07,4.1,0.9,11.76,75.72,0
6.7,3.17,1.23,2.49,11.36,24.13,0
7.39,3.77,5.62,1.25,19.61,66.44,0
7.88,2.73,1.6,2.37,14.17,70.07,0
5.19,3.37,4.79,2.2,17.68,42.04,1
5.36,4.44,4.94,1.03,2.23,31.29,1
5.45,2.07,6.75,1.54,19.24,79.28,1
6.3,4.26,5.82,2.19,5.9,70.27,1
5.15,3.9,4.24,0.14,12.83,76.69,0
6.38,2.39,4.74,1.97,,32.79,1
6.13,3.26,1.08,1.66,18.08,59.57,0
4.77,3.45,5.96,0.12,6.83,75.61,0
7.11,3.07,1.31,0.26,3.12,29.07,0
7.07,3.2,4.46,0.5,6.59,30.67,0
4.37,2.15,4.48,1.59,19.66,33.9,1
6.36,,2.86,0.16,11.11,65.27,0
6.55,3.89,4.6,1.13,16.92,15.96,1
4.4,2.64,4.59,1.61,12.37,62.98,1
4.87,3.26,1.86,0.43,19.58,30.08,0
6.92,3.8,5.79,1.39,8.69,26.34,1
4.92,3.68,6.06,1.0,4.33,61.53,1
4.76,2.35,6.61,1.55,9.38,31.17,1
4.4,2.2,2.96,0.42,15.83,17.62,0
6.11,4.39,1.54,2.46,12.71,27.67,0
7.98,2.12,3.01,2.19,9.57,52.56,0
5.93,4.0,5.46,1.54,15.86,12.41,1
7.18,3.73,3.56,1.69,7.93,48.3,1
7.32,3.73,3.22,0.78,14.52,70.14,0
6.07,3.29,,2.38,9.96,42.06,0
4.65,3.52,2.64,1.58,14.63,34.89,0
4.59,2.81,6.37,0.21,,21.24,1
6.93,2.81,4.8,1.14,9.19,79.81,1
7.14,2.94,3.18,1.34,15.4,48.68,0
5.68,2.47,6.51,2.24,9.37,34.42,1
6.17,3.73,5.95,1.57,18.44,59.41,1
5.84,4.35,1.71,2.45,8.31,37.69,0
5.68,4.1,1.04,2.0,19.76,64.1,0
7.31,3.93,5.86,1.39,3.07,77.21,1
5.59,,3.34,0.93,3.99,51.32,0
6.71,4.28,6.48,2.06,18.31,72.15,1
4.23,4.09,2.42,1.05,16.1,12.58,0
4.5,2.27,3.67,1.93,,74.03,0
4.92,2.93,6.49,0.32,16.49,29.4,1
,2.52,2.02,0.91,4.23,64.32,0
5.64,3.41,6.62,2.31,11.49,43.06,1
6.9,2.89,6.05,1.94,19.82,34.29,1
4.95,4.06,6.45,1.58,15.82,73.54,1
7.88,3.07,3.41,0.96,9.08,31.93,0
6.4,2.95,6.1,2.37,3.64,59.34,1
7.58,3.86,3.8,0.12,12.64,38.13,0
4.51,3.89,5.11,1.92,14.96,57.99,1
4.98,2.16,5.84,1.97,18.14,12.49,1
5.91,2.54,3.44,0.35,19.14,28.14,0
6.34,3.8,2.93,0.41,4.55,55.43,0
6.65,3.42,2.32,2.03,12.18,59.37,0
4.06,3.58,6.39,1.69,11.04,39.79,1
7.29,3.64,2.4,0.39,8.45,69.39,0
7.01,3.45,1.18,1.62,,13.59,0
7.93,2.58,6.03,1.35,7.43,68.24,1
5.02,4.41,5.24,2.35,4.75,22.81,1
6.72,4.02,4.82,0.22,6.51,30.4,0
6.75,2.74,5.26,0.4,6.72,39.79,0
6.01,3.86,5.57,2.29,2.66,18.69,1
4.51,3.32,5.42,1.63,14.7,33.3,1
5.04,4.39,1.74,1.84,10.72,,0
,,3.26,0.88,4.38,18.15,0
7.79,2.38,3.77,0.56,13.81,13.14,0
6.99,3.73,5.25,2.26,15.36,48.56,1
6.74,3.19,1.55,0.98,12.07,69.77,0
7.56,3.26,1.23,1.76,4.32,10.75,0
5.06,2.97,1.12,1.97,8.39,23.54,0
4.58,4.15,2.14,0.17,19.25,14.73,0
4.53,3.83,3.97,1.87,4.97,42.68,1
5.95,3.0,4.0,1.6,2.47,37.26,0
7.82,3.03,5.78,0.51,6.17,46.44,1
5.95,3.78,5.95,2.0,14.31,62.01,1
7.18,,5.39,1.85,16.45,51.07,1
7.25,2.37,5.31,0.22,6.42,11.54,0
5.24,3.02,1.75,2.4,17.94,40.2,1
5.59,2.68,6.5,2.37,12.87,,1
4.48,2.76,1.51,2.16,10.57,54.72,0
6.78,2.5,3.05,0.89,10.95,28.91,0
7.91,2.62,5.13,2.36,12.89,24.44,1
5.17,3.45,2.46,0.74,6.42,58.34,0
6.99,3.31,6.96,1.56,5.5,48.74,1
6.25,2.32,6.8,2.08,10.81,57.54,1
4.61,3.18,2.33,2.13,5.76,65.61,0
7.38,2.9,6.74,0.56,10.78,48.58,0
4.89,2.91,2.18,2.49,7.57,73.04,0
5.13,,4.24,0.2,5.16,76.82,0
5.73,3.29,4.34,1.17,4.47,64.72,0
6.14,2.36,1.01,1.14,9.15,68.25,0
7.37,2.67,4.91,0.42,10.94,11.62,0
5.8,2.99,4.21,0.43,19.91,69.33,0
5.91,3.73,6.21,0.17,9.45,70.69,1
4.45,2.45,3.41,0.33,16.98,58.03,0
7.64,2.85,2.47,1.42,15.65,30.19,0
5.25,3.51,6.0,0.79,18.62,16.55,1
5.68,2.86,2.82,2.44,15.26,33.54,1
7.08,2.11,2.85,2.47,12.34,52.2,0
5.24,3.5,5.92,1.71,11.48,26.8,1
4.82,2.06,4.08,2.36,5.51,65.98,1
6.2,2.41,3.2,1.9,19.55,41.69,1
6.2,3.31,2.96,2.45,18.2,28.38,1
4.43,2.72,6.96,0.75,13.09,16.28,1
7.46,3.85,3.8,0.26,19.42,12.8,0
4.35,3.77,1.1,1.71,5.92,32.11,0
7.73,3.36,1.87,0.79,15.64,18.85,0
7.77,3.98,5.06,2.15,6.03,52.92,1
7.65,3.94,2.35,0.59,8.61,55.3,0
7.43,3.88,4.33,,10.98,49.74,0
6.99,2.08,3.06,2.28,9.79,56.8,0
7.19,3.58,1.85,1.72,17.75,53.1,0
5.27,4.42,4.65,0.59,11.45,58.67,0
4.42,2.74,4.93,1.46,15.25,27.94,1
5.54,3.89,6.69,1.26,9.8,75.05,1
4.54,2.95,2.9,1.33,4.2,16.91,0
7.25,2.79,6.63,0.17,,42.69,0
4.19,2.79,2.59,2.11,9.69,64.74,0
7.99,,5.19,0.86,15.95,11.05,1
5.76,4.04,1.75,0.43,13.75,29.35,0
7.96,2.77,5.88,1.22,18.67,15.23,1
6.67,3.63,4.97,2.15,13.67,38.87,1
7.81,2.79,2.18,1.18,18.95,49.86,0
6.27,2.26,6.89,1.59,17.43,72.82,1
6.67,3.32,1.46,1.67,14.84,44.41,0
7.55,2.69,4.39,2.0,17.05,46.03,1
5.06,4.36,5.54,2.25,9.06,15.52,1
4.65,2.57,1.79,1.61,2.48,74.01,0
7.73,3.29,2.08,2.02,3.91,63.51,0
6.0,4.01,1.17,0.62,11.35,59.25,0
4.16,4.21,4.94,2.45,17.89,43.59,1
5.14,2.57,5.79,2.29,3.37,16.07,1
5.16,3.59,6.22,1.51,17.55,24.74,1
4.5,2.94,6.23,0.85,12.91,10.06,1
7.77,2.87,4.92,2.12,10.05,36.28,1
4.79,2.1,4.32,0.39,10.71,24.87,0
6.13,3.85,2.04,0.67,5.5,16.12,0
4.21,3.4,1.22,2.07,3.73,32.89,0
6.69,2.93,6.91,0.5,6.6,77.79,1
7.75,4.01,6.3,0.47,10.71,28.29,1
6.13,3.17,2.67,0.16,8.49,52.55,0
6.56,2.59,1.76,1.27,17.14,37.85,0
7.37,4.07,6.03,1.22,,34.56,1
6.89,2.24,3.3,1.94,9.42,77.53,0
4.8,4.13,4.46,,17.61,22.98,1
4.16,3.38,6.75,0.7,7.08,29.85,1
7.92,2.84,6.26,2.42,11.3,45.02,1
6.24,3.7,3.88,0.41,4.56,25.21,0
7.11,4.25,1.47,0.64,8.53,15.15,0
5.69,3.71,1.42,0.7,16.7,25.55,0
5.53,3.41,6.03,1.18,3.13,28.33,1
4.74,2.81,5.53,0.86,17.23,68.61,1
7.42,3.88,6.39,0.63,7.03,36.34,1
7.32,3.99,5.68,2.45,18.1,16.7,1
4.42,2.15,5.29,2.2,8.56,62.35,1
5.9,4.3,6.81,0.7,19.2,20.76,1
6.5,2.52,4.65,0.31,7.38,78.6,0
7.69,2.02,3.42,1.91,12.38,,0
5.31,2.63,1.65,2.32,7.05,24.46,0
6.14,2.82,4.65,2.23,5.69,10.84,1
5.63,3.86,6.39,1.92,5.23,58.95,1
4.82,2.94,5.18,0.48,6.63,39.91,1
5.79,2.16,2.58,0.24,18.44,13.04,0
4.26,3.48,3.85,0.8,17.11,49.32,0
