study_hours_per_day,attendance_percent,previous_score,sleep_hours,assignments_done,has_tuition,parent_education,motivation_score,internet_hours,passed
4.5,33.7,67.4,7.6,9.0,1.0,1.0,7.6,6.2,1
9.0,36.4,22.0,8.4,16.0,1.0,0.0,9.5,4.4,0
4.6,52.5,85.7,9.1,7.0,0.0,0.0,1.8,3.2,1
8.3,89.1,89.4,6.5,18.0,1.0,2.0,7.2,4.7,1
1.7,32.2,64.1,,10.0,0.0,1.0,4.3,5.1,0
7.6,83.5,22.9,6.9,9.0,0.0,0.0,2.4,1.4,0
5.8,62.7,40.8,9.1,17.0,0.0,2.0,6.2,5.2,0
5.4,44.6,71.3,8.1,2.0,0.0,1.0,7.9,2.1,0
5.4,67.4,67.4,5.8,17.0,1.0,1.0,5.2,2.3,1
6.2,48.8,81.7,6.6,11.0,0.0,2.0,9.6,3.1,1
4.0,89.7,47.9,5.1,11.0,1.0,0.0,2.9,6.6,1
8.8,77.2,94.0,9.5,15.0,1.0,1.0,1.6,0.3,1
6.6,31.2,89.9,8.0,13.0,1.0,2.0,3.4,0.5,1
5.6,97.9,45.4,4.5,0.0,1.0,1.0,6.7,0.5,0
8.3,38.3,62.4,9.7,17.0,0.0,2.0,3.9,0.5,1
4.2,44.4,42.9,5.6,10.0,1.0,0.0,6.2,7.3,0
6.0,81.3,22.7,6.8,3.0,1.0,,5.9,4.9,0
5.2,98.1,76.8,8.8,18.0,1.0,0.0,4.1,5.2,1
6.6,41.6,45.0,5.3,9.0,0.0,2.0,1.7,4.5,0
0.7,82.3,31.3,7.9,14.0,1.0,1.0,8.6,3.2,0
7.6,90.2,35.0,8.6,0.0,1.0,2.0,8.7,3.0,1
4.7,42.4,63.8,9.2,19.0,0.0,0.0,6.0,0.5,1
0.1,88.6,33.2,5.2,5.0,1.0,2.0,4.7,,0
5.7,75.4,28.3,5.2,12.0,0.0,2.0,9.8,6.0,1
0.7,68.1,93.3,9.8,13.0,1.0,2.0,9.7,1.6,1
6.8,76.3,25.5,6.9,9.0,1.0,2.0,7.4,1.2,1
5.4,52.5,22.4,6.4,12.0,0.0,2.0,4.5,3.3,0
0.7,38.7,71.8,5.1,10.0,1.0,0.0,1.8,1.6,0
2.7,30.3,94.5,8.7,18.0,0.0,2.0,2.7,1.2,1
4.6,81.3,67.2,7.4,9.0,1.0,1.0,9.7,1.3,1
3.6,42.3,87.6,7.9,6.0,0.0,1.0,3.9,3.6,0
7.8,44.3,46.4,9.3,5.0,1.0,0.0,8.9,2.7,0
8.0,66.8,75.8,4.2,11.0,1.0,1.0,1.5,2.4,0
8.5,88.4,70.4,7.0,13.0,1.0,2.0,2.3,2.1,1
1.6,,84.7,8.6,9.0,1.0,0.0,8.9,5.3,1
6.9,64.6,42.1,7.1,9.0,1.0,1.0,4.4,0.4,1
4.0,,20.4,7.7,7.0,0.0,0.0,6.9,0.2,0
4.1,47.2,82.7,9.8,7.0,1.0,0.0,2.9,7.2,1
9.2,71.8,49.3,4.8,16.0,1.0,2.0,5.9,4.3,1
7.9,43.0,,6.5,0.0,0.0,2.0,8.2,6.9,0
8.8,84.7,39.7,6.5,12.0,1.0,1.0,9.3,4.3,1
2.9,43.9,34.7,5.6,,0.0,2.0,6.8,4.3,0
7.7,48.4,26.5,5.2,9.0,0.0,2.0,7.0,6.4,0
7.3,59.9,94.0,6.8,11.0,0.0,1.0,9.0,7.3,1
8.7,65.2,55.3,5.6,5.0,0.0,1.0,6.8,6.2,1
3.5,38.9,25.4,8.3,1.0,1.0,0.0,1.2,7.6,0
1.6,68.8,29.3,6.6,2.0,1.0,0.0,6.7,2.0,0
7.0,91.0,93.7,9.0,16.0,1.0,2.0,7.0,4.6,1
4.2,49.8,59.7,7.2,8.0,0.0,2.0,4.3,1.4,0
6.3,69.0,67.5,8.8,,0.0,2.0,1.9,1.1,1
1.0,32.0,55.2,10.0,18.0,1.0,0.0,6.8,1.3,0
5.6,95.6,43.7,7.0,15.0,0.0,,1.7,2.2,0
2.0,88.6,41.7,9.2,2.0,1.0,2.0,3.7,3.1,0
0.4,99.8,56.1,7.7,1.0,0.0,2.0,1.0,2.6,0
3.8,61.3,45.2,8.5,9.0,1.0,0.0,2.9,3.7,0
1.8,63.1,22.2,9.2,18.0,0.0,1.0,8.0,0.8,0
2.8,69.1,73.7,8.8,18.0,0.0,2.0,4.9,4.2,0
6.9,86.2,44.6,5.0,2.0,1.0,2.0,4.1,6.3,0
3.8,55.6,47.1,7.1,15.0,0.0,0.0,9.8,2.7,0
4.9,42.2,86.8,8.0,16.0,1.0,1.0,2.8,2.5,1
7.4,90.9,25.4,4.4,4.0,0.0,2.0,1.1,1.6,0
9.1,47.4,89.5,8.5,11.0,0.0,1.0,1.5,0.4,1
6.3,73.6,78.8,9.0,10.0,0.0,0.0,4.6,,1
3.3,74.5,60.7,4.0,9.0,0.0,1.0,8.4,,1
5.9,47.4,66.2,9.6,15.0,1.0,2.0,9.3,3.9,1
3.1,56.7,64.3,6.5,7.0,0.0,1.0,3.3,0.3,0
6.2,78.6,69.0,8.4,10.0,0.0,1.0,9.8,3.4,1
5.1,32.0,52.1,5.2,3.0,0.0,0.0,9.6,7.0,0
4.7,74.8,75.3,8.6,6.0,0.0,0.0,1.5,4.7,1
0.1,42.9,69.2,7.8,12.0,1.0,0.0,9.4,1.2,0
6.7,69.5,65.7,6.8,14.0,1.0,2.0,9.1,7.9,1
6.5,72.2,89.4,8.8,12.0,1.0,2.0,2.1,2.6,1
,62.1,52.6,6.8,6.0,0.0,2.0,2.2,0.2,0
7.0,61.4,93.7,9.3,13.0,0.0,0.0,1.3,0.3,1
5.5,59.2,26.0,8.9,0.0,1.0,2.0,5.4,4.7,0
9.2,79.4,93.6,9.8,15.0,0.0,2.0,8.0,4.9,1
6.8,45.7,26.7,5.9,16.0,1.0,0.0,4.3,6.5,0
5.7,50.2,34.9,7.2,9.0,0.0,1.0,5.8,6.0,0
5.8,62.7,36.7,5.4,17.0,0.0,1.0,7.2,0.5,0
7.9,83.6,77.4,6.3,18.0,1.0,2.0,8.5,2.2,1
0.2,70.2,,7.6,3.0,1.0,1.0,2.3,6.1,0
5.9,31.6,26.8,6.5,3.0,0.0,0.0,4.6,4.7,0
1.8,75.9,93.3,9.0,7.0,,2.0,5.6,5.0,1
3.4,78.9,93.8,8.7,13.0,1.0,2.0,8.3,2.7,1
1.2,70.8,33.9,6.3,3.0,1.0,0.0,3.6,2.9,0
8.1,91.7,28.8,8.9,3.0,0.0,1.0,4.7,0.6,1
6.4,58.1,68.3,5.3,19.0,1.0,1.0,3.7,0.8,1
4.0,94.4,47.5,5.1,6.0,1.0,2.0,4.5,4.5,0
4.3,96.8,47.7,6.6,6.0,0.0,0.0,5.8,4.1,0
8.1,82.9,57.3,6.7,7.0,0.0,1.0,1.9,3.9,1
9.4,96.1,82.7,9.5,10.0,1.0,2.0,6.6,2.4,1
7.2,63.9,61.5,5.4,16.0,1.0,2.0,8.0,3.6,1
3.1,75.9,32.7,8.5,15.0,1.0,1.0,3.4,2.9,0
2.4,47.0,20.6,4.2,18.0,1.0,1.0,1.9,5.3,0
4.6,78.2,68.2,8.8,8.0,0.0,,7.9,6.7,1
1.3,97.4,34.7,6.1,9.0,0.0,2.0,4.0,2.8,0
0.2,98.5,82.7,9.0,7.0,1.0,1.0,2.5,5.7,0
4.4,71.3,34.2,6.8,8.0,1.0,2.0,4.0,5.3,0
,55.8,86.5,9.8,12.0,0.0,1.0,3.0,5.7,0
9.9,91.1,80.8,7.6,1.0,1.0,2.0,4.3,7.9,1
9.7,88.1,84.3,5.1,19.0,1.0,2.0,4.1,6.6,1
0.0,72.9,69.4,8.7,6.0,0.0,1.0,2.5,1.0,0
6.1,88.9,26.9,,16.0,1.0,1.0,5.4,3.1,1
3.5,90.5,47.7,8.2,9.0,1.0,2.0,1.5,6.7,0
3.4,74.9,31.7,9.7,3.0,1.0,2.0,7.9,4.9,0
0.4,83.8,42.0,5.6,13.0,0.0,0.0,8.3,2.5,0
8.9,96.9,47.8,7.8,6.0,0.0,2.0,9.6,0.6,1
1.1,65.0,27.3,5.7,11.0,1.0,0.0,5.6,6.3,0
1.7,79.9,81.9,9.1,14.0,1.0,2.0,9.5,6.9,1
4.7,38.0,48.0,9.7,10.0,1.0,0.0,6.5,1.6,0
3.9,31.9,49.2,7.2,14.0,0.0,0.0,6.9,5.3,0
1.8,64.1,63.4,4.6,16.0,0.0,0.0,7.7,5.4,0
3.5,50.7,84.3,4.1,7.0,,2.0,2.2,4.2,0
6.2,35.4,41.8,9.0,2.0,,1.0,6.5,7.8,0
3.8,45.4,62.2,9.7,14.0,1.0,2.0,4.5,7.5,0
7.6,70.7,74.1,6.4,14.0,1.0,2.0,7.1,2.9,1
2.6,47.0,74.6,,7.0,0.0,1.0,9.5,4.7,0
8.2,61.0,85.8,8.0,15.0,1.0,0.0,4.1,1.1,1
2.2,79.6,79.1,6.5,11.0,0.0,2.0,2.6,0.2,1
9.7,96.2,25.9,7.5,4.0,0.0,0.0,9.5,5.5,1
2.7,90.8,51.5,9.0,10.0,1.0,1.0,5.9,2.9,1
5.5,65.2,32.5,6.7,13.0,0.0,1.0,5.1,4.5,0
7.3,68.9,40.3,6.4,8.0,1.0,1.0,3.8,4.1,0
0.6,41.6,46.1,6.6,8.0,0.0,1.0,6.5,6.0,0
2.7,85.7,21.6,5.6,9.0,1.0,2.0,6.4,2.9,0
9.2,99.1,39.3,4.7,17.0,1.0,1.0,8.0,3.2,1
6.3,90.2,75.0,6.7,16.0,1.0,1.0,5.4,8.0,1
8.0,57.8,47.2,8.9,12.0,1.0,,9.6,3.8,1
3.8,37.8,90.6,4.8,18.0,0.0,1.0,7.8,6.0,1
3.0,80.4,31.8,7.9,14.0,1.0,0.0,9.1,6.5,0
3.1,77.0,30.7,9.0,10.0,1.0,1.0,8.7,1.9,0
9.6,96.8,92.0,9.2,11.0,0.0,2.0,8.4,0.8,1
9.4,46.9,71.1,9.3,4.0,0.0,1.0,4.2,1.4,1
0.1,87.5,36.6,9.8,18.0,1.0,1.0,3.0,7.0,0
1.8,59.7,20.5,5.8,16.0,0.0,1.0,1.5,4.0,0
8.1,53.9,74.7,7.0,3.0,0.0,1.0,9.9,6.8,1
9.2,92.8,20.1,4.4,18.0,1.0,2.0,9.2,5.7,1
7.4,72.8,56.3,7.2,16.0,1.0,0.0,3.0,5.3,1
6.9,75.4,67.8,5.5,15.0,1.0,2.0,9.9,4.9,1
3.1,48.0,78.5,9.7,10.0,1.0,1.0,5.7,7.8,1
9.7,71.6,82.7,9.0,19.0,1.0,1.0,8.6,5.0,1
7.2,72.8,42.5,6.5,18.0,0.0,1.0,3.8,3.9,1
8.8,54.4,46.3,8.3,7.0,0.0,0.0,2.1,6.4,0
1.4,67.9,51.3,5.4,3.0,0.0,1.0,7.1,5.2,0
3.7,33.6,73.7,9.2,16.0,0.0,2.0,1.6,0.5,1
7.6,47.8,47.8,5.0,11.0,1.0,,9.1,1.6,1
7.5,80.7,93.2,6.3,,0.0,1.0,2.1,6.3,1
4.6,93.8,21.5,,11.0,0.0,2.0,4.6,3.4,0
4.6,69.9,86.8,4.9,5.0,1.0,1.0,8.0,6.7,1
4.7,65.1,54.0,5.1,1.0,0.0,1.0,3.4,6.2,0
8.6,98.0,37.1,9.1,14.0,1.0,2.0,7.5,7.6,1
1.6,85.6,40.5,5.2,3.0,1.0,2.0,4.0,3.5,0
7.8,91.7,23.3,6.9,15.0,1.0,2.0,8.5,1.2,1
7.8,97.0,26.1,4.6,14.0,0.0,2.0,8.5,4.5,0
8.4,62.3,85.7,7.2,1.0,1.0,1.0,1.1,4.6,1
9.4,37.0,36.7,6.2,19.0,1.0,2.0,5.9,1.0,1
6.5,41.0,61.1,7.9,11.0,1.0,1.0,,1.5,1
3.7,68.6,66.9,5.7,16.0,,2.0,5.3,0.7,1
4.6,41.4,78.8,5.8,12.0,0.0,1.0,8.4,3.2,0
4.5,83.8,85.0,,16.0,1.0,0.0,1.3,2.7,1
2.3,31.9,,8.8,7.0,1.0,2.0,4.1,6.6,0
6.6,74.7,28.5,4.5,16.0,0.0,0.0,3.3,7.1,0
5.3,95.3,56.4,5.3,8.0,0.0,1.0,8.4,3.8,0
8.2,73.7,88.6,5.0,9.0,1.0,2.0,8.7,2.8,1
0.7,69.2,29.3,9.5,7.0,1.0,1.0,6.3,5.3,0
7.3,48.9,85.7,6.5,8.0,1.0,0.0,7.8,2.4,1
6.9,50.9,60.8,9.4,16.0,1.0,0.0,3.6,7.8,1
5.1,64.7,72.4,8.0,8.0,1.0,2.0,9.2,3.2,1
1.6,41.9,51.5,4.2,15.0,1.0,0.0,6.7,6.6,0
1.5,66.2,50.4,7.2,8.0,1.0,1.0,4.2,2.2,0
6.6,96.2,94.5,7.6,13.0,1.0,1.0,6.1,2.7,1
8.2,35.0,58.9,4.8,4.0,1.0,2.0,3.4,,0
2.1,56.6,43.5,5.5,3.0,1.0,2.0,8.8,1.9,0
1.2,86.2,68.3,8.0,3.0,0.0,1.0,9.0,0.6,0
2.1,98.0,62.1,8.2,1.0,1.0,1.0,3.3,0.9,1
4.3,47.4,42.0,5.7,15.0,0.0,2.0,6.3,2.9,0
0.3,73.3,63.9,9.6,8.0,1.0,1.0,6.7,4.2,0
8.1,37.5,49.3,7.0,12.0,0.0,1.0,9.6,2.0,1
3.8,53.0,59.0,8.5,11.0,0.0,2.0,4.4,3.0,0
5.0,56.0,66.2,8.1,10.0,1.0,1.0,3.9,6.3,1
2.2,64.8,67.1,4.8,3.0,0.0,0.0,,0.9,0
10.0,66.0,53.0,8.1,17.0,1.0,1.0,10.0,5.8,1
6.4,34.3,30.0,6.0,6.0,1.0,0.0,1.6,6.2,0
8.5,93.4,87.5,6.0,14.0,1.0,0.0,4.4,2.9,1
1.8,,21.7,5.2,16.0,1.0,2.0,6.3,6.3,0
2.2,38.9,37.8,7.1,15.0,1.0,2.0,5.3,0.6,0
9.0,42.0,52.3,5.8,3.0,1.0,2.0,2.9,1.7,1
3.8,48.4,29.1,5.2,17.0,1.0,1.0,9.5,1.2,0
6.0,77.3,81.0,9.6,7.0,0.0,1.0,8.1,6.0,1
6.0,64.8,59.4,7.2,7.0,0.0,2.0,3.2,2.6,0
4.1,31.8,62.5,5.2,5.0,0.0,0.0,6.2,6.7,0
4.4,32.7,93.5,7.2,9.0,0.0,0.0,8.2,0.4,1
4.3,76.6,22.2,6.2,3.0,0.0,0.0,5.6,1.2,0
3.2,85.6,46.6,6.8,1.0,0.0,1.0,8.3,0.9,0
9.4,80.1,76.5,6.8,14.0,1.0,2.0,7.0,7.9,1
4.2,71.8,55.7,4.9,3.0,1.0,2.0,8.8,7.2,0
9.2,49.4,39.0,8.6,6.0,1.0,2.0,3.9,3.4,1
7.8,44.5,80.1,5.2,5.0,1.0,2.0,10.0,6.9,1
3.9,96.1,75.7,9.3,10.0,1.0,1.0,7.4,4.9,1
3.4,52.7,93.9,8.5,15.0,0.0,1.0,3.1,6.5,1
7.5,31.3,76.1,7.3,9.0,1.0,0.0,8.2,2.7,1
4.7,99.8,69.3,9.8,0.0,0.0,0.0,8.1,2.3,0
0.3,42.3,76.3,6.6,13.0,1.0,1.0,2.6,5.8,0
6.6,73.9,67.2,4.6,17.0,1.0,2.0,5.1,4.0,1
7.6,52.0,24.1,6.9,0.0,1.0,1.0,7.7,6.8,0
0.4,98.8,43.6,6.5,19.0,0.0,2.0,5.8,3.5,0
2.7,76.5,91.4,8.0,2.0,1.0,1.0,2.9,7.7,0
1.6,47.0,59.2,4.3,19.0,1.0,0.0,4.6,1.0,0
9.6,86.7,,9.8,9.0,1.0,2.0,2.1,0.4,1
2.5,37.9,91.1,,11.0,0.0,,2.1,6.6,1
4.8,86.8,93.6,9.8,18.0,0.0,0.0,2.1,2.5,1
9.7,30.3,77.6,7.8,9.0,1.0,2.0,1.7,0.9,1
2.3,54.5,84.5,9.1,2.0,1.0,1.0,9.3,5.8,1
2.1,,82.6,8.8,4.0,0.0,1.0,1.5,4.4,0
5.4,46.2,75.8,8.9,17.0,0.0,0.0,3.4,3.9,1
8.4,78.2,56.4,9.0,1.0,0.0,1.0,7.5,2.5,1
4.7,79.9,34.7,7.4,5.0,0.0,2.0,5.4,1.6,0
0.5,49.5,93.6,6.2,0.0,0.0,2.0,8.6,1.7,0
6.1,89.3,76.6,8.0,18.0,1.0,2.0,2.1,,1
1.6,90.4,66.7,4.2,3.0,0.0,0.0,8.2,6.6,0
0.7,93.0,51.5,6.2,3.0,1.0,1.0,1.8,2.2,0
8.5,99.4,63.6,7.5,10.0,0.0,0.0,9.4,2.9,1
6.7,96.8,57.7,4.3,5.0,0.0,0.0,8.4,2.9,0
3.0,69.1,36.3,8.3,,1.0,2.0,1.3,3.4,0
9.2,61.1_err,69.2,9.9,8.0,0.0,0.0,3.8,4.9,1
8.1,42.8_err,54.0,8.7,13.0,1.0,1.0,,4.1,1
,79.9,22.5,9.5,3.0,1.0,2.0,6.9,4.4,0
3.0,62.3,21.6,5.5,2.0,0.0,2.0,8.2,3.2,0
7.6,41.6,33.2,9.0,11.0,0.0,1.0,2.9,3.6,1
0.3,83.1,94.6,6.8,15.0,,2.0,4.9,7.9,1
7.2,61.6,29.3,7.7,12.0,1.0,0.0,9.0,4.4,0
8.4,74.0,67.1,5.1,12.0,1.0,0.0,6.6,5.4,1
2.5,85.7,70.9,8.8,11.0,1.0,2.0,3.8,5.3,0
0.2,40.9,88.9,9.1,12.0,1.0,2.0,6.9,0.5,1
8.8,52.5,55.8,6.3,3.0,0.0,1.0,8.6,5.1,0
0.1,38.5,69.2,6.5,9.0,1.0,2.0,9.2,4.1,0
1.7,96.6,60.4,8.0,10.0,0.0,0.0,4.3,6.4,0
6.9,32.9,28.6,6.9,5.0,0.0,2.0,,2.6,0
1.8,93.4,29.5,7.5,19.0,0.0,1.0,8.2,2.3,0
8.5,31.0,37.6,8.9,2.0,1.0,2.0,9.5,5.8,1
9.3,50.5,83.5,6.3,14.0,0.0,1.0,4.5,2.3,1
4.8,66.1,75.5,7.5,0.0,1.0,0.0,4.5,2.3,1
1.5,65.8,43.3,7.2,14.0,1.0,2.0,6.0,4.0,0
3.9,73.6,54.5,8.3,4.0,0.0,1.0,7.5,1.3,1
3.6,37.9,,8.6,15.0,0.0,0.0,,5.4,0
0.9,33.6,78.4,4.1,5.0,0.0,1.0,3.2,0.5,0
3.0,72.1,61.0,9.9,0.0,0.0,2.0,9.4,2.0,0
6.2,46.4,33.6,8.5,19.0,0.0,,7.3,3.0,0
1.1,83.3,30.2,4.6,3.0,1.0,1.0,3.9,7.2,0
4.0,70.2,82.8,8.1,1.0,1.0,0.0,9.3,4.3,1
6.9,32.2,30.8,5.8,9.0,0.0,0.0,1.3,2.8,0
9.4,91.5,40.8,4.2,4.0,1.0,2.0,5.3,2.5,1
1.4,48.9,22.5,6.3,7.0,0.0,2.0,6.3,5.5,0
2.8,38.9,57.2,5.7,3.0,0.0,0.0,8.8,7.3,0
3.7,50.2,88.5,8.5,4.0,0.0,,2.4,1.1,1
7.7,55.3,45.2,8.7,13.0,1.0,1.0,5.2,6.3,1
4.9,61.1,42.2,6.7,1.0,1.0,0.0,2.9,6.2,0
5.0,76.7,71.7,4.8,13.0,0.0,2.0,4.4,7.6,1
5.4,59.0,84.3,9.0,1.0,1.0,0.0,1.6,5.0,1
3.6,41.5,62.0,9.1,12.0,0.0,2.0,3.3,5.5,0
9.8,99.5,26.1,6.0,13.0,0.0,1.0,9.4,3.2,1
8.6,77.1,92.1,6.1,5.0,0.0,1.0,5.9,1.0,1
3.8,34.9,87.9,6.8,12.0,0.0,2.0,4.6,4.2,1
4.7,54.3,30.8,5.8,13.0,0.0,0.0,1.9,5.1,0
0.7,74.8,30.1,4.7,1.0,1.0,1.0,7.5,7.1,0
6.6,68.6,83.4,8.3,18.0,,2.0,2.5,6.7,1
8.3,93.3,92.2,9.9,2.0,1.0,,8.4,4.3,1
7.5,82.9,,7.8,19.0,1.0,0.0,3.2,1.4,1
3.9,40.7,40.8,9.5,8.0,,2.0,5.1,5.9,0
7.4,59.7,47.4,9.1,0.0,0.0,1.0,1.1,6.8,0
8.5,51.2,20.8,4.5,12.0,0.0,1.0,8.8,3.4,0
7.6,61.2,76.9,6.9,0.0,1.0,2.0,8.9,5.7,1
7.7,34.0,69.3,8.9,13.0,1.0,1.0,5.1,4.3,1
8.4,95.3,31.0,8.6,5.0,0.0,0.0,7.3,3.1,1
2.0,65.2,,10.0,14.0,1.0,1.0,4.2,5.8,0
