radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,symmetry_mean,malignant
29.18,28.82,180.3,2050.61,0.056,0.3453,0.101,0.241,1
25.4,16.31,126.97,2382.77,0.1286,0.1318,0.2961,0.2931,1
13.31,31.12,78.12,1237.96,0.0593,0.3405,0.2215,0.1382,0
8.34,,176.17,1794.52,0.057,0.068,0.1399,0.1033,0
22.42,12.93,129.16,1879.38,0.1082,0.0334,0.1215,0.1645,0
16.56,35.86,73.09,1702.9,0.1649,0.0309,0.3994,0.1299,1
8.93,27.4,139.76,1431.19,0.1012,,0.3921,0.2097,1
17.88,12.94,,2220.69,0.0928,0.0474,0.2206,0.2798,1
6.83,22.25,175.1,1199.47,0.1698,0.189,0.1112,0.2376,0
27.82,13.99,112.53,284.2,0.1138,0.1281,0.044,0.1272,1
12.21,30.71,156.23,2133.15,0.095,0.1308,0.0673,0.1232,0
21.9,32.52,55.29,1730.6,0.0963,0.2298,0.2246,0.2823,1
13.48,12.28,103.36,2144.25,0.0734,0.0738,0.1324,0.1975,0
18.48,24.69,197.32,466.97,0.1115,0.273,0.0181,0.2847,0
19.12,34.25,169.35,212.58,0.1027,0.2121,0.1957,0.2472,1
,38.02,65.59,2345.12,0.0825,0.3219,0.3209,0.2987,1
29.27,24.92,84.44,488.64,0.0693,0.1404,0.3834,0.2742,1
24.6,38.46,92.77,2050.78,0.0873,0.3443,0.2517,0.1828,1
28.55,25.61,144.06,2082.78,0.111,0.21,0.311,0.2516,1
27.48,21.22,161.12,1812.54,0.057,0.3412,0.1566,0.1942,0
20.35,35.29,159.92,449.78,0.0684,0.0289,0.2134,0.1466,0
28.12,24.28,121.58,1715.06,0.1637,0.2602,0.3137,0.1482,1
8.12,23.63,169.73,2238.24,0.1151,0.2895,0.3129,0.1795,0
10.7,24.2,109.93,1144.25,0.0576,0.0375,0.1825,0.1223,0
7.09,35.25,59.82,1115.9,0.1332,0.2111,0.2338,0.1356,0
13.81,34.79,130.31,1185.15,0.0574,0.2846,0.3973,0.2001,0
15.33,21.51,192.37,334.16,0.1387,0.2051,0.2718,0.2908,0
12.51,19.33,166.88,2245.18,0.14,0.0411,0.2763,0.2155,0
25.89,24.25,132.59,,0.1281,0.2488,0.3374,0.1817,1
14.56,26.76,143.49,2495.07,0.1379,0.04,0.0495,0.1485,0
12.74,16.39,188.89,1521.03,0.0606,0.2898,0.2248,0.1392,0
19.02,33.61,108.53,1912.81,0.1372,0.0342,0.4126,0.2317,1
9.38,24.08,93.02,618.31,0.0664,0.0653,0.1555,0.2697,0
25.25,19.36,196.36,1715.37,0.0907,0.1108,0.1268,0.1798,1
7.79,12.31,178.15,1673.37,0.1631,0.229,0.2585,0.2101,0
29.69,16.4,91.69,2266.85,0.1103,0.3422,0.0951,0.2413,1
24.53,38.43,,2100.67,0.1661,0.0589,0.2391,0.1117,1
10.77,18.46,106.41,2354.78,0.0607,0.0671,,0.1702,0
6.13,14.23,63.86,2190.45,0.1073,0.1417,0.2493,0.246,0
25.57,23.28,193.25,2190.12,0.0575,0.296,0.259,0.2369,1
22.96,18.52,104.69,290.39,0.1256,0.1742,0.1799,0.1107,0
23.5,10.09,180.05,2136.47,0.0594,0.1261,0.1646,0.1476,0
24.51,19.02,70.3,1573.65,0.071,0.2052,0.1055,0.236,0
7.78,25.87,127.66,1037.85,0.0811,0.106,0.1423,0.1543,0
14.6,26.1,43.83,273.37,0.1398,0.1524,0.2143,0.2629,0
8.78,20.05,162.28,1739.31,0.0697,0.1298,0.1065,0.1059,0
26.71,22.87,,914.56,0.1516,0.2854,0.3366,0.1381,1
20.96,38.93,140.09,1243.95,0.0658,0.325,0.3049,0.1563,1
13.94,20.7,48.28,1748.88,0.0542,0.2707,0.1158,0.2851,0
7.53,17.01,73.77,2291.79,0.0974,0.1649,0.0419,0.2593,0
13.46,16.55,51.89,2088.03,0.1675,0.1864,0.0001,0.2768,0
13.8,23.19,86.23,1203.41,0.0632,0.0613,0.2566,0.1881,0
23.51,32.55,140.39,1055.17,0.0622,0.2665,0.0909,0.2645,1
21.3,15.39,130.59,705.88,0.1401,0.2168,0.0054,,1
27.29,30.99,,1018.93,0.0875,0.3178,0.1544,0.18,1
17.33,9.66,127.88,402.07,0.1361,0.0862,0.4137,0.2989,0
8.87,21.99,83.68,2431.81,0.074,0.2707,0.2967,0.2702,0
23.12,33.05,79.12,1494.45,0.1052,0.2459,0.3688,0.2948,1
24.26,19.5,61.93,441.62,0.0818,0.1077,0.0622,0.2733,0
19.47,26.48,175.85,972.62,0.1042,0.2402,0.0315,0.2552,0
24.5,15.35,138.64,1431.01,0.1423,0.325,0.005,0.2888,1
17.85,32.0,69.84,1397.61,0.1414,0.3231,0.4109,0.184,1
18.55,10.62,68.35,223.79,0.1119,0.2575,0.1291,0.2567,0
16.26,35.43,179.69,2383.98,0.1614,0.0359,0.1976,0.1426,1
6.61,15.14,158.84,789.89,0.0817,0.3078,0.1696,0.2466,0
8.59,,145.5,178.2,0.0788,0.2371,0.3141,0.2571,0
6.75,19.93,105.1,320.41,0.1237,0.1224,0.1333,0.2433,0
21.27,31.4,81.92,1509.26,0.1246,0.0818,0.2302,0.27,1
13.54,18.9,196.71,465.17,,0.0583,0.4281,0.1827,0
18.21,37.08,167.56,238.47,0.1229,0.0366,0.1909,0.209,0
27.78,12.93,88.28,1035.92,0.0949,0.2689,0.237,0.1021,1
11.98,14.53,175.61,1609.72,0.1397,0.0978,0.2161,0.1292,0
15.85,24.28,161.43,403.94,0.147,0.028,0.3454,0.2288,0
24.13,11.54,87.53,879.45,0.1163,0.1511,0.1147,0.2125,0
11.49,15.08,108.25,1125.92,0.0502,0.1793,0.0733,0.1395,0
7.85,38.26,69.75,516.33,0.1264,0.0758,0.3243,0.1487,0
12.95,39.27,57.77,1334.33,0.1399,0.0345,0.1787,0.1688,0
9.87,20.66,155.64,341.11,0.0799,,0.3929,0.2433,0
28.31,37.62,82.8,249.78,0.1058,0.2441,0.277,0.2219,1
25.39,25.89,171.21,1366.81,0.1659,0.0471,0.2427,0.1139,1
21.2,17.36,199.3,725.04,0.0858,0.2032,0.0303,0.252,0
26.92,30.77,52.26,365.08,0.0768,0.0683,0.3141,0.1525,1
,29.43,115.69,1140.43,0.0753,0.0846,0.295,0.2344,1
10.48,39.66,168.33,2299.73,,0.1497,0.2752,0.1247,1
27.42,17.22,166.23,1849.09,0.164,0.0533,0.1152,0.2996,0
18.94,29.83,161.6,2064.85,0.123,0.0772,0.4071,0.1161,0
25.38,10.61,95.84,2197.72,0.0864,0.1352,0.1383,0.2483,0
27.51,12.52,112.62,2435.4,0.1266,0.1288,0.0655,0.2083,1
13.63,9.12,135.19,1941.26,0.125,0.2673,0.4245,0.1172,0
8.64,39.98,195.83,1575.84,0.1216,0.0447,0.3209,0.1054,0
11.47,33.87,92.41,1002.41,0.0691,0.3039,0.1784,0.1725,0
16.25,33.39,187.7,568.68,0.1261,0.2894,0.4024,0.2604,1
25.63,24.8,83.1,1760.52,0.1016,0.2728,0.0392,0.1082,1
26.66,18.3,198.25,2488.08,0.0522,,0.0377,0.2409,1
6.17,13.69,147.24,1242.97,0.1148,0.2916,0.2935,0.2311,0
18.26,17.82,114.16,1847.88,0.1687,0.0803,0.0765,0.1531,0
16.02,20.66,138.14,1308.42,0.092,0.0611,0.3944,0.1155,0
11.33,32.45,83.6,1159.36,0.1659,,0.3614,0.2831,1
8.88,25.73,83.87,1108.32,0.0615,0.33,0.1317,0.1601,0
14.1,11.4,58.17,1330.91,0.1379,0.1216,0.3822,0.1223,0
28.63,9.56,58.25,1005.87,0.0637,0.3228,0.0184,0.2363,1
13.76,12.17,95.63,1907.11,0.0828,0.11,0.2359,,0
18.45,21.73,162.06,,0.1185,0.3195,0.4023,0.1951,1
22.87,37.93,137.28,2223.61,0.1211,0.3183,0.3678,0.1101,1
14.73,28.76,56.41,677.37,0.143,0.3248,0.1531,0.2986,1
29.32,33.86,176.36,2254.35,0.1238,0.1837,0.0786,0.1895,1
29.1,23.46,136.22,946.06,0.1212,0.3058,0.0905,0.2998,1
12.04,20.21,193.74,869.97,0.1595,0.3338,0.2212,0.1771,0
17.93,12.36,147.23,1855.14,0.1043,0.1271,0.2566,0.1696,0
13.22,36.15,68.03,859.08,0.077,0.1582,0.0141,0.2829,0
12.84,33.28,115.81,265.0,0.0694,0.2573,0.1778,0.1659,0
6.89,14.21,143.76,1021.74,0.098,0.1191,,0.1864,0
20.63,24.88,44.52,1842.66,0.1355,0.2688,0.1911,0.1156,1
18.06,24.11,42.39,911.62,0.0551,0.0444,0.0727,0.2911,0
7.24,28.38,60.7,1625.76,0.0655,0.1928,0.4106,0.117,0
12.69,38.33,80.27,1697.88,0.0627,0.0604,0.1145,0.2542,1
27.8,26.97,108.73,1871.62,0.1202,0.1168,0.3433,0.2077,1
11.75,25.75,117.99,,0.0791,0.1053,0.0833,0.1123,0
9.48,10.56,62.08,1160.85,0.07,0.2968,0.182,0.1003,0
17.75,10.95,147.74,532.78,0.1211,0.0839,0.2109,0.2871,1
29.66,14.81,135.38,892.66,0.1414,0.2868,0.2153,0.2484,1
11.81,10.01,87.11,1159.91,0.0899,0.282,0.2221,0.2373,0
22.13,32.04,,1824.78,0.1194,0.1846,0.0967,0.1877,1
24.28,31.42,52.42,170.97,0.0618,0.0972,0.2218,0.1477,1
11.7,13.22,102.67,885.25,0.1622,0.0949,0.2071,0.236,0
23.48,34.92,64.64,1980.43,0.0904,0.1734,0.0897,0.2217,1
14.83,13.8,100.29,1723.22,0.1697,0.0229,,0.2453,0
21.18,18.34,140.51,1866.91,0.1674,0.1953,0.3722,0.1732,1
21.2,16.72,127.56,2055.87,0.1435,,0.3817,0.2974,1
18.86,20.54,76.99,1988.44,0.0524,0.0711,0.2948,0.1134,1
8.17,16.89,95.01,1749.95,0.1152,0.2092,0.0688,0.1159,0
26.05,24.16,138.24,1177.6,0.0604,0.3374,0.2443,0.2834,1
13.7,21.63,177.74,2461.29,0.1574,0.304,0.3532,0.2295,1
10.48,39.58,160.51,1483.01,0.1448,0.3006,0.0167,0.1653,1
6.98,10.73,128.54,618.54,0.1667,0.2912,0.2132,0.2524,0
20.18,13.41,97.97,831.04,0.123,0.122,0.1703,0.1906,0
22.26,10.64,98.41,1776.81,0.1127,0.3139,0.0912,0.1042,1
6.4,28.4,180.71,,0.1123,0.3306,0.1626,0.2302,0
18.29,10.69,46.28,561.78,0.0964,0.1836,0.4229,0.1486,0
11.44,34.93,198.08,334.34,0.1062,0.137,0.311,0.1231,1
21.48,24.87,146.3,2220.41,0.1262,0.1567,0.1288,0.1451,0
10.18,25.34,148.98,2300.06,0.162,0.1303,0.2603,0.1952,0
22.58,26.41,46.08,792.26,0.1215,0.0901,0.1061,0.11,0
15.28,14.3,,1030.39,0.1529,0.2241,0.2627,0.2766,0
28.48,15.13,117.56,1698.04,0.1535,0.2057,0.3854,0.212,1
9.3,18.88,56.92,918.63,0.1123,0.1727,0.2395,0.1586,0
14.19,,84.47,2210.09,0.0917,0.0516,0.3153,0.2374,1
8.72,15.51,182.45,393.89,0.1267,0.283,0.1949,0.2608,0
28.19,12.61,128.0,229.64,0.1035,0.0777,0.2254,0.2228,0
27.06,39.07,106.15,632.03,0.0598,0.0578,0.2989,0.1405,1
12.19,9.68,51.63,815.17,0.0953,0.2256,0.3493,0.1221,0
21.84,33.88,154.26,406.51,0.1693,0.1516,0.2836,0.272,1
25.61,33.43,152.46,295.03,0.0558,0.0397,0.4203,0.1469,1
19.32,18.21,138.25,1923.23,0.1336,0.1373,0.3525,0.104,1
18.71,13.2,121.64,527.69,0.1509,0.2747,0.3342,0.2286,1
11.8,13.51,109.41,2296.86,0.1278,0.223,0.3634,0.1306,0
8.23,30.62,134.92,1008.48,0.1184,0.1397,0.1209,0.2982,0
27.53,28.93,77.34,1722.63,0.1349,0.0833,0.1858,0.2739,1
27.61,33.27,190.6,671.95,0.1015,0.2285,0.2427,0.2217,1
21.19,38.06,134.21,707.16,0.061,0.3129,0.1988,0.2668,1
14.14,30.45,89.79,1496.31,0.1655,0.2333,0.3644,0.1941,1
14.38,,111.95,1463.12,0.1019,0.2883,0.0116,0.2577,0
23.42,16.55,168.91,1954.2,0.1298,0.1921,0.0899,0.2293,1
27.53,35.11,65.86,1928.44,0.1138,0.2569,0.3791,0.1057,1
27.29,15.49,86.85,1722.82,0.0566,0.3158,0.0254,0.2898,1
24.72,11.25,148.72,1199.95,0.1643,0.2751,0.0976,0.2722,1
21.41,30.8,90.48,2241.91,0.1451,0.3203,0.151,0.2907,1
8.02,21.48,166.8,1609.29,0.0679,0.1623,0.3228,0.2463,0
9.88,37.52,60.87,2476.87,0.1678,0.3184,0.2409,0.1824,1
27.57,29.16,162.03,2073.71,0.1384,0.2251,0.4105,0.1414,1
20.55,11.8,50.94,244.57,0.1067,0.3071,,0.136,0
6.22,38.38,42.01,896.6,0.1234,0.033,0.375,0.129,0
8.44,17.02,,1489.63,,0.2371,0.1217,0.1441,0
21.92,19.45,133.01,1842.67,0.1172,0.2998,0.1056,0.2101,1
6.12,21.47,96.29,1438.79,0.0588,0.0775,0.2143,0.2367,0
9.86,10.59,77.22,1995.27,0.1154,0.2384,0.0306,0.1628,0
19.17,24.39,138.7,,0.1163,0.2922,0.1653,0.2097,0
22.61,12.82,121.44,574.03,0.1549,0.115,0.1529,0.1683,0
21.65,21.43,198.66,267.24,0.137,,0.0688,0.2393,0
11.38,19.87,197.31,1493.02,0.0799,0.2079,0.3701,0.2977,0
23.09,32.96,141.6,1765.09,0.1566,0.1913,0.1659,0.2378,1
11.69,33.9,110.86,909.71,0.1188,0.0329,0.4222,0.1118,1
13.81,13.76,118.58,1588.06,0.1228,0.0526,0.3869,0.1954,0
23.92,20.36,149.2,263.09,0.0703,0.0532,0.0838,,0
21.59,20.57,56.25,374.33,0.1529,0.1065,0.2172,0.2084,1
26.38,13.69,92.54,1796.14,0.1617,0.1011,0.2588,0.2902,1
21.78,33.75,52.04,1008.64,0.143,0.2649,0.3522,0.111,1
19.64,30.92,51.74,1724.35,0.1629,0.209,0.3808,0.1582,1
8.25,14.9,71.33,2102.86,0.0863,0.2721,0.2683,0.1441,0
14.83,20.37,117.64,2152.19,0.1533,0.0431,0.0151,0.2535,0
12.36,12.28,165.56,546.32,0.1087,0.1801,0.2069,0.2048,0
11.86,28.47,117.68,1287.63,0.0697,0.1268,0.3805,0.1277,0
29.35,12.76,93.68,1872.07,0.1303,0.3005,,0.1571,1
15.43,39.56,53.18,1966.59,0.1321,0.2536,0.3742,0.2045,1
27.41,33.2,128.05,1991.84,0.0844,0.3069,0.2899,0.2992,1
,21.1,83.4,678.47,0.0533,0.0353,0.0189,0.1729,0
25.08,26.94,138.39,594.38,0.074,0.2579,0.4162,0.1314,1
18.06,37.25,196.35,1532.43,0.098,0.1982,0.3947,0.1994,1
19.85,26.18,57.81,1888.96,0.0701,0.2923,0.0544,0.162,1
17.82,14.41,73.94,893.17,0.0733,0.1874,0.0485,0.2132,0
,20.74,115.7,387.1,0.097,0.1983,0.2318,0.1933,0
23.34,35.14,194.98,1831.52,0.1654,0.0371,0.3255,0.2379,1
12.74,28.97,163.49,847.29,0.1417,0.2406,0.1643,0.2829,0
6.58,29.17,183.72,532.62,0.0884,0.1101,0.0586,0.1401,0
21.49,35.87,93.39,488.63,0.1642,0.0265,0.2195,0.2642,1
10.25,36.71,198.73,883.19,0.1275,0.0419,0.1452,0.2899,0
28.57,37.51,56.45,1538.72,0.1047,0.3359,0.1513,0.1747,1
28.89,11.94,48.48,985.83,0.1062,0.1342,0.2773,0.1227,1
27.96,25.87,176.9,188.76,0.0993,0.3065,0.3808,0.2644,1
14.88,31.96,188.36,368.7,0.078,0.3367,0.2402,0.2402,0
6.37,32.46,54.49,825.59,0.0964,0.3313,0.2957,0.1425,0
28.28,27.81,58.15,1696.9,0.1133,0.311,0.2838,0.189,1
16.28,14.17,45.31,372.5,0.1134,0.3153,0.237,0.2156,0
29.2,33.72,56.72,1463.15,0.1414,0.1154,0.1336,0.134,1
29.13,31.32,,422.93,,0.07,0.1625,0.243,1
26.47,11.67,195.21,639.41,0.136,0.231,0.1358,0.238,1
13.07,23.38,146.86,546.36,0.1194,0.1811,0.3945,0.2774,0
15.24,14.39,164.57,298.66,0.1654,0.0526,0.3554,0.2135,0
26.43,19.46,164.18,1724.34,0.0962,0.2436,0.2491,0.2149,1
13.61_err,9.56,125.61,1233.63,0.1581,0.2057,0.3923,0.2239,1
10.07,,167.6,2101.29,0.1485,0.3048,0.3812,0.1548,1
19.36,26.05,135.33,373.38,0.1265,0.221,0.3989,0.2517,1
28.47,28.21,90.33,481.57,0.1285,0.2094,0.0954,0.2325,1
22.7,29.57,129.78,863.24,0.0602,0.1654,0.3085,0.2678,0
19.68,34.93,125.36,1947.44,0.164,0.1727,0.262,,1
8.33,15.68,171.75,861.59,0.0628,0.3349,0.3155,0.2277,0
20.76,12.73,197.08,1103.87,0.1176,0.0657,0.1133,0.1322,0
29.76,35.4,105.77,851.78,0.0896,0.1673,0.2988,0.2838,1
9.36,13.85,162.14,329.33,0.1016,0.2364,0.1762,0.1734,0
18.44,39.22,55.96,2357.06,0.1232,0.1629,0.3587,0.2929,1
27.06,35.12,164.29,1434.55,0.1591,0.1135,0.342,0.1804,1
23.78,24.53,99.43,1999.29,0.1049,0.1148,0.0909,0.1292,0
22.73,39.42,46.3,1693.72,0.1685,0.0971,0.0791,0.277,1
22.86,12.02,98.12,1353.64,0.1211,5.0,0.3086,0.259,1
14.63,18.4,137.7,351.64,0.0693,0.3077,0.2367,0.2573,0
13.05,28.78,59.08,1656.85,0.0728,0.1867,0.2396,0.1179,0
25.42,19.85,187.85,506.67,0.1359,0.0993,0.3236,0.2759,1
25.44,37.78,52.43,1117.94,0.056,0.1469,0.3676,0.2193,1
26.81,11.03,188.8,1624.71,0.1076,0.0549,0.1028,0.1941,0
27.92,26.03,153.14,1986.06,0.0678,0.3183,0.2389,0.2826,1
18.27,27.32,92.75,1756.71,0.102,0.1547,0.3565,0.2332,1
18.04,29.23,102.52,1724.82,0.14,0.3435,0.3753,0.1266,1
25.16,16.93,158.53,491.74,0.1051,0.1347,0.1236,0.2039,0
21.6,20.3,136.24,956.86,0.0696,0.296,0.0448,0.2273,0
22.85,,147.46,241.27,0.0802,0.1046,0.1001,0.2797,0
25.1,15.04,102.27,1837.97,0.0941,0.0451,0.4066,0.156,0
27.36,34.63,118.05,2388.1,0.0583,0.0305,0.1989,0.2588,1
14.11,26.44,198.38,763.3,0.1201,0.22,,0.26,1
15.01,32.63,74.23,346.96,0.1229,0.1228,0.0056,0.1256,0
8.26,31.12,106.86,1262.35,0.0575,0.1664,0.0219,0.1034,0
19.88,15.43,86.69,2161.81,0.0983,0.2902,0.2875,0.2163,1
6.86,26.63,162.42,1442.66,0.0997,0.1019,0.2536,0.2579,0
17.17,35.9,162.24,250.39,0.0901,0.1219,0.2475,0.2109,0
19.02,22.4,86.79,2439.28,0.1169,0.299,0.0474,0.2627,0
12.88,38.96,53.02,2095.61,0.0915,0.1826,0.1514,0.2245,0
20.18,23.02,41.83,450.56,0.1,0.2931,0.3493,0.2307,1
6.73,13.43,108.39,2315.44,0.1457,0.1436,0.0752,0.1056,0
6.9,21.07,105.65,1203.62,0.0695,0.1515,0.3796,0.1177,0
25.74,38.5,198.14,1017.68,0.1243,0.0752,0.0522,0.245,1
14.64,18.91,115.17,1228.09,0.1107,0.3224,0.0727,0.2526,0
9.05,35.91,81.03,2109.59,0.0866,0.3159,0.2054,0.2084,1
18.53,36.32,182.6,1696.37,0.1373,0.3448,0.4065,0.218,1
,19.86,118.57,279.83,0.1161,0.1528,0.1417,0.2229,0
11.18,11.58,135.87,2399.95,0.1073,0.2901,0.283,0.121,0
20.95,31.46,55.31,488.77,0.1301,0.1569,0.2531,0.2336,1
8.05,18.66,101.27,1899.54,0.1463,0.1699,0.0643,0.1957,0
7.24,33.27,191.08,1641.28,0.1667,0.2939,,0.2205,1
,22.72,134.32,582.57,0.1255,0.0785,0.4,0.2126,1
18.98,24.04,95.12,542.93,0.1549,0.0927,0.0795,0.2526,0
,33.12,140.11,2193.97,0.0501,0.1239,0.2989,0.1637,1
23.43,20.85,185.67,1130.48,0.1136,0.2801,0.4148,0.1747,1
29.42,22.74,83.84,1684.8,0.0758,0.143,0.0514,0.1783,0
18.39,20.66,120.82,1329.61,0.0613,0.1382,0.1716,0.2525,0
13.75,20.39,193.39,1856.55,0.1138,0.3496,0.0963,0.1862,0
25.08,,67.58,1271.01,0.1396,0.1467,0.0953,0.1354,0
12.5,34.07,155.15,818.22,0.0995,0.1018,0.0512,0.2966,1
16.54,20.21,138.32,997.58,0.1304,0.2257,0.2793,0.1987,1
7.88,25.25,148.75,2167.42,0.1088,0.2846,0.3209,0.1218,0
,29.79,96.2,1244.56,0.1025,0.043,0.291,0.2341,0
29.1,17.35,90.22,643.74,0.0848,0.2242,0.3976,0.2478,1
26.06,17.6,149.47,2345.67,0.0959,0.0318,0.0626,0.2,0
22.7,37.94,74.49,2019.98,0.092,0.1937,0.1375,0.2293,1
15.81,31.43,107.14,271.37,0.1275,0.1048,0.1482,0.1345,0
10.16,26.89,70.11,2497.51,0.0639,0.1212,0.0998,0.1736,0
9.75,29.08,41.33,1780.03,0.0611,0.1741,0.0611,0.1324,0
12.01,9.91,195.21,518.23,0.1292,0.3259,0.2093,0.1774,0
19.18,28.16,109.07,699.72,0.1156,0.2545,0.3588,0.2126,1
23.15,24.79,195.1,1774.17,0.1016,0.3292,0.4105,0.1885,1
21.84,25.92,62.45,1980.24,0.0683,0.2378,0.0556,0.2186,1
12.72,20.14,133.98,704.12,0.0993,0.0223,0.354,0.2004,0
28.92,11.53,72.16,746.45,0.1448,0.1076,0.3546,0.1636,1
23.71,14.99,166.41,864.8,0.1568,0.3189,0.1673,0.1287,1
19.3,38.47,165.39,1551.32,0.1343,0.2323,0.0473,0.1505,0
20.68,21.67,58.02,545.49,0.0572,0.3439,0.4257,0.1401,1
16.07,23.47,185.93,386.01,0.1304,0.0715,0.2819,0.2415,0
11.95,10.63,71.14,1742.12,0.0789,0.1179,0.4223,0.264,0
14.54,10.16,138.08,1978.67,0.0878,0.1396,0.208,0.2441,0
,31.23,,1322.19,0.0735,0.1278,0.1699,0.2287,1
6.35,25.68,181.18,998.65,0.1431,,,0.1616,0
8.79,,193.05,1159.62,0.1278,0.1663,0.4229,0.2422,0
7.1,16.54,94.82,1056.64,0.1234,0.232,0.1089,0.221,0
6.98,32.09,56.89,2405.56,0.1302,0.1227,0.0102,,0
26.53,14.22,70.14,1952.69,0.0784,0.0463,0.2204,0.2815,0
22.89,14.89,120.08,631.09,0.1034,0.2538,0.1621,0.116,0
17.38,23.28,166.92,1046.69,0.126,0.1715,0.1124,0.2005,0
8.35,17.87,64.02,1423.87,0.1264,0.2036,0.2729,0.2026,0
17.8,16.67,145.56,1586.65,0.145,0.1703,0.1566,0.2674,1
17.36_err,29.0,91.77,1244.91,0.0845,,0.173,0.2826,1
10.16,29.18,94.59,2051.9,0.1424,0.2044,0.0099,0.2879,0
16.41,34.56,145.91,,0.1028,0.3247,0.2533,0.2139,1
15.56,21.95,114.72,1332.17,0.1304,0.1885,0.0525,0.2358,0
20.78,11.27,169.93,2156.45,0.1047,0.1166,0.0919,0.1177,0
21.24,17.48,64.95,1912.57,0.1638,0.1373,0.3084,0.1976,1
7.09,39.38,166.39,1977.45,0.0715,0.1923,0.1347,0.2796,0
,27.48,50.28,2397.11,0.131,0.1949,0.0702,0.1911,0
21.02,31.0,71.05,768.86,0.1192,0.2468,0.2483,0.1139,1
18.08,9.23,144.98,771.65,0.0707,0.0941,0.0924,0.1401,0
26.56,25.06,176.79,2237.93,0.0579,0.2374,0.1165,0.1859,1
21.81,10.16,80.43,1962.45,,0.2769,0.2672,0.1475,1
9.91,26.65,92.35,2326.65,0.0689,0.2433,0.3181,0.1785,1
7.69,37.54,125.94,288.99,0.0724,0.179,0.3181,0.1666,0
21.42,39.02,73.85,1621.51,0.1674,0.3473,0.2074,0.1638,1
6.64,25.76,169.79,481.32,0.1361,0.1536,0.1953,0.1182,0
20.06,23.2,163.78,1329.2,0.0801,0.0552,0.3387,0.2765,0
28.57,38.3,63.25,507.56,0.1209,0.2911,0.083,0.2385,1
19.81,29.88,114.21,442.27,0.1141,0.09,0.0654,0.2247,0
15.32,11.01,163.97,168.72,0.1513,0.2554,0.2858,0.2213,0
21.44,23.44,93.97,1627.36,0.1375,0.0791,0.1761,0.1793,0
17.0,16.45,141.3,987.29,0.1498,,0.3053,0.2647,0
19.09,23.56,48.03,388.24,0.0754,0.0727,0.1103,0.286,0
28.6,23.12,137.39,901.9,0.1268,0.1444,0.1397,0.1011,1
15.27,27.05,64.42,538.71,0.0548,0.0552,0.3856,0.1158,0
29.07,20.06,172.89,2362.4,0.0583,0.0852,0.1813,0.235,1
27.73,14.09,96.87,895.21,0.1356,0.2723,0.2541,0.1472,0
10.7,24.62,85.05,,0.0529,0.2741,0.0459,0.2823,0
