session_duration_min,pages_viewed,cart_value,prev_purchases,discount_percent,device_type,day_of_week,bounce_rate,loyalty_score,made_purchase
23.0,21.0,3095.7,19.0,39.5,0.0,4.0,,40.0,1
43.0,49.0,2638.65,10.0,40.1,1.0,3.0,0.677,67.0,0
62.0,26.0,1353.2,1.0,20.9,2.0,1.0,0.761,68.0,0
11.0,26.0,4880.4,16.0,15.7,1.0,5.0,0.428,95.0,1
85.0,2.0,540.36,19.0,32.7,0.0,0.0,0.809,94.0,1
23.0,38.0,4767.51,11.0,36.6,1.0,6.0,0.285,68.0,0
33.0,39.0,1632.03,2.0,1.9,0.0,2.0,0.49,39.0,0
38.0,43.0,4349.36,9.0,10.8,1.0,3.0,0.766,65.0,1
81.0,21.0,710.92,17.0,17.8,0.0,0.0,0.89,55.0,0
10.0,42.0,1616.27,3.0,23.1,,6.0,0.464,52.0,0
21.0,21.0,4255.33,5.0,28.5,2.0,0.0,0.528,81.0,1
24.0,1.0,2744.7,1.0,40.3,2.0,2.0,0.187,6.0,0
53.0,26.0,1713.95,9.0,49.0,2.0,4.0,0.407,94.0,1
104.0,42.0,4532.98,10.0,10.8,1.0,4.0,0.55,62.0,1
99.0,22.0,470.94,17.0,33.4,0.0,2.0,0.91,65.0,1
15.0,13.0,799.61,0.0,25.4,0.0,3.0,0.243,55.0,0
31.0,15.0,4043.72,5.0,42.9,2.0,0.0,0.311,33.0,0
98.0,39.0,2120.13,12.0,13.7,0.0,6.0,0.002,57.0,1
47.0,13.0,3595.75,1.0,32.6,1.0,2.0,0.148,87.0,1
106.0,12.0,585.03,19.0,5.1,1.0,,0.337,67.0,1
106.0,11.0,1602.89,3.0,36.7,2.0,2.0,0.415,24.0,1
27.0,32.0,280.45,16.0,4.4,0.0,2.0,0.945,55.0,0
70.0,26.0,91.57,12.0,17.1,2.0,2.0,0.321,52.0,0
20.0,3.0,4550.65,18.0,8.4,1.0,5.0,0.176,44.0,0
78.0,7.0,2876.56,0.0,11.7,1.0,2.0,0.906,93.0,0
73.0,23.0,4097.05,1.0,5.7,1.0,2.0,0.304,45.0,0
84.0,9.0,3074.49,14.0,5.1,2.0,2.0,0.453,71.0,1
17.0,,2954.48,1.0,1.5,1.0,6.0,0.941,10.0,0
14.0,43.0,1068.69,11.0,39.5,1.0,3.0,0.71,69.0,0
84.0,48.0,676.19,2.0,5.6,0.0,1.0,0.925,24.0,0
88.0,2.0,1480.65,10.0,21.1,2.0,,0.397,64.0,0
85.0,,4455.92,11.0,16.9,1.0,,0.802,70.0,1
19.0,49.0,1191.19,10.0,33.4,1.0,3.0,0.884,69.0,0
23.0,24.0,2320.06,0.0,37.0,0.0,2.0,0.297,3.0,0
56.0,28.0,1600.95,4.0,38.5,2.0,5.0,0.012,32.0,0
99.0,27.0,4761.19,13.0,1.6,0.0,6.0,0.152,50.0,1
97.0,42.0,2456.56,14.0,8.7,1.0,2.0,0.233,24.0,1
96.0,5.0,4568.57,4.0,15.5,1.0,2.0,0.14,38.0,1
10.0,6.0,713.24,1.0,29.2,0.0,5.0,0.413,20.0,0
3.0,49.0,4867.89,13.0,30.4,2.0,0.0,0.946,82.0,1
63.0,33.0,1928.21,7.0,28.4,0.0,6.0,0.818,74.0,0
62.0,14.0,4651.4,10.0,8.7,1.0,1.0,0.034,89.0,1
37.0,7.0,2713.74,14.0,12.0,0.0,5.0,0.771,40.0,0
45.0,32.0,2783.92,12.0,4.4,2.0,0.0,0.725,13.0,0
65.0,22.0,2943.22,0.0,22.5,0.0,3.0,0.734,82.0,0
79.0,28.0,1450.03,3.0,42.7,0.0,2.0,0.914,98.0,0
39.0,13.0,668.2,13.0,9.5,2.0,2.0,0.71,97.0,1
112.0,39.0,4400.03,9.0,1.0,0.0,3.0,0.205,40.0,1
106.0,39.0,3291.42,13.0,49.3,2.0,5.0,0.252,15.0,0
64.0,9.0,4620.95,11.0,28.0,0.0,1.0,0.365,3.0,0
100.0,31.0,2358.46,8.0,17.5,1.0,1.0,0.392,6.0,1
73.0,28.0,385.97,16.0,41.3,1.0,3.0,0.275,5.0,0
102.0,45.0,643.17,19.0,17.6,1.0,0.0,0.559,46.0,1
100.0,5.0,742.26,9.0,41.7,2.0,5.0,0.998,22.0,1
118.0,44.0,961.24,16.0,11.8,2.0,0.0,0.586,74.0,1
15.0,22.0,634.52,5.0,15.5,0.0,3.0,0.893,53.0,0
38.0,38.0,3210.41,16.0,19.5,1.0,0.0,0.479,11.0,0
45.0,15.0,1679.85,7.0,36.5,2.0,2.0,0.834,32.0,0
21.0,27.0,4076.8,7.0,22.4,,0.0,0.835,31.0,1
30.0,44.0,4094.88,11.0,44.3,1.0,6.0,0.814,45.0,1
109.0,19.0,2067.3,12.0,25.6,2.0,1.0,0.717,71.0,1
87.0,26.0,436.33,4.0,25.7,1.0,3.0,0.537,46.0,0
90.0,12.0,137.34,2.0,19.0,2.0,6.0,0.389,99.0,0
93.0,29.0,294.2,0.0,5.6,2.0,4.0,0.564,,0
40.0,18.0,3436.45,17.0,41.7,1.0,1.0,0.705,25.0,1
118.0,42.0,2374.65,0.0,9.7,2.0,4.0,0.452,,1
80.0,25.0,1724.67,12.0,49.1,1.0,6.0,0.709,23.0,0
,10.0,1264.19,1.0,43.8,2.0,5.0,0.039,10.0,0
103.0,45.0,415.66,5.0,34.0,2.0,5.0,0.636,73.0,0
33.0,30.0,2500.12,9.0,40.1,1.0,5.0,0.059,42.0,1
106.0,29.0,2031.87,8.0,2.5,2.0,4.0,0.323,2.0,0
105.0,33.0,2579.16,4.0,,2.0,0.0,0.935,54.0,0
2.0,11.0,2425.06,17.0,4.1,2.0,2.0,0.137,99.0,1
89.0,35.0,104.1,8.0,4.5,0.0,6.0,0.124,87.0,1
30.0,45.0,1999.55,11.0,44.7,0.0,3.0,0.204,62.0,1
72.0,6.0,4542.37,1.0,36.7,2.0,2.0,0.757,54.0,1
45.0,16.0,3969.84,11.0,33.3,0.0,5.0,0.504,74.0,0
106.0,46.0,4128.86,6.0,41.9,2.0,4.0,0.028,6.0,1
115.0,14.0,2827.69,3.0,32.4,1.0,2.0,0.572,0.0,0
30.0,36.0,2176.42,6.0,12.3,2.0,0.0,0.06,66.0,0
49.0,19.0,4798.4,0.0,38.1,0.0,5.0,0.654,72.0,0
22.0,31.0,3837.26,7.0,0.8,2.0,6.0,0.058,82.0,0
87.0,16.0,2214.23,4.0,29.6,0.0,5.0,0.111,94.0,1
101.0,25.0,4133.43,13.0,29.5,1.0,0.0,0.689,55.0,1
46.0,19.0,759.52,13.0,26.9,0.0,0.0,0.76,85.0,1
13.0,47.0,1147.6,9.0,48.5,2.0,1.0,0.878,38.0,0
,35.0,1874.79,15.0,44.2,0.0,4.0,0.298,30.0,1
29.0,,743.3,15.0,,1.0,0.0,0.253,36.0,1
23.0,,990.12,9.0,34.4,1.0,3.0,0.805,89.0,0
13.0,24.0,2568.62,8.0,49.3,0.0,1.0,0.172,95.0,1
79.0,38.0,1677.74,6.0,19.3,1.0,3.0,0.764,92.0,1
118.0,35.0,2956.81,1.0,5.1,2.0,0.0,0.133,87.0,1
41.0,17.0,4366.18,2.0,17.6,1.0,4.0,0.13,17.0,0
65.0,47.0,3661.76,4.0,10.0,0.0,3.0,0.588,42.0,1
79.0,44.0,1425.05,10.0,30.1,0.0,3.0,0.146,39.0,1
66.0,23.0,1875.86,6.0,41.2,0.0,0.0,0.981,90.0,1
39.0,15.0,61.3,10.0,20.6,2.0,4.0,0.532,6.0,0
56.0,46.0,,8.0,36.0,2.0,4.0,0.82,69.0,1
38.0,28.0,962.57,16.0,41.1,2.0,1.0,0.667,62.0,1
40.0,3.0,1895.45,3.0,11.0,0.0,0.0,,29.0,0
47.0,46.0,1750.12,17.0,17.8,2.0,6.0,0.711,55.0,1
98.0,19.0,492.54,8.0,30.5,2.0,5.0,0.465,38.0,1
64.0,49.0,2199.37,11.0,34.6,1.0,0.0,0.235,55.0,1
35.0,4.0,3766.13,4.0,22.9,1.0,0.0,0.861,29.0,0
85.0,36.0,4083.36,12.0,39.6,0.0,5.0,0.655,93.0,1
105.0,45.0,1190.9,18.0,4.2,2.0,2.0,0.06,57.0,1
89.0,41.0,3121.16,5.0,33.3,0.0,0.0,0.666,56.0,1
47.0,36.0,3477.46,7.0,42.4,1.0,1.0,0.134,77.0,1
53.0,39.0,3980.13,,17.4,1.0,2.0,0.526,91.0,1
80.0,42.0,3996.83,0.0,39.0,0.0,4.0,0.074,77.0,1
73.0,14.0,1213.1,0.0,30.5,2.0,4.0,0.857,89.0,0
46.0,15.0,,4.0,3.6,0.0,2.0,0.287,80.0,0
29.0,9.0,4291.85,3.0,21.6,1.0,,0.406,72.0,1
51.0,39.0,2670.19,3.0,4.6,0.0,1.0,0.882,66.0,1
67.0,11.0,3436.06,19.0,0.9,0.0,5.0,0.722,62.0,1
59.0,19.0,2008.19,11.0,10.6,0.0,,0.81,3.0,0
14.0,41.0,1082.81,4.0,15.0,2.0,6.0,0.996,66.0,0
103.0,19.0,1960.19,10.0,18.4,2.0,5.0,0.923,58.0,0
80.0,23.0,4324.49,11.0,28.8,2.0,1.0,0.433,53.0,1
69.0,21.0,1768.37,6.0,13.6,1.0,4.0,0.813,56.0,0
108.0,42.0,986.73,9.0,3.0,0.0,4.0,0.385,71.0,1
93.0,26.0,1429.4,15.0,40.2,1.0,3.0,0.631,30.0,0
86.0,7.0,1619.81,16.0,41.9,1.0,2.0,0.947,28.0,1
30.0,,3925.79,10.0,4.1,2.0,2.0,0.018,37.0,1
100.0,5.0,3135.5,18.0,26.2,0.0,2.0,0.543,7.0,1
45.0,23.0,4362.33,19.0,48.3,2.0,5.0,0.012,71.0,1
34.0,32.0,2719.39,13.0,20.6,2.0,0.0,0.342,81.0,1
90.0,3.0,2282.29,0.0,48.7,0.0,1.0,0.812,20.0,0
45.0,43.0,2031.76,2.0,18.7,2.0,0.0,0.703,8.0,0
18.0,41.0,2241.75,18.0,14.2,2.0,3.0,0.81,35.0,0
107.0,47.0,1362.72,17.0,7.3,2.0,1.0,0.271,89.0,1
80.0,41.0,2198.11,17.0,23.6,2.0,2.0,0.874,55.0,1
74.0,38.0,,3.0,33.5,1.0,,0.524,78.0,0
50.0,19.0,289.83,9.0,0.3,2.0,0.0,0.468,48.0,1
54.0,36.0,3423.52,17.0,22.8,1.0,1.0,0.931,75.0,0
94.0,15.0,714.95,14.0,21.5,2.0,4.0,0.824,62.0,0
19.0,26.0,1872.55,16.0,21.5,0.0,2.0,0.254,85.0,1
18.0,13.0,1226.57,14.0,35.4,0.0,6.0,0.38,51.0,0
11.0,1.0,2269.98,12.0,14.9,2.0,6.0,0.768,24.0,0
43.0,43.0,,4.0,1.7,0.0,5.0,0.55,70.0,0
15.0,27.0,3351.35,4.0,23.8,1.0,5.0,0.881,96.0,0
31.0,22.0,4502.32,15.0,45.5,0.0,5.0,0.802,93.0,1
119.0,4.0,4055.79,4.0,28.5,2.0,1.0,0.628,21.0,0
70.0,38.0,2927.33,3.0,38.2,0.0,2.0,0.534,65.0,0
77.0,28.0,1768.35,10.0,14.0,1.0,0.0,0.342,43.0,1
64.0,17.0,3089.23,16.0,27.9,0.0,1.0,0.638,37.0,1
93.0,7.0,3477.13,19.0,40.8,1.0,1.0,0.211,90.0,1
30.0,11.0,2566.13,10.0,13.5,1.0,1.0,,77.0,0
37.0,21.0,4602.67,17.0,48.0,1.0,3.0,0.967,60.0,1
45.0,41.0,997.51,2.0,4.8,2.0,0.0,0.454,71.0,0
106.0,34.0,880.82,4.0,17.3,0.0,6.0,0.919,98.0,0
61.0,14.0,4548.61,12.0,12.0,1.0,6.0,0.557,95.0,0
56.0,10.0,2428.92,18.0,29.7,1.0,0.0,0.094,59.0,1
5.0,2.0,552.94,10.0,23.7,2.0,1.0,0.257,76.0,0
10.0,1.0,63.21,17.0,43.8,2.0,5.0,0.542,96.0,0
7.0,31.0,3831.84,9.0,38.8,0.0,6.0,0.932,20.0,0
44.0,42.0,2973.33,9.0,1.4,2.0,5.0,0.37,15.0,0
23.0,17.0,2730.77,7.0,41.4,0.0,0.0,0.74,22.0,0
94.0,12.0,93.29,8.0,29.5,1.0,0.0,0.397,46.0,1
102.0,44.0,4185.46,11.0,29.8,1.0,,0.461,58.0,1
47.0,15.0,1769.1,18.0,,0.0,6.0,0.08,94.0,0
50.0,15.0,436.11,13.0,23.6,1.0,2.0,0.622,68.0,1
111.0,16.0,3211.15,7.0,33.1,1.0,4.0,0.913,21.0,0
13.0,49.0,3970.46,8.0,20.0,1.0,4.0,0.021,54.0,1
28.0,32.0,2274.07,0.0,20.3,2.0,2.0,0.946,3.0,0
10.0,16.0,1647.3,12.0,49.7,0.0,6.0,0.453,,1
93.0,22.0,4113.26,15.0,4.9,2.0,0.0,0.601,69.0,1
79.0,29.0,922.51,9.0,2.1,2.0,3.0,0.978,53.0,0
91.0,24.0,3630.22,10.0,38.7,2.0,5.0,0.184,51.0,0
69.0,48.0,3171.97,19.0,39.2,0.0,5.0,0.017,13.0,1
11.0,30.0,3826.11,4.0,50.0,2.0,6.0,0.362,57.0,1
100.0,1.0,1901.8,0.0,43.3,1.0,0.0,0.225,57.0,1
74.0,36.0,4211.71,14.0,15.5,2.0,1.0,0.463,54.0,1
56.0,8.0,4456.14,,15.4,2.0,6.0,0.564,31.0,0
37.0,9.0,1008.37,18.0,32.1,1.0,0.0,0.431,89.0,1
78.0,33.0,3244.87,1.0,31.5,0.0,5.0,0.531,23.0,0
55.0,43.0,199.42,2.0,16.2,2.0,6.0,0.37,87.0,0
111.0,19.0,1656.16,6.0,24.0,0.0,3.0,0.701,86.0,0
49.0,40.0,2765.23,9.0,10.9,1.0,6.0,0.574,57.0,0
36.0,37.0,3004.7,11.0,46.1,1.0,6.0,0.572,,1
75.0,3.0,4239.85,2.0,,0.0,6.0,0.19,41.0,1
46.0,2.0,3732.59,,35.4,2.0,1.0,0.342,70.0,1
7.0,10.0,4251.1,0.0,6.0,2.0,6.0,0.211,32.0,0
57.0,,814.58,15.0,11.9,0.0,3.0,0.518,40.0,1
40.0,2.0,1157.22,10.0,14.3,0.0,0.0,0.23,12.0,0
116.0,47.0,3291.92,,35.6,0.0,2.0,0.895,43.0,1
119.0,23.0,2405.06,8.0,28.2,1.0,1.0,0.634,44.0,1
52.0,34.0,4421.95,11.0,27.7,1.0,0.0,0.582,51.0,1
36.0,27.0,4621.27,10.0,46.7,2.0,6.0,0.957,69.0,1
103.0,30.0,1359.93,8.0,20.9,2.0,5.0,0.217,74.0,1
36.0,35.0,1011.88,9.0,8.4,1.0,5.0,0.377,91.0,1
116.0,20.0,4174.78,3.0,42.0,2.0,0.0,0.552,50.0,1
13.0,16.0,634.69,16.0,2.7,0.0,6.0,0.148,20.0,0
67.0,48.0,4580.6,18.0,30.0,,6.0,0.329,13.0,1
114.0,5.0,903.87,10.0,12.7,2.0,1.0,0.648,16.0,0
106.0,33.0,,18.0,8.2,1.0,2.0,0.578,16.0,0
97.0,29.0,3046.81,1.0,29.8,2.0,0.0,0.954,23.0,0
20.0,39.0,335.55,0.0,12.2,1.0,0.0,0.236,27.0,0
76.0,39.0,870.38,15.0,48.4,2.0,5.0,0.468,60.0,1
59.0,37.0,3606.59,7.0,40.0,2.0,6.0,0.193,76.0,1
,15.0,4226.65,4.0,36.2,0.0,3.0,0.716,28.0,0
8.0,4.0,325.6,7.0,35.7,1.0,1.0,0.17,95.0,0
31.0,35.0,1903.44,1.0,12.1,2.0,0.0,0.312,18.0,0
22.0_err,40.0,3039.86,4.0,39.7,0.0,4.0,0.512,3.0,0
78.0,37.0,1784.56,0.0,7.5,0.0,0.0,0.973,9.0,0
54.0,13.0,4875.0,9.0,16.6,0.0,0.0,0.943,80.0,0
91.0,21.0,590.51,12.0,32.5,1.0,6.0,0.633,53.0,1
100.0,33.0,2151.14,15.0,21.5,0.0,5.0,0.054,67.0,1
114.0,44.0,3131.1,14.0,5.8,0.0,1.0,0.338,41.0,1
107.0,49.0,4280.43,11.0,,1.0,1.0,0.864,8.0,0
65.0,23.0,965.05,14.0,8.2,1.0,1.0,0.038,79.0,1
78.0,22.0,4484.41,4.0,36.3,1.0,0.0,0.703,7.0,1
38.0,22.0,3935.5,18.0,1.3,1.0,1.0,0.143,5.0,1
14.0,41.0,4601.62,13.0,41.8,1.0,1.0,0.967,59.0,1
85.0,43.0,100.3,8.0,9.3,0.0,5.0,0.303,65.0,1
48.0,40.0,1253.31,9.0,23.5,1.0,3.0,0.503,32.0,0
47.0,17.0,,4.0,15.0,0.0,0.0,0.423,77.0,1
80.0,29.0,872.31,7.0,25.0,2.0,,0.318,57.0,1
38.0,12.0,1997.88,9.0,,,4.0,0.873,9.0,0
103.0,27.0,4158.54,9.0,45.5,0.0,5.0,0.321,11.0,1
53.0,17.0,4871.45,1.0,31.4,1.0,1.0,0.315,82.0,0
4.0,,832.36,13.0,7.4,0.0,2.0,0.109,68.0,0
86.0,10.0,3794.38,5.0,42.8,2.0,2.0,0.398,85.0,1
111.0,8.0,4275.38,0.0,15.5,0.0,4.0,0.184,92.0,0
52.0,33.0,1937.94,14.0,32.5,2.0,1.0,0.696,23.0,0
47.0,5.0,4090.84,9.0,32.7,0.0,,0.541,36.0,0
56.0,20.0,2243.61,11.0,5.7,2.0,0.0,0.46,37.0,0
17.0,37.0,1254.51,17.0,42.1,0.0,1.0,0.631,19.0,1
71.0,21.0,2912.31,9.0,40.9,0.0,2.0,0.456,19.0,1
22.0,7.0,4856.65,12.0,47.6,1.0,2.0,0.181,25.0,1
92.0,5.0,4551.18,8.0,31.8,1.0,1.0,0.355,9.0,1
56.0,35.0,4989.66,19.0,22.0,1.0,5.0,0.711,45.0,1
116.0,49.0,742.3,12.0,4.9,,0.0,,24.0,1
,2.0,3091.28,4.0,31.8,2.0,5.0,0.16,8.0,0
32.0,27.0,2507.65,4.0,6.4,0.0,3.0,0.498,88.0,0
18.0,5.0,1428.26,10.0,3.0,1.0,0.0,0.29,11.0,0
39.0,4.0,3988.38,5.0,39.7,1.0,6.0,0.359,18.0,0
105.0,27.0,3738.87,1.0,29.5,1.0,4.0,0.148,0.0,1
3.0,7.0,4507.66,13.0,1.7,2.0,3.0,0.382,12.0,0
31.0,20.0,2525.1,1.0,44.6,0.0,3.0,0.448,66.0,0
38.0,28.0,431.19,19.0,46.3,2.0,1.0,0.515,29.0,1
99.0,43.0,,8.0,21.1,0.0,0.0,0.547,46.0,0
55.0,11.0,3915.55,1.0,5.4,2.0,1.0,0.778,77.0,0
113.0,44.0,3761.47,2.0,35.7,2.0,0.0,0.641,76.0,1
29.0,1.0,3815.74,2.0,28.9,1.0,0.0,0.52,74.0,0
2.0,38.0,2485.36,8.0,2.7,1.0,1.0,0.635,70.0,0
109.0,42.0,3161.77,8.0,38.1,0.0,1.0,0.176,55.0,1
65.0,49.0,2236.51,12.0,6.8,2.0,0.0,,1.0,0
60.0,41.0,2928.01,4.0,34.0,2.0,5.0,0.01,6.0,1
74.0,40.0,3417.59,0.0,38.5,1.0,1.0,0.91,82.0,0
113.0,27.0,190.78,7.0,12.6,1.0,2.0,0.808,60.0,1
106.0,13.0,2851.97,4.0,12.2,2.0,3.0,0.192,0.0,0
3.0,23.0,3117.9,0.0,31.8,0.0,1.0,0.784,,0
40.0,36.0,918.67,6.0,,0.0,5.0,0.277,74.0,1
18.0,14.0,1856.99,17.0,22.3,2.0,5.0,0.119,38.0,1
13.0,21.0,4446.06,0.0,22.4,1.0,6.0,0.98,48.0,0
53.0,5.0,702.4,14.0,39.8,1.0,2.0,0.215,88.0,0
80.0,12.0,443.42,4.0,1.6,1.0,2.0,0.398,69.0,0
70.0,39.0,3482.12,18.0,33.2,2.0,4.0,0.769,30.0,1
33.0,1.0,797.55,3.0,26.6,2.0,4.0,0.042,64.0,0
56.0,45.0,185.56,4.0,10.3,2.0,0.0,0.816,89.0,1
2.0,39.0,1888.25,6.0,22.3,1.0,3.0,0.376,90.0,0
106.0,33.0,3857.08,0.0,3.0,1.0,0.0,0.491,79.0,0
107.0,27.0,2020.35,18.0,12.8,2.0,0.0,0.788,70.0,1
75.0,34.0,4434.34,17.0,49.6,0.0,5.0,0.821,39.0,1
58.0,23.0,2187.85,13.0,23.9,0.0,1.0,0.338,53.0,1
7.0,20.0,4413.73,3.0,16.9,2.0,0.0,,52.0,0
19.0,31.0,377.4,13.0,37.5,2.0,1.0,0.229,39.0,1
14.0,25.0,3808.63,14.0,35.3,0.0,3.0,0.676,5.0,0
94.0,19.0,1056.13,2.0,38.9,1.0,3.0,0.228,97.0,1
84.0,41.0,2409.21,10.0,25.1,0.0,2.0,0.636,75.0,1
24.0,7.0,7.72,9.0,,0.0,4.0,0.708,91.0,0
57.0_err,13.0,2534.75,5.0,42.1,2.0,2.0,0.251,5.0,0
64.0,22.0,2532.86,8.0,22.5,2.0,3.0,0.404,94.0,1
54.0,12.0,4195.64,12.0,15.6,0.0,0.0,0.225,11.0,1
43.0,17.0,3080.25,16.0,19.0,2.0,6.0,0.026,74.0,1
39.0,43.0,1280.51,2.0,38.7,2.0,0.0,0.307,96.0,0
116.0,8.0,4020.62,18.0,17.9,0.0,6.0,0.261,70.0,1
116.0,45.0,1623.1,18.0,44.2,0.0,6.0,0.337,53.0,1
59.0,3.0,2133.34,17.0,35.2,2.0,5.0,0.158,73.0,1
80.0,20.0,531.92,6.0,15.5,2.0,0.0,0.454,38.0,0
119.0,29.0,2044.89,11.0,9.9,1.0,6.0,0.662,85.0,1
97.0,46.0,4083.7,17.0,2.5,2.0,5.0,0.954,25.0,1
65.0,49.0,2547.81,7.0,6.4,2.0,1.0,0.088,58.0,1
26.0,1.0,407.36,18.0,2.7,1.0,0.0,0.578,68.0,0
46.0,30.0,4217.58,16.0,23.9,0.0,1.0,0.717,50.0,1
,5.0,2483.39,11.0,39.0,1.0,6.0,0.737,88.0,1
20.0,47.0,4207.87,3.0,43.9,2.0,0.0,0.213,14.0,0
13.0,14.0,3057.03,5.0,45.4,1.0,4.0,0.472,36.0,0
40.0,3.0,102.59,15.0,47.2,1.0,6.0,0.496,54.0,0
114.0,21.0,2981.07,11.0,26.0,2.0,2.0,0.056,93.0,1
11.0,31.0,2966.01,11.0,49.7,1.0,4.0,0.182,56.0,1
75.0,31.0,4854.72,10.0,32.2,2.0,0.0,0.001,88.0,1
28.0,1.0,3584.5,18.0,36.5,1.0,2.0,0.891,63.0,1
17.0,37.0,1182.12,12.0,19.7,1.0,3.0,0.658,25.0,0
22.0,5.0,4045.63,10.0,1.8,0.0,1.0,0.292,92.0,1
70.0,30.0,4074.58,1.0,4.9,0.0,4.0,0.869,90.0,0
21.0,21.0,3886.89,18.0,38.3,0.0,4.0,0.141,83.0,1
46.0,36.0,2338.98,1.0,23.4,0.0,4.0,0.13,37.0,0
50.0,1.0,1267.12,8.0,46.1,1.0,3.0,0.745,14.0,0
86.0,16.0,4511.08,1.0,29.8,2.0,0.0,0.569,63.0,0
70.0,14.0,3384.34,4.0,23.8,1.0,3.0,0.094,48.0,0
79.0,47.0,1225.24,5.0,22.7,1.0,2.0,0.223,63.0,1
39.0,8.0,1394.52,1.0,10.9,0.0,1.0,0.995,90.0,0
118.0,34.0,4310.48,7.0,45.0,0.0,0.0,0.824,93.0,1
33.0,3.0,4391.34,15.0,33.6,1.0,3.0,0.805,91.0,1
70.0,22.0,1075.76,11.0,14.7,2.0,5.0,0.697,90.0,1
80.0,19.0,4953.92,14.0,6.7,1.0,5.0,0.299,8.0,1
21.0,13.0,3681.56,6.0,13.9,2.0,0.0,0.493,54.0,1
115.0,20.0,4541.51,15.0,39.0,1.0,1.0,0.908,51.0,1
86.0,37.0,308.82,15.0,2.3,0.0,4.0,0.862,5.0,0
15.0,5.0,4469.98,11.0,17.6,0.0,6.0,0.788,98.0,0
33.0,30.0,900.49,2.0,40.5,0.0,1.0,0.454,68.0,0
52.0,37.0,2371.04,16.0,5.9,1.0,4.0,0.309,62.0,1
8.0,6.0,134.77,6.0,35.2,1.0,5.0,0.976,91.0,1
35.0,35.0,4958.22,1.0,0.1,2.0,4.0,0.965,61.0,0
43.0,25.0,3597.13,11.0,41.0,2.0,0.0,0.965,33.0,0
99.0,32.0,202.8,0.0,41.8,0.0,2.0,0.065,30.0,1
99.0,40.0,2315.94,1.0,8.3,2.0,2.0,0.958,96.0,1
37.0,30.0,4230.22,12.0,27.8,0.0,5.0,0.935,71.0,1
,13.0,3786.81,14.0,33.8,2.0,4.0,0.31,97.0,0
84.0,32.0,3895.71,0.0,42.1,0.0,2.0,0.863,88.0,0
88.0,9.0,1692.68,5.0,7.4,2.0,2.0,0.625,24.0,0
3.0,16.0,1742.86,16.0,2.8,1.0,0.0,0.901,73.0,0
12.0,29.0,1730.96,19.0,29.4,0.0,5.0,0.489,85.0,1
43.0,14.0,1274.61,7.0,27.4,2.0,0.0,0.05,7.0,0
35.0,45.0,3423.63,3.0,20.8,1.0,6.0,0.58,12.0,1
110.0,7.0,3815.5,1.0,34.8,1.0,3.0,0.25,59.0,0
95.0,39.0,1403.29,1.0,34.9,0.0,0.0,0.782,22.0,0
4.0,46.0,1364.14,14.0,2.3,1.0,1.0,0.357,65.0,1
66.0,34.0,1691.1,15.0,20.5,0.0,2.0,0.607,66.0,0
103.0,9.0,755.02,18.0,40.3,0.0,3.0,0.074,45.0,1
61.0,28.0,3669.05,14.0,45.2,0.0,3.0,0.11,15.0,1
84.0,26.0,1311.09,17.0,41.7,2.0,1.0,0.995,62.0,1
88.0,1.0,3395.51,4.0,12.7,1.0,0.0,0.878,98.0,1
