machine_age_years,operating_temp_c,vibration_hz,pressure_bar,rpm,days_since_maintenance,error_count_30days,machine_failed
1.0,112.0,23.28,6.76,2158.0,324.0,13.0,0
18.0,127.4,78.23,3.73,1025.0,65.0,3.0,1
17.0,146.8,98.72,7.7,2068.0,261.0,9.0,1
13.0,140.5,34.3,10.47,773.0,349.0,15.0,1
18.0,104.7,33.95,9.31,2972.0,226.0,19.0,1
2.0,107.6,32.31,14.09,992.0,112.0,10.0,1
17.0,95.9,45.96,7.53,2515.0,345.0,10.0,1
7.0,105.6,82.96,13.86,2174.0,122.0,2.0,0
8.0,121.2,88.54,11.67,2068.0,266.0,13.0,1
8.0,,74.91,3.42,2898.0,364.0,6.0,1
19.0,121.3,40.58,13.13,2619.0,303.0,1.0,1
19.0,137.1,92.48,1.78,2213.0,152.0,0.0,1
5.0,142.7,72.95,14.54,1781.0,232.0,16.0,1
6.0,,46.25,13.97,1264.0,335.0,13.0,0
15.0,120.7,28.01,10.15,1547.0,278.0,12.0,1
3.0,75.4,,12.09,1365.0,302.0,15.0,1
2.0,103.5,61.5,9.6,1545.0,325.0,3.0,0
7.0,63.7,17.73,7.36,2847.0,360.0,8.0,0
3.0,131.3,61.98,5.52,759.0,221.0,6.0,0
8.0,141.6,10.96,13.49,1717.0,352.0,10.0,1
10.0,77.3,51.12,13.27,2874.0,124.0,6.0,0
7.0,134.5,92.94,8.05,826.0,93.0,5.0,1
15.0,149.6,53.91,4.85,2635.0,223.0,7.0,0
10.0,93.2,51.18,14.32,1677.0,14.0,14.0,0
4.0,105.6,90.6,13.21,2511.0,251.0,13.0,1
17.0,87.6,71.21,1.5,1745.0,305.0,18.0,1
17.0,90.3,68.41,12.02,2519.0,27.0,3.0,0
14.0,131.5,95.69,13.63,1262.0,67.0,15.0,1
9.0,145.7,13.88,13.51,2830.0,214.0,9.0,1
17.0,88.3,36.09,13.36,882.0,329.0,10.0,0
12.0,131.2,63.0,7.14,2541.0,42.0,4.0,0
5.0,121.9,53.97,9.51,2639.0,124.0,5.0,0
9.0,132.8,66.09,12.83,2038.0,82.0,19.0,1
8.0,80.3,77.0,2.04,2701.0,358.0,0.0,0
4.0,,43.87,2.09,1786.0,74.0,10.0,0
8.0,118.8,90.69,2.13,1400.0,211.0,13.0,1
11.0,114.0,80.08,6.5,2398.0,221.0,12.0,1
3.0,103.5,15.82,9.5,1842.0,1.0,10.0,0
16.0,109.2,61.24,14.47,2204.0,121.0,4.0,1
7.0,90.7,20.8,9.45,2975.0,70.0,18.0,1
8.0,73.1,94.0,5.3,1422.0,335.0,2.0,0
3.0,131.8,84.82,12.83,1967.0,196.0,6.0,1
13.0,89.3,55.43,12.59,2832.0,223.0,11.0,1
17.0,66.2,67.73,3.02,1706.0,355.0,10.0,1
4.0,116.7,65.99,4.02,2715.0,285.0,3.0,0
11.0,130.1,70.15,7.74,1408.0,293.0,4.0,1
12.0,107.6,84.29,4.42,2075.0,362.0,0.0,0
6.0,122.1,59.91,5.35,1993.0,27.0,15.0,1
3.0,69.8,59.85,12.29,2832.0,339.0,17.0,0
3.0,75.2,44.85,12.25,2862.0,278.0,8.0,1
13.0,73.2,42.17,2.52,1817.0,134.0,15.0,1
10.0,67.6,92.1,10.27,1205.0,174.0,0.0,0
2.0,88.5,28.99,1.1,943.0,98.0,9.0,0
13.0,136.6,32.89,3.92,2387.0,285.0,1.0,1
6.0,71.7,47.75,10.13,2829.0,357.0,9.0,1
3.0,107.3,55.76,11.36,1633.0,169.0,0.0,0
18.0,80.6,17.36,8.26,2648.0,121.0,8.0,1
4.0,60.3,79.64,10.0,535.0,228.0,15.0,0
5.0,137.6,55.75,12.49,615.0,290.0,11.0,1
12.0,134.1,60.72,11.91,613.0,194.0,3.0,0
3.0,149.6,45.24,1.95,1506.0,191.0,2.0,0
14.0,120.1,82.59,12.75,999.0,288.0,19.0,1
8.0,86.5,85.85,14.53,1121.0,268.0,19.0,1
3.0,133.7,77.77,12.45,628.0,314.0,8.0,0
13.0,107.9,21.7,2.14,2114.0,322.0,8.0,1
6.0,76.1,98.15,14.05,1261.0,339.0,12.0,1
2.0,67.8,59.6,9.02,537.0,297.0,15.0,0
11.0,131.2,53.98,2.45,625.0,356.0,6.0,1
13.0,66.7,34.55,5.33,960.0,188.0,9.0,0
11.0,110.2,86.03,6.22,575.0,88.0,18.0,1
4.0,105.9,50.22,4.69,2048.0,47.0,4.0,0
7.0,79.6,80.86,9.17,2449.0,81.0,9.0,0
19.0,83.1,95.42,14.82,1556.0,244.0,17.0,1
4.0,64.5,76.37,6.14,1990.0,235.0,16.0,0
12.0,136.5,15.09,3.39,2430.0,288.0,1.0,0
19.0,98.9,41.16,6.3,2312.0,114.0,10.0,0
2.0,109.8,15.78,3.4,2427.0,192.0,6.0,0
9.0,82.9,88.64,3.15,2827.0,234.0,0.0,0
2.0,101.3,21.32,11.89,2762.0,204.0,13.0,1
14.0,118.5,95.31,8.2,2778.0,240.0,0.0,1
15.0,75.2,14.81,5.96,2320.0,340.0,13.0,1
17.0,89.1,71.15,7.01,1297.0,347.0,18.0,1
3.0,145.2,64.3,7.78,738.0,317.0,9.0,0
11.0,104.8,92.91,3.46,2077.0,295.0,14.0,1
6.0,148.1,93.44,4.89,559.0,116.0,13.0,0
3.0,110.0,69.75,3.84,1974.0,55.0,17.0,1
12.0,132.1,68.41,11.7,680.0,96.0,9.0,1
1.0,128.1,77.7,13.86,2093.0,189.0,15.0,1
7.0,143.0,55.78,3.74,501.0,250.0,1.0,0
19.0,115.6,11.14,8.45,1949.0,199.0,7.0,0
6.0,133.1,92.44,5.2,2568.0,362.0,7.0,1
17.0,101.4,95.19,11.59,1772.0,231.0,7.0,1
8.0,121.0,78.91,11.53,742.0,250.0,0.0,0
16.0,134.2,27.52,8.45,1293.0,271.0,18.0,1
5.0,147.5,31.56,4.36,2923.0,245.0,16.0,1
4.0,69.1,79.25,7.46,2306.0,113.0,2.0,0
7.0,,98.44,5.93,1781.0,165.0,15.0,1
6.0,147.2,44.73,14.19,872.0,30.0,16.0,1
14.0,117.1,65.47,9.01,2988.0,166.0,2.0,1
16.0,128.7,51.0,8.35,2888.0,307.0,5.0,1
18.0,76.6,54.03,3.23,548.0,16.0,15.0,0
17.0,70.8,62.35,12.18,2623.0,242.0,17.0,1
13.0,117.2,69.59,5.93,2805.0,228.0,12.0,1
15.0,102.5,63.32,10.32,2196.0,187.0,13.0,1
9.0,78.2,68.86,2.11,750.0,288.0,4.0,0
9.0,75.4,81.92,9.79,1459.0,308.0,13.0,1
5.0,83.8,86.55,6.86,2486.0,131.0,3.0,0
14.0,64.8,56.65,13.79,643.0,20.0,18.0,1
14.0,145.3,63.2,11.87,1928.0,14.0,5.0,0
10.0,137.2,83.89,10.33,542.0,323.0,1.0,1
10.0,104.7,15.2,5.36,1460.0,96.0,1.0,0
16.0,106.6,81.16,12.44,2324.0,262.0,14.0,1
15.0,109.4,,5.97,1391.0,247.0,11.0,1
14.0,102.2,43.42,7.95,1055.0,354.0,17.0,1
17.0,130.9,78.7,14.68,728.0,64.0,18.0,1
11.0,108.2,80.15,8.6,2551.0,63.0,2.0,0
12.0,90.2,66.86,5.28,1627.0,241.0,17.0,1
6.0,128.6,32.72,2.99,1774.0,216.0,3.0,0
10.0,144.6,96.04,10.69,2064.0,335.0,4.0,1
6.0,120.7,18.54,4.14,1526.0,62.0,5.0,0
16.0,86.6,38.52,3.52,971.0,83.0,9.0,0
7.0,77.5,34.09,7.39,1021.0,282.0,5.0,0
17.0,72.3,83.14,13.7,1653.0,43.0,16.0,1
17.0,64.5,82.62,13.09,947.0,190.0,6.0,1
14.0,77.7,79.44,13.6,2532.0,192.0,5.0,1
14.0,114.8,87.56,14.19,950.0,190.0,19.0,1
15.0,74.7,20.6,7.62,1507.0,175.0,2.0,0
4.0,60.3,40.15,9.66,528.0,300.0,17.0,0
12.0,142.0,42.14,6.22,640.0,212.0,0.0,1
16.0,96.9,74.76,1.34,2450.0,305.0,7.0,1
19.0,76.3,38.37,4.16,596.0,236.0,2.0,0
10.0,63.9,87.32,8.26,712.0,278.0,19.0,0
16.0,74.4,61.57,12.62,2424.0,170.0,2.0,0
8.0,111.7,92.56,3.62,2380.0,219.0,3.0,1
12.0,109.1,67.44,6.27,1158.0,91.0,12.0,0
2.0,90.4,35.96,13.78,2865.0,296.0,19.0,1
2.0,140.5,46.14,2.73,2223.0,286.0,11.0,0
6.0,72.8,67.05,1.66,1621.0,338.0,18.0,0
7.0,61.8,86.53,13.3,2549.0,305.0,4.0,0
16.0,120.3,92.81,7.48,1281.0,104.0,9.0,0
4.0,133.2,39.68,4.74,2252.0,280.0,4.0,1
11.0,129.3,92.86,13.33,1040.0,100.0,16.0,1
5.0,134.9,32.59,1.68,1475.0,298.0,12.0,1
18.0,99.6,90.5,10.56,2610.0,204.0,11.0,1
7.0,60.4,98.34,3.86,2714.0,240.0,16.0,1
6.0,128.1,54.48,2.25,2884.0,65.0,9.0,0
2.0,136.7,35.94,10.44,2253.0,210.0,8.0,0
19.0,109.7,13.77,5.27,1103.0,104.0,11.0,0
3.0,145.9,38.37,11.06,573.0,320.0,12.0,1
17.0,82.0,46.35,9.31,1759.0,174.0,18.0,1
2.0,136.9,30.91,10.07,1623.0,117.0,14.0,0
1.0,149.0,43.59,3.28,708.0,305.0,0.0,0
4.0,74.0,15.5,7.37,1387.0,45.0,15.0,0
19.0,126.4,52.72,13.82,504.0,106.0,18.0,1
7.0,67.7,28.55,12.49,1127.0,326.0,15.0,0
7.0,74.7,32.3,9.38,1335.0,349.0,1.0,0
18.0,83.7,52.72,6.05,2915.0,44.0,18.0,1
11.0,118.8,81.54,10.37,2995.0,308.0,6.0,1
14.0,107.9,36.45,13.99,2298.0,152.0,17.0,1
13.0,79.2,89.64,4.71,1613.0,204.0,0.0,0
12.0,125.4,37.87,6.48,1225.0,134.0,7.0,0
8.0,74.0,42.74,14.9,1893.0,239.0,12.0,0
7.0,134.4,30.93,5.2,2915.0,153.0,0.0,0
9.0,141.2,31.45,4.19,1367.0,123.0,13.0,1
5.0,129.8,10.83,13.51,1254.0,79.0,18.0,0
6.0,73.5,36.92,1.6,1249.0,313.0,0.0,0
18.0,82.7,64.39,6.6,2752.0,241.0,5.0,1
15.0,105.9,47.22,10.76,1994.0,49.0,19.0,0
7.0,136.7,53.01,5.54,1927.0,214.0,2.0,0
8.0,108.3,68.49,6.19,2814.0,340.0,0.0,0
19.0,104.3,35.54,13.92,1401.0,321.0,2.0,1
1.0,68.7,49.39,13.94,1779.0,124.0,4.0,0
4.0,119.6,49.28,6.51,1519.0,31.0,3.0,0
7.0,,10.02,2.61,1638.0,276.0,16.0,1
14.0,65.5,58.01,2.01,2008.0,21.0,12.0,0
9.0,113.9,44.2,8.25,631.0,160.0,5.0,0
9.0,70.7,36.91,12.25,1309.0,87.0,7.0,0
1.0,101.9,38.98,11.41,1633.0,279.0,4.0,0
17.0,68.1,90.45,3.55,2927.0,205.0,5.0,1
18.0,120.2,78.35,1.13,1471.0,198.0,7.0,1
7.0,147.6,97.76,2.63,2645.0,131.0,13.0,1
4.0,101.3,96.24,14.19,1389.0,335.0,12.0,1
9.0,82.5,13.27,11.07,2977.0,174.0,10.0,0
2.0,121.6,21.09,10.22,2154.0,125.0,17.0,0
19.0,147.6,10.43,1.41,2316.0,114.0,12.0,1
9.0,91.7,19.52,5.84,1508.0,177.0,1.0,0
11.0,68.9,81.39,6.27,2141.0,251.0,7.0,1
17.0,119.6,71.51,10.11,1466.0,253.0,19.0,1
8.0,98.9,34.49,11.07,859.0,168.0,18.0,1
8.0,88.9,10.12,11.84,1170.0,5.0,12.0,0
14.0,116.3,56.63,7.12,513.0,113.0,18.0,1
12.0,128.4,97.28,5.76,2823.0,160.0,13.0,1
14.0,108.0,42.36,4.38,1536.0,96.0,3.0,0
12.0,126.5,48.83,14.18,2858.0,12.0,18.0,1
13.0,71.8,58.24,6.35,1285.0,261.0,1.0,0
17.0,,20.13,1.27,1703.0,241.0,12.0,1
15.0,66.6,28.7,10.66,2303.0,336.0,2.0,0
8.0,,36.29,7.1,1894.0,48.0,5.0,0
11.0,132.1,88.71,7.46,1219.0,38.0,5.0,1
2.0,76.7,32.82,1.53,762.0,257.0,8.0,0
10.0,69.2,37.03,1.28,1709.0,296.0,10.0,0
7.0,85.8,68.79,14.56,667.0,101.0,18.0,1
5.0,93.5,26.44,11.93,1190.0,45.0,13.0,0
19.0,124.7,18.61,1.84,1566.0,24.0,0.0,0
9.0,85.7,17.97,12.8,799.0,166.0,2.0,0
3.0,125.3,27.22,4.54,846.0,39.0,9.0,0
8.0,145.4,73.9,7.04,1599.0,240.0,13.0,1
14.0,,22.0,12.22,1618.0,72.0,6.0,0
16.0,74.1,36.11,1.48,1337.0,295.0,10.0,1
13.0,69.6,45.6,7.49,1098.0,169.0,7.0,1
8.0,78.0,76.07,13.08,2471.0,160.0,13.0,0
3.0,111.4,94.05,9.05,1294.0,301.0,13.0,1
4.0,134.9,19.63,11.17,1742.0,161.0,12.0,1
5.0,114.3,26.6,8.02,2426.0,264.0,11.0,0
13.0,88.3,,8.72,1216.0,110.0,2.0,0
13.0,135.9,27.75,3.2,1469.0,77.0,7.0,0
13.0,131.5,30.39,11.67,2664.0,226.0,14.0,0
2.0,142.3,45.07,10.64,1333.0,184.0,13.0,0
19.0,119.8,54.39,7.6,1607.0,354.0,17.0,1
2.0,98.8,99.47,13.11,642.0,337.0,15.0,1
16.0,121.8,,14.61,2487.0,11.0,5.0,1
7.0,128.4,72.04,7.68,2625.0,347.0,19.0,1
17.0,134.1,26.63,9.37,1940.0,204.0,10.0,1
11.0,87.4,60.0,11.57,1213.0,205.0,15.0,1
6.0,139.4,53.87,2.13,537.0,91.0,7.0,0
19.0,,91.31,9.06,2205.0,249.0,10.0,1
6.0,86.1,,11.24,1133.0,29.0,16.0,0
2.0,107.3,52.16,3.35,2471.0,137.0,5.0,0
10.0,67.7,93.14,2.98,1239.0,156.0,3.0,0
11.0,147.7,80.32,2.78,740.0,277.0,15.0,1
14.0,142.1,44.03,6.58,2070.0,52.0,6.0,1
6.0,80.8,87.25,11.52,1985.0,124.0,7.0,1
12.0,,11.38,9.64,1072.0,108.0,16.0,1
6.0,81.7,23.51,1.64,1452.0,270.0,19.0,1
3.0,74.1,,11.53,2216.0,52.0,13.0,0
2.0,125.7,,5.81,2997.0,282.0,16.0,1
10.0,133.1,55.39,7.17,2353.0,118.0,8.0,1
11.0,90.8,25.39,7.08,2243.0,342.0,14.0,1
19.0,103.9,54.98,8.3,2833.0,362.0,5.0,1
16.0,125.1,16.35,4.99,1764.0,112.0,11.0,0
17.0,95.1,11.06,13.03,2065.0,348.0,18.0,1
3.0,133.0,55.58,5.64,939.0,299.0,1.0,0
18.0,112.0,59.66,2.97,2470.0,239.0,12.0,0
6.0,66.8,12.88,8.86,2805.0,150.0,2.0,0
7.0,96.0,34.21,13.02,958.0,180.0,2.0,0
1.0,150.0,13.83,14.19,1419.0,340.0,19.0,1
6.0,106.1,78.19,7.35,2922.0,351.0,12.0,1
14.0,131.2,98.31,6.04,2116.0,64.0,16.0,1
13.0,119.3,24.96,6.8,1449.0,313.0,9.0,0
10.0,124.0,43.36,1.01,624.0,184.0,15.0,0
10.0,142.6,65.49,8.56,1034.0,98.0,8.0,0
16.0,74.6,22.23,9.96,2196.0,96.0,0.0,0
19.0,102.4,81.08,8.52,545.0,180.0,13.0,1
19.0,70.4,10.08,11.21,933.0,286.0,19.0,1
6.0,117.8,54.15,2.2,1138.0,203.0,14.0,0
13.0,102.0,95.76,7.02,1928.0,265.0,12.0,1
13.0,102.5,,11.74,730.0,108.0,18.0,0
19.0,99.1,88.42,14.22,2853.0,239.0,11.0,1
3.0,81.6,91.07,5.28,1708.0,258.0,18.0,1
3.0,83.9,43.33,4.04,746.0,97.0,17.0,0
12.0,86.2,68.45,11.39,1139.0,113.0,3.0,0
3.0,84.6,73.83,3.78,1282.0,356.0,16.0,0
18.0,114.2,78.97,13.81,2570.0,152.0,8.0,1
3.0,136.3,48.31,9.92,1434.0,284.0,17.0,0
15.0,86.4,31.56,11.59,1822.0,111.0,7.0,0
13.0,120.8,71.85,6.21,1099.0,38.0,14.0,0
6.0,116.2,24.22,11.24,1919.0,129.0,11.0,1
12.0,78.0,69.72,9.54,1410.0,229.0,13.0,1
18.0,66.1,95.49,11.9,1931.0,177.0,19.0,1
12.0,93.5,74.15,4.81,2051.0,233.0,4.0,0
1.0,75.1,56.31,10.87,640.0,137.0,15.0,0
2.0,139.2,43.65,9.62,597.0,82.0,15.0,0
19.0,88.2,22.64,2.4,2983.0,331.0,7.0,1
6.0,139.3,24.08,1.69,1990.0,166.0,6.0,0
10.0,84.6,89.13,11.3,694.0,143.0,7.0,0
10.0,116.6,22.15,2.12,1865.0,101.0,13.0,0
8.0,90.6,92.4,8.96,1935.0,323.0,18.0,1
5.0,107.9,89.63,12.36,898.0,224.0,16.0,0
3.0,76.7,,14.66,1655.0,305.0,4.0,0
1.0,110.4,23.31,4.32,2358.0,187.0,11.0,0
10.0,137.8,23.95,11.39,1841.0,249.0,17.0,1
1.0,118.4,84.77,14.26,817.0,17.0,1.0,1
10.0,109.6,27.67,6.63,822.0,195.0,0.0,0
5.0,148.4,96.43,5.27,923.0,112.0,10.0,0
10.0,82.4,48.68,3.68,1696.0,343.0,3.0,1
16.0,104.0,38.54,12.29,2190.0,352.0,19.0,1
4.0,106.5,77.82,5.27,2909.0,180.0,1.0,0
18.0,116.2,53.56,5.0,1030.0,106.0,11.0,1
11.0,,55.96,8.33,1085.0,96.0,6.0,0
18.0,72.0,13.14,14.93,1857.0,47.0,16.0,1
7.0,118.8,34.77,5.2,2645.0,64.0,8.0,0
17.0,,43.76,13.53,1281.0,84.0,14.0,1
5.0,93.4,34.79,11.34,1510.0,215.0,9.0,0
17.0,86.7,34.73,12.09,2113.0,168.0,4.0,0
14.0,147.4,76.01,1.44,876.0,175.0,17.0,1
16.0,147.1,47.46,6.55,909.0,328.0,12.0,1
9.0,121.1,88.77,8.95,1853.0,126.0,6.0,1
9.0,95.7,25.69,13.72,1650.0,256.0,2.0,1
2.0,108.8,11.09,13.21,2945.0,66.0,17.0,1
10.0,115.7,56.21,7.9,1123.0,251.0,12.0,0
7.0,85.7,40.61,1.83,2768.0,249.0,14.0,1
4.0,109.3,83.37,11.95,2137.0,244.0,16.0,1
14.0,136.0,15.29,14.92,1520.0,112.0,12.0,1
18.0,108.9,60.98,7.34,2545.0,241.0,10.0,1
9.0,71.1,48.97,6.45,2595.0,33.0,13.0,0
9.0,118.2,17.37,2.47,2420.0,141.0,9.0,0
12.0,,74.36,1.93,2682.0,126.0,12.0,0
18.0,68.1,34.7,12.94,1197.0,89.0,6.0,0
4.0,98.5,48.84,11.71,2007.0,260.0,8.0,0
8.0,93.1,79.31,5.17,1511.0,335.0,10.0,1
16.0,125.3,18.19,12.04,2832.0,223.0,16.0,1
4.0,77.5,87.2,12.91,2799.0,250.0,7.0,1
18.0,94.4,62.87,11.47,954.0,284.0,1.0,1
5.0,122.8,,4.66,2805.0,285.0,2.0,1
19.0,108.0,35.72,10.52,2795.0,152.0,2.0,1
7.0,81.6,59.45,5.88,1256.0,328.0,6.0,0
13.0,133.0,77.87,9.47,2697.0,44.0,17.0,1
13.0,131.6,35.02,1.3,2409.0,210.0,8.0,0
13.0,87.7,69.84,12.87,1409.0,271.0,13.0,1
17.0,97.9,40.92,4.25,2531.0,176.0,12.0,0
17.0,111.6,59.5,1.19,784.0,132.0,18.0,1
9.0,120.6,92.65,12.39,2360.0,359.0,12.0,1
3.0,88.5,72.0,1.58,1256.0,344.0,15.0,1
3.0,116.0,94.21,3.06,1166.0,196.0,2.0,0
11.0,67.0,47.83,2.45,558.0,25.0,7.0,0
6.0,85.4,78.36,6.46,2624.0,278.0,14.0,1
9.0,139.9,94.49,10.46,1417.0,110.0,4.0,0
17.0,106.6,24.36,10.88,1549.0,289.0,19.0,1
9.0,104.8,34.51,5.75,2552.0,12.0,1.0,0
17.0,146.6,60.54,10.34,2493.0,52.0,7.0,1
5.0,120.8,39.85,4.03,2574.0,290.0,6.0,1
3.0,60.9,60.79,7.37,2167.0,76.0,18.0,0
19.0,101.1,64.96,14.41,1836.0,161.0,5.0,1
8.0,68.8,37.44,3.25,2526.0,342.0,11.0,1
16.0,149.7,23.39,5.96,2951.0,324.0,0.0,1
2.0,141.7,81.89,2.19,2200.0,1.0,17.0,1
8.0,82.0,84.21,4.77,1692.0,149.0,12.0,0
14.0,91.9,99.18,6.14,1825.0,315.0,15.0,1
18.0,112.9,88.71,7.59,2861.0,250.0,6.0,1
9.0,135.9,54.25,4.01,878.0,74.0,3.0,1
2.0,115.5,65.26,6.07,2798.0,320.0,12.0,1
2.0,147.4,13.56,8.45,1848.0,325.0,2.0,0
12.0,111.3,50.56,10.9,2149.0,219.0,10.0,1
11.0,140.5,42.93,4.66,1590.0,311.0,5.0,1
15.0,122.3,71.59,2.49,571.0,135.0,6.0,1
12.0,84.6,73.63,10.38,2498.0,41.0,18.0,1
16.0,90.3,48.98,13.95,2661.0,180.0,9.0,1
2.0,110.8,66.12,2.83,1332.0,15.0,14.0,0
5.0,79.5,33.97,4.64,2132.0,357.0,8.0,0
9.0,83.9,39.26,11.7,2270.0,157.0,19.0,1
3.0,79.0,24.42,10.9,1590.0,250.0,16.0,0
4.0,128.8,30.09,4.38,876.0,143.0,3.0,0
7.0,65.4,75.74,9.62,2666.0,7.0,2.0,0
1.0,64.1,32.55,10.01,1816.0,216.0,1.0,0
6.0,127.8,12.89,1.16,1581.0,332.0,4.0,0
9.0,144.6,72.16,1.83,787.0,221.0,6.0,0
8.0,81.4,61.3,7.63,2646.0,295.0,3.0,0
9.0,89.6,34.55,5.4,1085.0,136.0,15.0,0
9.0,122.3,66.56,1.88,2260.0,110.0,1.0,0
2.0,61.5,74.34,2.01,2799.0,145.0,1.0,0
8.0,71.3,30.16,5.45,880.0,84.0,15.0,0
1.0,145.2,41.15,8.0,2272.0,161.0,16.0,0
12.0,,53.18,3.91,2115.0,169.0,0.0,0
4.0,137.9,32.45,13.4,2105.0,45.0,6.0,0
4.0,122.0,79.12,9.29,2519.0,241.0,3.0,1
12.0,105.1,76.72,13.59,508.0,82.0,7.0,1
7.0,105.4,53.02,9.98,2892.0,287.0,5.0,1
7.0,61.4,48.81,14.48,2791.0,245.0,16.0,1
9.0,67.8,66.91,5.86,1904.0,224.0,19.0,1
7.0,69.0,24.09,2.25,2333.0,340.0,14.0,1
17.0,125.6,44.44,4.17,1613.0,297.0,6.0,1
2.0,148.6,47.47,1.36,2192.0,162.0,2.0,0
10.0,96.3,82.34,11.89,703.0,179.0,5.0,0
2.0,73.0,24.31,9.96,637.0,8.0,2.0,0
19.0,147.4,75.24,1.1,894.0,208.0,4.0,1
8.0,121.5,21.44,3.95,1370.0,147.0,19.0,0
8.0,74.6,79.54,2.98,2798.0,180.0,5.0,0
10.0,128.0,46.76,6.55,2326.0,204.0,6.0,1
14.0,93.2,89.55,13.75,2501.0,346.0,18.0,1
1.0,83.6,37.19,6.33,2719.0,174.0,12.0,0
18.0,129.8,98.51,5.42,537.0,273.0,1.0,1
