annual_income,monthly_spend,avg_basket_size,purchase_frequency,discount_usage_pct,loyalty_points,online_orders_pct,return_rate_pct,customer_age,months_active
157873.3,1549.09,434.25,4.98,,622.12,37.24,3.12,36.16,21.94
156075.87,2298.71,249.0,5.18,76.82,504.33,29.31,3.72,36.56,16.61
196250.52,1735.57,404.55,4.49,85.0,767.99,30.01,5.26,52.0,25.14
,2027.09,362.51,3.35,76.98,667.94,37.2,5.15,54.55,17.55
178559.8,2349.32,396.2,5.66,68.61,882.13,47.53,7.04,54.31,24.06
200070.66,2277.7,322.48,1.81,73.6,865.07,26.44,4.52,36.73,20.91
187232.72,2010.3,261.59,3.32,69.57,802.02,22.99,5.14,43.35,16.31
167097.6,1891.25,379.22,5.17,71.0,1022.24,22.09,1.61,48.83,20.49
187227.91,2284.25,302.95,3.63,64.94,799.07,33.81,6.26,26.79,20.69
210760.73,2202.41,280.59,5.6,67.24,581.28,21.28,3.62,48.66,22.0
179283.48,1814.49,284.08,2.49,82.16,766.45,27.01,11.46,60.04,26.14
211292.87,1761.53,380.05,2.89,77.66,975.65,27.72,4.57,54.09,29.06
127605.1,1378.29,356.97,3.47,70.98,517.36,42.45,5.85,25.72,20.06
196438.05,2046.21,389.12,4.42,66.78,785.89,39.54,6.28,48.18,8.46
181740.94,1975.19,383.45,3.78,71.76,886.32,17.71,4.82,46.73,22.38
174019.85,2340.86,328.95,3.51,61.53,1197.84,42.68,5.87,47.17,16.7
181835.22,2107.72,346.48,5.42,76.01,981.24,20.27,9.51,45.86,9.54
140248.62,2400.27,324.43,5.51,82.56,819.89,31.28,3.49,42.39,21.45
175606.56,1790.79,339.48,3.59,93.94,878.11,23.32,0.51,26.4,20.2
187142.25,2341.45,301.64,2.29,66.17,515.35,26.89,2.39,47.49,13.97
209557.88,1841.33,369.52,1.84,82.23,642.54,22.16,6.99,50.02,12.07
169634.6,2233.28,403.76,4.24,69.34,897.64,43.4,4.04,40.56,24.98
163830.13,1562.37,309.17,4.66,65.97,824.18,28.88,9.66,55.07,20.53
169964.86,2070.54,414.06,4.06,65.97,843.31,31.8,6.45,31.88,14.05
198308.04,1404.59,355.68,3.93,76.13,805.12,21.42,3.69,31.2,21.31
186575.02,1919.86,362.05,3.2,67.55,799.24,18.68,3.44,45.68,15.9
169404.8,2132.11,265.03,4.65,70.15,815.44,26.45,4.11,39.55,20.72
190265.35,1843.71,259.64,5.68,71.48,641.59,34.17,0.87,52.78,19.57
181941.55,1684.87,357.21,1.78,69.08,765.66,29.03,5.56,,5.18
199372.9,2253.84,389.49,3.92,68.5,613.38,37.8,6.39,55.86,18.54
165958.94,1968.96,316.43,3.03,55.57,707.06,30.99,3.07,39.22,17.17
173446.76,1853.13,433.5,2.51,75.7,979.39,30.05,1.9,46.15,14.3
172157.84,2012.57,386.75,2.87,75.54,772.89,34.28,3.18,29.12,11.68
150729.7,2791.0,304.58,4.38,68.62,889.38,30.8,6.99,44.57,16.91
185922.41,2346.05,351.54,4.4,77.88,817.29,37.55,,45.58,16.24
185221.11,2348.77,473.85,5.46,86.18,742.27,34.44,5.43,54.68,21.26
180102.27,2130.66,287.87,4.01,75.19,648.71,37.29,8.28,32.91,17.27
175308.26,2049.95,376.41,2.24,85.64,739.99,35.73,,42.74,18.44
151692.59,1281.18,333.86,3.76,92.91,827.48,40.88,4.58,,19.64
171587.09,1796.31,385.34,2.61,95.24,887.02,36.63,6.12,57.68,15.68
173145.71,1855.83,413.36,2.79,65.49,818.35,43.98,6.58,,13.02
163954.45,1437.53,,4.58,65.54,897.42,25.67,6.61,,29.07
176774.29,1652.78,405.95,4.19,71.44,571.97,36.68,,31.4,17.61
188081.02,1405.75,461.06,4.59,76.03,930.0,18.95,,28.02,16.95
217723.72,1988.5,353.31,3.64,87.69,630.76,37.58,6.52,41.89,25.07
183491.56,2245.63,389.24,4.79,80.02,947.53,30.45,2.69,39.84,27.44
185151.01,2332.03,320.48,3.59,65.37,875.36,37.49,4.09,61.49,25.23
178511.08,2124.44,350.96,5.12,70.11,519.47,43.44,1.61,47.78,16.05
141624.58,1710.98,341.17,4.34,74.66,910.54,36.41,6.99,43.33,19.74
179469.72,1420.38,389.85,3.79,63.09,949.26,26.7,7.39,50.25,20.92
181204.6,1472.94,410.23,4.21,75.11,988.68,21.3,2.56,53.23,29.18
229264.84,1619.31,344.52,3.98,65.49,684.71,34.29,4.24,54.71,20.1
176152.78,1733.34,426.68,5.6,61.79,826.91,27.71,1.49,47.08,20.32
186030.95,1952.08,426.5,4.25,67.42,904.17,35.31,4.76,44.81,12.93
179305.76,1695.75,392.34,4.0,78.29,910.45,,3.35,46.27,11.72
156626.44,2101.69,324.2,3.76,78.23,861.43,22.56,2.66,44.53,24.77
202856.46,1930.32,319.41,4.84,75.77,736.0,28.07,4.95,40.77,19.73
195038.66,2003.16,309.38,4.71,82.93,948.19,34.01,8.76,53.35,20.24
195820.64,2342.08,397.46,3.73,82.08,949.07,30.98,6.59,43.46,23.37
161812.25,1645.93,289.41,2.84,76.64,776.86,,4.5,36.89,
208055.89,2125.61,383.84,3.1,75.53,682.47,,4.9,45.16,21.61
,1995.81,295.94,3.82,76.04,690.81,28.89,8.76,50.73,21.18
191737.14,1899.95,391.18,5.35,73.82,1004.72,11.91,7.52,33.35,18.69
223809.11,2265.58,350.86,3.75,57.61,942.6,37.46,4.38,42.85,19.05
160189.27,2263.7,416.68,,84.08,796.99,29.91,6.0,38.58,22.58
168674.05,1716.05,407.07,2.24,78.18,770.12,28.64,3.0,62.46,13.31
181993.03,1945.35,421.75,5.51,65.27,534.77,28.48,5.05,45.73,12.75
169930.49,2084.36,423.04,4.57,,787.34,28.52,6.53,57.42,18.41
148986.73,1918.1,357.18,4.8,70.28,621.33,43.35,7.04,46.95,18.75
181371.26,2175.51,292.06,4.96,74.14,823.85,33.72,3.72,47.67,21.62
158753.93,2084.36,297.37,3.84,83.19,977.79,32.08,7.0,44.51,16.89
189471.85,2549.77,245.66,4.08,76.76,652.93,27.9,5.3,43.22,14.11
161611.52,1540.92,295.82,5.49,85.68,835.79,43.83,4.42,44.41,21.01
210998.69,1963.27,353.44,4.18,72.18,949.67,36.74,8.82,39.74,24.73
164334.93,1727.45,322.02,4.59,88.53,833.04,37.91,4.28,44.91,19.83
173558.77,2181.23,340.99,4.87,68.78,721.4,32.23,2.78,,10.73
196270.34,1514.85,374.64,4.64,85.54,801.56,38.0,3.66,46.39,19.38
155382.71,2103.89,334.8,3.87,56.88,943.59,33.15,6.45,35.36,8.34
184549.2,1810.99,293.91,3.97,66.2,839.39,27.03,3.03,45.76,17.79
206142.86,1779.75,347.34,4.78,77.38,799.49,32.96,6.66,47.57,7.95
147850.34,1566.05,305.08,4.78,71.8,973.42,46.78,3.29,56.34,15.85
183692.68,1860.48,336.46,5.17,74.4,877.24,31.63,4.85,47.53,20.56
185197.66,2325.35,417.14,4.55,75.33,619.56,,9.42,42.87,16.57
195636.46,1992.44,336.47,4.6,65.47,894.71,39.53,3.23,39.97,23.74
155260.99,2188.3,438.55,3.55,66.07,942.43,34.5,0.96,50.73,19.1
153590.87,2499.39,421.58,3.42,76.86,614.4,43.25,7.73,44.21,12.38
190438.83,2079.13,321.03,4.78,69.67,459.69,12.62,2.2,38.98,22.5
185939.69,1832.36,294.44,3.43,85.73,643.71,15.31,3.38,46.23,21.45
185009.86,2140.18,347.37,3.98,73.46,784.63,43.82,6.46,30.14,24.37
186928.96,1836.71,407.67,,80.75,951.47,24.82,6.38,45.64,21.55
166399.51,1848.67,325.49,5.22,78.54,666.36,30.89,0.25,38.76,20.35
184645.07,1544.03,395.4,4.3,70.19,883.27,44.0,4.31,42.39,13.04
185861.45,2277.88,410.42,3.7,59.16,366.14,31.6,6.7,60.95,22.07
165712.97,1884.2,311.3,3.88,84.48,827.05,43.52,9.06,41.12,17.27
217315.49,2054.63,316.2,4.87,67.17,738.99,26.89,2.52,,22.03
189476.66,1689.21,385.63,3.96,71.77,1114.79,34.93,7.14,53.39,29.15
156173.93,2130.78,357.59,3.44,73.79,516.19,30.47,3.68,,24.03
193131.07,1771.42,315.7,5.22,74.59,797.82,41.93,7.08,47.97,19.43
160506.37,1957.49,332.39,4.18,82.7,515.27,27.91,2.92,36.14,18.37
195741.69,2263.35,346.47,3.42,75.05,717.54,22.29,4.54,39.8,15.91
203171.91,2237.23,271.76,4.48,73.98,,26.26,5.77,35.67,6.39
163586.35,1993.39,388.28,4.97,83.15,1145.12,26.61,6.91,42.18,18.23
199267.52,1469.56,326.07,2.99,79.81,746.67,24.82,6.14,42.28,15.43
188255.62,2897.84,210.81,,69.12,768.35,24.49,4.14,37.69,19.61
196441.2,2523.76,348.81,3.75,65.82,793.59,38.97,4.0,49.38,15.42
217935.86,2216.8,312.92,4.45,68.41,630.16,41.26,8.56,41.05,19.11
175092.24,1774.04,434.44,4.63,74.61,,33.14,5.55,42.1,24.23
164925.28,1965.92,320.73,3.45,,896.03,24.82,4.05,32.45,18.78
162209.71,1836.97,295.12,2.51,75.73,937.69,25.33,6.08,45.55,
163683.79,2379.16,375.4,5.03,73.97,617.31,13.42,6.25,44.25,13.85
178457.97,2078.75,316.98,2.88,54.66,970.3,33.04,2.29,40.2,21.45
186823.04,1764.75,311.03,4.27,63.75,952.98,24.54,5.97,,21.77
185533.82,1858.77,375.48,3.87,51.91,765.14,41.77,1.99,45.95,13.64
196543.66,2336.36,297.98,4.16,72.25,934.25,18.98,3.71,49.7,17.86
180260.04,2480.03,277.14,5.65,83.59,840.9,25.26,3.03,50.06,22.52
209070.68,2458.5,436.3,7.04,59.87,560.9,29.24,4.74,50.72,26.6
174706.86,2227.11,378.97,2.37,64.42,772.58,33.72,4.13,58.35,18.88
234403.38,1924.21,336.79,4.98,73.69,727.77,44.42,4.6,46.03,17.0
192513.35,1027.55,349.83,3.84,66.49,812.81,19.04,1.21,37.43,16.15
162856.85,,375.29,5.05,66.45,953.17,27.58,4.85,,18.72
158582.15,1999.45,398.67,4.96,79.33,553.8,18.57,2.8,41.77,24.95
189649.45,2041.99,312.2,5.41,71.04,733.46,36.32,9.57,37.64,18.72
175530.74,2016.17,368.31,4.28,63.11,676.72,24.82,4.2,24.89,20.5
194280.01,1602.12,324.66,3.11,58.3,683.17,29.17,4.48,46.85,10.89
189464.75,2167.22,340.55,4.93,92.67,676.53,28.62,6.39,45.27,
178543.42,2189.66,358.03,4.12,84.03,810.23,30.93,,60.31,24.68
163064.13,2204.7,349.67,3.77,71.39,878.48,28.75,2.64,59.8,16.52
149703.06,2283.97,386.78,3.52,75.7,852.25,22.23,6.15,50.44,17.48
171069.7,2181.22,374.35,5.01,71.09,827.85,30.68,6.93,49.5,23.9
197127.98,1876.99,274.59,5.6,79.08,893.26,23.64,5.37,38.36,32.73
184281.87,1978.75,282.11,2.8,68.17,1157.05,36.52,5.33,46.51,9.58
155085.22,2027.34,331.51,4.62,70.65,820.38,30.46,3.98,44.07,15.45
183463.62,2032.31,441.43,3.63,78.64,953.17,21.68,4.36,46.17,16.03
187706.35,2299.47,307.42,,86.63,944.63,49.26,4.78,38.85,23.2
162322.85,2193.1,339.59,,80.93,1066.67,43.27,4.15,48.35,19.77
183074.5,2623.2,323.18,3.17,84.87,884.08,49.55,6.78,34.05,15.44
181164.17,2661.94,322.3,2.42,72.5,673.35,27.26,3.26,69.28,10.92
157140.59,2023.89,358.91,3.22,70.02,845.73,23.32,6.71,56.58,23.06
187155.75,849.0,420.04,2.97,59.49,837.67,36.45,7.66,55.62,17.0
191215.69,2371.05,372.8,3.35,75.58,922.28,38.86,,34.8,12.21
201661.02,1837.89,309.82,2.67,78.03,,31.57,1.42,32.03,14.59
201076.04,1759.55,487.66,3.6,72.6,989.95,13.17,6.22,47.2,15.87
152446.61,1880.47,353.93,3.29,68.79,800.79,22.15,3.71,42.56,16.5
161243.5,1866.01,321.14,4.38,84.95,925.91,33.38,3.94,59.78,12.78
190300.71,2183.68,420.6,4.59,,846.45,24.72,5.72,50.02,
190275.72,1532.17,326.55,4.26,85.5,818.39,19.08,7.21,44.67,29.85
190300.95,1676.68,433.15,3.76,,835.08,27.94,1.68,56.84,19.65
257054.63,2102.95,306.47,3.74,69.33,900.8,4.03,5.12,46.46,15.94
191417.81,2186.88,421.5,3.16,84.63,1093.8,25.17,8.98,46.83,19.89
202711.31,2192.46,360.05,3.19,74.62,497.39,26.59,2.8,53.34,18.8
199080.04,1763.89,414.55,4.7,70.45,881.0,32.48,4.6,39.58,13.47
193027.83,1706.52,445.09,2.24,71.0,806.6,34.38,3.77,53.15,8.42
173694.62,1848.01,293.37,3.92,74.91,773.43,33.02,6.41,49.53,15.35
195179.38,2071.96,413.79,3.68,83.02,445.51,37.18,2.5,37.63,17.09
164543.5,2445.64,279.55,4.6,73.72,887.03,28.66,1.86,60.66,17.45
175263.63,1385.77,297.64,2.57,81.32,781.25,18.36,6.66,41.34,8.84
170292.73,1933.78,309.83,4.01,78.74,674.84,30.35,5.48,31.92,30.4
181637.48,1600.2,375.18,4.34,67.97,806.37,23.0,2.63,38.78,30.01
226293.17,1504.33,351.65,2.1,67.97,756.08,19.14,4.86,36.71,20.22
142654.7,2290.09,341.64,2.93,71.4,538.64,,2.44,46.57,18.13
193725.2,2163.39,357.31,3.91,64.31,813.23,18.7,6.84,57.98,15.18
147745.68,2134.83,379.56,4.51,70.89,887.01,35.44,5.56,46.99,20.89
170561.36,2276.31,,4.18,87.11,717.61,19.66,3.57,57.69,17.41
201779.01,1856.08,404.71,4.56,74.75,839.26,27.68,3.84,53.53,24.26
181285.6,1870.21,441.0,2.92,68.87,816.22,25.49,4.08,23.67,22.57
,2655.72,348.93,2.41,90.33,956.82,39.1,2.85,52.2,13.75
165693.93,1926.03,323.95,4.08,67.56,784.45,34.75,7.68,40.35,14.56
193591.95,2220.54,380.68,2.77,67.3,920.16,23.41,7.33,49.1,22.85
165392.67,2001.91,292.79,3.13,84.84,753.0,28.74,4.2,44.54,21.47
184329.17,1445.52,316.06,4.93,80.29,1095.1,40.64,4.37,67.29,12.43
180911.44,1386.61,399.97,,73.96,734.47,41.94,2.75,,15.71
166967.99,1826.3,343.79,3.43,81.66,697.25,19.05,4.68,49.67,17.23
222878.88,2316.83,289.59,3.3,77.4,784.93,40.53,5.98,53.63,
192678.38,2236.49,275.51,4.62,65.51,690.8,39.92,7.36,33.09,17.64
139497.15,2274.22,352.44,4.21,55.82,612.7,31.43,3.21,53.67,22.5
183729.09,1703.89,407.09,2.79,70.46,909.14,29.27,1.63,43.28,18.73
166764.27,2484.76,406.43,2.05,83.68,340.6,25.6,2.99,39.47,18.4
197048.67,1710.53,355.54,5.88,71.57,692.37,19.97,6.11,51.56,14.22
164149.59,2063.85,450.45,2.78,78.68,598.74,32.71,4.91,33.09,18.84
177705.27,1996.89,344.76,4.53,76.48,821.33,28.64,6.98,52.51,17.86
190099.75,1947.84,343.07,5.51,61.45,471.63,33.48,5.08,43.74,15.6
197315.1,2401.58,221.63,4.15,71.75,882.18,33.67,8.23,44.2,12.25
155994.07,1788.47,327.63,3.4,77.87,898.41,50.14,1.83,27.05,24.38
173309.98,1595.12,392.6,2.57,68.7,555.11,39.57,0.02,52.2,26.9
170501.09,2006.0,428.2,2.56,72.1,828.59,34.38,7.71,46.98,19.22
166933.42,1880.05,308.49,4.38,78.13,877.41,12.9,3.41,41.26,25.17
215309.08,3013.21,373.11,5.45,75.58,941.05,33.14,5.28,37.58,19.15
,2202.95,402.34,3.6,83.38,579.66,42.66,5.27,51.25,11.07
154782.32,1877.2,350.56,3.44,78.07,558.56,26.58,5.65,47.79,19.5
198357.24,1683.17,235.84,4.7,67.35,1025.4,47.53,4.05,45.04,16.3
222443.12,1435.91,362.36,3.31,71.18,676.72,34.35,3.1,37.09,20.38
200649.31,1692.43,388.07,4.27,75.16,720.89,32.36,2.94,47.42,25.85
149612.6,2034.48,302.63,4.04,85.71,894.96,22.07,6.21,46.95,15.47
170315.32,2428.2,337.29,3.59,71.21,624.62,42.03,6.54,,19.94
205338.22,2336.51,292.23,3.98,61.14,760.12,23.35,4.5,35.42,22.31
165846.61,2068.73,221.49,5.76,78.52,933.76,25.49,3.81,39.27,24.77
188876.39,1903.05,401.35,4.6,68.96,586.83,14.95,6.14,60.55,22.93
195492.68,2080.64,,5.09,64.72,725.0,37.17,2.04,46.53,12.43
161461.39,1844.41,429.88,3.08,75.15,630.99,34.7,8.9,47.02,12.42
178809.49,2515.51,392.87,5.1,82.78,683.91,30.08,5.9,52.73,21.82
115174.65,1943.24,332.29,4.64,70.41,977.85,35.92,4.68,59.5,16.08
159512.25,1974.1,345.84,2.5,78.97,1010.76,35.17,6.66,35.71,13.08
174948.64,1335.25,378.31,4.54,80.46,838.68,27.08,6.26,62.45,23.94
155044.34,1941.37,398.34,3.49,,879.83,23.72,5.47,44.65,16.15
212648.23,2250.95,366.13,2.45,69.14,875.73,16.28,1.22,47.11,26.15
151397.17,1679.68,405.28,4.13,66.03,699.15,28.58,5.82,45.48,15.8
171199.11,1774.78,335.17,4.54,67.12,835.72,19.53,7.91,56.98,14.27
182614.81,2237.81,300.14,4.15,81.33,605.7,31.3,3.89,52.67,17.68
208825.47,1557.0,346.76,3.89,80.34,656.21,28.72,6.92,43.84,21.79
151282.76,2317.34,360.26,3.67,67.34,786.98,26.78,6.7,35.98,19.46
203263.28,1840.36,289.92,6.47,92.06,640.85,38.37,5.59,43.06,27.46
180204.66,1883.43,283.16,2.82,66.39,609.09,22.11,5.34,34.3,18.86
160369.83,1662.84,372.37,4.87,83.0,693.22,15.22,6.12,52.13,17.12
189242.07,2113.41,329.68,4.02,87.16,971.95,28.2,5.83,39.57,25.55
183981.19,2737.96,341.71,3.15,75.88,1033.57,24.08,8.78,44.18,20.98
167995.66,2234.45,332.02,3.95,68.84,795.12,30.97,6.93,54.39,15.93
181396.04,1740.71,426.03,2.61,69.02,887.33,22.69,6.41,51.46,19.19
172293.73,2340.69,413.09,3.4,72.9,715.48,33.36,7.11,48.07,19.09
182270.35,1905.0,288.13,3.95,83.65,490.15,22.22,6.42,38.63,16.97
193242.61,2412.35,323.36,2.45,65.4,665.97,22.13,0.84,48.88,18.91
211720.34,2242.0,392.5,4.51,60.29,753.75,34.93,4.77,38.64,11.56
155243.69,1117.06,380.1,3.04,77.9,821.15,,3.76,48.95,16.22
222660.67,1698.78,347.93,2.55,79.65,784.85,20.5,5.66,34.54,20.16
140958.24,2283.32,293.12,2.92,90.74,757.75,22.39,3.89,54.66,15.36
176964.3,2045.5,315.87,6.18,63.94,713.81,27.02,,46.6,13.54
191766.34,1692.87,324.16,2.02,73.92,851.58,20.86,4.16,44.9,17.8
185619.84,,363.85,4.44,84.29,595.42,27.7,8.4,48.13,15.64
167546.01,1428.13,435.19,3.25,75.97,920.31,27.98,8.3,44.08,11.39
175837.55,1973.49,315.66,3.65,73.44,712.05,22.66,2.11,45.54,11.51
170139.98,2663.21,298.7,4.6,81.32,1110.06,35.2,5.65,55.33,20.04
168212.7,2241.48,344.57,4.55,70.2,752.7,21.84,4.08,53.46,18.45
196992.04,2657.13,401.59,3.32,81.81,,39.97,5.5,50.7,19.57
187140.31,2264.72,277.66,2.64,64.97,715.6,28.25,6.17,47.02,16.51
166141.81,2308.24,422.68,4.62,62.84,729.47,24.72,2.44,42.47,10.43
,2592.22,341.4,4.55,72.81,891.08,34.31,3.05,53.58,13.63
186145.99,2113.18,313.28,3.72,54.49,793.66,30.28,3.3,37.72,16.39
196257.24,1943.83,269.99,4.44,75.68,948.06,36.08,3.9,59.27,20.18
192592.58,2309.8,385.33,3.55,61.14,869.66,13.99,3.96,50.69,9.26
163420.1,2436.15,341.44,3.17,77.26,804.72,34.13,6.59,54.45,6.44
168796.38,1856.01,358.54,4.0,76.48,855.94,25.85,5.44,48.74,25.24
194945.87,1783.53,304.96,4.52,74.46,979.45,30.3,3.26,44.02,20.99
192207.41,2041.66,334.05,4.31,78.49,898.5,29.29,4.36,52.59,13.62
179581.97,2249.45,325.67,4.51,,842.08,40.77,0.26,33.74,16.83
182346.55,2239.43,344.97,3.24,72.66,863.41,15.12,9.04,40.29,15.89
205553.3,1572.75,316.52,5.58,89.65,627.1,42.91,5.04,43.47,19.45
168168.57,2573.48,273.29,3.66,78.15,1185.75,35.65,6.99,33.95,15.46
190941.95,1807.65,486.42,3.88,81.18,879.22,,6.59,50.1,12.26
175956.15,1920.48,281.83,,83.58,894.19,18.53,4.93,55.13,20.45
175646.38,1729.2,359.07,3.81,80.35,795.7,16.62,0.24,31.33,27.07
201975.54,2809.5,261.4,4.53,,455.36,25.51,3.88,41.68,20.65
196508.33,2072.62,250.15,4.76,76.33,760.2,35.08,5.71,43.64,18.38
196270.19,1744.71,354.89,5.56,74.94,811.39,29.95,5.12,47.58,16.93
,2259.18,358.72,4.52,69.8,676.57,34.63,,51.84,14.06
180420.08,2230.74,413.07,,72.95,675.27,18.29,5.0,42.77,15.96
193639.06,1943.68,369.98,3.55,69.15,749.11,30.36,8.68,52.53,19.96
173794.66,2252.18,342.51,,80.42,915.73,,2.88,45.71,23.94
186483.33,1752.41,302.52,4.97,67.7,988.36,41.62,6.04,40.18,24.16
177397.14,1852.12,424.95,4.95,75.59,825.64,19.97,2.94,46.84,18.85
181939.92,1396.94,396.44,2.92,79.48,714.89,27.18,6.83,34.89,18.93
191903.14,1602.81,287.68,4.72,76.2,745.64,27.27,3.49,42.96,18.26
163635.59,,351.9,4.65,67.83,814.93,24.99,1.49,43.6,20.86
221847.75,2492.43,357.2,2.89,80.59,832.7,37.26,2.03,40.16,18.24
159879.65,2019.74,332.72,4.54,74.32,865.24,52.97,4.06,65.26,18.32
155716.23,2498.88,,2.95,,734.1,21.09,8.12,55.41,13.7
203162.22,1951.98,391.59,1.57,67.13,879.39,33.4,6.48,46.6,13.58
195833.25,1926.98,340.48,3.84,86.21,867.54,32.36,5.89,48.42,14.54
192482.4,2016.95,335.96,4.26,86.87,740.74,32.54,4.87,49.14,19.2
192566.91,1962.52,424.95,3.88,79.21,542.08,40.66,2.75,50.0,16.47
179755.06,1935.44,396.64,6.87,81.27,667.26,32.99,3.13,57.5,30.91
162054.91,2343.02,353.62,4.38,68.77,1035.14,12.91,3.9,52.42,19.94
181516.09,2045.04,268.54,4.15,72.92,545.96,18.51,3.72,29.11,25.85
,2213.74,367.2,4.43,84.88,997.63,21.46,3.69,51.67,25.42
199502.39,2309.41,384.9,3.56,78.41,540.71,24.01,3.1,38.31,20.12
