loan_amount,annual_income,credit_score,loan_term_years,employment_years,num_open_loans,debt_to_income,collateral_value,missed_payments,defaulted
194342.72,1992944.98,769.0,,17.0,4.0,0.198,1489230.98,5.0,0
392444.34,1668778.28,440.0,3.0,19.5,4.0,0.104,856100.01,5.0,1
1267094.34,1793758.48,564.0,15.0,25.0,2.0,0.148,740146.68,1.0,1
521096.46,2387390.2,366.0,10.0,17.6,5.0,0.391,1285835.96,2.0,1
1536473.48,622264.22,557.0,10.0,17.5,4.0,0.447,1439040.63,5.0,1
1732860.09,2102279.17,375.0,10.0,3.6,7.0,0.362,539019.67,5.0,1
1309082.58,1094041.39,389.0,20.0,4.0,0.0,0.509,2480486.71,3.0,1
106868.96,331171.69,625.0,15.0,21.7,1.0,0.512,249721.96,1.0,0
575248.95,887643.68,517.0,3.0,25.4,1.0,0.227,1400133.22,4.0,0
158709.72,612549.8,654.0,20.0,24.7,6.0,0.161,1183801.17,0.0,0
605901.87,1438527.09,805.0,3.0,12.6,5.0,0.469,2822424.01,3.0,0
1739716.36,516828.93,413.0,15.0,9.2,6.0,0.077,823899.11,,1
680323.68,3069740.79,407.0,1.0,22.2,6.0,0.292,802468.96,2.0,0
178096.19,320907.44,599.0,20.0,26.8,2.0,0.391,1425309.5,4.0,1
917935.67,1109295.09,770.0,20.0,10.3,3.0,0.357,2455034.22,4.0,1
1672658.16,4679047.84,713.0,1.0,25.6,1.0,0.08,1818399.24,5.0,0
1581237.6,177198.46,335.0,20.0,10.9,3.0,0.05,2707262.98,5.0,1
653383.94,2437769.23,775.0,1.0,22.6,4.0,0.287,2031431.11,2.0,0
833212.04,263045.22,599.0,1.0,20.0,6.0,0.54,1942288.19,,1
739250.39,3487130.17,468.0,2.0,12.7,5.0,0.556,2192608.56,0.0,0
1638427.61,1179446.28,512.0,15.0,0.6,2.0,0.477,1937693.92,3.0,0
1443398.64,4030259.03,330.0,1.0,1.5,,0.413,2818047.81,5.0,1
1087694.7,1926453.36,442.0,20.0,19.7,0.0,0.059,717096.93,4.0,1
702240.82,3745993.06,,15.0,25.3,1.0,0.596,44491.93,3.0,1
1563312.05,1055446.64,722.0,20.0,11.6,6.0,0.217,2744407.63,0.0,1
1374881.79,4003875.67,591.0,2.0,21.1,0.0,0.523,778481.28,5.0,0
1298342.97,2672796.31,568.0,1.0,8.9,0.0,0.327,2701327.01,4.0,0
745086.27,2930130.21,504.0,3.0,27.1,2.0,0.582,2146326.89,3.0,0
1236134.66,255044.02,351.0,20.0,18.2,5.0,0.085,1570004.16,5.0,1
1576577.79,991893.05,762.0,10.0,5.8,5.0,0.435,2729962.62,0.0,0
1664562.68,1133831.07,754.0,10.0,24.9,0.0,0.345,753752.9,4.0,1
506281.96,4296395.02,367.0,10.0,20.0,1.0,0.379,2258536.37,4.0,1
1281143.95,4773246.76,345.0,2.0,20.8,0.0,0.354,2032160.61,3.0,1
,2390611.36,460.0,20.0,25.0,3.0,0.396,16354.22,1.0,1
703796.3,2220654.87,340.0,2.0,14.0,4.0,0.454,1998334.96,3.0,1
1127660.37,2748128.59,599.0,15.0,2.4,7.0,0.134,1290719.08,5.0,1
155728.63,1172854.25,804.0,2.0,18.8,1.0,0.155,572086.5,2.0,0
1454938.71,1143693.03,577.0,10.0,5.1,4.0,0.11,1656347.46,0.0,1
1467218.51,2119500.89,487.0,2.0,12.1,1.0,0.398,802172.48,1.0,1
92189.15,1596565.97,755.0,1.0,20.2,5.0,0.285,57725.31,3.0,1
454598.45,1663198.33,316.0,3.0,0.6,3.0,0.426,2481649.4,5.0,1
500132.57,2053880.52,705.0,5.0,9.0,2.0,0.325,1601544.57,2.0,0
1370115.64,4206346.22,464.0,15.0,18.0,2.0,0.053,2815688.34,5.0,1
957006.91,3714617.03,328.0,10.0,20.1,3.0,0.11,,0.0,0
1865992.0,1152429.84,637.0,2.0,15.8,,0.182,270621.11,3.0,1
960296.13,3079080.06,644.0,3.0,24.7,7.0,0.182,1642422.41,1.0,0
396746.32,4666392.26,413.0,10.0,6.7,2.0,0.277,506293.15,2.0,0
820099.36,4308120.83,376.0,15.0,14.9,4.0,0.09,2699572.29,3.0,0
1913166.03,1361262.31,368.0,3.0,15.5,7.0,0.274,1621212.58,3.0,1
792024.32,3433164.61,836.0,10.0,13.6,1.0,0.397,1895054.4,1.0,0
861436.76,3271396.79,496.0,20.0,24.0,0.0,0.405,2376731.77,0.0,0
1685808.98,1945265.27,407.0,1.0,0.7,0.0,0.092,,3.0,1
1463086.82,1904547.38,777.0,1.0,6.9,5.0,0.09,1849389.36,3.0,0
715984.69,1181891.0,361.0,20.0,21.2,2.0,0.572,1979628.73,,1
1246421.48,3438929.36,303.0,3.0,18.7,5.0,0.288,1699473.34,2.0,1
675912.04,4682097.68,541.0,1.0,7.2,7.0,0.287,383687.04,1.0,0
363411.45,173935.88,511.0,5.0,24.2,6.0,0.425,1829956.73,5.0,1
404996.74,4905089.55,366.0,2.0,26.2,5.0,0.565,1036903.63,3.0,1
974553.0,3139847.68,696.0,3.0,11.7,2.0,0.232,22584.78,5.0,1
1742706.25,342503.57,695.0,1.0,4.8,5.0,0.187,344845.78,5.0,1
449569.37,3621867.83,488.0,10.0,24.8,5.0,0.33,309287.46,2.0,0
896350.26,498596.27,426.0,20.0,17.2,6.0,0.349,2750281.11,1.0,1
807556.83,4643670.63,542.0,20.0,24.2,,0.585,375425.38,5.0,1
574915.67,489494.67,447.0,20.0,8.2,2.0,0.106,1165869.93,4.0,1
172166.79,1171957.38,835.0,10.0,20.1,5.0,0.276,1817824.86,2.0,0
446113.99,3423006.07,404.0,2.0,,5.0,0.501,1011698.9,0.0,0
1327586.75,127186.13,685.0,10.0,29.7,4.0,0.147,2464630.7,5.0,1
109780.14,1146592.79,576.0,10.0,21.5,5.0,0.206,703420.84,3.0,1
1941949.09,741423.95,596.0,3.0,12.5,2.0,0.54,2864512.2,1.0,1
1596039.45,1199841.97,306.0,20.0,29.8,6.0,0.244,167831.55,0.0,1
1019056.64,113165.66,789.0,20.0,2.4,5.0,0.591,1806654.79,1.0,1
1069314.09,4745981.82,456.0,10.0,14.0,3.0,0.402,1038286.84,1.0,0
1925316.18,1564087.47,532.0,5.0,26.4,2.0,0.31,2917934.82,1.0,1
400842.24,119035.68,720.0,20.0,22.8,7.0,0.377,2112087.31,1.0,0
1289141.76,4843996.98,772.0,5.0,18.6,1.0,0.106,2151571.61,5.0,0
1497560.73,4433604.37,541.0,1.0,26.2,6.0,0.181,1693862.76,3.0,1
1496040.7,3663886.6,425.0,20.0,20.0,5.0,0.233,696241.45,5.0,1
247859.2,943456.07,653.0,5.0,28.2,7.0,0.341,2642707.97,3.0,1
474000.88,4817175.02,321.0,10.0,15.7,1.0,0.4,1685983.49,2.0,1
1563966.79,4533564.69,598.0,5.0,24.2,5.0,0.098,1235727.48,5.0,1
294340.34,2756078.57,475.0,20.0,28.4,6.0,0.262,1341796.93,2.0,0
1959582.15,1859674.39,534.0,2.0,11.1,2.0,0.456,1587596.6,4.0,1
385652.33,4623943.57,544.0,5.0,20.2,2.0,0.171,872070.1,3.0,0
611476.28,4950363.35,374.0,1.0,12.7,1.0,0.51,2555656.96,1.0,0
907210.72,3415313.37,351.0,,8.0,2.0,0.249,788263.26,4.0,1
953935.32,1364677.83,469.0,3.0,22.9,6.0,0.503,1141276.45,3.0,1
245261.98,4237158.86,317.0,5.0,15.4,2.0,0.593,1525660.82,1.0,0
1817499.68,1492892.77,541.0,5.0,11.0,0.0,0.281,2578363.29,0.0,0
407072.14,394929.77,581.0,15.0,26.6,1.0,0.279,2131705.04,5.0,0
1187017.16,,813.0,10.0,3.7,5.0,0.199,2614453.94,3.0,0
799293.11,3255859.73,446.0,3.0,16.4,4.0,0.205,1263359.17,2.0,0
1716785.37,2087478.51,360.0,5.0,7.3,4.0,0.238,2201849.17,1.0,1
1435587.18,846534.58,484.0,10.0,27.0,0.0,0.108,2689740.94,4.0,1
1922064.13,2576869.21,691.0,10.0,25.9,0.0,0.158,595582.32,2.0,0
1301428.8,4058120.85,631.0,1.0,19.2,3.0,0.236,1855312.6,5.0,0
928231.39,2261957.46,732.0,20.0,23.6,1.0,0.101,2955545.61,0.0,0
1300247.77,2233958.9,744.0,3.0,8.0,0.0,0.348,132210.7,2.0,0
1646425.94,4539783.29,530.0,2.0,1.6,1.0,0.129,2863649.83,1.0,0
296095.92,1625137.25,556.0,15.0,15.7,7.0,0.203,2947721.98,4.0,1
680112.22,4149554.78,771.0,3.0,29.0,0.0,0.35,1068709.7,4.0,0
433019.24,4984117.22,638.0,3.0,4.1,0.0,0.233,416337.64,1.0,0
613468.82,332926.55,735.0,15.0,9.8,0.0,0.305,717882.45,1.0,0
1911872.17,1045419.3,493.0,10.0,17.6,6.0,0.237,331780.93,0.0,1
827128.45,3135766.67,841.0,5.0,16.6,1.0,0.201,1592934.58,1.0,0
314888.26,4903974.4,464.0,5.0,2.4,3.0,0.267,2530423.51,0.0,0
999612.94,4212909.64,387.0,2.0,6.7,1.0,0.312,2557848.77,3.0,0
1786407.65,163547.8,615.0,3.0,0.4,2.0,0.32,331895.77,4.0,1
129795.99,3684756.37,541.0,15.0,,6.0,0.179,2827791.18,1.0,0
1378495.52,1974097.98,476.0,20.0,6.4,1.0,0.422,1860608.52,2.0,1
,954059.24,639.0,3.0,5.1,3.0,0.137,2385820.0,3.0,1
1249681.09,2053992.57,776.0,5.0,10.6,5.0,0.536,2662984.08,3.0,1
76948.37,3158414.96,833.0,20.0,10.8,7.0,0.234,567802.11,0.0,0
40613.16,2639066.75,793.0,3.0,20.5,4.0,0.479,1949877.21,3.0,0
1056892.2,1690024.58,558.0,1.0,10.6,7.0,0.391,2983494.31,3.0,1
608766.49,3299416.95,838.0,1.0,11.8,6.0,0.082,2968530.95,3.0,0
559026.09,1412323.4,,2.0,15.8,5.0,0.261,2191829.54,2.0,0
1622862.8,2269875.74,694.0,5.0,4.4,1.0,0.077,1809125.32,1.0,0
1550268.12,3870820.22,379.0,20.0,1.9,0.0,0.578,936639.52,2.0,1
1184833.07,4608630.37,833.0,5.0,13.5,0.0,0.304,73743.31,0.0,0
1189010.8,3008736.47,795.0,1.0,26.9,0.0,0.55,96377.36,2.0,0
1326340.86,2639126.05,435.0,10.0,18.4,5.0,0.386,1449462.18,3.0,1
698446.26,4069127.38,656.0,15.0,12.0,1.0,0.531,,5.0,1
1715526.51,4206176.77,668.0,15.0,29.2,4.0,0.534,1848643.92,5.0,1
632034.87,2265647.0,345.0,10.0,15.6,1.0,0.521,1683265.46,3.0,0
149676.7,2650504.24,531.0,5.0,29.0,7.0,0.058,729572.51,5.0,1
1510858.0,2727189.79,482.0,3.0,1.4,3.0,0.262,977335.53,0.0,1
1925939.38,2112588.11,440.0,20.0,19.2,6.0,0.373,2820665.58,1.0,1
,4328560.71,342.0,3.0,6.1,1.0,0.058,2037302.04,1.0,0
1014492.79,2702840.61,417.0,,2.8,,0.315,2851364.25,1.0,1
1067037.37,1212027.74,820.0,,25.5,0.0,0.463,1763122.93,2.0,0
727191.77,3304668.34,583.0,20.0,2.2,3.0,0.164,,2.0,0
1909737.18,3334861.36,366.0,1.0,4.1,1.0,0.447,715520.83,0.0,1
1110612.36,1604575.2,336.0,15.0,28.7,0.0,0.457,2282779.74,2.0,1
1033514.0,4528657.61,700.0,5.0,12.6,4.0,0.535,1984083.1,2.0,0
657007.25,3871237.51,708.0,20.0,5.4,2.0,0.162,285076.86,1.0,0
837797.7,710910.85,583.0,20.0,8.3,4.0,0.164,1965689.86,5.0,1
24865.15,4395018.3,578.0,10.0,16.6,1.0,0.053,681454.79,2.0,0
1834842.91,4926025.16,329.0,15.0,21.9,0.0,0.569,672165.82,1.0,0
1950193.11,3983877.76,747.0,2.0,19.9,3.0,0.564,1928461.88,2.0,0
187302.63,1711624.15,437.0,15.0,19.0,3.0,0.322,2813519.21,1.0,0
339047.44,2679200.52,672.0,3.0,4.0,4.0,0.266,1341983.72,3.0,0
1141438.97,1351365.78,411.0,1.0,4.4,6.0,0.421,2035351.4,3.0,1
1440424.69,4313157.68,712.0,10.0,7.1,2.0,0.59,232683.25,3.0,1
554073.08,3223849.47,637.0,3.0,19.8,2.0,0.142,2518402.52,1.0,0
996992.07,2091401.56,344.0,15.0,29.6,2.0,0.521,2306195.38,3.0,1
1238872.45,4199109.37,524.0,15.0,10.0,2.0,0.589,218662.82,5.0,1
1789985.0,2339783.13,491.0,1.0,24.0,7.0,0.227,646662.07,5.0,1
706195.81,608017.58,719.0,5.0,1.4,5.0,0.533,2870339.82,5.0,1
1702793.16,3038333.53,697.0,20.0,5.1,5.0,0.238,2097228.52,3.0,1
567666.77,3057029.93,845.0,3.0,3.9,7.0,0.352,1609143.6,1.0,0
166932.58,599393.44,632.0,15.0,25.8,3.0,0.587,1911850.22,4.0,1
1946634.42,4838283.22,664.0,2.0,9.1,4.0,0.108,913781.91,4.0,0
329335.79,1394171.75,434.0,10.0,7.0,6.0,0.564,1633462.88,1.0,1
1861486.93,2863466.34,437.0,2.0,6.8,0.0,0.498,2238946.04,2.0,0
992055.96,2540753.95,430.0,3.0,1.0,2.0,0.14,192749.11,5.0,1
620507.09,1621342.92,,2.0,4.0,0.0,0.06,2209110.1,3.0,0
295037.45,4705619.33,682.0,1.0,11.0,7.0,0.212,1193598.62,0.0,0
1832386.12,4049957.81,490.0,3.0,26.8,3.0,0.319,1309959.86,1.0,0
1822313.18,516485.12,695.0,5.0,27.9,5.0,0.25,1643504.13,0.0,0
759963.0,2182092.66,521.0,1.0,20.0,3.0,0.545,796156.12,2.0,0
1155919.33,4092890.43,830.0,15.0,25.4,3.0,0.368,1631772.36,0.0,0
1054860.56,4289017.11,816.0,3.0,1.2,4.0,0.232,1094267.27,0.0,0
1435100.67,4792167.96,343.0,10.0,0.4,3.0,0.567,879651.26,2.0,1
921097.39,1952978.88,718.0,15.0,12.1,6.0,0.164,297983.64,4.0,0
1624756.94,716905.43,666.0,2.0,27.4,5.0,0.161,2171474.8,3.0,1
306260.93,2988128.34,665.0,20.0,8.0,4.0,0.382,2276437.55,3.0,0
1723674.3,4027227.22,760.0,2.0,15.0,7.0,0.185,234915.63,4.0,1
1618965.21,939972.94,743.0,15.0,3.8,5.0,0.326,1255978.82,3.0,1
1778563.18,2905770.91,426.0,3.0,17.4,2.0,0.581,595056.4,0.0,0
1997480.89,2352452.25,489.0,3.0,17.7,1.0,0.115,2338305.81,0.0,0
422991.99,665787.43,802.0,15.0,6.2,6.0,0.511,2861106.65,5.0,1
1974264.63,486906.2,356.0,20.0,20.8,5.0,0.139,1256077.32,0.0,1
1192161.02,1150146.23,570.0,2.0,18.8,7.0,0.35,582147.66,3.0,1
1156878.75,954207.99,593.0,1.0,25.1,6.0,0.338,1562786.3,4.0,1
1268737.03,2984152.75,395.0,5.0,29.3,3.0,0.38,2699980.26,4.0,1
1736341.22,4651185.29,303.0,1.0,8.9,4.0,0.212,1224978.45,4.0,1
472722.25,1866432.13,665.0,5.0,19.2,4.0,0.091,,1.0,0
1195891.48,,825.0,20.0,8.1,1.0,0.24,572159.19,0.0,0
300831.24,2363906.38,702.0,5.0,29.1,1.0,0.523,2570100.84,0.0,0
982496.31,1544489.52,320.0,1.0,20.4,4.0,0.23,2761223.27,3.0,1
1635055.18,1430748.68,420.0,3.0,11.0,6.0,0.231,1191926.08,0.0,1
1514093.64,3631057.35,781.0,10.0,,7.0,0.169,1879507.52,4.0,1
1171809.43,1715944.65,776.0,20.0,0.4,3.0,0.147,2415813.84,0.0,0
198790.78,1942709.8,327.0,5.0,6.6,3.0,0.056,523902.38,2.0,1
819749.57,2602864.27,824.0,20.0,23.6,4.0,0.42,1510354.66,3.0,0
1452506.35,4409297.45,740.0,2.0,20.2,5.0,0.463,819832.94,5.0,1
1573182.86,3427689.31,401.0,20.0,5.8,1.0,0.399,2321798.59,5.0,1
1298162.73,4802657.0,582.0,3.0,15.2,1.0,0.564,2779227.95,4.0,0
948123.79,2847002.79,594.0,3.0,14.5,3.0,0.485,799079.27,2.0,0
974928.53,3207964.66,794.0,1.0,24.7,3.0,0.546,73070.9,3.0,0
206837.66,470998.54,349.0,10.0,4.4,0.0,0.572,291622.61,1.0,1
1223671.61,1907180.79,644.0,5.0,12.3,7.0,0.179,1799445.14,4.0,1
1253027.83,4496462.07,788.0,3.0,10.6,0.0,0.279,1639209.84,4.0,0
1494796.51,1424025.29,820.0,5.0,8.1,2.0,0.186,1617809.42,0.0,0
906118.15,3360825.6,760.0,3.0,7.1,3.0,0.313,84321.07,5.0,0
1960507.97,3214379.61,786.0,3.0,19.3,1.0,0.562,2063257.38,5.0,0
1015295.0,1568061.06,574.0,15.0,4.4,7.0,0.207,2437592.85,5.0,1
601600.86,2258372.93,347.0_err,3.0,1.8,1.0,0.445,542701.33,0.0,1
356253.67,3854888.87,374.0,3.0,26.7,0.0,0.365,2989387.32,0.0,0
496669.12,2184063.38,740.0,15.0,16.8,2.0,0.337,1328658.66,3.0,0
926668.84,4204001.02,382.0,20.0,5.8,4.0,0.35,197878.85,4.0,1
607226.19,1704072.71,804.0,2.0,27.4,5.0,,2601510.7,3.0,0
1851598.59,3073745.73,664.0,2.0,4.7,3.0,0.137,1750356.08,0.0,0
82775.71,1119607.25,510.0,1.0,16.5,0.0,0.128,2694070.31,4.0,0
415188.0,605440.83,419.0,15.0,17.2,3.0,0.193,134668.11,1.0,1
864028.23,2955002.46,373.0,3.0,5.0,4.0,0.349,614328.55,4.0,1
975601.83,1779680.43,770.0,20.0,9.7,4.0,0.562,124324.15,1.0,1
880431.96,1394355.94,474.0,15.0,14.6,1.0,0.119,324625.37,2.0,1
1693392.73,1688815.22,730.0,15.0,25.1,4.0,0.087,2070950.94,4.0,1
884493.65,4959550.85,419.0,20.0,14.0,3.0,0.323,879010.06,1.0,0
1239963.22,4961425.83,616.0,15.0,19.2,1.0,0.473,1347960.18,0.0,0
1297849.29,3729404.98,688.0,10.0,4.2,2.0,0.153,731295.91,4.0,0
893273.81,220669.09,788.0,15.0,25.8,0.0,0.3,,5.0,1
472043.41,3259566.99,635.0,1.0,18.2,3.0,0.314,2621930.16,0.0,0
141634.71,3809047.44,399.0,15.0,24.2,1.0,0.301,1344479.56,0.0,0
1623000.42,4138723.49,672.0,15.0,21.4,2.0,0.181,495093.45,1.0,0
1916124.08,3209600.5,836.0,1.0,19.5,2.0,0.056,369476.23,1.0,0
1150606.25,890445.51,627.0,3.0,23.6,5.0,0.517,2995899.32,0.0,1
808519.59,1587523.76,735.0,10.0,19.4,2.0,0.128,2989404.8,5.0,1
1557532.81,2097034.43,843.0,20.0,25.5,1.0,0.18,784784.44,5.0,0
853369.23,1662109.19,583.0,1.0,22.5,4.0,0.07,83874.59,2.0,0
1633782.26,4774654.15,406.0,2.0,9.7,5.0,0.496,853534.0,0.0,1
1509213.84,3533422.51,566.0,1.0,16.0,7.0,0.432,811571.58,1.0,1
845963.88,2028521.35,613.0,5.0,14.9,7.0,0.339,982629.75,4.0,1
425176.64,3115314.29,710.0,5.0,16.2,4.0,0.253,335163.16,1.0,0
731396.66,3246269.01,439.0,20.0,27.5,6.0,0.32,1414324.6,1.0,0
1297568.91,2638147.73,332.0,3.0,25.4,7.0,0.57,970393.78,0.0,1
371088.58,1194371.14,726.0,2.0,4.1,1.0,0.307,2477527.48,,0
,3637580.27,718.0,2.0,8.9,5.0,0.529,2208945.46,4.0,1
1447742.76,308158.42,624.0,20.0,28.8,4.0,0.288,245075.09,3.0,1
1575340.05,4195081.47,548.0,5.0,,4.0,0.558,537987.69,5.0,1
188835.12,751550.24,317.0,10.0,6.1,3.0,0.389,1938679.78,3.0,1
944317.08,3460052.78,,10.0,22.6,4.0,0.076,2064803.5,2.0,0
603705.28,2652587.57,720.0,20.0,25.2,5.0,0.431,1811198.92,4.0,1
871365.8,4085272.75,578.0,5.0,2.0,2.0,0.053,2803223.64,5.0,0
863179.35,1299726.97,806.0,3.0,15.0,6.0,0.587,1108036.3,4.0,1
1015088.52,3696903.79,452.0,1.0,9.4,3.0,0.177,2144161.99,5.0,1
1479725.14,3659975.01,596.0,20.0,7.0,5.0,,1032633.82,4.0,1
1402797.91,4613848.1,518.0,5.0,4.0,1.0,0.524,393342.24,4.0,1
173180.97,4436246.73,702.0,20.0,0.2,6.0,0.153,1270378.28,2.0,0
1755958.35,149138.39,701.0,5.0,9.4,2.0,0.577,2649245.34,0.0,1
1406976.56,1728491.59,759.0,1.0,13.9,,0.412,380389.69,,0
1066630.66,4358407.04,445.0,20.0,27.7,1.0,0.45,16000.17,5.0,1
720721.29,2855100.27,529.0,20.0,23.6,5.0,0.375,19383.38,0.0,1
152871.63,558518.49,320.0,5.0,21.6,2.0,0.053,2889476.4,4.0,1
980223.81,3540162.86,446.0,1.0,15.2,1.0,0.299,2548333.53,1.0,0
491992.98,3536761.4,683.0,5.0,1.2,5.0,0.348,2668348.23,5.0,1
1665798.15,145271.02,322.0,1.0,5.4,0.0,0.511,1231310.83,4.0,1
935912.07,1804595.91,744.0,2.0,20.7,5.0,0.451,448696.81,0.0,0
1599317.15,3637499.26,641.0,15.0,6.6,7.0,0.54,282666.53,0.0,1
284645.33,682045.73,553.0,5.0,10.7,4.0,0.579,104482.76,1.0,0
877948.49,2282725.08,649.0,20.0,4.7,4.0,0.492,256909.91,2.0,1
1919465.94,2141912.93,687.0,10.0,8.5,3.0,0.362,2175384.02,3.0,1
1436084.87,4421163.28,773.0,2.0,7.9,3.0,0.072,56084.56,3.0,0
1942995.68,2320534.35,783.0,10.0,21.2,6.0,0.155,2808795.06,3.0,1
496960.77,3569813.57,677.0,15.0,15.1,1.0,0.394,2421878.28,1.0,0
1983549.69,4522124.49,785.0,2.0,20.2,1.0,0.274,1157669.45,2.0,0
241675.63,2149923.65,715.0,20.0,20.9,2.0,0.389,975173.96,0.0,0
1422367.48,3855540.46,425.0,1.0,24.5,0.0,0.295,2856709.99,3.0,1
1091564.68,450303.15,811.0,2.0,26.4,1.0,0.5,2067988.95,3.0,0
244301.82,1194089.5,515.0,20.0,3.1,6.0,0.082,135367.81,0.0,1
1365087.46,3438729.05,643.0,5.0,7.1,5.0,0.314,1039450.87,5.0,1
1285756.51,1338734.12,635.0,3.0,11.6,4.0,0.434,2548281.65,2.0,1
1942228.93,3123438.86,724.0,20.0,22.6,5.0,0.138,1038633.37,3.0,1
20424.64,3614094.64,580.0,15.0,11.1,5.0,0.556,1291891.24,3.0,0
277417.1,3869132.33,763.0,10.0,0.6,7.0,0.385,1075271.48,0.0,0
642902.27,4413448.49,616.0,15.0,5.0,1.0,0.363,1302104.03,3.0,0
900811.39,2348244.31,745.0,2.0,26.8,7.0,0.59,2632982.21,0.0,0
234643.3,3377855.66,645.0,1.0,13.3,3.0,0.314,1429937.46,3.0,0
459209.73,2613902.04,300.0,3.0,0.8,7.0,0.183,651681.39,2.0,1
551541.57,1441324.9,771.0,15.0,16.6,4.0,0.107,812885.51,5.0,1
1458513.44,2707407.28,718.0,3.0,8.9,6.0,0.305,2179580.82,3.0,1
153108.99,2105437.57,541.0,3.0,21.0,2.0,0.526,1532321.13,1.0,0
930454.09,388135.71,589.0,15.0,20.0,3.0,0.363,424379.98,2.0,1
1109824.24,1265642.51,324.0,5.0,3.1,5.0,0.38,810433.51,4.0,1
534707.91,3643810.04,799.0,2.0,4.7,6.0,0.116,793033.73,2.0,0
277288.44,1622360.69,502.0,15.0,7.2,1.0,0.248,1485457.84,3.0,1
443425.14,2123799.93,526.0,10.0,18.3,,,2884667.96,1.0,0
494196.48,3577128.21,636.0,10.0,9.3,3.0,0.572,328319.94,3.0,1
1606228.76,4644903.56,621.0,3.0,24.8,6.0,0.13,742454.5,4.0,0
607139.37,774401.99,837.0,10.0,4.3,,0.284,2686867.55,5.0,1
1764281.16,4739672.53,304.0,10.0,22.3,4.0,0.16,795943.29,3.0,1
1779403.22,4000503.92,480.0,3.0,2.6,1.0,0.576,1512197.46,3.0,0
1586818.2,501307.96,327.0,15.0,28.5,1.0,0.447,946264.97,0.0,1
721333.05,1744863.91,519.0,5.0,1.5,2.0,0.094,2534288.93,3.0,1
222204.46,2391818.08,610.0,3.0,14.5,1.0,0.157,1625242.54,3.0,0
816185.57,897615.83,486.0,10.0,13.0,1.0,0.288,632056.79,0.0,1
1454955.34,,794.0,10.0,28.6,3.0,0.24,1325603.8,3.0,0
1915390.01,2852798.26,710.0,5.0,3.4,2.0,0.069,1455392.79,2.0,1
312264.41,1384220.43,784.0,15.0,12.7,4.0,0.151,1571350.84,5.0,1
103939.53,2074669.48,413.0,1.0,22.9,2.0,0.535,2190977.99,5.0,1
1140456.71,782673.63,677.0,5.0,24.3,5.0,0.359,1808836.63,4.0,1
131988.05,543044.06,755.0,2.0,22.8,7.0,0.065,46223.7,5.0,1
1923447.02,1783533.66,476.0,15.0,27.0,2.0,0.242,1944879.85,5.0,1
645356.42,3580443.5,649.0,15.0,25.6,3.0,,1780124.95,5.0,1
