pm25,pm10,no2_ppb,co_ppm,so2_ppb,o3_ppb,wind_speed_kmh,humidity_pct,temperature_c,aqi
14.86,26.0,13.62,0.43,2.86,37.71,,54.23,21.44,44.15
6.51,30.54,9.75,0.51,4.16,33.12,15.42,37.54,25.97,33.67
11.21,33.63,21.28,0.39,4.59,42.94,16.64,43.21,26.1,46.54
6.61,33.85,18.62,0.4,3.35,34.66,20.91,46.17,23.04,40.75
11.23,22.23,22.2,0.34,2.85,42.68,26.53,53.04,31.55,52.04
11.06,17.22,10.78,0.33,3.65,39.6,,46.22,19.48,37.66
8.98,25.24,18.75,0.6,3.73,31.3,29.94,39.31,20.11,38.83
4.44,21.15,23.71,0.48,1.77,41.55,15.62,46.27,20.61,46.03
12.85,25.3,17.32,0.31,2.97,44.69,14.21,,24.58,32.3
9.04,30.85,15.32,0.39,2.45,36.38,17.71,55.7,26.87,54.52
14.67,22.98,16.38,0.57,3.84,41.55,15.86,53.63,23.86,44.24
7.68,20.9,24.07,0.48,4.54,29.7,22.02,47.77,20.65,33.27
13.51,25.08,16.24,0.36,4.39,43.05,19.53,34.49,19.42,48.43
12.48,22.85,10.45,0.46,1.96,41.74,17.59,49.94,15.07,32.05
10.54,30.22,23.45,0.4,3.22,35.78,19.01,32.05,20.35,55.19
12.84,22.57,7.5,0.37,3.02,30.83,17.74,36.93,27.69,40.79
12.71,22.43,21.23,0.32,3.29,35.67,23.45,41.97,25.64,23.8
13.18,35.16,16.07,0.45,1.08,38.61,18.88,46.21,24.64,54.21
9.26,25.41,18.76,0.39,2.51,44.91,19.61,54.09,22.5,35.26
10.15,25.97,,0.42,4.59,39.69,18.6,52.27,25.0,50.16
12.76,30.04,12.16,0.6,3.92,38.55,,33.98,20.82,41.09
19.87,29.02,,0.52,3.08,31.12,15.5,45.57,21.88,37.21
10.07,26.22,16.49,0.6,2.86,42.72,13.86,42.16,,43.9
12.73,31.89,21.76,0.56,3.23,29.59,14.04,32.93,18.22,
11.59,22.94,17.37,0.43,2.98,29.43,14.9,40.49,25.4,50.16
10.54,27.18,12.1,0.4,3.3,35.17,20.5,56.22,24.33,44.06
13.58,30.06,19.31,0.5,2.69,30.56,21.51,55.93,22.68,45.9
12.48,36.73,16.5,0.37,4.2,27.83,8.9,35.26,20.66,37.87
16.68,21.87,17.39,0.44,3.38,36.61,10.26,49.85,24.85,47.35
10.73,27.27,21.99,0.59,2.57,31.22,11.86,47.83,24.97,40.97
8.78,26.55,18.54,0.38,1.87,28.79,5.35,49.43,28.32,64.31
13.2,21.53,15.98,0.51,2.98,41.23,20.72,49.06,21.77,43.85
8.35,22.69,15.28,0.24,3.75,33.94,21.17,41.75,16.33,36.35
14.13,19.88,16.85,0.51,2.87,41.16,10.39,42.62,23.31,39.98
11.27,32.01,20.48,0.5,1.21,46.38,15.92,52.47,19.03,40.71
11.34,22.2,16.73,0.5,0.45,35.86,17.94,52.4,24.37,48.34
7.48,16.73,13.43,0.2,3.41,38.49,13.04,44.69,14.75,26.89
12.76,24.18,20.43,0.45,1.96,30.16,18.99,34.76,25.72,41.53
13.41,20.97,19.45,0.37,3.39,29.69,19.11,44.97,24.25,28.68
14.59,22.15,20.17,0.49,3.71,26.96,14.37,43.14,16.81,58.63
12.37,17.22,22.28,0.59,1.68,37.74,19.52,34.0,31.47,51.76
14.35,27.22,17.4,0.51,4.82,25.43,21.04,42.98,19.39,36.16
14.06,25.2,15.33,0.39,2.94,42.08,23.52,49.11,19.15,45.65
10.45,30.79,12.79,0.43,1.71,42.97,20.21,36.47,20.2,40.92
6.17,24.16,19.24,0.37,3.78,34.01,25.31,47.66,24.02,46.9
10.26,25.32,11.38,0.43,2.75,32.77,13.31,41.79,18.9,41.24
17.49,22.08,19.25,0.43,4.39,35.3,18.39,48.55,16.5,39.42
12.09,23.72,20.18,,1.92,32.16,16.74,40.47,23.69,52.57
14.86,29.43,18.15,0.27,3.56,,21.19,38.39,24.37,48.33
14.1,28.53,15.49,0.36,2.86,34.23,,61.16,21.94,49.45
16.2,17.97,19.0,0.28,1.57,27.31,18.82,57.27,22.68,31.4
13.32,24.37,6.56,0.26,3.36,38.91,23.85,37.51,28.74,52.26
17.32,30.65,12.37,0.47,3.1,32.27,18.05,45.42,20.64,31.6
13.45,27.38,17.1,0.62,2.51,34.71,11.16,41.39,30.23,54.1
7.6,25.88,13.49,0.45,3.91,35.5,18.24,45.57,15.21,54.57
14.38,,17.13,0.41,3.38,36.91,13.62,41.72,20.5,51.06
14.05,,11.21,0.55,3.89,44.0,17.96,45.18,19.51,43.29
8.3,31.18,19.12,0.35,1.82,30.65,21.43,38.39,18.19,40.39
6.05,31.93,22.6,0.46,2.78,32.8,18.3,46.56,18.61,40.37
7.2,26.18,21.43,0.31,4.73,34.19,25.07,30.94,26.55,42.12
7.06,24.78,19.46,0.56,1.58,37.26,24.3,40.49,17.21,46.68
13.08,26.51,21.8,0.57,2.02,32.35,13.68,59.58,25.57,42.37
11.91,33.78,10.86,0.54,4.13,27.31,16.93,57.54,17.87,45.97
11.12,27.68,14.14,0.46,2.62,28.01,16.2,41.92,22.43,59.36
7.86,27.32,12.08,0.41,2.56,27.83,23.02,36.7,,52.63
11.65,19.62,13.86,0.38,2.95,35.74,13.08,41.05,17.85,39.12
9.99,31.16,14.13,0.26,2.59,45.0,22.45,23.96,22.17,46.34
13.14,40.3,7.77,0.53,2.74,30.62,20.3,34.6,25.22,35.32
12.42,25.01,15.9,0.36,1.56,41.03,17.3,50.5,22.48,35.67
14.91,24.6,20.52,0.39,1.78,41.37,12.82,36.81,18.79,48.74
12.04,21.96,10.77,0.54,3.34,43.39,23.17,44.07,24.56,61.19
9.12,32.81,15.55,0.46,2.47,41.55,10.98,42.09,31.91,44.63
6.92,23.93,8.6,0.51,2.76,27.26,22.35,46.46,18.94,
13.65,26.68,5.88,0.43,4.13,29.92,21.46,60.16,24.32,35.57
12.76,22.17,14.71,0.48,2.68,34.88,22.62,46.08,27.49,35.76
2.84,17.99,18.12,0.47,2.44,34.48,17.57,46.13,24.13,41.61
9.12,23.9,12.94,0.32,2.12,,19.02,45.92,23.86,39.11
12.31,30.93,18.28,0.32,3.36,35.56,18.2,47.73,19.81,
16.07,,14.39,0.27,3.57,32.86,21.75,38.16,21.66,48.95
16.78,30.8,7.38,0.36,1.84,45.09,13.37,37.76,21.46,42.65
17.03,27.15,15.2,0.38,2.98,33.21,11.06,39.71,18.58,33.0
8.22,24.23,20.36,0.36,3.93,26.57,15.07,34.36,23.83,32.87
11.28,10.47,10.33,0.34,3.45,33.92,11.57,42.66,20.29,37.72
11.16,14.46,11.43,0.52,1.45,37.59,18.98,38.05,14.33,49.52
12.07,30.0,18.57,0.51,3.07,38.59,13.99,39.86,14.13,31.88
12.61,25.8,16.03,0.39,3.7,42.71,20.04,35.04,21.41,44.44
15.02,22.26,19.54,0.39,,39.73,17.18,48.05,17.38,36.24
,23.61,19.55,0.35,2.21,25.04,31.14,49.72,21.68,42.79
13.02,37.15,9.93,0.52,2.26,35.23,14.69,41.13,19.31,32.42
11.46,26.72,12.68,0.56,2.14,30.48,24.43,48.07,26.71,34.81
14.64,22.78,6.54,0.5,3.16,38.54,16.59,34.82,17.87,49.01
12.38,22.42,19.0,0.27,1.52,33.03,20.85,44.36,19.01,44.49
7.2,23.11,13.12,0.41,2.38,37.4,14.51,46.49,21.92,50.29
7.49,26.8,17.34,0.51,2.68,36.11,15.73,56.78,27.02,29.79
12.24,32.08,18.13,0.53,2.88,29.11,18.61,46.59,21.7,48.71
13.18,26.37,8.46,0.34,2.54,32.63,9.41,38.02,17.64,37.41
12.17,28.95,10.01,0.46,3.09,34.33,19.82,40.84,32.59,44.15
12.56,25.11,14.73,0.5,3.56,,17.68,53.51,20.5,46.84
17.14,21.32,11.94,0.37,2.46,32.69,13.03,41.75,19.4,37.55
17.78,30.67,14.18,0.37,3.99,36.66,19.05,44.82,17.41,42.62
10.49,21.82,22.98,0.45,2.99,34.79,18.09,42.55,21.08,41.67
16.02,13.83,17.51,0.26,1.85,28.14,14.49,32.97,12.94,40.63
10.32,32.74,14.52,0.51,2.65,35.83,7.9,38.1,21.42,33.11
11.16,23.26,13.45,0.37,4.11,34.47,8.93,51.67,18.39,46.75
6.6,25.37,21.31,0.38,3.87,38.45,24.38,54.83,22.01,48.43
14.13,26.76,16.0,0.4,4.67,31.02,17.46,41.71,24.91,41.04
15.79,21.99,21.65,0.42,2.42,35.64,15.35,41.9,19.24,38.04
10.86,22.95,13.39,0.27,2.94,31.58,15.18,44.85,22.1,55.18
8.66,24.73,12.37,0.47,2.14,42.98,11.9,40.79,21.88,51.53
9.19,27.98,16.17,0.68,4.01,44.95,16.76,46.68,20.07,39.43
14.33,21.07,20.14,0.73,3.12,36.12,26.67,57.61,26.41,35.02
9.56,23.1,16.18,0.47,3.0,21.92,20.25,46.39,24.09,50.28
13.5,31.45,11.9,0.38,4.31,28.76,21.41,32.09,24.77,35.97
14.44,28.4,9.35,0.41,4.07,36.71,13.82,33.27,20.08,46.92
10.76,22.65,12.11,0.36,2.99,31.04,16.99,45.29,23.59,41.15
15.32,21.67,14.61,0.38,2.35,35.73,23.8,43.57,26.2,41.44
8.41,23.58,13.77,0.42,2.4,28.25,17.58,38.17,26.79,55.18
11.58,21.71,16.98,0.36,5.37,32.65,19.98,,21.49,34.87
9.52,21.83,11.51,0.52,1.64,38.99,18.55,59.25,21.23,29.23
15.26,27.25,10.3,0.14,4.22,35.28,16.5,44.73,23.17,44.26
9.24,24.92,17.9,0.32,4.12,35.19,13.62,42.32,17.48,29.87
12.48,25.46,13.98,0.42,4.63,32.6,14.36,47.58,13.93,48.17
12.41,21.32,,0.43,3.65,45.44,23.19,44.02,24.43,33.53
8.39,29.14,4.1,0.49,1.67,38.06,18.22,32.74,25.71,42.17
11.54,24.5,14.43,0.49,2.65,41.28,12.01,42.74,25.62,47.01
8.95,26.16,16.82,0.39,2.01,33.06,17.57,65.26,18.59,44.66
7.81,23.93,15.86,0.55,1.48,35.21,13.03,44.02,23.39,38.55
14.47,21.4,9.91,0.36,3.19,42.67,18.71,36.69,16.36,21.11
16.57,19.39,10.84,0.43,3.63,41.81,17.42,44.0,11.65,40.6
14.4,34.19,20.47,0.37,5.17,33.91,12.83,39.72,22.71,37.97
13.0,28.84,16.78,0.47,2.35,36.41,12.12,30.95,23.96,47.86
12.94,24.51,13.98,0.41,2.36,36.96,16.89,57.87,20.74,31.75
19.82,28.44,23.79,0.28,3.67,,17.32,53.49,25.24,53.08
11.86,30.44,9.39,0.35,4.74,31.9,18.23,48.71,21.66,43.58
11.56,25.2,11.73,0.38,4.3,,22.98,31.41,20.81,50.98
13.59,21.37,10.89,0.27,2.59,40.9,15.7,49.68,19.58,41.06
14.26,23.69,28.34,0.4,2.22,29.63,21.35,44.31,20.76,47.81
11.44,28.88,17.97,0.26,2.87,32.39,17.28,59.19,25.78,50.63
12.62,34.55,16.8,0.25,3.48,40.89,18.49,41.9,22.73,42.32
11.96,18.29,15.46,0.32,2.51,31.48,19.76,38.56,22.92,51.11
13.07,25.03,26.77,0.45,4.75,22.01,16.39,41.5,18.72,44.0
4.95,29.62,12.43,0.37,3.03,39.81,16.61,41.59,21.6,50.96
13.29,27.67,10.07,0.28,3.65,35.29,9.46,55.75,30.48,45.35
14.5,28.42,21.75,0.32,4.45,28.56,14.6,55.87,20.26,39.4
12.14,22.9,15.15,0.43,4.05,32.48,18.4,48.83,31.51,35.99
10.45,23.96,15.2,0.43,4.88,30.1,19.89,46.94,26.78,35.09
9.48,19.93,11.72,0.24,3.56,35.16,22.4,37.23,25.01,26.17
16.37,23.31,12.23,0.27,3.35,26.48,21.97,54.23,21.43,43.21
8.75,23.89,13.9,0.4,1.93,36.21,13.71,48.78,17.53,34.87
13.33,20.77,11.52,0.41,2.82,39.44,25.84,36.22,18.09,42.95
13.01,21.78,15.1,0.47,,34.59,18.26,44.47,25.44,46.03
8.89,26.71,10.4,0.48,2.79,,19.95,48.54,19.22,28.71
15.59,32.39,14.31,0.42,3.38,41.29,15.64,41.83,25.27,
,25.29,16.83,0.47,3.17,31.0,20.58,61.33,19.16,45.44
14.8,28.45,15.03,0.51,3.37,33.57,18.44,40.97,,39.47
16.52,26.49,12.95,0.4,1.25,32.39,24.95,55.28,20.9,59.35
5.16,20.23,16.9,0.36,1.85,33.5,14.16,44.83,33.39,27.92
7.6,26.55,,0.41,,29.01,22.85,47.04,13.68,45.59
9.37,26.57,10.5,0.35,,30.23,18.93,53.81,19.25,41.41
13.37,19.54,18.58,0.4,4.09,36.0,14.86,41.74,16.55,46.04
13.21,27.17,19.18,0.6,3.5,39.04,15.29,52.73,21.07,43.83
13.2,23.93,22.05,0.59,2.2,38.04,21.41,48.58,20.21,44.18
10.84,24.58,7.81,0.4,3.32,35.5,10.9,43.94,26.39,38.58
11.83,36.16,11.86,0.52,2.17,34.63,10.96,58.17,21.9,51.52
15.43,28.61,18.58,0.47,2.29,39.43,17.44,,28.86,41.95
9.72,26.63,13.51,0.25,2.81,32.91,21.37,47.35,26.07,40.38
13.31,26.11,13.62,0.23,3.83,38.12,24.04,39.42,19.72,36.21
,30.07,,0.38,2.78,40.88,14.55,34.14,27.56,40.74
15.25,26.19,19.07,0.46,1.64,28.49,18.57,40.63,15.37,45.77
10.98,27.65,18.2,0.43,3.57,26.21,19.74,41.11,27.42,40.54
,33.0,14.44,0.29,3.24,31.3,17.35,33.64,22.19,49.2
11.33,23.16,18.88,0.36,2.32,36.97,20.3,43.02,22.42,48.61
10.23,32.23,13.4,0.44,2.76,34.06,15.43,38.91,15.95,46.13
5.22,18.08,16.86,0.49,2.41,36.53,14.84,48.06,23.19,45.09
13.54,21.84,12.18,0.32,2.7,36.62,20.61,58.88,19.93,
13.01,21.62,20.93,0.49,1.32,43.69,25.99,46.12,24.52,38.73
10.98,22.49,8.83,0.55,3.42,37.06,22.7,49.74,22.15,44.6
16.21,15.53,14.04,0.37,2.8,41.3,21.64,43.82,25.12,28.98
11.57,28.63,15.86,0.35,3.74,41.0,15.32,37.79,23.22,46.39
13.87,28.19,12.58,0.3,3.36,33.36,13.32,52.09,17.01,37.13
10.27,25.44,12.61,0.42,3.39,34.92,20.06,53.14,23.47,39.76
12.22,25.85,13.88,0.49,3.06,30.43,16.57,64.84,25.09,44.06
10.76,29.96,15.78,,3.87,24.28,23.35,41.3,17.99,42.18
9.58,23.6,12.9,0.33,1.6,44.08,23.98,36.67,20.43,32.12
9.02,20.27,20.94,0.6,2.71,40.76,15.44,47.16,22.42,34.75
9.96,24.35,9.13,0.35,2.85,41.55,22.73,50.58,19.98,44.8
12.9,17.23,21.64,0.32,2.62,27.88,16.11,38.16,21.57,44.95
8.57,19.74,13.15,,2.68,28.22,13.45,40.09,27.96,37.87
10.64,20.61,18.1,0.31,4.21,33.89,14.57,58.32,21.04,41.85
10.09,30.33,20.03,0.46,1.3,38.1,18.3,,24.79,36.13
15.86,22.88,14.53,0.41,3.41,36.8,17.05,31.46,30.15,25.73
7.37,23.77,16.97,0.26,3.5,38.67,9.55,67.42,24.53,39.41
7.92,23.15,13.69,0.43,3.47,37.47,19.35,40.05,25.5,50.78
11.9,22.94,19.47,0.44,3.62,43.97,15.05,46.6,24.35,38.91
6.85,29.38,8.29,0.33,4.25,43.46,14.86,36.19,,47.58
8.79,38.08,17.32,0.41,3.44,30.5,20.91,55.31,,37.7
13.01,30.91,16.23,0.49,3.35,38.97,10.94,54.28,26.16,54.54
15.47,24.77,10.51,0.35,2.74,38.42,19.3,54.2,18.42,43.16
12.97,26.07,16.96,0.45,4.27,33.39,17.45,44.28,21.08,30.88
11.97,22.67,12.14,0.23,0.29,40.86,22.09,49.74,30.88,31.66
10.29,26.62,14.36,,2.01,29.0,16.07,44.46,23.84,36.61
8.36,33.13,12.46,0.5,3.41,35.13,12.65,31.71,27.73,44.79
8.78,30.74,5.92,0.42,2.78,33.06,25.69,52.5,29.2,51.8
16.08,21.96,17.13,0.4,5.53,37.71,11.32,52.22,18.16,43.62
15.81,18.47,15.62,0.49,3.72,33.84,13.17,59.63,26.84,41.54
6.42,16.5,7.09,0.46,3.59,,,45.15,20.67,40.83
12.74,20.29,19.53,0.25,3.23,30.31,22.78,,28.25,46.46
11.28,24.93,12.53,0.25,2.05,,,53.28,23.12,54.35
13.05,25.71,16.92,0.52,,35.43,15.95,50.81,20.05,37.79
6.68,22.42,12.51,0.28,1.94,41.96,14.75,51.49,23.87,44.43
10.91,24.46,17.74,0.37,2.93,36.15,23.23,58.59,21.66,47.47
16.68,31.35,21.7,0.46,3.56,32.68,20.93,41.11,16.31,51.22
10.28,24.48,15.0,0.36,3.56,32.38,14.96,25.67,22.78,46.17
16.92,,13.26,0.38,2.33,35.07,17.24,47.48,17.42,44.11
14.11,29.91,18.04,0.53,2.58,27.15,16.76,41.88,32.24,37.47
8.33,24.68,18.11,0.42,5.2,33.83,20.91,53.91,23.73,44.8
7.51,24.25,13.37,0.4,0.86,37.48,12.45,29.98,22.95,46.95
9.88,23.72,15.21,0.31,2.2,36.64,22.54,55.13,20.83,45.74
13.56,28.47,7.54,0.27,3.52,42.38,13.6,45.01,19.93,51.41
13.21,25.58,13.93,0.32,3.26,38.11,17.61,46.8,24.28,25.54
13.88,26.38,7.74,0.55,3.25,42.24,19.41,33.95,,50.54
9.29,34.6,18.91,0.42,3.29,34.61,28.19,42.26,8.1,32.37
12.84,31.5,14.97,0.42,2.37,30.53,21.5,44.81,24.03,
13.89,30.51,15.9,,3.58,29.34,15.5,37.18,21.72,35.69
15.38,30.43,15.28,,2.13,30.69,13.99,,16.18,34.61
12.59,28.44,16.17,0.2,1.55,,15.89,32.56,13.7,32.37
14.79,22.07,8.54,0.34,4.4,27.14,13.94,47.87,25.36,34.68
11.02,20.67,24.56,0.2,2.86,36.46,14.45,45.82,24.63,40.21
13.14,26.83,10.92,0.33,4.42,30.71,21.61,43.27,26.69,52.53
10.86,29.71,15.45,0.32,3.58,,15.13,45.51,22.97,48.26
13.0,27.3,18.61,0.25,1.64,36.51,13.9,34.28,15.63,39.94
8.08,22.16,23.23,0.32,2.69,35.06,16.97,37.31,23.76,31.26
15.6,26.28,7.53,0.26,2.82,31.51,20.33,46.51,20.96,48.8
6.98,31.44,12.55,0.4,4.68,34.89,21.28,48.47,27.87,42.02
11.11,27.14,12.85,0.44,3.15,31.22,14.6,38.03,23.01,41.63
12.7,30.0,20.45,0.41,2.53,33.27,22.01,52.21,24.99,40.57
17.54,25.46,15.98,0.38,4.19,34.33,19.31,53.95,21.92,50.87
11.12,25.97,11.98,0.42,3.89,27.3,22.03,34.12,18.1,46.23
14.12,24.92,15.18,0.58,1.18,31.46,,39.2,16.27,45.69
16.14,27.43,10.15,0.52,2.13,38.2,13.93,38.87,20.72,37.12
16.67,26.71,13.13,0.39,1.27,34.17,20.81,42.53,27.9,36.08
8.73,24.03,11.52,0.5,2.73,,20.17,55.28,21.15,51.74
8.73,28.27,17.84,0.55,1.68,34.23,17.44,39.89,23.33,53.86
12.18,21.22,14.19,0.3,0.41,35.18,14.56,53.42,22.47,39.89
12.1,25.31,16.23,0.32,4.31,37.61,15.89,50.31,20.38,39.58
11.42,23.44,17.64,0.1,3.35,30.55,21.31,52.27,20.97,40.46
18.38,31.17,17.96,0.36,1.64,41.18,22.96,54.68,26.3,41.18
10.97,27.0,14.81,,4.44,36.47,17.81,33.81,23.38,33.4
11.32,24.7,13.83,0.34,3.7,32.36,12.01,36.46,16.92,37.67
12.86,28.42,18.91,0.3,3.99,35.1,12.65,40.4,20.43,45.42
13.61,19.83,19.97,0.15,1.61,38.55,20.25,46.04,22.55,45.89
11.27,27.27,7.95,0.32,,35.63,18.49,36.0,22.44,32.97
14.71,24.69,14.38,0.43,1.69,43.81,20.31,39.64,26.23,37.39
11.13,21.48,16.58,0.38,2.3,33.06,10.9,38.75,25.71,52.92
12.87,26.78,15.67,0.65,3.61,29.94,22.31,33.77,21.08,44.27
13.17,20.54,13.24,0.61,2.21,36.36,20.78,44.22,23.66,55.77
13.38,19.74,14.66,0.2,3.17,38.43,22.64,36.72,26.85,43.56
12.15,32.35,17.42,0.53,3.72,32.71,16.49,39.55,31.99,43.98
13.9,22.62,18.66,0.44,3.51,36.75,22.97,42.03,17.31,46.61
